scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,71.73,85.0,51.0,100.0,0.0
2023-09-05,67.04,67.0,51.0,100.0,0.0
2023-09-06,68.37,72.0,51.0,100.0,0.0
2023-09-07,69.21,75.0,51.0,100.0,0.0
2023-09-08,67.49,70.0,51.0,98.0,0.0
2023-09-11,63.64,65.0,51.0,88.0,0.0
2023-09-12,62.87,75.0,51.0,78.0,0.0
2023-09-13,64.25,70.0,51.0,88.0,0.0
2023-09-14,67.1,70.0,51.0,98.0,0.0
2023-09-15,64.86,60.0,51.0,100.0,0.0
2023-09-18,66.1,65.0,51.0,100.0,0.0
2023-09-20,61.73,60.0,51.0,100.0,3.0
2023-09-21,65.67,65.0,51.0,100.0,0.0
2023-09-22,68.24,75.0,51.0,100.0,0.0
2023-09-25,66.94,70.0,51.0,100.0,0.0
2023-09-26,61.29,60.0,51.0,100.0,3.0
2023-09-27,61.5,60.0,51.0,100.0,3.0
2023-09-28,61.11,60.0,51.0,100.0,3.0
2023-09-29,66.96,70.0,51.0,100.0,0.0
2023-10-03,66.09,67.0,51.0,100.0,0.0
2023-10-04,67.19,72.0,51.0,100.0,0.0
2023-10-05,67.43,72.0,51.0,100.0,0.0
2023-10-06,66.15,67.0,51.0,100.0,0.0
2023-10-09,57.55,47.0,51.0,100.0,3.0
2023-10-10,61.23,60.0,51.0,100.0,3.0
2023-10-11,61.66,60.0,51.0,100.0,3.0
2023-10-12,64.86,60.0,51.0,100.0,0.0
2023-10-13,61.87,60.0,51.0,100.0,3.0
2023-10-16,64.64,60.0,51.0,100.0,0.0
2023-10-17,62.97,65.0,51.0,100.0,3.0
2023-10-18,61.57,60.0,51.0,100.0,3.0
2023-10-19,61.67,60.0,51.0,100.0,3.0
2023-10-20,56.42,42.0,51.0,98.0,3.0
2023-10-23,51.7,38.0,51.0,88.0,3.0
2023-10-25,44.47,38.0,51.0,60.0,3.0
2023-10-26,53.68,47.0,51.0,88.0,3.0
2023-10-27,55.99,55.0,51.0,88.0,3.0
