scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,62.38,57.0,55.0,80.0,0.0
2023-09-06,59.89,47.0,55.0,80.0,0.0
2023-09-07,59.57,47.0,55.0,80.0,0.0
2023-09-08,57.05,37.0,55.0,80.0,0.0
2023-09-11,55.86,32.0,55.0,80.0,0.0
2023-09-12,59.37,50.0,55.0,80.0,0.0
2023-09-13,61.01,55.0,55.0,80.0,0.0
2023-09-14,58.23,42.0,55.0,80.0,0.0
2023-09-15,62.22,42.0,55.0,95.0,0.0
2023-09-18,59.42,45.0,55.0,95.0,3.0
2023-09-20,58.42,45.0,55.0,80.0,0.0
2023-09-21,55.44,45.0,55.0,80.0,3.0
2023-09-22,58.6,45.0,55.0,80.0,0.0
2023-09-25,56.66,50.0,55.0,80.0,3.0
2023-09-26,59.91,50.0,55.0,95.0,3.0
2023-09-27,60.03,50.0,55.0,95.0,3.0
2023-09-28,61.06,50.0,55.0,98.0,3.0
2023-09-29,63.15,55.0,55.0,100.0,3.0
2023-10-03,63.41,45.0,55.0,100.0,0.0
2023-10-04,60.33,45.0,55.0,88.0,0.0
2023-10-05,53.37,45.0,55.0,60.0,0.0
2023-10-06,48.57,27.0,55.0,60.0,0.0
2023-10-09,46.96,23.0,55.0,60.0,0.0
2023-10-10,51.11,28.0,55.0,70.0,0.0
2023-10-11,49.41,32.0,55.0,70.0,3.0
2023-10-12,51.42,27.0,55.0,70.0,0.0
2023-10-13,49.48,32.0,55.0,70.0,3.0
2023-10-16,44.08,23.0,55.0,45.0,0.0
2023-10-17,45.96,32.0,55.0,45.0,0.0
2023-10-18,39.69,8.0,55.0,45.0,0.0
2023-10-19,37.15,8.0,55.0,35.0,0.0
2023-10-20,36.97,8.0,55.0,35.0,0.0
2023-10-23,35.97,8.0,55.0,35.0,0.0
2023-10-25,37.29,13.0,55.0,35.0,0.0
2023-10-26,37.01,13.0,55.0,35.0,0.0
2023-10-27,39.65,22.0,55.0,35.0,0.0
2023-10-30,35.96,8.0,55.0,35.0,0.0
2023-10-31,30.42,8.0,55.0,25.0,3.0
2023-11-01,34.63,13.0,55.0,25.0,0.0
2023-11-02,34.4,13.0,55.0,35.0,3.0
2023-11-03,30.48,8.0,55.0,25.0,3.0
2023-11-06,39.86,32.0,55.0,25.0,0.0
2023-11-07,49.76,50.0,55.0,45.0,0.0
2023-11-08,35.78,23.0,55.0,35.0,5.0
2023-11-09,38.38,13.0,55.0,35.0,0.0
2023-11-10,36.58,17.0,55.0,25.0,0.0
2023-11-13,38.31,13.0,55.0,35.0,0.0
2023-11-15,38.33,13.0,55.0,35.0,0.0
2023-11-16,40.8,22.0,55.0,35.0,0.0
2023-11-17,45.11,40.0,55.0,35.0,0.0
2023-11-20,47.44,30.0,55.0,53.0,0.0
2023-11-21,43.13,27.0,55.0,38.0,0.0
2023-11-22,43.31,27.0,55.0,38.0,0.0
2023-11-23,44.35,32.0,55.0,38.0,0.0
2023-11-24,51.96,60.0,55.0,38.0,0.0
2023-11-28,50.69,55.0,55.0,38.0,0.0
2023-11-29,51.72,60.0,55.0,38.0,0.0
2023-11-30,53.06,65.0,55.0,38.0,0.0
2023-12-01,57.64,85.0,55.0,38.0,0.0
2023-12-04,66.17,72.0,55.0,85.0,0.0
2023-12-05,66.18,62.0,55.0,95.0,0.0
2023-12-06,52.09,47.0,55.0,55.0,0.0
2023-12-07,53.58,52.0,55.0,55.0,0.0
2023-12-08,51.84,47.0,55.0,55.0,0.0
2023-12-11,53.08,52.0,55.0,55.0,0.0
2023-12-12,51.84,60.0,55.0,55.0,3.0
2023-12-13,55.81,62.0,55.0,55.0,0.0
2023-12-14,51.91,47.0,55.0,55.0,0.0
2023-12-15,52.37,60.0,55.0,55.0,3.0
2023-12-18,58.69,72.0,55.0,55.0,0.0
2023-12-19,53.59,52.0,55.0,55.0,0.0
2023-12-20,54.88,60.0,55.0,55.0,0.0
2023-12-21,53.66,65.0,55.0,55.0,3.0
2023-12-22,62.1,70.0,55.0,70.0,0.0
2023-12-26,60.44,65.0,55.0,80.0,3.0
