scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2026-02-06,17.31,25.0,42.0,0.0,7.0
2026-02-09,21.13,25.0,42.0,0.0,4.0
2026-02-10,22.0,40.0,42.0,0.0,7.0
2026-02-11,24.92,40.0,42.0,0.0,4.0
2026-02-12,22.51,35.0,42.0,8.0,7.0
2026-02-13,17.53,12.0,42.0,0.0,4.0
2026-02-16,20.58,17.0,42.0,8.0,4.0
2026-02-17,22.7,25.0,42.0,8.0,4.0
2026-02-18,27.78,40.0,42.0,25.0,7.0
2026-02-19,20.53,12.0,42.0,25.0,7.0
2026-02-20,21.71,12.0,42.0,18.0,4.0
2026-02-23,20.77,13.0,42.0,25.0,7.0
2026-02-24,23.41,13.0,42.0,25.0,4.0
2026-02-25,23.64,13.0,42.0,25.0,4.0
2026-02-26,21.69,13.0,42.0,18.0,4.0
2026-02-27,13.98,13.0,42.0,0.0,7.0
2026-03-02,16.74,13.0,42.0,0.0,4.0
2026-03-04,17.31,16.0,42.0,0.0,4.0
2026-03-05,19.19,23.0,42.0,0.0,4.0
2026-03-06,16.6,13.0,42.0,0.0,4.0
2026-03-09,19.6,26.0,42.0,0.0,4.0
2026-03-10,22.56,36.0,42.0,0.0,4.0
2026-03-11,19.94,26.0,42.0,0.0,4.0
2026-03-12,21.16,31.0,42.0,0.0,4.0
2026-03-13,13.9,24.0,42.0,0.0,9.0
2026-03-16,19.02,24.0,42.0,0.0,4.0
2026-03-17,9.76,19.0,42.0,0.0,12.0
2026-03-18,20.61,29.0,42.0,0.0,4.0
2026-03-19,15.24,9.0,42.0,0.0,4.0
2026-03-20,15.38,9.0,42.0,0.0,4.0
2026-03-23,4.65,19.0,42.0,0.0,17.0
2026-03-24,13.72,34.0,42.0,0.0,12.0
2026-03-25,21.91,34.0,42.0,0.0,4.0
2026-03-27,6.17,24.0,42.0,0.0,17.0
2026-03-30,2.29,9.0,42.0,0.0,17.0
2026-04-01,35.43,38.0,62.0,0.0,0.0
2026-04-02,27.28,18.0,62.0,0.0,3.0
2026-04-06,31.8,23.0,62.0,0.0,0.0
2026-04-07,26.24,13.0,62.0,0.0,3.0
2026-04-08,32.46,22.0,62.0,0.0,0.0
2026-04-09,25.58,8.0,62.0,0.0,3.0
2026-04-10,31.35,17.0,62.0,0.0,0.0
2026-04-13,32.31,22.0,62.0,0.0,0.0
2026-04-15,36.42,35.0,62.0,0.0,0.0
2026-04-16,34.81,20.0,62.0,8.0,0.0
2026-04-17,35.12,20.0,62.0,8.0,0.0
2026-04-20,32.89,12.0,62.0,8.0,0.0
2026-04-21,36.04,25.0,62.0,8.0,0.0
2026-04-22,33.17,25.0,62.0,8.0,3.0
2026-04-23,29.95,12.0,62.0,8.0,3.0
2026-04-24,33.97,12.0,62.0,25.0,3.0
2026-04-27,38.79,17.0,62.0,25.0,0.0
2026-04-28,32.0,8.0,62.0,8.0,0.0
2026-04-29,37.75,13.0,62.0,25.0,0.0
2026-04-30,37.54,13.0,62.0,25.0,0.0
2026-05-01,28.82,8.0,62.0,8.0,3.0
2026-05-04,45.66,45.0,62.0,25.0,0.0
2026-05-05,32.87,12.0,62.0,8.0,0.0
2026-05-06,45.99,45.0,62.0,25.0,0.0
2026-05-07,40.31,40.0,62.0,8.0,0.0
2026-05-08,35.12,20.0,62.0,8.0,0.0
2026-05-11,47.24,60.0,62.0,18.0,0.0
2026-05-12,28.45,17.0,62.0,8.0,5.0
