scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,2.9,35.0,19.0,0.0,20.0
2023-09-05,0.39,12.0,19.0,0.0,17.0
2023-09-06,0.55,25.0,19.0,0.0,20.0
2023-09-07,0.0,13.0,19.0,0.0,20.0
2023-09-08,0.0,17.0,19.0,0.0,20.0
2023-09-11,0.0,17.0,19.0,0.0,20.0
2023-09-12,0.0,13.0,19.0,0.0,20.0
2023-09-13,0.0,13.0,19.0,0.0,20.0
2023-09-14,0.04,13.0,19.0,0.0,17.0
2023-09-15,1.39,18.0,19.0,0.0,17.0
2023-09-18,0.0,18.0,19.0,0.0,20.0
2023-09-20,0.0,13.0,19.0,0.0,17.0
2023-09-21,0.64,18.0,19.0,0.0,17.0
2023-09-22,0.6,18.0,19.0,0.0,17.0
2023-09-25,3.29,28.0,19.0,0.0,17.0
2023-09-26,4.75,33.0,19.0,0.0,17.0
2023-09-27,2.09,23.0,19.0,0.0,17.0
2023-09-28,3.31,28.0,19.0,0.0,17.0
2023-09-29,5.7,37.0,19.0,0.0,17.0
2023-10-03,0.0,28.0,19.0,0.0,22.0
2023-10-04,3.28,28.0,19.0,0.0,17.0
2023-10-05,0.91,18.0,19.0,0.0,17.0
2023-10-06,2.44,23.0,19.0,0.0,17.0
2023-10-09,3.09,28.0,19.0,0.0,17.0
2023-10-10,2.18,23.0,19.0,0.0,17.0
2023-10-11,3.55,28.0,19.0,0.0,17.0
2023-10-12,11.41,50.0,19.0,8.0,17.0
2023-10-13,7.49,35.0,19.0,8.0,17.0
2023-10-16,13.87,60.0,19.0,8.0,17.0
2023-10-17,15.52,55.0,19.0,18.0,17.0
2023-10-18,8.97,40.0,19.0,8.0,17.0
2023-10-19,5.78,27.0,19.0,8.0,17.0
2023-10-20,5.8,30.0,19.0,18.0,20.0
2023-10-23,2.14,17.0,19.0,8.0,17.0
2023-10-25,4.53,28.0,19.0,8.0,17.0
2023-10-26,2.7,22.0,19.0,18.0,20.0
2023-10-27,0.0,13.0,19.0,8.0,20.0
2023-10-30,0.0,13.0,19.0,0.0,20.0
2023-10-31,0.0,22.0,19.0,0.0,20.0
2023-11-01,9.77,37.0,19.0,18.0,17.0
2023-11-02,11.92,50.0,19.0,25.0,20.0
2023-11-03,7.8,40.0,19.0,18.0,20.0
2023-11-06,4.17,25.0,19.0,18.0,20.0
2023-11-07,1.67,25.0,19.0,8.0,20.0
2023-11-08,8.61,30.0,19.0,18.0,17.0
2023-11-09,0.0,28.0,19.0,0.0,22.0
2023-11-10,2.99,26.0,19.0,0.0,17.0
2023-11-13,4.87,32.0,19.0,0.0,17.0
2023-11-15,1.28,17.0,19.0,0.0,17.0
2023-11-16,1.23,17.0,19.0,0.0,17.0
2023-11-17,0.0,13.0,19.0,0.0,20.0
2023-11-20,3.61,28.0,19.0,0.0,17.0
2023-11-21,17.72,65.0,19.0,18.0,17.0
2023-11-22,20.72,60.0,19.0,35.0,17.0
2023-11-23,29.99,65.0,19.0,35.0,9.0
2023-11-24,9.16,50.0,19.0,18.0,22.0
2023-11-28,32.63,75.0,19.0,35.0,9.0
2023-11-29,19.42,35.0,19.0,55.0,17.0
2023-11-30,36.42,70.0,19.0,55.0,9.0
2023-12-01,31.27,50.0,19.0,55.0,9.0
2023-12-04,7.61,35.0,19.0,8.0,17.0
2023-12-05,23.24,60.0,19.0,15.0,9.0
2023-12-06,8.84,35.0,19.0,15.0,17.0
2023-12-07,9.91,40.0,19.0,25.0,20.0
2023-12-08,9.81,40.0,19.0,25.0,20.0
2023-12-11,36.11,70.0,19.0,55.0,9.0
2023-12-12,33.29,60.0,19.0,55.0,9.0
2023-12-13,41.11,75.0,19.0,70.0,9.0
2023-12-14,37.36,60.0,19.0,70.0,9.0
2023-12-15,37.32,60.0,19.0,70.0,9.0
2023-12-18,26.05,50.0,19.0,55.0,14.0
