scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,2.71,13.0,12.0,0.0,12.0
2023-09-06,2.7,13.0,12.0,0.0,12.0
2023-09-07,4.66,9.0,12.0,0.0,9.0
2023-09-08,1.61,9.0,12.0,0.0,12.0
2023-09-11,1.46,9.0,12.0,0.0,12.0
2023-09-12,0.73,9.0,12.0,0.0,12.0
2023-09-13,0.78,9.0,12.0,0.0,12.0
2023-09-14,0.0,9.0,12.0,0.0,17.0
2023-09-15,0.0,9.0,12.0,0.0,20.0
2023-09-18,0.0,9.0,12.0,0.0,20.0
2023-09-20,0.0,19.0,12.0,0.0,17.0
2023-09-21,0.0,24.0,12.0,0.0,17.0
2023-09-22,0.0,9.0,12.0,0.0,17.0
2023-09-25,0.0,9.0,12.0,0.0,20.0
2023-09-26,0.0,14.0,12.0,0.0,17.0
2023-09-27,0.0,14.0,12.0,0.0,17.0
2023-09-28,0.0,14.0,12.0,0.0,17.0
2023-09-29,0.0,9.0,12.0,0.0,17.0
2023-10-03,0.0,19.0,12.0,0.0,17.0
2023-10-04,4.71,26.0,12.0,0.0,12.0
2023-10-05,7.11,23.0,12.0,0.0,9.0
2023-10-06,5.24,27.0,12.0,0.0,12.0
2023-10-09,12.08,45.0,12.0,0.0,9.0
2023-10-10,14.5,45.0,12.0,8.0,9.0
2023-10-11,21.07,60.0,12.0,18.0,9.0
2023-10-12,20.69,50.0,12.0,25.0,9.0
2023-10-13,19.53,45.0,12.0,25.0,9.0
2023-10-16,20.73,50.0,12.0,25.0,9.0
2023-10-17,15.12,27.0,12.0,25.0,9.0
2023-10-18,14.84,27.0,12.0,25.0,9.0
2023-10-19,18.72,42.0,12.0,25.0,9.0
2023-10-20,17.3,37.0,12.0,25.0,9.0
2023-10-23,17.44,42.0,12.0,25.0,9.0
2023-10-25,13.55,27.0,12.0,25.0,9.0
2023-10-26,17.35,42.0,12.0,25.0,9.0
2023-10-27,10.98,27.0,12.0,25.0,12.0
2023-10-30,11.01,27.0,12.0,25.0,12.0
2023-10-31,10.99,27.0,12.0,25.0,12.0
2023-11-01,14.03,27.0,12.0,25.0,9.0
2023-11-02,11.24,27.0,12.0,25.0,12.0
2023-11-03,16.92,37.0,12.0,25.0,9.0
2023-11-06,13.98,27.0,12.0,35.0,12.0
2023-11-07,14.28,27.0,12.0,35.0,12.0
2023-11-08,20.39,37.0,12.0,50.0,12.0
2023-11-09,27.75,37.0,12.0,80.0,12.0
2023-11-10,27.55,37.0,12.0,80.0,12.0
2023-11-13,28.96,42.0,12.0,80.0,12.0
2023-11-15,34.73,37.0,12.0,95.0,9.0
2023-11-16,27.98,37.0,12.0,80.0,12.0
2023-11-17,28.03,37.0,12.0,80.0,12.0
2023-11-20,28.14,37.0,12.0,80.0,12.0
2023-11-21,31.18,37.0,12.0,80.0,9.0
2023-11-22,28.42,37.0,12.0,80.0,12.0
2023-11-23,28.53,37.0,12.0,80.0,12.0
2023-11-24,32.77,42.0,12.0,80.0,9.0
2023-11-28,36.23,42.0,12.0,95.0,9.0
2023-11-29,39.88,52.0,12.0,100.0,9.0
2023-11-30,36.13,37.0,12.0,100.0,9.0
2023-12-01,36.22,42.0,12.0,95.0,9.0
2023-12-04,33.66,47.0,12.0,80.0,9.0
2023-12-05,33.43,47.0,12.0,80.0,9.0
2023-12-06,36.55,60.0,12.0,80.0,9.0
2023-12-07,36.95,60.0,12.0,80.0,9.0
2023-12-08,35.48,55.0,12.0,80.0,9.0
2023-12-11,27.75,45.0,12.0,70.0,12.0
2023-12-12,36.81,60.0,12.0,80.0,9.0
2023-12-13,28.69,50.0,12.0,70.0,12.0
2023-12-14,30.08,50.0,12.0,63.0,9.0
2023-12-15,31.38,55.0,12.0,63.0,9.0
2023-12-18,30.3,50.0,12.0,63.0,9.0
2023-12-19,17.08,27.0,12.0,45.0,12.0
2023-12-20,15.2,23.0,12.0,45.0,12.0
2023-12-21,15.46,23.0,12.0,45.0,12.0
2023-12-22,19.9,28.0,12.0,45.0,9.0
2023-12-26,23.65,55.0,12.0,45.0,12.0
2023-12-27,30.46,70.0,12.0,45.0,9.0
2023-12-28,30.31,70.0,12.0,45.0,9.0
2023-12-29,36.83,52.0,12.0,88.0,9.0
2024-01-01,31.49,42.0,12.0,88.0,12.0
