scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,58.65,60.0,39.0,100.0,3.0
2023-09-05,50.47,27.0,39.0,100.0,3.0
2023-09-06,54.73,32.0,39.0,98.0,0.0
2023-09-07,46.5,28.0,39.0,70.0,0.0
2023-09-08,45.26,23.0,39.0,70.0,0.0
2023-09-11,42.3,23.0,39.0,70.0,3.0
2023-09-12,44.43,23.0,39.0,70.0,0.0
2023-09-13,35.13,23.0,39.0,45.0,3.0
2023-09-14,34.84,28.0,39.0,35.0,3.0
2023-09-15,35.36,32.0,39.0,35.0,3.0
2023-09-18,33.83,27.0,39.0,35.0,3.0
2023-09-20,32.92,23.0,39.0,35.0,3.0
2023-09-21,32.43,23.0,39.0,35.0,3.0
2023-09-22,32.64,23.0,39.0,35.0,3.0
2023-09-25,33.12,23.0,39.0,35.0,3.0
2023-09-26,32.86,23.0,39.0,35.0,3.0
2023-09-27,34.34,28.0,39.0,35.0,3.0
2023-09-28,33.26,23.0,39.0,35.0,3.0
2023-09-29,33.14,23.0,39.0,35.0,3.0
2023-10-03,34.99,19.0,39.0,35.0,0.0
2023-10-04,35.75,24.0,39.0,35.0,0.0
2023-10-05,31.38,19.0,39.0,35.0,3.0
2023-10-06,32.65,24.0,39.0,35.0,3.0
2023-10-09,36.9,33.0,39.0,35.0,0.0
2023-10-10,43.98,60.0,39.0,35.0,0.0
2023-10-11,49.85,75.0,39.0,43.0,0.0
2023-10-12,55.38,85.0,39.0,53.0,0.0
2023-10-13,51.4,70.0,39.0,53.0,0.0
2023-10-16,48.88,60.0,39.0,53.0,0.0
2023-10-17,54.15,80.0,39.0,53.0,0.0
2023-10-18,46.18,60.0,39.0,53.0,3.0
2023-10-19,48.48,60.0,39.0,63.0,3.0
2023-10-20,36.96,35.0,39.0,43.0,3.0
2023-10-23,33.44,27.0,39.0,43.0,3.0
2023-10-25,35.93,27.0,39.0,53.0,3.0
2023-10-26,35.27,23.0,39.0,53.0,3.0
2023-10-27,31.07,23.0,39.0,35.0,3.0
2023-10-30,34.26,23.0,39.0,35.0,0.0
2023-10-31,31.0,23.0,39.0,35.0,3.0
2023-11-01,33.96,23.0,39.0,35.0,0.0
2023-11-02,34.42,33.0,39.0,25.0,0.0
2023-11-03,33.44,29.0,39.0,25.0,0.0
2023-11-06,28.34,19.0,39.0,25.0,3.0
2023-11-07,30.79,28.0,39.0,25.0,3.0
2023-11-08,30.92,28.0,39.0,25.0,3.0
2023-11-09,29.45,23.0,39.0,25.0,3.0
2023-11-10,29.24,23.0,39.0,25.0,3.0
2023-11-13,33.44,28.0,39.0,25.0,0.0
2023-11-15,32.27,38.0,39.0,10.0,0.0
2023-11-16,32.18,38.0,39.0,10.0,0.0
2023-11-17,25.25,23.0,39.0,10.0,3.0
2023-11-20,32.69,38.0,39.0,10.0,0.0
2023-11-21,34.1,28.0,39.0,25.0,0.0
2023-11-22,29.76,23.0,39.0,25.0,3.0
2023-11-23,18.8,8.0,39.0,25.0,11.0
2023-11-24,14.65,8.0,39.0,10.0,11.0
2023-11-28,21.42,23.0,39.0,10.0,8.0
2023-11-29,40.37,52.0,39.0,25.0,0.0
2023-11-30,18.83,13.0,39.0,10.0,8.0
2023-12-01,32.86,38.0,39.0,10.0,0.0
2023-12-04,21.33,23.0,39.0,10.0,8.0
2023-12-05,19.78,18.0,39.0,10.0,8.0
2023-12-06,20.65,23.0,39.0,10.0,8.0
2023-12-07,19.48,18.0,39.0,10.0,8.0
2023-12-08,17.78,13.0,39.0,10.0,8.0
2023-12-11,34.38,47.0,39.0,10.0,0.0
2023-12-12,39.42,60.0,39.0,18.0,0.0
2023-12-13,38.21,55.0,39.0,18.0,0.0
2023-12-14,37.01,50.0,39.0,18.0,0.0
2023-12-15,35.0,42.0,39.0,18.0,0.0
2023-12-18,35.92,55.0,39.0,8.0,0.0
2023-12-19,38.18,65.0,39.0,8.0,0.0
2023-12-20,31.04,40.0,39.0,8.0,0.0
2023-12-21,35.27,55.0,39.0,8.0,0.0
2023-12-22,31.48,40.0,39.0,8.0,0.0
2023-12-26,33.82,60.0,39.0,8.0,3.0
2023-12-27,15.4,27.0,39.0,8.0,13.0
2023-12-28,17.14,23.0,39.0,0.0,8.0
2023-12-29,15.23,13.0,39.0,0.0,8.0
2024-01-01,15.48,13.0,39.0,0.0,8.0
2024-01-02,10.99,8.0,39.0,0.0,11.0
2024-01-03,16.78,18.0,39.0,0.0,8.0
2024-01-04,22.75,33.0,39.0,8.0,8.0
2024-01-05,16.78,18.0,39.0,0.0,8.0
2024-01-08,18.58,17.0,39.0,8.0,8.0
2024-01-09,15.2,12.0,39.0,0.0,8.0
2024-01-10,12.56,12.0,39.0,0.0,11.0
2024-01-11,15.7,12.0,39.0,0.0,8.0
2024-01-12,16.87,17.0,39.0,0.0,8.0
2024-01-15,24.59,40.0,39.0,8.0,8.0
2024-01-16,24.88,50.0,39.0,0.0,8.0
2024-01-17,21.01,35.0,39.0,0.0,8.0
2024-01-18,21.35,35.0,39.0,0.0,8.0
2024-01-19,19.41,40.0,39.0,0.0,11.0
2024-01-23,10.8,8.0,39.0,0.0,11.0
2024-01-24,15.32,13.0,39.0,0.0,8.0
2024-01-25,14.45,8.0,39.0,0.0,8.0
2024-01-29,20.32,22.0,39.0,8.0,8.0
2024-01-30,43.98,75.0,39.0,18.0,0.0
2024-01-31,45.19,62.0,39.0,35.0,0.0
2024-02-01,44.52,60.0,39.0,35.0,0.0
2024-02-02,43.3,55.0,39.0,35.0,0.0
2024-02-05,47.87,55.0,39.0,55.0,0.0
2024-02-06,48.08,55.0,39.0,55.0,0.0
2024-02-07,52.02,70.0,39.0,55.0,0.0
2024-02-08,58.33,72.0,39.0,80.0,0.0
2024-02-09,55.23,62.0,39.0,80.0,0.0
2024-02-12,47.77,60.0,39.0,55.0,0.0
2024-02-13,35.33,50.0,39.0,35.0,5.0
2024-02-14,38.85,55.0,39.0,35.0,3.0
2024-02-15,40.61,50.0,39.0,35.0,0.0
2024-02-16,40.06,60.0,39.0,35.0,3.0
2024-02-19,39.21,55.0,39.0,35.0,3.0
2024-02-20,43.48,60.0,39.0,35.0,0.0
2024-02-21,37.95,50.0,39.0,35.0,3.0
2024-02-22,39.15,55.0,39.0,35.0,3.0
2024-02-23,41.79,55.0,39.0,45.0,3.0
2024-02-26,37.77,50.0,39.0,35.0,3.0
2024-02-27,13.57,23.0,39.0,18.0,16.0
2024-02-28,12.21,8.0,39.0,10.0,11.0
2024-02-29,16.63,13.0,39.0,10.0,8.0
2024-03-01,15.65,8.0,39.0,10.0,8.0
2024-03-04,12.73,8.0,39.0,10.0,11.0
2024-03-05,11.92,8.0,39.0,10.0,11.0
2024-03-06,12.8,13.0,39.0,10.0,11.0
2024-03-07,27.9,60.0,39.0,10.0,8.0
2024-03-11,9.09,8.0,39.0,10.0,13.0
2024-03-12,12.45,13.0,39.0,0.0,8.0
2024-03-13,5.79,8.0,39.0,0.0,13.0
2024-03-14,15.2,23.0,39.0,0.0,8.0
2024-03-15,12.21,13.0,39.0,0.0,8.0
2024-03-18,11.31,8.0,39.0,0.0,8.0
2024-03-19,10.95,8.0,39.0,0.0,8.0
2024-03-20,9.29,13.0,39.0,0.0,11.0
2024-03-21,14.0,18.0,39.0,0.0,8.0
2024-03-22,11.75,8.0,39.0,0.0,8.0
2024-03-26,8.31,8.0,39.0,0.0,11.0
2024-03-27,11.49,8.0,39.0,0.0,8.0
2024-03-28,9.0,18.0,39.0,0.0,13.0
2024-04-01,0.0,13.0,39.0,0.0,28.0
2024-04-02,0.0,13.0,39.0,0.0,28.0
2024-04-03,0.0,18.0,39.0,0.0,28.0
2024-04-04,0.0,18.0,39.0,0.0,28.0
2024-04-05,0.0,17.0,39.0,0.0,31.0
2024-04-08,0.0,8.0,39.0,0.0,28.0
2024-04-09,0.0,8.0,39.0,0.0,28.0
2024-04-10,0.0,13.0,39.0,0.0,28.0
2024-04-12,0.0,8.0,39.0,0.0,28.0
2024-04-15,0.0,13.0,39.0,0.0,28.0
2024-04-16,0.0,13.0,39.0,0.0,31.0
2024-04-18,0.0,8.0,39.0,0.0,31.0
2024-04-19,0.0,22.0,39.0,0.0,31.0
2024-04-22,4.87,45.0,39.0,8.0,28.0
2024-04-23,0.0,20.0,39.0,8.0,28.0
2024-04-24,3.82,40.0,39.0,8.0,28.0
2024-04-25,0.0,25.0,39.0,8.0,31.0
2024-04-26,0.28,25.0,39.0,8.0,28.0
2024-04-29,0.0,20.0,39.0,8.0,28.0
2024-04-30,13.84,50.0,39.0,35.0,28.0
2024-05-02,3.34,20.0,39.0,25.0,28.0
2024-05-03,0.0,20.0,39.0,18.0,31.0
2024-05-06,0.0,12.0,39.0,8.0,28.0
2024-05-07,0.0,8.0,39.0,0.0,31.0
2024-05-08,0.0,13.0,39.0,0.0,28.0
2024-05-09,0.0,8.0,39.0,0.0,31.0
2024-05-10,0.0,18.0,39.0,8.0,28.0
2024-05-13,0.0,17.0,39.0,18.0,31.0
2024-05-14,0.0,8.0,39.0,8.0,28.0
2024-05-15,0.0,17.0,39.0,18.0,28.0
2024-05-16,0.0,18.0,39.0,8.0,28.0
2024-05-17,0.0,22.0,39.0,8.0,28.0
2024-05-21,0.0,17.0,39.0,8.0,28.0
2024-05-22,0.0,12.0,39.0,0.0,28.0
2024-05-23,0.0,23.0,39.0,0.0,28.0
2024-05-24,0.0,18.0,39.0,0.0,28.0
2024-05-27,0.0,18.0,39.0,0.0,28.0
2024-05-28,0.0,8.0,39.0,0.0,31.0
2024-05-29,0.0,8.0,39.0,0.0,31.0
2024-05-30,0.0,8.0,39.0,0.0,31.0
2024-05-31,0.0,8.0,39.0,0.0,31.0
2024-06-03,0.0,23.0,39.0,0.0,28.0
2024-06-04,0.0,8.0,39.0,0.0,31.0
2024-06-05,0.0,4.0,39.0,0.0,28.0
2024-06-06,0.0,19.0,39.0,0.0,36.0
2024-06-07,0.0,33.0,39.0,0.0,28.0
2024-06-10,0.0,18.0,39.0,0.0,28.0
2024-06-11,0.0,18.0,39.0,0.0,28.0
2024-06-12,0.0,18.0,39.0,0.0,28.0
2024-06-13,0.0,17.0,39.0,0.0,31.0
2024-06-14,0.0,17.0,39.0,0.0,31.0
2024-06-18,2.55,30.0,39.0,10.0,28.0
2024-06-19,0.17,30.0,39.0,0.0,28.0
2024-06-20,0.0,20.0,39.0,0.0,28.0
2024-06-21,1.55,35.0,39.0,0.0,28.0
2024-06-24,0.0,25.0,39.0,0.0,28.0
2024-06-25,1.41,35.0,39.0,0.0,28.0
2024-06-26,0.0,12.0,39.0,0.0,28.0
2024-06-27,0.0,13.0,39.0,0.0,28.0
2024-06-28,0.0,8.0,39.0,0.0,28.0
2024-07-01,0.0,13.0,39.0,0.0,28.0
2024-07-02,0.0,8.0,39.0,0.0,28.0
2024-07-03,0.0,17.0,39.0,0.0,28.0
2024-07-04,0.0,17.0,39.0,8.0,28.0
2024-07-05,0.0,8.0,39.0,8.0,28.0
2024-07-08,0.0,17.0,39.0,8.0,31.0
2024-07-09,0.0,17.0,39.0,8.0,31.0
2024-07-10,0.0,12.0,39.0,8.0,31.0
2024-07-11,0.0,17.0,39.0,8.0,28.0
2024-07-12,0.0,17.0,39.0,0.0,28.0
2024-07-15,0.0,8.0,39.0,0.0,28.0
2024-07-16,0.0,17.0,39.0,0.0,28.0
2024-07-18,0.0,8.0,39.0,0.0,28.0
2024-07-19,0.0,8.0,39.0,0.0,31.0
2024-07-22,0.0,8.0,39.0,0.0,28.0
2024-07-23,0.0,8.0,39.0,0.0,31.0
2024-07-24,0.0,13.0,39.0,0.0,28.0
2024-07-25,2.47,40.0,39.0,0.0,28.0
2024-07-26,0.0,20.0,39.0,8.0,28.0
2024-07-29,4.89,40.0,39.0,8.0,28.0
2024-07-30,3.87,35.0,39.0,8.0,28.0
2024-07-31,8.81,55.0,39.0,8.0,28.0
2024-08-01,3.26,35.0,39.0,8.0,28.0
2024-08-02,0.0,27.0,39.0,0.0,28.0
2024-08-05,0.0,18.0,39.0,0.0,28.0
2024-08-06,0.0,13.0,39.0,0.0,31.0
2024-08-07,8.34,55.0,39.0,8.0,28.0
