scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,67.48,85.0,71.0,55.0,0.0
2023-09-05,60.29,57.0,71.0,55.0,0.0
2023-09-06,74.12,72.0,71.0,95.0,0.0
2023-09-07,74.21,67.0,71.0,100.0,0.0
2023-09-08,70.49,52.0,71.0,100.0,0.0
2023-09-11,75.39,72.0,71.0,100.0,0.0
2023-09-12,72.12,62.0,71.0,100.0,0.0
2023-09-13,73.5,67.0,71.0,100.0,0.0
2023-09-14,68.85,47.0,71.0,100.0,0.0
2023-09-15,69.86,52.0,71.0,100.0,0.0
2023-09-18,68.6,47.0,71.0,100.0,0.0
2023-09-20,69.73,52.0,71.0,100.0,0.0
2023-09-21,65.17,47.0,71.0,100.0,3.0
2023-09-22,65.24,47.0,71.0,100.0,3.0
2023-09-25,66.44,52.0,71.0,100.0,3.0
2023-09-26,65.04,47.0,71.0,100.0,3.0
2023-09-27,69.5,52.0,71.0,100.0,0.0
2023-09-28,64.86,47.0,71.0,100.0,3.0
2023-09-29,66.46,52.0,71.0,100.0,3.0
2023-10-03,65.09,47.0,71.0,100.0,3.0
2023-10-04,66.19,52.0,71.0,100.0,3.0
2023-10-05,69.43,52.0,71.0,100.0,0.0
2023-10-06,67.9,60.0,71.0,98.0,3.0
2023-10-09,70.3,60.0,71.0,98.0,0.0
2023-10-10,73.23,70.0,71.0,98.0,0.0
2023-10-11,74.66,72.0,71.0,100.0,0.0
2023-10-12,69.86,52.0,71.0,100.0,0.0
2023-10-13,68.12,47.0,71.0,98.0,0.0
2023-10-16,69.89,65.0,71.0,88.0,0.0
2023-10-17,68.72,60.0,71.0,88.0,0.0
2023-10-18,64.07,60.0,71.0,70.0,0.0
2023-10-19,65.42,65.0,71.0,70.0,0.0
2023-10-20,69.67,65.0,71.0,88.0,0.0
2023-10-23,55.7,42.0,71.0,60.0,0.0
2023-10-25,54.47,38.0,71.0,60.0,0.0
2023-10-26,64.93,70.0,71.0,70.0,0.0
2023-10-27,58.24,42.0,71.0,70.0,0.0
2023-10-30,54.68,38.0,71.0,60.0,0.0
2023-10-31,50.95,23.0,71.0,60.0,0.0
2023-11-01,46.99,23.0,71.0,45.0,0.0
2023-11-02,53.67,33.0,71.0,60.0,0.0
2023-11-03,49.71,28.0,71.0,60.0,3.0
2023-11-06,51.07,32.0,71.0,60.0,3.0
2023-11-07,45.16,23.0,71.0,45.0,3.0
2023-11-08,49.21,23.0,71.0,60.0,3.0
2023-11-09,49.98,28.0,71.0,60.0,3.0
2023-11-10,48.73,23.0,71.0,60.0,3.0
2023-11-13,51.24,32.0,71.0,60.0,3.0
2023-11-15,54.24,32.0,71.0,60.0,0.0
2023-11-16,58.79,50.0,71.0,60.0,0.0
2023-11-17,54.99,35.0,71.0,60.0,0.0
2023-11-20,53.01,40.0,71.0,60.0,3.0
2023-11-21,54.97,35.0,71.0,60.0,0.0
2023-11-22,56.43,40.0,71.0,60.0,0.0
2023-11-23,54.91,27.0,71.0,78.0,3.0
2023-11-24,52.84,27.0,71.0,70.0,3.0
2023-11-28,55.86,27.0,71.0,70.0,0.0
2023-11-29,57.06,32.0,71.0,70.0,0.0
2023-11-30,59.29,32.0,71.0,78.0,0.0
2023-12-01,65.07,45.0,71.0,88.0,0.0
2023-12-04,60.63,27.0,71.0,88.0,0.0
2023-12-05,67.53,55.0,71.0,88.0,0.0
2023-12-06,70.31,65.0,71.0,88.0,0.0
2023-12-07,66.51,50.0,71.0,88.0,0.0
2023-12-08,58.86,45.0,71.0,63.0,0.0
2023-12-11,61.66,55.0,71.0,63.0,0.0
2023-12-12,56.57,35.0,71.0,63.0,0.0
2023-12-13,66.53,75.0,71.0,63.0,0.0
2023-12-14,66.75,75.0,71.0,63.0,0.0
2023-12-15,59.34,65.0,71.0,43.0,0.0
2023-12-18,60.61,70.0,71.0,43.0,0.0
2023-12-19,59.38,65.0,71.0,43.0,0.0
2023-12-20,52.82,42.0,71.0,43.0,0.0
2023-12-21,59.14,65.0,71.0,43.0,0.0
2023-12-22,61.91,75.0,71.0,43.0,0.0
2023-12-26,69.54,85.0,71.0,63.0,0.0
2023-12-27,66.93,75.0,71.0,63.0,0.0
2023-12-28,63.07,60.0,71.0,63.0,0.0
2023-12-29,64.46,65.0,71.0,63.0,0.0
2024-01-01,66.11,70.0,71.0,63.0,0.0
2024-01-02,60.94,70.0,71.0,43.0,0.0
2024-01-03,64.71,65.0,71.0,63.0,0.0
2024-01-04,64.81,65.0,71.0,63.0,0.0
2024-01-05,58.25,60.0,71.0,43.0,0.0
2024-01-08,64.32,65.0,71.0,63.0,0.0
2024-01-09,61.43,65.0,71.0,63.0,3.0
2024-01-10,58.1,60.0,71.0,43.0,0.0
2024-01-11,55.25,60.0,71.0,43.0,3.0
2024-01-12,55.16,60.0,71.0,43.0,3.0
