scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2025-10-15,28.68,23.0,54.0,0.0,0.0
2025-10-16,27.01,16.0,54.0,0.0,0.0
2025-10-17,26.94,16.0,54.0,0.0,0.0
2025-10-20,31.05,31.0,54.0,0.0,0.0
2025-10-21,29.58,26.0,54.0,10.0,3.0
2025-10-23,29.86,26.0,54.0,0.0,0.0
2025-10-24,32.3,36.0,54.0,0.0,0.0
2025-10-27,29.87,26.0,54.0,0.0,0.0
2025-10-28,29.99,26.0,54.0,0.0,0.0
2025-10-29,29.05,21.0,54.0,0.0,0.0
2025-10-30,27.75,16.0,54.0,0.0,0.0
2025-10-31,27.34,16.0,54.0,0.0,0.0
2025-11-03,28.06,16.0,54.0,0.0,0.0
2025-11-04,30.13,26.0,54.0,0.0,0.0
2025-11-06,27.45,16.0,54.0,0.0,0.0
2025-11-07,27.56,16.0,54.0,0.0,0.0
2025-11-10,32.5,36.0,54.0,0.0,0.0
2025-11-11,29.69,26.0,54.0,0.0,0.0
2025-11-12,28.66,21.0,54.0,0.0,0.0
2025-11-13,29.8,26.0,54.0,0.0,0.0
2025-11-14,27.31,16.0,54.0,0.0,0.0
2025-11-17,27.54,16.0,54.0,0.0,0.0
2025-11-18,27.1,16.0,54.0,0.0,0.0
2025-11-19,26.67,14.0,54.0,0.0,0.0
2025-11-20,29.03,24.0,54.0,0.0,0.0
2025-11-21,24.93,9.0,54.0,0.0,0.0
2025-11-24,25.41,9.0,54.0,0.0,0.0
2025-11-25,26.67,14.0,54.0,0.0,0.0
2025-11-26,25.59,9.0,54.0,0.0,0.0
2025-11-27,29.15,24.0,54.0,0.0,0.0
2025-11-28,29.97,26.0,54.0,0.0,0.0
2025-12-01,32.32,36.0,54.0,0.0,0.0
2025-12-02,24.24,16.0,54.0,0.0,3.0
2025-12-03,30.7,30.0,54.0,0.0,0.0
2025-12-04,24.17,16.0,54.0,0.0,3.0
2025-12-05,24.13,16.0,54.0,0.0,3.0
2025-12-08,28.97,26.0,54.0,0.0,0.0
2025-12-09,28.17,21.0,54.0,0.0,0.0
2025-12-10,23.66,16.0,54.0,0.0,3.0
2025-12-11,35.38,50.0,54.0,0.0,0.0
2025-12-12,32.23,30.0,54.0,8.0,0.0
2025-12-15,34.71,40.0,54.0,8.0,0.0
2025-12-16,29.62,20.0,54.0,8.0,0.0
2025-12-17,26.62,20.0,54.0,8.0,3.0
2025-12-18,30.98,25.0,54.0,8.0,0.0
2025-12-19,33.09,33.0,54.0,18.0,3.0
2025-12-22,33.22,33.0,54.0,18.0,3.0
2025-12-23,27.3,20.0,54.0,8.0,3.0
2025-12-24,29.56,20.0,54.0,18.0,3.0
2025-12-26,25.96,16.0,54.0,8.0,3.0
2025-12-29,25.7,16.0,54.0,8.0,3.0
2025-12-30,23.85,16.0,54.0,0.0,3.0
2025-12-31,1.75,21.0,22.0,0.0,15.0
2026-01-01,3.21,16.0,22.0,0.0,12.0
2026-01-02,7.12,30.0,22.0,0.0,12.0
2026-01-05,0.55,16.0,22.0,0.0,15.0
2026-01-06,4.27,16.0,22.0,0.0,12.0
2026-01-07,6.57,25.0,22.0,0.0,12.0
2026-01-08,5.61,16.0,22.0,8.0,12.0
2026-01-09,3.3,16.0,22.0,0.0,12.0
2026-01-12,3.04,16.0,22.0,0.0,12.0
2026-01-13,4.4,21.0,22.0,0.0,12.0
2026-01-14,0.4,16.0,22.0,0.0,15.0
2026-01-15,0.18,16.0,22.0,0.0,15.0
2026-01-16,2.96,16.0,22.0,0.0,12.0
2026-01-19,2.58,16.0,22.0,0.0,12.0
2026-01-20,4.93,26.0,22.0,0.0,12.0
2026-01-21,4.97,26.0,22.0,0.0,12.0
2026-01-22,6.62,31.0,22.0,0.0,12.0
2026-01-23,3.65,21.0,22.0,0.0,12.0
2026-01-27,5.02,26.0,22.0,0.0,12.0
2026-01-28,3.6,21.0,22.0,0.0,12.0
2026-01-29,4.68,26.0,22.0,0.0,12.0
2026-01-30,5.29,26.0,22.0,0.0,12.0
2026-02-02,3.44,21.0,22.0,0.0,12.0
2026-02-03,8.07,36.0,22.0,0.0,12.0
2026-02-04,2.61,16.0,22.0,0.0,12.0
2026-02-05,11.82,53.0,22.0,0.0,12.0
2026-02-06,15.61,60.0,22.0,8.0,12.0
2026-02-09,18.95,60.0,22.0,18.0,12.0
2026-02-10,16.37,50.0,22.0,18.0,12.0
2026-02-11,20.53,65.0,22.0,18.0,12.0
2026-02-12,18.8,42.0,22.0,35.0,12.0
2026-02-13,14.83,40.0,22.0,35.0,15.0
2026-02-16,15.26,40.0,22.0,35.0,15.0
2026-02-17,16.72,45.0,22.0,35.0,15.0
2026-02-18,15.53,40.0,22.0,35.0,15.0
2026-02-19,23.3,45.0,22.0,50.0,12.0
2026-02-20,15.2,40.0,22.0,35.0,15.0
2026-02-23,24.9,50.0,22.0,50.0,12.0
2026-02-24,23.5,45.0,22.0,50.0,12.0
2026-02-25,26.67,55.0,22.0,50.0,12.0
2026-02-26,19.96,40.0,22.0,50.0,15.0
2026-02-27,19.77,40.0,22.0,50.0,15.0
2026-03-02,26.17,55.0,22.0,50.0,12.0
2026-03-04,17.14,42.0,22.0,28.0,12.0
2026-03-05,14.92,37.0,22.0,35.0,15.0
2026-03-06,11.7,32.0,22.0,28.0,15.0
