scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-08-28,63.68,52.0,48.0,100.0,0.0
2023-08-29,59.33,47.0,48.0,100.0,3.0
2023-08-30,59.45,47.0,48.0,100.0,3.0
2023-08-31,64.06,52.0,48.0,100.0,0.0
2023-09-01,62.51,47.0,48.0,100.0,0.0
2023-09-04,60.81,52.0,48.0,100.0,3.0
2023-09-05,59.51,47.0,48.0,100.0,3.0
2023-09-06,62.65,60.0,48.0,100.0,3.0
2023-09-07,67.12,65.0,48.0,100.0,0.0
2023-09-08,63.03,60.0,48.0,100.0,3.0
2023-09-11,65.25,57.0,48.0,100.0,0.0
2023-09-12,65.43,60.0,48.0,100.0,0.0
2023-09-13,62.28,60.0,48.0,100.0,3.0
2023-09-14,64.09,67.0,48.0,88.0,0.0
2023-09-15,64.16,67.0,48.0,88.0,0.0
2023-09-18,57.06,52.0,48.0,88.0,3.0
2023-09-20,67.43,72.0,48.0,98.0,0.0
2023-09-21,64.04,60.0,48.0,98.0,0.0
2023-09-22,66.61,70.0,48.0,98.0,0.0
2023-09-25,63.47,57.0,48.0,98.0,0.0
2023-09-26,67.84,72.0,48.0,100.0,0.0
2023-09-27,65.33,62.0,48.0,100.0,0.0
2023-09-28,67.16,70.0,48.0,100.0,0.0
2023-09-29,64.25,60.0,48.0,98.0,0.0
2023-10-03,63.08,65.0,48.0,100.0,3.0
2023-10-04,64.0,60.0,48.0,98.0,0.0
2023-10-05,62.3,65.0,48.0,98.0,3.0
2023-10-06,62.87,65.0,48.0,100.0,3.0
2023-10-09,60.32,60.0,48.0,98.0,3.0
2023-10-10,56.28,42.0,48.0,98.0,3.0
2023-10-11,63.37,70.0,48.0,98.0,3.0
2023-10-12,64.27,70.0,48.0,100.0,3.0
2023-10-13,61.57,60.0,48.0,100.0,3.0
2023-10-16,62.4,65.0,48.0,98.0,3.0
2023-10-17,61.4,60.0,48.0,98.0,3.0
2023-10-18,58.59,60.0,48.0,88.0,3.0
2023-10-19,58.36,65.0,48.0,70.0,0.0
2023-10-20,59.44,65.0,48.0,88.0,3.0
2023-10-23,53.65,52.0,48.0,70.0,0.0
2023-10-25,46.12,23.0,48.0,70.0,0.0
2023-10-26,57.15,67.0,48.0,70.0,0.0
2023-10-27,47.95,28.0,48.0,70.0,0.0
2023-10-30,51.29,42.0,48.0,70.0,0.0
2023-10-31,49.96,37.0,48.0,70.0,0.0
2023-11-01,46.39,23.0,48.0,70.0,0.0
2023-11-02,49.18,32.0,48.0,70.0,0.0
2023-11-03,48.03,27.0,48.0,70.0,0.0
2023-11-06,46.54,32.0,48.0,70.0,3.0
2023-11-07,45.31,27.0,48.0,70.0,3.0
2023-11-08,46.75,32.0,48.0,70.0,3.0
2023-11-09,54.03,50.0,48.0,70.0,0.0
2023-11-10,48.46,27.0,48.0,70.0,0.0
2023-11-13,66.3,80.0,48.0,88.0,0.0
2023-11-15,66.29,80.0,48.0,88.0,0.0
2023-11-16,61.22,60.0,48.0,88.0,0.0
2023-11-17,70.33,85.0,48.0,98.0,0.0
2023-11-20,65.88,65.0,48.0,100.0,0.0
2023-11-21,61.84,60.0,48.0,88.0,0.0
2023-11-22,55.53,60.0,48.0,63.0,0.0
2023-11-23,66.13,70.0,48.0,95.0,0.0
2023-11-24,59.53,60.0,48.0,78.0,0.0
2023-11-28,56.97,65.0,48.0,63.0,0.0
2023-11-29,58.1,70.0,48.0,63.0,0.0
2023-11-30,59.94,75.0,48.0,63.0,0.0
2023-12-01,55.95,60.0,48.0,63.0,0.0
2023-12-04,61.18,80.0,48.0,63.0,0.0
2023-12-05,57.0,65.0,48.0,63.0,0.0
2023-12-06,51.19,42.0,48.0,63.0,0.0
2023-12-07,51.5,42.0,48.0,63.0,0.0
2023-12-08,46.49,23.0,48.0,63.0,0.0
2023-12-11,46.63,23.0,48.0,63.0,0.0
2023-12-12,43.25,23.0,48.0,63.0,3.0
2023-12-13,40.2,28.0,48.0,45.0,3.0
2023-12-14,49.56,52.0,48.0,45.0,0.0
2023-12-15,52.88,65.0,48.0,45.0,0.0
2023-12-18,52.62,65.0,48.0,45.0,0.0
2023-12-19,44.19,32.0,48.0,45.0,0.0
2023-12-20,49.86,57.0,48.0,45.0,0.0
2023-12-21,45.4,47.0,48.0,35.0,0.0
2023-12-22,57.59,85.0,48.0,45.0,0.0
2023-12-26,56.02,60.0,48.0,63.0,0.0
2023-12-27,59.77,75.0,48.0,63.0,0.0
2023-12-28,58.95,72.0,48.0,63.0,0.0
2023-12-29,56.43,62.0,48.0,63.0,0.0
2024-01-01,53.96,52.0,48.0,63.0,0.0
2024-01-02,52.52,47.0,48.0,63.0,0.0
2024-01-03,55.89,60.0,48.0,63.0,0.0
2024-01-04,57.32,65.0,48.0,63.0,0.0
2024-01-05,55.98,60.0,48.0,63.0,0.0
2024-01-08,62.73,70.0,48.0,80.0,0.0
2024-01-09,60.31,60.0,48.0,80.0,0.0
2024-01-10,52.9,47.0,48.0,63.0,0.0
2024-01-11,48.0,28.0,48.0,63.0,0.0
2024-01-12,42.07,33.0,48.0,35.0,0.0
2024-01-15,42.11,33.0,48.0,35.0,0.0
2024-01-16,44.0,33.0,48.0,43.0,0.0
2024-01-17,43.48,23.0,48.0,63.0,3.0
2024-01-18,41.98,23.0,48.0,45.0,0.0
2024-01-19,44.84,28.0,48.0,63.0,3.0
2024-01-23,41.56,23.0,48.0,45.0,0.0
2024-01-24,59.71,75.0,48.0,63.0,0.0
2024-01-25,40.05,27.0,48.0,45.0,3.0
2024-01-29,55.37,75.0,48.0,45.0,0.0
2024-01-30,64.71,85.0,48.0,73.0,0.0
2024-01-31,68.66,85.0,48.0,88.0,0.0
2024-02-01,58.4,60.0,48.0,73.0,0.0
2024-02-02,65.92,65.0,48.0,98.0,0.0
2024-02-05,55.77,60.0,48.0,63.0,0.0
2024-02-06,67.18,70.0,48.0,98.0,0.0
2024-02-07,65.87,65.0,48.0,98.0,0.0
2024-02-08,61.63,60.0,48.0,98.0,3.0
2024-02-09,57.94,60.0,48.0,73.0,0.0
2024-02-12,54.51,60.0,48.0,73.0,3.0
2024-02-13,56.46,60.0,48.0,80.0,3.0
2024-02-14,59.19,70.0,48.0,80.0,3.0
2024-02-15,57.93,65.0,48.0,80.0,3.0
2024-02-16,58.06,65.0,48.0,80.0,3.0
2024-02-19,62.39,70.0,48.0,80.0,0.0
2024-02-20,56.54,60.0,48.0,80.0,3.0
