scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,46.33,50.0,52.0,48.0,4.0
2023-09-05,46.14,50.0,52.0,48.0,4.0
2023-09-06,38.22,50.0,52.0,28.0,7.0
2023-09-07,32.56,27.0,52.0,28.0,7.0
2023-09-08,33.34,28.0,52.0,18.0,4.0
2023-09-11,34.49,33.0,52.0,18.0,4.0
2023-09-12,36.47,52.0,52.0,10.0,4.0
2023-09-13,29.35,23.0,52.0,10.0,4.0
2023-09-14,33.95,32.0,52.0,18.0,4.0
2023-09-15,31.71,32.0,52.0,10.0,4.0
2023-09-18,29.45,23.0,52.0,10.0,4.0
2023-09-20,34.08,42.0,52.0,10.0,4.0
2023-09-21,29.02,23.0,52.0,10.0,4.0
2023-09-22,26.09,23.0,52.0,10.0,7.0
2023-09-25,29.04,23.0,52.0,10.0,4.0
2023-09-26,29.39,37.0,52.0,10.0,7.0
2023-09-27,30.1,27.0,52.0,10.0,4.0
2023-09-28,28.71,23.0,52.0,10.0,4.0
2023-09-29,31.32,32.0,52.0,10.0,4.0
2023-10-03,29.94,27.0,52.0,10.0,4.0
2023-10-04,28.04,32.0,52.0,10.0,7.0
2023-10-05,31.28,32.0,52.0,10.0,4.0
2023-10-06,29.0,23.0,52.0,10.0,4.0
2023-10-09,34.4,47.0,52.0,10.0,4.0
2023-10-10,41.33,65.0,52.0,18.0,4.0
2023-10-11,45.51,70.0,52.0,28.0,4.0
2023-10-12,45.71,70.0,52.0,28.0,4.0
2023-10-13,39.47,55.0,52.0,18.0,4.0
2023-10-16,39.24,55.0,52.0,18.0,4.0
2023-10-17,39.32,55.0,52.0,18.0,4.0
2023-10-18,37.92,50.0,52.0,18.0,4.0
2023-10-19,28.52,42.0,52.0,0.0,7.0
2023-10-20,26.52,27.0,52.0,8.0,7.0
2023-10-23,25.3,23.0,52.0,0.0,4.0
2023-10-25,14.57,13.0,52.0,0.0,12.0
2023-10-26,18.28,28.0,52.0,0.0,12.0
2023-10-27,18.59,18.0,52.0,10.0,12.0
2023-10-30,18.53,18.0,52.0,10.0,12.0
2023-10-31,14.8,13.0,52.0,0.0,12.0
2023-11-01,11.59,13.0,52.0,0.0,15.0
2023-11-02,13.27,18.0,52.0,0.0,15.0
2023-11-03,29.56,38.0,52.0,0.0,4.0
2023-11-06,18.17,13.0,52.0,10.0,12.0
2023-11-07,18.26,13.0,52.0,10.0,12.0
2023-11-08,22.06,27.0,52.0,10.0,12.0
2023-11-09,15.58,13.0,52.0,0.0,12.0
2023-11-10,22.83,22.0,52.0,20.0,12.0
2023-11-13,44.34,75.0,52.0,20.0,4.0
2023-11-15,40.59,60.0,52.0,20.0,4.0
2023-11-16,39.39,55.0,52.0,20.0,4.0
2023-11-17,48.84,75.0,52.0,38.0,4.0
2023-11-20,49.86,70.0,52.0,48.0,4.0
2023-11-21,42.57,50.0,52.0,38.0,4.0
2023-11-22,44.03,55.0,52.0,38.0,4.0
2023-11-23,43.01,50.0,52.0,38.0,4.0
2023-11-24,42.94,50.0,52.0,38.0,4.0
2023-11-28,44.21,55.0,52.0,38.0,4.0
2023-11-29,39.91,50.0,52.0,38.0,7.0
2023-11-30,39.39,55.0,52.0,18.0,4.0
2023-12-01,35.17,50.0,52.0,18.0,7.0
2023-12-04,44.48,55.0,52.0,38.0,4.0
2023-12-05,38.13,50.0,52.0,18.0,4.0
2023-12-06,35.41,50.0,52.0,18.0,7.0
2023-12-07,30.36,28.0,52.0,8.0,4.0
2023-12-08,28.96,23.0,52.0,8.0,4.0
2023-12-11,36.51,52.0,52.0,8.0,4.0
2023-12-12,37.67,47.0,52.0,18.0,4.0
2023-12-13,34.63,55.0,52.0,10.0,7.0
2023-12-14,34.6,42.0,52.0,10.0,4.0
2023-12-15,37.94,55.0,52.0,10.0,4.0
2023-12-18,39.22,60.0,52.0,10.0,4.0
2023-12-19,36.73,50.0,52.0,10.0,4.0
2023-12-20,31.67,33.0,52.0,10.0,4.0
2023-12-21,16.74,13.0,52.0,0.0,12.0
2023-12-22,18.26,18.0,52.0,0.0,12.0
2023-12-26,19.64,13.0,52.0,10.0,12.0
2023-12-27,41.78,70.0,52.0,10.0,4.0
2023-12-28,30.92,27.0,52.0,10.0,4.0
2023-12-29,16.31,12.0,52.0,10.0,15.0
2024-01-01,18.71,8.0,52.0,10.0,12.0
2024-01-02,16.04,8.0,52.0,0.0,12.0
2024-01-03,17.31,13.0,52.0,0.0,12.0
2024-01-04,16.16,8.0,52.0,0.0,12.0
2024-01-05,17.1,13.0,52.0,0.0,12.0
2024-01-08,15.67,8.0,52.0,0.0,12.0
2024-01-09,15.78,8.0,52.0,0.0,12.0
2024-01-10,18.2,18.0,52.0,0.0,12.0
2024-01-11,18.1,17.0,52.0,0.0,12.0
2024-01-12,18.01,17.0,52.0,0.0,12.0
2024-01-15,21.05,30.0,52.0,0.0,12.0
2024-01-16,17.56,17.0,52.0,0.0,12.0
2024-01-17,15.04,8.0,52.0,0.0,12.0
2024-01-18,24.23,35.0,52.0,8.0,12.0
2024-01-19,45.01,75.0,52.0,18.0,4.0
2024-01-23,13.44,23.0,52.0,0.0,17.0
2024-01-24,20.14,28.0,52.0,0.0,12.0
2024-01-25,18.97,23.0,52.0,0.0,12.0
2024-01-29,18.96,23.0,52.0,0.0,12.0
2024-01-30,18.86,23.0,52.0,0.0,12.0
2024-01-31,19.26,23.0,52.0,0.0,12.0
2024-02-01,19.72,18.0,52.0,20.0,15.0
2024-02-02,16.45,13.0,52.0,0.0,12.0
2024-02-05,18.49,23.0,52.0,0.0,12.0
2024-02-06,16.13,13.0,52.0,0.0,12.0
2024-02-07,17.4,18.0,52.0,0.0,12.0
2024-02-08,13.01,13.0,52.0,0.0,15.0
2024-02-09,17.06,18.0,52.0,0.0,12.0
2024-02-12,15.43,13.0,52.0,0.0,12.0
2024-02-13,16.7,18.0,52.0,0.0,12.0
2024-02-14,12.62,13.0,52.0,0.0,15.0
2024-02-15,18.12,23.0,52.0,0.0,12.0
2024-02-16,18.04,22.0,52.0,0.0,12.0
2024-02-19,20.28,30.0,52.0,0.0,12.0
2024-02-20,19.0,25.0,52.0,0.0,12.0
2024-02-21,16.93,17.0,52.0,0.0,12.0
2024-02-22,13.96,17.0,52.0,0.0,15.0
2024-02-23,18.13,22.0,52.0,0.0,12.0
2024-02-26,15.75,13.0,52.0,0.0,12.0
2024-02-27,12.43,13.0,52.0,0.0,15.0
2024-02-28,14.96,13.0,52.0,0.0,12.0
2024-02-29,16.19,18.0,52.0,0.0,12.0
2024-03-01,17.39,22.0,52.0,0.0,12.0
2024-03-04,16.21,18.0,52.0,0.0,12.0
2024-03-05,14.91,13.0,52.0,0.0,12.0
2024-03-06,14.55,13.0,52.0,0.0,12.0
2024-03-07,15.7,18.0,52.0,0.0,12.0
2024-03-11,16.7,24.0,52.0,0.0,12.0
2024-03-12,15.11,19.0,52.0,0.0,12.0
2024-03-13,8.01,24.0,52.0,0.0,20.0
2024-03-14,19.99,38.0,52.0,0.0,12.0
2024-03-15,14.1,16.0,52.0,0.0,12.0
2024-03-18,14.27,16.0,52.0,0.0,12.0
2024-03-19,14.12,16.0,52.0,0.0,12.0
2024-03-20,15.35,21.0,52.0,0.0,12.0
2024-03-21,18.18,31.0,52.0,0.0,12.0
2024-03-22,15.87,21.0,52.0,0.0,12.0
2024-03-26,15.48,21.0,52.0,0.0,12.0
