scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,48.78,55.0,44.0,48.0,0.0
2023-09-05,48.59,55.0,44.0,48.0,0.0
2023-09-06,51.17,65.0,44.0,48.0,0.0
2023-09-07,48.76,55.0,44.0,48.0,0.0
2023-09-08,44.54,50.0,44.0,48.0,3.0
2023-09-11,50.44,55.0,44.0,55.0,0.0
2023-09-12,42.17,42.0,44.0,38.0,0.0
2023-09-13,46.05,47.0,44.0,48.0,0.0
2023-09-14,42.65,42.0,44.0,38.0,0.0
2023-09-15,43.66,47.0,44.0,38.0,0.0
2023-09-18,42.4,42.0,44.0,38.0,0.0
2023-09-20,38.28,38.0,44.0,38.0,3.0
2023-09-21,43.22,47.0,44.0,38.0,0.0
2023-09-22,35.79,47.0,44.0,20.0,3.0
2023-09-25,41.99,60.0,44.0,20.0,0.0
2023-09-26,36.34,50.0,44.0,20.0,3.0
2023-09-27,37.8,55.0,44.0,20.0,3.0
2023-09-28,38.41,47.0,44.0,20.0,0.0
2023-09-29,42.02,60.0,44.0,20.0,0.0
2023-10-03,37.39,42.0,44.0,20.0,0.0
2023-10-04,37.24,42.0,44.0,20.0,0.0
2023-10-05,35.73,47.0,44.0,20.0,3.0
2023-10-06,44.45,70.0,44.0,20.0,0.0
2023-10-09,36.85,42.0,44.0,20.0,0.0
2023-10-10,37.53,55.0,44.0,20.0,3.0
2023-10-11,44.71,70.0,44.0,20.0,0.0
2023-10-12,56.91,75.0,44.0,63.0,0.0
2023-10-13,54.42,65.0,44.0,63.0,0.0
2023-10-16,51.69,70.0,44.0,48.0,0.0
2023-10-17,54.27,65.0,44.0,63.0,0.0
2023-10-18,52.87,60.0,44.0,63.0,0.0
2023-10-19,50.47,50.0,44.0,63.0,0.0
2023-10-20,50.22,50.0,44.0,63.0,0.0
2023-10-23,12.25,8.0,44.0,10.0,13.0
2023-10-25,17.02,8.0,44.0,10.0,8.0
2023-10-26,14.48,8.0,44.0,0.0,8.0
2023-10-27,16.79,18.0,44.0,10.0,11.0
2023-10-30,15.48,13.0,44.0,10.0,11.0
2023-10-31,28.25,32.0,44.0,10.0,3.0
2023-11-01,14.54,8.0,44.0,0.0,8.0
2023-11-02,28.47,32.0,44.0,10.0,3.0
2023-11-03,12.26,8.0,44.0,0.0,11.0
2023-11-06,29.12,32.0,44.0,10.0,3.0
2023-11-07,32.21,32.0,44.0,10.0,0.0
2023-11-08,28.26,27.0,44.0,10.0,3.0
2023-11-09,29.03,32.0,44.0,10.0,3.0
2023-11-10,29.03,32.0,44.0,10.0,3.0
2023-11-13,43.04,65.0,44.0,20.0,0.0
2023-11-15,53.79,75.0,44.0,53.0,0.0
2023-11-16,50.09,60.0,44.0,53.0,0.0
2023-11-17,55.54,62.0,44.0,73.0,0.0
2023-11-20,59.56,72.0,44.0,80.0,0.0
2023-11-21,53.52,47.0,44.0,80.0,0.0
2023-11-22,54.48,50.0,44.0,80.0,0.0
2023-11-23,52.21,50.0,44.0,70.0,0.0
2023-11-24,50.39,55.0,44.0,70.0,3.0
2023-11-28,52.16,50.0,44.0,70.0,0.0
2023-11-29,48.36,50.0,44.0,55.0,0.0
2023-11-30,58.59,75.0,44.0,70.0,0.0
2023-12-01,52.37,50.0,44.0,70.0,0.0
2023-12-04,58.68,65.0,44.0,80.0,0.0
2023-12-05,48.58,50.0,44.0,55.0,0.0
2023-12-06,63.86,85.0,44.0,80.0,0.0
2023-12-07,58.81,60.0,44.0,85.0,0.0
2023-12-08,51.16,60.0,44.0,55.0,0.0
2023-12-11,45.96,50.0,44.0,55.0,3.0
2023-12-12,50.12,55.0,44.0,55.0,0.0
2023-12-13,53.83,70.0,44.0,55.0,0.0
2023-12-14,48.05,60.0,44.0,53.0,3.0
2023-12-15,54.89,75.0,44.0,53.0,0.0
2023-12-18,54.92,65.0,44.0,63.0,0.0
2023-12-19,51.18,60.0,44.0,53.0,0.0
2023-12-20,32.87,43.0,44.0,20.0,5.0
2023-12-21,40.69,52.0,44.0,20.0,0.0
2023-12-22,43.21,55.0,44.0,38.0,3.0
2023-12-26,43.34,55.0,44.0,38.0,3.0
2023-12-27,52.48,80.0,44.0,38.0,0.0
2023-12-28,47.37,60.0,44.0,38.0,0.0
2023-12-29,42.01,50.0,44.0,38.0,3.0
2024-01-01,57.91,75.0,44.0,63.0,0.0
2024-01-02,58.99,80.0,44.0,63.0,0.0
2024-01-03,51.51,60.0,44.0,53.0,0.0
2024-01-04,49.61,60.0,44.0,45.0,0.0
2024-01-05,43.05,60.0,44.0,20.0,0.0
2024-01-08,38.37,42.0,44.0,20.0,0.0
2024-01-09,48.73,65.0,44.0,38.0,0.0
2024-01-10,48.65,65.0,44.0,38.0,0.0
2024-01-11,52.55,65.0,44.0,53.0,0.0
2024-01-12,59.96,85.0,44.0,63.0,0.0
2024-01-15,54.75,65.0,44.0,63.0,0.0
2024-01-16,46.26,60.0,44.0,35.0,0.0
2024-01-17,34.74,42.0,44.0,20.0,3.0
2024-01-18,51.68,65.0,44.0,63.0,3.0
2024-01-19,69.21,85.0,44.0,100.0,0.0
2024-01-23,57.64,70.0,44.0,73.0,0.0
2024-01-24,64.84,70.0,44.0,100.0,0.0
2024-01-25,65.67,75.0,44.0,98.0,0.0
2024-01-29,61.91,60.0,44.0,98.0,0.0
2024-01-30,68.56,85.0,44.0,100.0,0.0
2024-01-31,65.71,72.0,44.0,100.0,0.0
2024-02-01,64.17,67.0,44.0,100.0,0.0
2024-02-02,60.4,52.0,44.0,100.0,0.0
2024-02-05,58.69,47.0,44.0,100.0,0.0
2024-02-06,55.83,47.0,44.0,100.0,3.0
2024-02-07,55.85,47.0,44.0,100.0,3.0
2024-02-08,58.96,60.0,44.0,100.0,3.0
2024-02-09,56.26,50.0,44.0,100.0,3.0
2024-02-12,50.88,50.0,44.0,100.0,8.0
2024-02-13,57.15,55.0,44.0,100.0,3.0
2024-02-14,65.32,75.0,44.0,100.0,0.0
2024-02-15,61.57,60.0,44.0,100.0,0.0
2024-02-16,63.49,67.0,44.0,100.0,0.0
2024-02-19,58.98,60.0,44.0,100.0,3.0
2024-02-20,60.2,65.0,44.0,100.0,3.0
2024-02-21,58.88,60.0,44.0,100.0,3.0
2024-02-22,58.91,60.0,44.0,100.0,3.0
2024-02-23,58.83,60.0,44.0,100.0,3.0
2024-02-26,61.2,70.0,44.0,100.0,3.0
2024-02-27,58.38,60.0,44.0,100.0,3.0
2024-02-28,51.66,65.0,44.0,70.0,3.0
