scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,32.03,23.0,69.0,10.0,8.0
2023-09-05,32.09,8.0,69.0,38.0,11.0
2023-09-06,29.92,17.0,69.0,20.0,11.0
2023-09-07,34.26,22.0,69.0,20.0,8.0
2023-09-08,58.79,60.0,69.0,48.0,0.0
2023-09-11,51.19,40.0,69.0,38.0,0.0
2023-09-12,55.42,60.0,69.0,38.0,0.0
2023-09-13,53.05,50.0,69.0,38.0,0.0
2023-09-14,27.9,20.0,69.0,10.0,11.0
2023-09-15,25.66,12.0,69.0,10.0,11.0
2023-09-18,54.4,75.0,69.0,18.0,0.0
2023-09-20,56.78,75.0,69.0,28.0,0.0
2023-09-21,51.47,55.0,69.0,28.0,0.0
2023-09-22,49.04,55.0,69.0,18.0,0.0
2023-09-25,51.49,60.0,69.0,35.0,3.0
2023-09-26,27.09,12.0,69.0,18.0,11.0
2023-09-27,50.3,60.0,69.0,18.0,0.0
2023-09-28,59.91,55.0,69.0,63.0,0.0
2023-09-29,48.26,47.0,69.0,43.0,5.0
2023-10-03,30.64,22.0,69.0,10.0,8.0
2023-10-04,57.99,67.0,69.0,43.0,0.0
2023-10-05,32.73,12.0,69.0,28.0,8.0
2023-10-06,48.2,52.0,69.0,18.0,0.0
2023-10-09,66.35,75.0,69.0,70.0,0.0
2023-10-10,58.78,65.0,69.0,48.0,0.0
2023-10-11,63.46,75.0,69.0,55.0,0.0
2023-10-12,58.16,60.0,69.0,48.0,0.0
2023-10-13,58.17,60.0,69.0,48.0,0.0
2023-10-16,53.44,55.0,69.0,35.0,0.0
2023-10-17,50.52,50.0,69.0,28.0,0.0
2023-10-18,47.37,50.0,69.0,28.0,3.0
2023-10-19,42.97,50.0,69.0,10.0,3.0
2023-10-20,38.22,42.0,69.0,0.0,3.0
2023-10-23,35.75,27.0,69.0,10.0,3.0
2023-10-25,50.77,60.0,69.0,38.0,3.0
2023-10-26,48.73,42.0,69.0,48.0,3.0
2023-10-27,38.79,27.0,69.0,10.0,0.0
2023-10-30,33.23,27.0,69.0,0.0,3.0
2023-10-31,32.25,23.0,69.0,0.0,3.0
2023-11-01,40.04,37.0,69.0,18.0,3.0
2023-11-02,44.22,52.0,69.0,18.0,3.0
2023-11-03,50.76,47.0,69.0,48.0,3.0
2023-11-06,47.37,42.0,69.0,38.0,3.0
2023-11-07,50.46,55.0,69.0,25.0,0.0
2023-11-08,53.26,55.0,69.0,35.0,0.0
2023-11-09,55.28,65.0,69.0,35.0,0.0
2023-11-10,49.78,55.0,69.0,35.0,3.0
2023-11-13,49.29,55.0,69.0,20.0,0.0
2023-11-15,44.79,37.0,69.0,20.0,0.0
2023-11-16,47.34,47.0,69.0,20.0,0.0
2023-11-17,47.29,47.0,69.0,20.0,0.0
2023-11-20,50.56,55.0,69.0,38.0,3.0
2023-11-21,55.02,60.0,69.0,38.0,0.0
2023-11-22,48.48,33.0,69.0,38.0,0.0
2023-11-23,47.71,47.0,69.0,20.0,0.0
