scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,27.95,60.0,17.0,78.0,20.0
2023-09-05,23.69,42.0,17.0,78.0,20.0
2023-09-06,22.1,42.0,17.0,60.0,17.0
2023-09-07,19.12,42.0,17.0,60.0,20.0
2023-09-08,24.88,65.0,17.0,60.0,20.0
2023-09-11,25.01,65.0,17.0,60.0,20.0
2023-09-12,10.53,23.0,17.0,35.0,17.0
2023-09-13,6.76,23.0,17.0,20.0,17.0
2023-09-14,7.59,28.0,17.0,30.0,20.0
2023-09-15,20.69,65.0,17.0,45.0,20.0
2023-09-18,16.76,65.0,17.0,30.0,20.0
2023-09-20,14.34,42.0,17.0,45.0,20.0
2023-09-21,9.44,23.0,17.0,45.0,20.0
2023-09-22,9.4,23.0,17.0,45.0,20.0
2023-09-25,20.59,55.0,17.0,45.0,17.0
2023-09-26,12.8,23.0,17.0,45.0,17.0
2023-09-27,9.64,23.0,17.0,45.0,20.0
2023-09-28,12.61,23.0,17.0,45.0,17.0
2023-09-29,14.0,28.0,17.0,45.0,17.0
2023-10-03,16.59,38.0,17.0,45.0,17.0
2023-10-04,6.33,23.0,17.0,20.0,17.0
2023-10-05,6.46,23.0,17.0,20.0,17.0
2023-10-06,10.49,23.0,17.0,35.0,17.0
2023-10-09,12.39,33.0,17.0,35.0,17.0
2023-10-10,11.48,28.0,17.0,35.0,17.0
2023-10-11,15.1,32.0,17.0,45.0,17.0
2023-10-12,10.71,23.0,17.0,35.0,17.0
2023-10-13,14.04,37.0,17.0,35.0,17.0
2023-10-16,14.17,37.0,17.0,35.0,17.0
2023-10-17,13.32,32.0,17.0,35.0,17.0
2023-10-18,14.27,37.0,17.0,35.0,17.0
2023-10-19,13.08,32.0,17.0,35.0,17.0
2023-10-20,8.1,23.0,17.0,25.0,17.0
2023-10-23,8.44,28.0,17.0,25.0,17.0
2023-10-25,6.83,23.0,17.0,25.0,17.0
2023-10-26,3.25,23.0,17.0,10.0,17.0
2023-10-27,4.91,28.0,17.0,10.0,17.0
2023-10-30,3.86,23.0,17.0,10.0,17.0
2023-10-31,3.64,23.0,17.0,10.0,17.0
2023-11-01,3.57,23.0,17.0,10.0,17.0
2023-11-02,6.22,33.0,17.0,10.0,17.0
2023-11-03,3.85,23.0,17.0,10.0,17.0
2023-11-06,5.22,28.0,17.0,10.0,17.0
2023-11-07,0.97,23.0,17.0,10.0,20.0
2023-11-08,12.16,55.0,17.0,10.0,17.0
2023-11-09,7.43,37.0,17.0,10.0,17.0
2023-11-10,13.29,60.0,17.0,10.0,17.0
2023-11-13,12.42,55.0,17.0,10.0,17.0
2023-11-15,11.33,50.0,17.0,10.0,17.0
2023-11-16,11.28,50.0,17.0,10.0,17.0
2023-11-17,13.56,60.0,17.0,10.0,17.0
2023-11-20,6.41,32.0,17.0,10.0,17.0
2023-11-21,22.02,85.0,17.0,18.0,17.0
2023-11-22,19.52,75.0,17.0,18.0,17.0
2023-11-23,15.79,60.0,17.0,18.0,17.0
2023-11-24,22.21,70.0,17.0,33.0,17.0
2023-11-28,20.93,65.0,17.0,33.0,17.0
2023-11-29,23.22,75.0,17.0,33.0,17.0
2023-11-30,24.72,80.0,17.0,33.0,17.0
2023-12-01,18.32,70.0,17.0,18.0,17.0
2023-12-04,14.91,57.0,17.0,18.0,17.0
2023-12-05,14.54,57.0,17.0,18.0,17.0
2023-12-06,17.64,70.0,17.0,18.0,17.0
2023-12-07,17.96,70.0,17.0,18.0,17.0
2023-12-08,10.86,42.0,17.0,18.0,17.0
2023-12-11,12.41,47.0,17.0,18.0,17.0
2023-12-12,4.09,23.0,17.0,10.0,17.0
2023-12-13,13.66,52.0,17.0,18.0,17.0
2023-12-14,18.16,70.0,17.0,18.0,17.0
2023-12-15,9.12,42.0,17.0,10.0,17.0
2023-12-18,16.85,65.0,17.0,18.0,17.0
2023-12-19,15.34,60.0,17.0,18.0,17.0
2023-12-20,5.62,33.0,17.0,10.0,17.0
2023-12-21,6.23,33.0,17.0,10.0,17.0
2023-12-22,6.29,32.0,17.0,10.0,17.0
2023-12-26,10.22,47.0,17.0,10.0,17.0
2023-12-27,10.28,47.0,17.0,10.0,17.0
2023-12-28,14.74,65.0,17.0,10.0,17.0
2023-12-29,22.16,85.0,17.0,20.0,17.0
2024-01-01,27.09,85.0,17.0,38.0,17.0
2024-01-02,23.23,70.0,17.0,38.0,17.0
2024-01-03,20.77,60.0,17.0,38.0,17.0
2024-01-04,22.36,65.0,17.0,38.0,17.0
2024-01-05,20.99,60.0,17.0,38.0,17.0
2024-01-08,20.89,60.0,17.0,38.0,17.0
2024-01-09,18.14,60.0,17.0,38.0,20.0
2024-01-10,16.61,42.0,17.0,38.0,17.0
2024-01-11,18.09,47.0,17.0,38.0,17.0
2024-01-12,15.06,47.0,17.0,38.0,20.0
2024-01-15,16.52,42.0,17.0,38.0,17.0
2024-01-16,7.63,27.0,17.0,18.0,17.0
2024-01-17,3.06,28.0,17.0,0.0,17.0
2024-01-18,9.04,33.0,17.0,18.0,17.0
2024-01-19,4.33,23.0,17.0,8.0,17.0
2024-01-23,1.42,23.0,17.0,0.0,17.0
2024-01-24,5.93,28.0,17.0,10.0,17.0
2024-01-25,4.92,23.0,17.0,10.0,17.0
2024-01-29,9.56,42.0,17.0,10.0,17.0
2024-01-30,5.79,27.0,17.0,10.0,17.0
2024-01-31,16.72,70.0,17.0,10.0,17.0
2024-02-01,11.57,50.0,17.0,10.0,17.0
2024-02-02,8.16,37.0,17.0,10.0,17.0
2024-02-05,20.0,85.0,17.0,10.0,17.0
2024-02-06,20.98,80.0,17.0,18.0,17.0
2024-02-07,16.49,70.0,17.0,10.0,17.0
2024-02-08,13.65,60.0,17.0,10.0,17.0
2024-02-09,2.63,27.0,17.0,0.0,17.0
2024-02-12,3.4,23.0,17.0,10.0,17.0
2024-02-13,3.17,32.0,17.0,0.0,17.0
2024-02-14,0.3,32.0,17.0,0.0,20.0
2024-02-15,0.55,32.0,17.0,0.0,20.0
2024-02-16,4.34,27.0,17.0,8.0,17.0
2024-02-19,1.51,23.0,17.0,0.0,17.0
2024-02-20,8.09,32.0,17.0,18.0,17.0
2024-02-21,0.0,18.0,17.0,8.0,25.0
2024-02-22,5.57,32.0,17.0,8.0,17.0
2024-02-23,5.63,32.0,17.0,8.0,17.0
2024-02-26,4.38,27.0,17.0,8.0,17.0
2024-02-27,4.26,27.0,17.0,8.0,17.0
2024-02-28,0.0,8.0,17.0,0.0,25.0
2024-02-29,0.0,18.0,17.0,0.0,25.0
2024-03-01,0.0,17.0,17.0,0.0,25.0
2024-03-04,0.0,17.0,17.0,0.0,25.0
2024-03-05,0.0,12.0,17.0,0.0,25.0
2024-03-06,0.0,8.0,17.0,0.0,25.0
2024-03-07,0.0,13.0,17.0,0.0,28.0
2024-03-11,0.0,13.0,17.0,0.0,25.0
2024-03-12,0.0,8.0,17.0,0.0,25.0
2024-03-13,0.0,14.0,17.0,0.0,25.0
2024-03-14,0.0,23.0,17.0,0.0,25.0
2024-03-15,0.0,23.0,17.0,0.0,25.0
2024-03-18,0.0,18.0,17.0,0.0,25.0
2024-03-19,0.0,18.0,17.0,0.0,25.0
2024-03-20,0.0,13.0,17.0,0.0,25.0
2024-03-21,0.0,22.0,17.0,0.0,25.0
2024-03-22,0.0,12.0,17.0,0.0,25.0
2024-03-26,0.0,45.0,17.0,0.0,25.0
2024-03-27,0.0,35.0,17.0,0.0,25.0
2024-03-28,0.0,40.0,17.0,0.0,25.0
2024-04-01,22.86,75.0,36.0,8.0,17.0
2024-04-02,24.41,80.0,36.0,8.0,17.0
2024-04-03,20.78,65.0,36.0,8.0,17.0
2024-04-04,22.03,60.0,36.0,18.0,17.0
2024-04-05,29.85,70.0,36.0,38.0,17.0
2024-04-08,33.67,75.0,36.0,48.0,17.0
2024-04-09,26.56,60.0,36.0,48.0,20.0
2024-04-10,32.11,70.0,36.0,48.0,17.0
2024-04-12,31.04,65.0,36.0,48.0,17.0
2024-04-15,31.3,60.0,36.0,55.0,17.0
2024-04-16,32.75,65.0,36.0,55.0,17.0
2024-04-18,8.36,37.0,36.0,18.0,25.0
2024-04-19,5.61,27.0,36.0,18.0,25.0
2024-04-22,31.39,65.0,36.0,48.0,17.0
2024-04-23,33.05,65.0,36.0,55.0,17.0
2024-04-24,31.52,65.0,36.0,48.0,17.0
2024-04-25,31.28,65.0,36.0,48.0,17.0
2024-04-26,38.26,85.0,36.0,55.0,17.0
2024-04-29,29.78,52.0,36.0,55.0,17.0
2024-04-30,38.73,72.0,36.0,70.0,17.0
2024-05-02,38.56,72.0,36.0,70.0,17.0
2024-05-03,38.31,62.0,36.0,80.0,17.0
2024-05-06,31.59,47.0,36.0,70.0,17.0
2024-05-07,34.4,60.0,36.0,70.0,17.0
2024-05-08,37.24,70.0,36.0,70.0,17.0
2024-05-09,32.35,60.0,36.0,63.0,17.0
2024-05-10,35.49,65.0,36.0,70.0,17.0
2024-05-13,35.67,65.0,36.0,70.0,17.0
2024-05-14,34.12,57.0,36.0,70.0,17.0
2024-05-15,34.98,60.0,36.0,70.0,17.0
2024-05-16,40.2,70.0,36.0,80.0,17.0
2024-05-17,36.2,52.0,36.0,80.0,17.0
2024-05-21,36.0,52.0,36.0,80.0,17.0
2024-05-22,37.88,60.0,36.0,80.0,17.0
2024-05-23,35.91,52.0,36.0,80.0,17.0
2024-05-24,40.21,70.0,36.0,80.0,17.0
2024-05-27,45.61,72.0,36.0,100.0,17.0
2024-05-28,41.73,57.0,36.0,100.0,17.0
2024-05-29,37.35,60.0,36.0,80.0,17.0
2024-05-30,34.11,60.0,36.0,80.0,20.0
2024-05-31,43.55,70.0,36.0,95.0,17.0
2024-06-03,43.06,62.0,36.0,100.0,17.0
2024-06-04,32.13,70.0,36.0,73.0,22.0
2024-06-05,40.58,75.0,36.0,80.0,17.0
2024-06-06,38.54,65.0,36.0,80.0,17.0
2024-06-07,44.98,70.0,36.0,100.0,17.0
2024-06-10,42.76,60.0,36.0,100.0,17.0
2024-06-11,45.54,70.0,36.0,100.0,17.0
2024-06-12,44.3,65.0,36.0,100.0,17.0
2024-06-13,40.17,60.0,36.0,100.0,20.0
2024-06-14,44.62,65.0,36.0,100.0,17.0
2024-06-18,43.74,60.0,36.0,100.0,17.0
2024-06-19,43.42,60.0,36.0,100.0,17.0
2024-06-20,41.68,65.0,36.0,100.0,20.0
2024-06-21,40.34,60.0,36.0,100.0,20.0
2024-06-24,44.6,65.0,36.0,100.0,17.0
2024-06-25,41.55,65.0,36.0,88.0,17.0
2024-06-26,37.29,60.0,36.0,88.0,20.0
2024-06-27,38.32,65.0,36.0,88.0,20.0
2024-06-28,39.09,60.0,36.0,95.0,20.0
2024-07-01,40.61,60.0,36.0,88.0,17.0
2024-07-02,35.98,60.0,36.0,70.0,17.0
2024-07-03,40.42,52.0,36.0,95.0,17.0
2024-07-04,36.27,42.0,36.0,88.0,17.0
2024-07-05,38.8,52.0,36.0,88.0,17.0
2024-07-08,26.53,47.0,36.0,45.0,17.0
2024-07-09,33.95,52.0,36.0,70.0,17.0
2024-07-10,28.4,42.0,36.0,60.0,17.0
2024-07-11,29.99,47.0,36.0,60.0,17.0
2024-07-12,27.59,38.0,36.0,60.0,17.0
2024-07-15,33.57,52.0,36.0,70.0,17.0
2024-07-16,32.43,47.0,36.0,70.0,17.0
2024-07-18,30.77,42.0,36.0,70.0,17.0
2024-07-19,25.45,23.0,36.0,70.0,17.0
2024-07-22,39.95,80.0,36.0,70.0,17.0
2024-07-23,37.18,70.0,36.0,70.0,17.0
2024-07-24,36.63,65.0,36.0,70.0,17.0
2024-07-25,37.7,70.0,36.0,70.0,17.0
2024-07-26,46.39,85.0,36.0,88.0,17.0
2024-07-29,42.05,67.0,36.0,88.0,17.0
2024-07-30,40.25,60.0,36.0,88.0,17.0
2024-07-31,40.54,52.0,36.0,98.0,17.0
2024-08-01,43.45,65.0,36.0,98.0,17.0
2024-08-02,42.54,60.0,36.0,100.0,17.0
2024-08-05,42.48,65.0,36.0,98.0,17.0
2024-08-06,41.19,60.0,36.0,98.0,17.0
2024-08-07,40.13,65.0,36.0,98.0,20.0
2024-08-08,41.75,60.0,36.0,98.0,17.0
2024-08-09,44.91,70.0,36.0,100.0,17.0
2024-08-12,42.59,60.0,36.0,100.0,17.0
2024-08-13,42.07,60.0,36.0,100.0,17.0
2024-08-14,38.29,60.0,36.0,98.0,20.0
2024-08-16,44.7,70.0,36.0,100.0,17.0
2024-08-19,45.18,70.0,36.0,100.0,17.0
2024-08-20,44.08,65.0,36.0,100.0,17.0
2024-08-21,41.08,65.0,36.0,100.0,20.0
2024-08-22,41.02,65.0,36.0,100.0,20.0
2024-08-23,39.68,60.0,36.0,100.0,20.0
2024-08-26,30.39,60.0,36.0,63.0,20.0
2024-08-27,36.04,70.0,36.0,63.0,17.0
2024-08-28,30.35,60.0,36.0,63.0,20.0
2024-08-29,29.74,65.0,36.0,45.0,17.0
2024-08-30,36.98,75.0,36.0,63.0,17.0
2024-09-02,28.47,42.0,36.0,63.0,17.0
2024-09-03,31.53,42.0,36.0,73.0,17.0
2024-09-04,29.0,42.0,36.0,63.0,17.0
2024-09-05,31.41,52.0,36.0,63.0,17.0
2024-09-06,28.48,42.0,36.0,63.0,17.0
2024-09-09,19.05,23.0,36.0,45.0,17.0
2024-09-10,25.44,47.0,36.0,45.0,17.0
2024-09-11,19.2,23.0,36.0,45.0,17.0
2024-09-12,26.58,52.0,36.0,45.0,17.0
2024-09-13,24.33,42.0,36.0,45.0,17.0
2024-09-16,19.4,23.0,36.0,45.0,17.0
2024-09-17,19.47,23.0,36.0,45.0,17.0
2024-09-18,17.84,28.0,36.0,35.0,17.0
2024-09-19,22.41,38.0,36.0,45.0,17.0
2024-09-20,20.13,38.0,36.0,35.0,17.0
2024-09-23,19.16,33.0,36.0,35.0,17.0
2024-09-24,17.96,28.0,36.0,35.0,17.0
2024-09-25,17.61,28.0,36.0,35.0,17.0
2024-09-26,21.01,42.0,36.0,35.0,17.0
2024-09-27,18.71,23.0,36.0,45.0,17.0
2024-09-30,21.25,33.0,36.0,45.0,17.0
2024-10-01,22.57,38.0,36.0,45.0,17.0
