scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,27.36,65.0,26.0,43.0,16.0
2023-09-06,20.6,50.0,26.0,43.0,19.0
2023-09-07,24.82,55.0,26.0,43.0,16.0
2023-09-08,27.26,65.0,26.0,43.0,16.0
2023-09-11,23.36,50.0,26.0,43.0,16.0
2023-09-12,13.88,27.0,26.0,43.0,19.0
2023-09-13,12.93,23.0,26.0,43.0,19.0
2023-09-14,13.18,23.0,26.0,43.0,19.0
2023-09-15,11.35,23.0,26.0,35.0,19.0
2023-09-18,21.36,43.0,26.0,43.0,16.0
2023-09-20,11.05,23.0,26.0,35.0,19.0
2023-09-21,10.62,23.0,26.0,35.0,19.0
2023-09-22,11.87,28.0,26.0,35.0,19.0
2023-09-25,11.85,28.0,26.0,35.0,19.0
2023-09-26,17.41,38.0,26.0,35.0,16.0
2023-09-27,10.62,23.0,26.0,35.0,19.0
2023-09-28,12.06,28.0,26.0,35.0,19.0
2023-09-29,13.44,33.0,26.0,35.0,19.0
2023-10-03,10.96,23.0,26.0,35.0,19.0
2023-10-04,4.36,23.0,26.0,10.0,19.0
2023-10-05,4.51,23.0,26.0,10.0,19.0
2023-10-06,4.64,23.0,26.0,10.0,19.0
2023-10-09,0.0,19.0,26.0,0.0,21.0
2023-10-10,3.15,28.0,26.0,0.0,19.0
2023-10-11,8.97,38.0,26.0,0.0,16.0
2023-10-12,14.84,60.0,26.0,0.0,16.0
2023-10-13,24.43,70.0,26.0,28.0,16.0
2023-10-16,24.88,65.0,26.0,35.0,16.0
2023-10-17,18.27,50.0,26.0,35.0,19.0
2023-10-18,16.25,50.0,26.0,28.0,19.0
2023-10-19,15.12,55.0,26.0,18.0,19.0
2023-10-20,15.45,50.0,26.0,25.0,19.0
2023-10-23,12.59,50.0,26.0,18.0,19.0
2023-10-25,6.7,27.0,26.0,18.0,19.0
2023-10-26,8.0,32.0,26.0,18.0,19.0
2023-10-27,16.63,55.0,26.0,28.0,19.0
2023-10-30,24.66,60.0,26.0,55.0,19.0
2023-10-31,28.39,60.0,26.0,70.0,19.0
2023-11-01,28.43,60.0,26.0,70.0,19.0
2023-11-02,31.65,57.0,26.0,85.0,19.0
2023-11-03,34.32,57.0,26.0,95.0,19.0
2023-11-06,37.38,57.0,26.0,95.0,16.0
2023-11-07,35.93,57.0,26.0,100.0,19.0
2023-11-08,35.79,57.0,26.0,100.0,19.0
2023-11-09,33.15,47.0,26.0,100.0,19.0
2023-11-10,40.45,70.0,26.0,95.0,16.0
2023-11-13,38.86,70.0,26.0,100.0,19.0
2023-11-15,38.38,60.0,26.0,95.0,16.0
2023-11-16,35.38,60.0,26.0,95.0,19.0
2023-11-17,35.43,60.0,26.0,95.0,19.0
2023-11-20,38.04,70.0,26.0,95.0,19.0
2023-11-21,35.58,60.0,26.0,95.0,19.0
2023-11-22,37.07,65.0,26.0,95.0,19.0
2023-11-23,41.43,70.0,26.0,95.0,16.0
2023-11-24,39.67,70.0,26.0,100.0,19.0
2023-11-28,39.38,70.0,26.0,100.0,19.0
2023-11-29,41.03,65.0,26.0,100.0,16.0
2023-11-30,36.03,57.0,26.0,100.0,19.0
2023-12-01,34.87,52.0,26.0,100.0,19.0
2023-12-04,34.81,52.0,26.0,100.0,19.0
2023-12-05,31.58,60.0,26.0,80.0,19.0
2023-12-06,28.95,60.0,26.0,70.0,19.0
2023-12-07,28.85,65.0,26.0,63.0,19.0
2023-12-08,30.38,60.0,26.0,63.0,16.0
2023-12-11,28.9,65.0,26.0,63.0,19.0
2023-12-12,34.71,70.0,26.0,70.0,16.0
2023-12-13,28.59,65.0,26.0,63.0,19.0
2023-12-14,30.48,60.0,26.0,63.0,16.0
2023-12-15,27.53,60.0,26.0,63.0,19.0
2023-12-18,30.7,65.0,26.0,70.0,19.0
2023-12-19,27.74,60.0,26.0,63.0,19.0
2023-12-20,26.6,47.0,26.0,63.0,16.0
2023-12-21,31.36,70.0,26.0,70.0,19.0
2023-12-22,33.3,65.0,26.0,70.0,16.0
2023-12-26,35.3,80.0,26.0,63.0,16.0
2023-12-27,28.61,65.0,26.0,63.0,19.0
2023-12-28,33.96,75.0,26.0,63.0,16.0
2023-12-29,33.73,60.0,26.0,88.0,19.0
2024-01-01,34.39,60.0,26.0,78.0,16.0
2024-01-02,29.98,75.0,26.0,45.0,16.0
2024-01-03,21.67,42.0,26.0,45.0,16.0
2024-01-04,25.16,42.0,26.0,70.0,19.0
2024-01-05,30.75,65.0,26.0,70.0,19.0
2024-01-08,24.41,38.0,26.0,60.0,16.0
2024-01-09,17.21,23.0,26.0,45.0,16.0
2024-01-10,23.6,23.0,26.0,70.0,16.0
2024-01-11,17.39,23.0,26.0,45.0,16.0
2024-01-12,18.48,28.0,26.0,45.0,16.0
2024-01-15,20.88,38.0,26.0,45.0,16.0
2024-01-16,18.35,28.0,26.0,45.0,16.0
2024-01-17,17.47,23.0,26.0,60.0,19.0
2024-01-18,30.51,52.0,26.0,70.0,16.0
2024-01-19,25.59,32.0,26.0,70.0,16.0
2024-01-23,17.27,23.0,26.0,60.0,19.0
2024-01-24,24.7,38.0,26.0,60.0,16.0
2024-01-25,23.51,33.0,26.0,60.0,16.0
2024-01-29,19.67,33.0,26.0,45.0,16.0
2024-01-30,10.42,23.0,26.0,30.0,19.0
2024-01-31,8.06,23.0,26.0,20.0,19.0
2024-02-01,13.37,33.0,26.0,20.0,16.0
2024-02-02,9.69,19.0,26.0,20.0,16.0
2024-02-05,6.79,19.0,26.0,10.0,16.0
2024-02-06,0.0,19.0,26.0,10.0,32.0
2024-02-07,0.0,19.0,26.0,10.0,32.0
2024-02-08,0.0,19.0,26.0,0.0,32.0
2024-02-09,0.0,19.0,26.0,0.0,32.0
2024-02-12,0.0,24.0,26.0,0.0,32.0
2024-02-13,0.0,9.0,26.0,0.0,32.0
2024-02-14,0.0,14.0,26.0,0.0,32.0
2024-02-15,0.0,9.0,26.0,0.0,32.0
2024-02-16,0.0,9.0,26.0,0.0,32.0
2024-02-19,0.0,19.0,26.0,0.0,32.0
2024-02-20,0.0,19.0,26.0,0.0,32.0
