scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,32.89,47.0,24.0,100.0,20.0
2023-09-06,36.05,60.0,24.0,100.0,20.0
2023-09-07,35.32,57.0,24.0,100.0,20.0
2023-09-08,36.08,60.0,24.0,100.0,20.0
2023-09-11,36.21,60.0,24.0,100.0,20.0
2023-09-12,33.48,60.0,24.0,100.0,22.0
2023-09-13,37.96,70.0,24.0,100.0,20.0
2023-09-14,36.79,65.0,24.0,100.0,20.0
2023-09-15,35.64,60.0,24.0,100.0,20.0
2023-09-18,35.46,60.0,24.0,100.0,20.0
2023-09-20,36.29,65.0,24.0,100.0,20.0
2023-09-21,36.14,65.0,24.0,100.0,20.0
2023-09-22,36.1,65.0,24.0,100.0,20.0
2023-09-25,35.04,60.0,24.0,100.0,20.0
2023-09-26,39.0,65.0,24.0,98.0,17.0
2023-09-27,32.09,60.0,24.0,88.0,20.0
2023-09-28,30.56,60.0,24.0,70.0,17.0
2023-09-29,31.95,65.0,24.0,70.0,17.0
2023-10-03,32.04,65.0,24.0,70.0,17.0
2023-10-04,31.78,65.0,24.0,70.0,17.0
2023-10-05,41.41,85.0,24.0,88.0,17.0
2023-10-06,37.94,70.0,24.0,88.0,17.0
2023-10-09,27.84,70.0,24.0,70.0,22.0
2023-10-10,33.18,70.0,24.0,70.0,17.0
2023-10-11,41.3,72.0,24.0,100.0,17.0
2023-10-12,40.41,67.0,24.0,100.0,17.0
2023-10-13,40.24,67.0,24.0,100.0,17.0
2023-10-16,41.62,72.0,24.0,100.0,17.0
2023-10-17,39.52,62.0,24.0,100.0,17.0
2023-10-18,39.22,62.0,24.0,100.0,17.0
2023-10-19,35.53,47.0,24.0,100.0,17.0
2023-10-20,41.55,72.0,24.0,100.0,17.0
2023-10-23,35.14,70.0,24.0,100.0,22.0
2023-10-25,43.53,85.0,24.0,100.0,17.0
2023-10-26,37.45,60.0,24.0,100.0,17.0
2023-10-27,34.86,60.0,24.0,100.0,20.0
