scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2025-12-24,16.45,45.0,25.0,0.0,7.0
2025-12-26,10.89,35.0,25.0,0.0,10.0
2025-12-29,6.29,17.0,25.0,0.0,10.0
2025-12-30,5.36,13.0,25.0,0.0,10.0
2025-12-31,18.95,18.0,36.0,10.0,4.0
2026-01-01,22.63,33.0,36.0,10.0,4.0
2026-01-02,21.01,27.0,36.0,8.0,4.0
2026-01-05,17.35,13.0,36.0,8.0,4.0
2026-01-06,23.39,18.0,36.0,28.0,4.0
2026-01-07,16.78,13.0,36.0,18.0,7.0
2026-01-08,18.9,28.0,36.0,0.0,4.0
2026-01-09,10.64,16.0,36.0,0.0,9.0
2026-01-12,15.57,16.0,36.0,0.0,4.0
2026-01-13,13.72,21.0,36.0,0.0,7.0
2026-01-14,12.64,16.0,36.0,0.0,7.0
2026-01-15,12.46,16.0,36.0,0.0,7.0
2026-01-16,13.78,21.0,36.0,0.0,7.0
2026-01-19,21.54,41.0,36.0,0.0,4.0
2026-01-20,13.89,31.0,36.0,0.0,9.0
2026-01-21,17.05,24.0,36.0,0.0,4.0
2026-01-22,13.52,9.0,36.0,0.0,4.0
2026-01-23,13.25,9.0,36.0,0.0,4.0
2026-01-27,10.39,9.0,36.0,0.0,7.0
2026-01-28,14.98,14.0,36.0,0.0,4.0
2026-01-29,14.9,26.0,36.0,0.0,7.0
2026-01-30,16.97,21.0,36.0,0.0,4.0
2026-02-02,15.33,16.0,36.0,0.0,4.0
2026-02-03,18.69,27.0,36.0,0.0,4.0
2026-02-04,22.11,40.0,36.0,0.0,4.0
2026-02-05,12.87,17.0,36.0,0.0,7.0
2026-02-06,16.29,30.0,36.0,0.0,7.0
2026-02-09,29.46,50.0,36.0,18.0,4.0
2026-02-10,31.09,50.0,36.0,25.0,4.0
2026-02-11,22.54,35.0,36.0,18.0,7.0
2026-02-12,25.31,40.0,36.0,25.0,7.0
2026-02-13,23.17,40.0,36.0,18.0,7.0
2026-02-16,23.19,40.0,36.0,18.0,7.0
2026-02-17,24.76,45.0,36.0,18.0,7.0
2026-02-18,29.82,45.0,36.0,25.0,4.0
2026-02-19,26.9,35.0,36.0,25.0,4.0
2026-02-20,28.28,40.0,36.0,25.0,4.0
2026-02-23,28.06,40.0,36.0,25.0,4.0
2026-02-24,28.08,40.0,36.0,25.0,4.0
2026-02-25,29.44,45.0,36.0,25.0,4.0
2026-02-26,28.32,40.0,36.0,25.0,4.0
2026-02-27,36.93,65.0,36.0,35.0,4.0
2026-03-02,27.74,40.0,36.0,25.0,4.0
2026-03-04,23.8,32.0,36.0,18.0,4.0
2026-03-05,40.38,65.0,36.0,50.0,4.0
2026-03-06,35.2,45.0,36.0,50.0,4.0
2026-03-09,33.81,40.0,36.0,50.0,4.0
2026-03-10,41.8,70.0,36.0,50.0,4.0
2026-03-11,36.14,55.0,36.0,43.0,4.0
2026-03-12,41.49,70.0,36.0,50.0,4.0
2026-03-13,30.68,55.0,36.0,43.0,9.0
2026-03-16,34.98,45.0,36.0,50.0,4.0
2026-03-17,38.88,60.0,36.0,50.0,4.0
2026-03-18,40.43,65.0,36.0,50.0,4.0
2026-03-19,38.49,60.0,36.0,50.0,4.0
2026-03-20,40.5,57.0,36.0,60.0,4.0
2026-03-23,33.53,60.0,36.0,50.0,9.0
2026-03-24,44.04,70.0,36.0,60.0,4.0
2026-03-25,40.41,55.0,36.0,60.0,4.0
2026-03-27,43.78,70.0,36.0,60.0,4.0
2026-03-30,37.43,45.0,36.0,60.0,4.0
2026-04-01,60.15,50.0,79.0,60.0,0.0
2026-04-02,60.05,50.0,79.0,60.0,0.0
2026-04-06,70.34,50.0,79.0,100.0,0.0
2026-04-07,66.15,45.0,79.0,100.0,3.0
2026-04-08,72.5,55.0,79.0,100.0,0.0
2026-04-09,71.48,52.0,79.0,100.0,0.0
