scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,43.78,57.0,18.0,100.0,9.0
2023-09-05,38.31,47.0,18.0,100.0,12.0
2023-09-06,38.3,47.0,18.0,100.0,12.0
2023-09-07,39.52,52.0,18.0,100.0,12.0
2023-09-08,38.21,47.0,18.0,100.0,12.0
2023-09-11,38.06,47.0,18.0,100.0,12.0
2023-09-12,33.08,50.0,18.0,100.0,17.0
2023-09-13,43.13,70.0,18.0,100.0,12.0
2023-09-14,40.88,60.0,18.0,100.0,12.0
2023-09-15,41.05,60.0,18.0,100.0,12.0
2023-09-18,41.06,60.0,18.0,100.0,12.0
2023-09-20,40.75,60.0,18.0,100.0,12.0
2023-09-21,41.57,65.0,18.0,100.0,12.0
2023-09-22,41.57,65.0,18.0,100.0,12.0
2023-09-25,40.3,60.0,18.0,100.0,12.0
2023-09-26,41.11,65.0,18.0,98.0,12.0
2023-09-27,48.32,80.0,18.0,100.0,9.0
2023-09-28,43.01,60.0,18.0,98.0,9.0
2023-09-29,37.64,60.0,18.0,88.0,12.0
2023-10-03,40.66,60.0,18.0,88.0,9.0
2023-10-04,35.81,60.0,18.0,70.0,9.0
2023-10-05,34.21,65.0,18.0,70.0,12.0
2023-10-06,38.59,70.0,18.0,70.0,9.0
2023-10-09,32.42,60.0,18.0,70.0,12.0
2023-10-10,34.1,65.0,18.0,70.0,12.0
2023-10-11,49.42,85.0,18.0,98.0,9.0
2023-10-12,47.79,75.0,18.0,100.0,9.0
2023-10-13,41.13,60.0,18.0,88.0,9.0
2023-10-16,41.08,60.0,18.0,88.0,9.0
2023-10-17,41.22,60.0,18.0,88.0,9.0
2023-10-18,44.69,65.0,18.0,98.0,9.0
2023-10-19,50.32,85.0,18.0,100.0,9.0
2023-10-20,47.65,75.0,18.0,100.0,9.0
2023-10-23,32.79,52.0,18.0,88.0,14.0
2023-10-25,38.9,47.0,18.0,98.0,9.0
2023-10-26,47.2,80.0,18.0,98.0,9.0
2023-10-27,36.83,65.0,18.0,70.0,9.0
2023-10-30,37.11,60.0,18.0,88.0,12.0
2023-10-31,41.34,65.0,18.0,88.0,9.0
2023-11-01,43.88,65.0,18.0,98.0,9.0
2023-11-02,39.84,60.0,18.0,98.0,12.0
2023-11-03,41.27,65.0,18.0,98.0,12.0
2023-11-06,45.58,70.0,18.0,98.0,9.0
2023-11-07,50.13,85.0,18.0,100.0,9.0
2023-11-08,43.74,60.0,18.0,100.0,9.0
2023-11-09,32.35,65.0,18.0,70.0,14.0
2023-11-10,38.65,65.0,18.0,88.0,12.0
2023-11-13,37.56,60.0,18.0,88.0,12.0
2023-11-15,39.08,65.0,18.0,88.0,12.0
2023-11-16,37.82,60.0,18.0,88.0,12.0
2023-11-17,37.88,60.0,18.0,88.0,12.0
2023-11-20,28.99,42.0,18.0,70.0,12.0
2023-11-21,29.03,42.0,18.0,70.0,12.0
2023-11-22,47.52,75.0,18.0,98.0,9.0
2023-11-23,38.38,60.0,18.0,88.0,12.0
2023-11-24,38.37,60.0,18.0,88.0,12.0
2023-11-28,32.08,42.0,18.0,70.0,9.0
2023-11-29,32.23,47.0,18.0,78.0,12.0
2023-11-30,32.23,47.0,18.0,78.0,12.0
2023-12-01,22.07,27.0,18.0,45.0,9.0
2023-12-04,36.01,65.0,18.0,63.0,9.0
2023-12-05,21.78,27.0,18.0,45.0,9.0
2023-12-06,16.15,27.0,18.0,35.0,12.0
2023-12-07,17.8,32.0,18.0,35.0,12.0
2023-12-08,19.32,27.0,18.0,35.0,9.0
2023-12-11,35.35,80.0,18.0,45.0,9.0
2023-12-12,23.16,32.0,18.0,45.0,9.0
2023-12-13,31.29,65.0,18.0,45.0,9.0
2023-12-14,23.18,32.0,18.0,45.0,9.0
2023-12-15,19.73,28.0,18.0,35.0,9.0
2023-12-18,23.4,32.0,18.0,45.0,9.0
2023-12-19,22.18,27.0,18.0,45.0,9.0
2023-12-20,20.3,33.0,18.0,35.0,9.0
2023-12-21,23.06,33.0,18.0,45.0,9.0
2023-12-22,24.5,38.0,18.0,45.0,9.0
2023-12-26,24.5,38.0,18.0,45.0,9.0
2023-12-27,22.06,28.0,18.0,45.0,9.0
2023-12-28,18.16,23.0,18.0,35.0,9.0
2023-12-29,20.93,33.0,18.0,35.0,9.0
2024-01-01,22.34,38.0,18.0,35.0,9.0
2024-01-02,21.18,33.0,18.0,35.0,9.0
2024-01-03,18.62,23.0,18.0,35.0,9.0
2024-01-04,18.87,23.0,18.0,35.0,9.0
2024-01-05,18.7,23.0,18.0,35.0,9.0
2024-01-08,18.61,23.0,18.0,35.0,9.0
2024-01-09,17.91,19.0,18.0,35.0,9.0
2024-01-10,24.05,43.0,18.0,35.0,9.0
