scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,27.74,60.0,18.0,80.0,20.0
2023-09-05,26.43,55.0,18.0,80.0,20.0
2023-09-06,33.09,60.0,18.0,100.0,20.0
2023-09-07,29.22,50.0,18.0,95.0,20.0
2023-09-08,25.18,50.0,18.0,78.0,20.0
2023-09-11,22.5,55.0,18.0,63.0,20.0
2023-09-12,20.87,50.0,18.0,63.0,20.0
2023-09-13,18.86,60.0,18.0,45.0,20.0
2023-09-14,16.69,50.0,18.0,35.0,17.0
2023-09-15,13.29,50.0,18.0,20.0,17.0
2023-09-18,28.85,60.0,18.0,70.0,17.0
2023-09-20,30.26,50.0,18.0,88.0,17.0
2023-09-21,26.59,55.0,18.0,70.0,17.0
2023-09-22,31.13,55.0,18.0,88.0,17.0
2023-09-25,29.51,50.0,18.0,88.0,17.0
2023-09-26,29.92,50.0,18.0,88.0,17.0
2023-09-27,31.44,55.0,18.0,88.0,17.0
2023-09-28,25.26,42.0,18.0,88.0,20.0
2023-09-29,26.01,42.0,18.0,88.0,20.0
2023-10-03,26.06,47.0,18.0,70.0,17.0
2023-10-04,18.58,28.0,18.0,60.0,17.0
2023-10-05,14.5,28.0,18.0,45.0,17.0
2023-10-06,12.91,47.0,18.0,20.0,17.0
2023-10-09,12.76,33.0,18.0,35.0,17.0
2023-10-10,22.33,70.0,18.0,35.0,17.0
2023-10-11,26.67,70.0,18.0,50.0,17.0
2023-10-12,39.23,70.0,18.0,98.0,17.0
2023-10-13,41.07,75.0,18.0,100.0,17.0
2023-10-16,36.42,57.0,18.0,100.0,17.0
2023-10-17,38.31,65.0,18.0,100.0,17.0
2023-10-18,30.93,50.0,18.0,98.0,20.0
2023-10-19,30.75,50.0,18.0,98.0,20.0
2023-10-20,31.14,50.0,18.0,98.0,20.0
2023-10-23,30.45,50.0,18.0,98.0,20.0
2023-10-25,29.67,50.0,18.0,98.0,20.0
2023-10-26,28.09,42.0,18.0,98.0,20.0
2023-10-27,22.16,27.0,18.0,88.0,20.0
2023-10-30,20.73,23.0,18.0,88.0,20.0
2023-10-31,13.97,23.0,18.0,60.0,20.0
2023-11-01,11.01,23.0,18.0,50.0,20.0
2023-11-02,25.48,38.0,18.0,78.0,17.0
2023-11-03,23.71,32.0,18.0,78.0,17.0
2023-11-06,14.25,23.0,18.0,60.0,20.0
2023-11-07,26.69,32.0,18.0,88.0,17.0
2023-11-08,23.89,32.0,18.0,78.0,17.0
2023-11-09,31.12,70.0,18.0,70.0,17.0
2023-11-10,21.83,60.0,18.0,45.0,17.0
2023-11-13,24.85,70.0,18.0,45.0,17.0
2023-11-15,25.89,60.0,18.0,60.0,17.0
2023-11-16,19.58,60.0,18.0,35.0,17.0
2023-11-17,21.46,65.0,18.0,35.0,17.0
2023-11-20,28.28,65.0,18.0,63.0,17.0
2023-11-21,24.56,50.0,18.0,63.0,17.0
2023-11-22,24.68,50.0,18.0,63.0,17.0
2023-11-23,24.54,50.0,18.0,63.0,17.0
2023-11-24,20.95,50.0,18.0,63.0,20.0
2023-11-28,38.78,75.0,18.0,95.0,17.0
2023-11-29,38.75,75.0,18.0,95.0,17.0
2023-11-30,30.96,60.0,18.0,80.0,17.0
2023-12-01,31.12,60.0,18.0,80.0,17.0
2023-12-04,33.48,70.0,18.0,80.0,17.0
2023-12-05,28.68,60.0,18.0,70.0,17.0
2023-12-06,35.3,75.0,18.0,80.0,17.0
2023-12-07,39.45,75.0,18.0,95.0,17.0
2023-12-08,37.6,62.0,18.0,100.0,17.0
2023-12-11,40.36,72.0,18.0,100.0,17.0
2023-12-12,40.15,72.0,18.0,100.0,17.0
2023-12-13,38.34,62.0,18.0,100.0,17.0
2023-12-14,37.32,57.0,18.0,100.0,17.0
2023-12-15,36.89,57.0,18.0,100.0,17.0
2023-12-18,34.32,47.0,18.0,100.0,17.0
2023-12-19,32.61,60.0,18.0,100.0,22.0
2023-12-20,40.82,75.0,18.0,100.0,17.0
2023-12-21,43.89,85.0,18.0,100.0,17.0
2023-12-22,40.15,72.0,18.0,100.0,17.0
2023-12-26,35.05,52.0,18.0,100.0,17.0
2023-12-27,37.15,60.0,18.0,100.0,17.0
2023-12-28,33.89,60.0,18.0,100.0,20.0
2023-12-29,36.96,60.0,18.0,100.0,17.0
2024-01-01,39.95,70.0,18.0,100.0,17.0
2024-01-02,40.69,72.0,18.0,100.0,17.0
2024-01-03,40.34,72.0,18.0,100.0,17.0
2024-01-04,39.26,67.0,18.0,100.0,17.0
2024-01-05,38.13,62.0,18.0,100.0,17.0
2024-01-08,33.24,52.0,18.0,100.0,20.0
2024-01-09,31.93,47.0,18.0,100.0,20.0
2024-01-10,32.2,47.0,18.0,100.0,20.0
2024-01-11,32.55,50.0,18.0,100.0,20.0
2024-01-12,37.14,70.0,18.0,100.0,20.0
2024-01-15,37.16,70.0,18.0,100.0,20.0
2024-01-16,34.83,60.0,18.0,100.0,20.0
2024-01-17,31.97,50.0,18.0,100.0,20.0
2024-01-18,37.41,70.0,18.0,100.0,20.0
2024-01-19,32.01,50.0,18.0,100.0,20.0
2024-01-23,31.49,50.0,18.0,100.0,20.0
2024-01-24,31.68,50.0,18.0,100.0,20.0
2024-01-25,31.85,50.0,18.0,100.0,20.0
2024-01-29,31.86,50.0,18.0,100.0,20.0
2024-01-30,34.68,60.0,18.0,100.0,20.0
2024-01-31,37.99,70.0,18.0,100.0,20.0
2024-02-01,32.56,50.0,18.0,100.0,20.0
2024-02-02,25.04,50.0,18.0,70.0,20.0
2024-02-05,25.82,55.0,18.0,70.0,20.0
2024-02-06,27.51,50.0,18.0,70.0,17.0
2024-02-07,29.27,55.0,18.0,70.0,17.0
2024-02-08,27.53,50.0,18.0,70.0,17.0
2024-02-09,22.05,42.0,18.0,70.0,20.0
2024-02-12,25.48,47.0,18.0,70.0,17.0
2024-02-13,23.34,38.0,18.0,70.0,17.0
2024-02-14,16.6,23.0,18.0,70.0,20.0
2024-02-15,26.49,48.0,18.0,70.0,17.0
2024-02-16,24.19,52.0,18.0,70.0,20.0
2024-02-19,26.38,47.0,18.0,70.0,17.0
2024-02-20,24.62,42.0,18.0,70.0,17.0
2024-02-21,19.3,23.0,18.0,70.0,17.0
2024-02-22,22.79,37.0,18.0,70.0,17.0
2024-02-23,16.18,23.0,18.0,70.0,20.0
2024-02-26,16.01,23.0,18.0,70.0,20.0
2024-02-27,19.07,23.0,18.0,70.0,17.0
2024-02-28,18.56,23.0,18.0,70.0,17.0
2024-02-29,19.04,23.0,18.0,70.0,17.0
2024-03-01,21.07,33.0,18.0,70.0,17.0
2024-03-04,20.88,33.0,18.0,70.0,17.0
2024-03-05,18.15,23.0,18.0,70.0,17.0
2024-03-06,17.25,23.0,18.0,70.0,17.0
2024-03-07,22.58,43.0,18.0,70.0,17.0
2024-03-11,19.97,33.0,18.0,70.0,17.0
2024-03-12,13.27,33.0,18.0,45.0,17.0
2024-03-13,7.97,23.0,18.0,35.0,17.0
2024-03-14,15.59,43.0,18.0,45.0,17.0
2024-03-15,7.9,23.0,18.0,35.0,17.0
2024-03-18,5.21,23.0,18.0,35.0,20.0
2024-03-19,6.85,19.0,18.0,35.0,17.0
2024-03-20,9.42,19.0,18.0,45.0,17.0
2024-03-21,13.43,33.0,18.0,45.0,17.0
2024-03-22,12.1,38.0,18.0,35.0,17.0
2024-03-26,10.41,33.0,18.0,35.0,17.0
2024-03-27,10.5,33.0,18.0,35.0,17.0
2024-03-28,11.88,38.0,18.0,35.0,17.0
2024-04-01,39.59,33.0,58.0,35.0,3.0
2024-04-02,43.02,37.0,58.0,45.0,3.0
2024-04-03,45.63,45.0,58.0,45.0,3.0
2024-04-04,47.12,50.0,58.0,35.0,0.0
2024-04-05,49.09,50.0,58.0,43.0,0.0
2024-04-08,42.15,35.0,58.0,43.0,3.0
2024-04-09,39.92,35.0,58.0,35.0,3.0
2024-04-10,39.91,35.0,58.0,35.0,3.0
2024-04-12,39.32,27.0,58.0,43.0,3.0
2024-04-15,41.79,27.0,58.0,53.0,3.0
2024-04-16,39.58,27.0,58.0,43.0,3.0
2024-04-18,38.58,23.0,58.0,43.0,3.0
2024-04-19,38.64,23.0,58.0,43.0,3.0
2024-04-22,39.09,23.0,58.0,43.0,3.0
2024-04-23,40.14,28.0,58.0,43.0,3.0
2024-04-24,41.98,23.0,58.0,43.0,0.0
