scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2025-05-26,29.21,17.0,64.0,0.0,4.0
2025-05-27,27.99,13.0,64.0,0.0,4.0
2025-05-28,42.87,65.0,64.0,8.0,4.0
2025-05-29,39.18,50.0,64.0,8.0,4.0
2025-05-30,45.92,60.0,64.0,25.0,4.0
2025-06-02,43.33,40.0,64.0,35.0,4.0
2025-06-03,40.39,40.0,64.0,35.0,7.0
2025-06-04,38.7,40.0,64.0,28.0,7.0
2025-06-05,54.26,57.0,64.0,60.0,4.0
2025-06-06,54.19,57.0,64.0,60.0,4.0
2025-06-09,54.29,57.0,64.0,60.0,4.0
2025-06-10,54.15,57.0,64.0,60.0,4.0
2025-06-11,51.57,47.0,64.0,60.0,4.0
2025-06-12,42.45,32.0,64.0,60.0,9.0
2025-06-13,51.13,47.0,64.0,60.0,4.0
2025-06-16,48.59,37.0,64.0,60.0,4.0
2025-06-17,44.25,32.0,64.0,60.0,7.0
2025-06-18,40.07,35.0,64.0,60.0,12.0
2025-06-19,44.62,35.0,64.0,60.0,7.0
2025-06-20,45.96,40.0,64.0,60.0,7.0
2025-06-23,52.56,55.0,64.0,60.0,4.0
2025-06-24,47.22,45.0,64.0,60.0,7.0
2025-06-25,47.49,45.0,64.0,60.0,7.0
2025-06-26,49.84,55.0,64.0,60.0,7.0
2025-06-27,49.78,42.0,64.0,60.0,4.0
2025-06-30,20.01,42.0,15.0,60.0,15.0
2025-07-01,25.71,52.0,15.0,60.0,12.0
2025-07-02,17.38,32.0,15.0,60.0,15.0
2025-07-03,19.97,42.0,15.0,60.0,15.0
2025-07-04,23.02,42.0,15.0,60.0,12.0
2025-07-07,17.23,32.0,15.0,60.0,15.0
2025-07-08,23.63,45.0,15.0,60.0,12.0
2025-07-09,17.09,35.0,15.0,43.0,12.0
2025-07-10,25.19,50.0,15.0,60.0,12.0
2025-07-11,13.88,35.0,15.0,43.0,15.0
2025-07-14,12.93,27.0,15.0,35.0,12.0
2025-07-15,19.31,45.0,15.0,53.0,15.0
2025-07-16,18.56,35.0,15.0,60.0,15.0
2025-07-17,18.56,35.0,15.0,60.0,15.0
2025-07-18,16.4,35.0,15.0,53.0,15.0
2025-07-21,18.95,45.0,15.0,53.0,15.0
2025-07-22,14.37,27.0,15.0,53.0,15.0
2025-07-23,15.56,32.0,15.0,53.0,15.0
2025-07-24,11.88,27.0,15.0,43.0,15.0
2025-07-25,8.3,23.0,15.0,35.0,15.0
2025-07-28,11.59,37.0,15.0,35.0,15.0
2025-07-29,8.43,23.0,15.0,35.0,15.0
2025-07-30,8.36,23.0,15.0,35.0,15.0
2025-07-31,11.7,37.0,15.0,35.0,15.0
2025-08-01,11.92,27.0,15.0,35.0,12.0
2025-08-04,9.21,27.0,15.0,35.0,15.0
2025-08-05,13.66,45.0,15.0,35.0,15.0
2025-08-06,8.06,12.0,15.0,35.0,12.0
2025-08-07,12.96,32.0,15.0,35.0,12.0
2025-08-08,6.55,8.0,15.0,35.0,12.0
2025-08-11,7.01,8.0,15.0,35.0,12.0
2025-08-12,6.74,8.0,15.0,35.0,12.0
2025-08-13,10.58,23.0,15.0,35.0,12.0
2025-08-14,6.84,8.0,15.0,35.0,12.0
2025-08-18,7.12,8.0,15.0,35.0,12.0
2025-08-19,9.83,18.0,15.0,35.0,12.0
2025-08-20,8.69,13.0,15.0,35.0,12.0
2025-08-21,5.7,13.0,15.0,35.0,15.0
2025-08-22,11.21,23.0,15.0,35.0,12.0
2025-08-25,8.7,13.0,15.0,35.0,12.0
2025-08-26,4.12,8.0,15.0,35.0,15.0
2025-08-28,9.47,18.0,15.0,35.0,12.0
2025-08-29,12.91,8.0,15.0,70.0,15.0
2025-09-01,14.45,13.0,15.0,70.0,15.0
2025-09-02,13.59,8.0,15.0,70.0,15.0
2025-09-03,18.04,13.0,15.0,70.0,12.0
2025-09-04,7.22,8.0,15.0,45.0,15.0
2025-09-05,4.73,8.0,15.0,35.0,15.0
2025-09-08,4.68,8.0,15.0,35.0,15.0
2025-09-09,4.85,8.0,15.0,35.0,15.0
2025-09-10,8.19,8.0,15.0,35.0,12.0
2025-09-11,9.4,13.0,15.0,35.0,12.0
2025-09-12,15.47,37.0,15.0,35.0,12.0
2025-09-15,10.67,17.0,15.0,35.0,12.0
2025-09-16,10.04,17.0,15.0,43.0,15.0
2025-09-17,22.61,45.0,15.0,53.0,12.0
2025-09-18,31.78,55.0,15.0,80.0,12.0
2025-09-19,26.74,55.0,15.0,60.0,12.0
2025-09-22,17.34,35.0,15.0,43.0,12.0
2025-09-23,10.47,20.0,15.0,43.0,15.0
2025-09-24,17.0,25.0,15.0,53.0,12.0
2025-09-25,8.16,12.0,15.0,43.0,15.0
2025-09-26,9.6,8.0,15.0,43.0,12.0
2025-09-29,8.88,13.0,15.0,35.0,12.0
2025-09-30,33.39,13.0,44.0,43.0,0.0
2025-10-01,30.43,8.0,44.0,35.0,0.0
2025-10-03,36.26,22.0,44.0,43.0,0.0
2025-10-06,44.38,45.0,44.0,53.0,0.0
2025-10-07,49.86,60.0,44.0,60.0,0.0
2025-10-08,49.88,60.0,44.0,60.0,0.0
2025-10-09,47.22,50.0,44.0,60.0,0.0
2025-10-10,47.46,50.0,44.0,60.0,0.0
2025-10-13,40.29,35.0,44.0,60.0,3.0
2025-10-14,42.32,40.0,44.0,53.0,0.0
2025-10-15,48.05,55.0,44.0,60.0,0.0
2025-10-16,42.69,40.0,44.0,53.0,0.0
2025-10-17,35.57,35.0,44.0,43.0,3.0
2025-10-20,36.96,40.0,44.0,43.0,3.0
2025-10-21,35.9,35.0,44.0,43.0,3.0
2025-10-23,35.88,35.0,44.0,43.0,3.0
2025-10-24,34.74,27.0,44.0,35.0,0.0
2025-10-27,35.28,32.0,44.0,43.0,3.0
2025-10-28,34.28,27.0,44.0,43.0,3.0
2025-10-29,43.82,52.0,44.0,43.0,0.0
2025-10-30,37.72,40.0,44.0,43.0,3.0
2025-10-31,34.5,27.0,44.0,43.0,3.0
2025-11-03,32.92,8.0,44.0,43.0,0.0
2025-11-04,27.55,8.0,44.0,35.0,3.0
2025-11-06,30.08,8.0,44.0,35.0,0.0
2025-11-07,32.81,18.0,44.0,35.0,0.0
2025-11-10,28.32,13.0,44.0,35.0,3.0
2025-11-11,30.07,8.0,44.0,35.0,0.0
2025-11-12,28.29,13.0,44.0,35.0,3.0
2025-11-13,31.3,13.0,44.0,35.0,0.0
2025-11-14,31.3,13.0,44.0,35.0,0.0
2025-11-17,27.1,8.0,44.0,35.0,3.0
