scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2024-10-04,19.82,50.0,25.0,8.0,9.0
2024-10-07,13.84,37.0,25.0,0.0,9.0
2024-10-08,14.69,50.0,25.0,0.0,12.0
2024-10-09,17.95,55.0,25.0,8.0,12.0
2024-10-10,20.03,45.0,25.0,25.0,12.0
2024-10-11,20.02,45.0,25.0,25.0,12.0
2024-10-14,26.65,50.0,25.0,35.0,9.0
2024-10-15,20.08,45.0,25.0,25.0,12.0
2024-10-16,25.92,45.0,25.0,35.0,9.0
2024-10-17,26.63,50.0,25.0,35.0,9.0
2024-10-18,24.68,45.0,25.0,43.0,12.0
2024-10-21,26.51,50.0,25.0,35.0,9.0
2024-10-22,16.52,23.0,25.0,25.0,9.0
2024-10-23,9.96,8.0,25.0,25.0,12.0
2024-10-24,14.01,13.0,25.0,25.0,9.0
2024-10-25,13.65,13.0,25.0,25.0,9.0
2024-10-28,16.46,23.0,25.0,25.0,9.0
2024-10-29,15.1,18.0,25.0,25.0,9.0
2024-10-30,11.27,13.0,25.0,25.0,12.0
2024-10-31,8.85,18.0,25.0,10.0,12.0
2024-11-01,14.05,22.0,25.0,25.0,12.0
2024-11-04,14.65,13.0,25.0,25.0,9.0
2024-11-05,12.85,17.0,25.0,25.0,12.0
2024-11-06,24.45,50.0,25.0,25.0,9.0
2024-11-07,30.64,65.0,25.0,35.0,9.0
2024-11-08,16.91,12.0,25.0,35.0,9.0
2024-11-11,16.65,12.0,25.0,35.0,9.0
2024-11-12,30.86,70.0,25.0,35.0,9.0
2024-11-13,17.02,17.0,25.0,35.0,9.0
2024-11-14,17.29,27.0,25.0,25.0,9.0
2024-11-18,14.55,17.0,25.0,25.0,9.0
2024-11-19,16.29,35.0,25.0,25.0,12.0
2024-11-21,23.75,35.0,25.0,43.0,9.0
2024-11-22,23.89,45.0,25.0,33.0,9.0
2024-11-25,21.14,35.0,25.0,43.0,12.0
2024-11-26,28.1,50.0,25.0,43.0,9.0
2024-11-27,35.13,70.0,25.0,50.0,9.0
2024-11-28,34.11,65.0,25.0,50.0,9.0
2024-11-29,30.23,50.0,25.0,50.0,9.0
2024-12-02,30.96,52.0,25.0,50.0,9.0
2024-12-03,23.63,37.0,25.0,35.0,9.0
2024-12-04,27.67,37.0,25.0,50.0,9.0
2024-12-05,29.34,45.0,25.0,50.0,9.0
2024-12-06,31.27,52.0,25.0,50.0,9.0
2024-12-09,31.98,55.0,25.0,50.0,9.0
2024-12-10,29.64,45.0,25.0,50.0,9.0
2024-12-11,28.67,55.0,25.0,35.0,9.0
2024-12-12,29.49,45.0,25.0,50.0,9.0
2024-12-13,25.85,45.0,25.0,35.0,9.0
2024-12-16,30.73,50.0,25.0,50.0,9.0
2024-12-17,29.31,45.0,25.0,50.0,9.0
2024-12-18,22.89,27.0,25.0,43.0,9.0
2024-12-19,20.38,27.0,25.0,33.0,9.0
2024-12-20,22.55,27.0,25.0,43.0,9.0
2024-12-23,19.44,27.0,25.0,43.0,12.0
2024-12-24,26.62,55.0,25.0,43.0,12.0
2024-12-26,21.15,45.0,25.0,33.0,12.0
2024-12-27,22.48,50.0,25.0,33.0,12.0
2024-12-30,18.94,45.0,25.0,25.0,12.0
2024-12-31,17.79,45.0,25.0,10.0,9.0
2025-01-01,21.14,55.0,25.0,25.0,12.0
2025-01-02,18.73,45.0,25.0,25.0,12.0
2025-01-03,15.05,45.0,25.0,10.0,12.0
2025-01-06,12.0,8.0,25.0,25.0,9.0
2025-01-07,15.35,32.0,25.0,25.0,12.0
2025-01-08,14.26,32.0,25.0,10.0,9.0
2025-01-09,9.62,13.0,25.0,10.0,9.0
2025-01-10,11.62,8.0,25.0,25.0,9.0
2025-01-13,9.26,19.0,25.0,25.0,14.0
2025-01-14,14.14,18.0,25.0,25.0,9.0
2025-01-15,11.89,9.0,25.0,25.0,9.0
2025-01-16,15.64,23.0,25.0,25.0,9.0
2025-01-17,14.47,18.0,25.0,25.0,9.0
2025-01-20,13.43,13.0,25.0,25.0,9.0
2025-01-21,13.41,13.0,25.0,25.0,9.0
2025-01-22,16.77,28.0,25.0,25.0,9.0
2025-01-23,15.79,13.0,25.0,35.0,9.0
2025-01-24,16.67,18.0,25.0,35.0,9.0
2025-01-27,6.66,24.0,25.0,10.0,14.0
2025-01-28,3.43,24.0,25.0,10.0,17.0
2025-01-29,15.77,23.0,25.0,25.0,9.0
2025-01-30,23.47,45.0,25.0,35.0,9.0
2025-01-31,19.84,30.0,25.0,35.0,9.0
2025-02-01,16.04,30.0,25.0,20.0,9.0
2025-02-03,4.19,13.0,25.0,10.0,14.0
2025-02-04,13.03,28.0,25.0,10.0,9.0
2025-02-05,7.87,18.0,25.0,10.0,12.0
2025-02-06,11.79,18.0,25.0,25.0,12.0
2025-02-07,6.74,13.0,25.0,10.0,12.0
2025-02-10,6.49,13.0,25.0,10.0,12.0
2025-02-11,12.81,28.0,25.0,10.0,9.0
2025-02-12,6.19,13.0,25.0,10.0,12.0
2025-02-13,5.94,13.0,25.0,10.0,12.0
2025-02-14,7.04,16.0,25.0,0.0,9.0
2025-02-17,5.37,9.0,25.0,0.0,9.0
2025-02-18,5.09,9.0,25.0,0.0,9.0
2025-02-19,5.46,9.0,25.0,0.0,9.0
2025-02-20,14.83,36.0,25.0,10.0,9.0
2025-02-21,6.06,23.0,25.0,0.0,12.0
2025-02-24,3.44,13.0,25.0,0.0,12.0
2025-02-25,5.36,13.0,25.0,8.0,12.0
2025-02-27,6.95,16.0,25.0,0.0,9.0
2025-02-28,6.89,16.0,25.0,0.0,9.0
2025-03-03,4.16,16.0,25.0,0.0,12.0
2025-03-04,7.13,16.0,25.0,0.0,9.0
2025-03-05,8.79,21.0,25.0,0.0,9.0
2025-03-06,11.36,31.0,25.0,0.0,9.0
2025-03-07,10.45,27.0,25.0,0.0,9.0
2025-03-10,10.81,30.0,25.0,0.0,9.0
2025-03-11,7.6,17.0,25.0,0.0,9.0
2025-03-12,7.52,17.0,25.0,0.0,9.0
2025-03-13,5.79,22.0,25.0,0.0,12.0
2025-03-17,9.73,26.0,25.0,0.0,9.0
2025-03-18,4.01,16.0,25.0,0.0,12.0
2025-03-19,15.97,40.0,25.0,8.0,9.0
2025-03-20,20.82,50.0,25.0,18.0,9.0
2025-03-21,17.38,35.0,25.0,18.0,9.0
2025-03-24,21.21,60.0,25.0,8.0,9.0
2025-03-25,18.38,50.0,25.0,8.0,9.0
2025-03-26,9.87,25.0,25.0,0.0,9.0
2025-03-27,22.05,65.0,25.0,8.0,9.0
2025-03-28,21.19,45.0,25.0,25.0,9.0
2025-04-01,27.29,40.0,44.0,25.0,9.0
2025-04-02,24.42,40.0,44.0,25.0,12.0
2025-04-03,25.89,45.0,44.0,25.0,12.0
2025-04-04,13.68,17.0,44.0,8.0,12.0
2025-04-07,14.1,16.0,44.0,0.0,9.0
2025-04-08,15.6,21.0,44.0,0.0,9.0
2025-04-09,14.11,16.0,44.0,0.0,9.0
2025-04-11,14.43,26.0,44.0,0.0,12.0
2025-04-15,19.16,35.0,44.0,8.0,12.0
2025-04-16,21.89,45.0,44.0,8.0,12.0
2025-04-17,18.62,20.0,44.0,8.0,9.0
2025-04-21,28.82,60.0,44.0,8.0,9.0
2025-04-22,28.72,60.0,44.0,8.0,9.0
2025-04-23,23.53,40.0,44.0,8.0,9.0
2025-04-24,21.94,45.0,44.0,8.0,12.0
2025-04-25,23.72,50.0,44.0,0.0,9.0
2025-04-28,22.47,45.0,44.0,0.0,9.0
2025-04-29,20.3,40.0,44.0,8.0,12.0
2025-04-30,15.11,17.0,44.0,0.0,9.0
2025-05-02,4.32,17.0,44.0,0.0,20.0
2025-05-05,11.91,37.0,44.0,10.0,20.0
2025-05-06,3.31,16.0,44.0,0.0,20.0
2025-05-07,5.01,21.0,44.0,0.0,20.0
2025-05-08,10.06,30.0,44.0,0.0,17.0
