scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,69.94,72.0,70.0,80.0,0.0
2023-09-06,67.02,67.0,70.0,73.0,0.0
2023-09-07,67.11,52.0,70.0,88.0,0.0
2023-09-08,68.89,52.0,70.0,95.0,0.0
2023-09-11,60.79,47.0,70.0,80.0,3.0
2023-09-12,63.02,47.0,70.0,80.0,0.0
2023-09-13,59.65,52.0,70.0,73.0,3.0
2023-09-14,59.5,60.0,70.0,63.0,3.0
2023-09-15,62.26,60.0,70.0,63.0,0.0
2023-09-18,65.5,65.0,70.0,83.0,3.0
2023-09-20,66.38,52.0,70.0,100.0,3.0
2023-09-21,69.07,52.0,70.0,100.0,0.0
2023-09-22,70.39,57.0,70.0,100.0,0.0
2023-09-25,64.84,47.0,70.0,100.0,3.0
2023-09-26,70.94,60.0,70.0,100.0,0.0
2023-09-27,69.4,65.0,70.0,100.0,3.0
2023-09-28,69.01,65.0,70.0,100.0,3.0
2023-09-29,69.36,65.0,70.0,100.0,3.0
2023-10-03,67.74,52.0,70.0,95.0,0.0
2023-10-04,66.59,60.0,70.0,95.0,3.0
2023-10-05,65.58,60.0,70.0,78.0,0.0
2023-10-06,60.05,60.0,70.0,68.0,3.0
2023-10-09,68.7,75.0,70.0,78.0,0.0
2023-10-10,62.38,60.0,70.0,78.0,3.0
2023-10-11,60.31,60.0,70.0,68.0,3.0
2023-10-12,66.01,70.0,70.0,68.0,0.0
2023-10-13,60.52,60.0,70.0,68.0,3.0
2023-10-16,61.54,65.0,70.0,68.0,3.0
2023-10-17,63.37,60.0,70.0,68.0,0.0
2023-10-18,55.47,47.0,70.0,50.0,0.0
2023-10-19,54.32,42.0,70.0,50.0,0.0
2023-10-20,46.32,38.0,70.0,35.0,3.0
2023-10-23,46.85,33.0,70.0,35.0,0.0
2023-10-25,44.12,23.0,70.0,35.0,0.0
2023-10-26,44.33,24.0,70.0,35.0,0.0
2023-10-27,45.89,29.0,70.0,35.0,0.0
2023-10-30,42.58,28.0,70.0,35.0,3.0
2023-10-31,42.6,28.0,70.0,35.0,3.0
2023-11-01,41.14,23.0,70.0,35.0,3.0
2023-11-02,37.82,23.0,70.0,20.0,3.0
2023-11-03,64.11,85.0,70.0,50.0,0.0
2023-11-06,63.22,80.0,70.0,50.0,0.0
2023-11-07,65.81,80.0,70.0,60.0,0.0
2023-11-08,69.36,75.0,70.0,78.0,0.0
2023-11-09,62.64,60.0,70.0,68.0,0.0
2023-11-10,66.38,65.0,70.0,78.0,0.0
2023-11-13,66.14,65.0,70.0,88.0,3.0
2023-11-15,67.14,57.0,70.0,88.0,0.0
2023-11-16,65.94,52.0,70.0,88.0,0.0
2023-11-17,62.39,60.0,70.0,78.0,3.0
2023-11-20,64.66,60.0,70.0,88.0,3.0
2023-11-21,62.37,60.0,70.0,78.0,3.0
2023-11-22,66.33,65.0,70.0,88.0,3.0
2023-11-23,65.31,60.0,70.0,88.0,3.0
2023-11-24,66.99,60.0,70.0,95.0,3.0
2023-11-28,61.51,60.0,70.0,73.0,3.0
2023-11-29,60.21,65.0,70.0,63.0,3.0
2023-11-30,72.69,70.0,70.0,95.0,0.0
2023-12-01,65.97,65.0,70.0,85.0,3.0
2023-12-04,58.53,60.0,70.0,60.0,3.0
2023-12-05,60.93,65.0,70.0,53.0,0.0
2023-12-06,57.46,65.0,70.0,38.0,0.0
2023-12-07,63.66,75.0,70.0,53.0,0.0
2023-12-08,59.76,75.0,70.0,38.0,0.0
2023-12-11,61.31,65.0,70.0,53.0,0.0
2023-12-12,59.47,60.0,70.0,63.0,3.0
2023-12-13,59.43,60.0,70.0,63.0,3.0
2023-12-14,58.15,60.0,70.0,45.0,0.0
2023-12-15,60.74,70.0,70.0,45.0,0.0
2023-12-18,67.76,80.0,70.0,63.0,0.0
2023-12-19,61.03,65.0,70.0,63.0,3.0
2023-12-20,64.47,70.0,70.0,63.0,0.0
2023-12-21,63.79,65.0,70.0,63.0,0.0
2023-12-22,66.56,75.0,70.0,63.0,0.0
2023-12-26,63.44,62.0,70.0,63.0,0.0
2023-12-27,57.83,52.0,70.0,63.0,3.0
2023-12-28,63.97,65.0,70.0,63.0,0.0
2023-12-29,64.11,65.0,70.0,63.0,0.0
2024-01-01,63.26,70.0,70.0,53.0,0.0
2024-01-02,60.59,60.0,70.0,53.0,0.0
2024-01-03,65.61,80.0,70.0,53.0,0.0
2024-01-04,60.71,75.0,70.0,38.0,0.0
2024-01-05,57.9,65.0,70.0,38.0,0.0
2024-01-08,54.72,65.0,70.0,38.0,3.0
2024-01-09,62.08,67.0,70.0,53.0,0.0
2024-01-10,65.75,62.0,70.0,73.0,0.0
2024-01-11,59.9,60.0,70.0,63.0,3.0
2024-01-12,53.56,60.0,70.0,38.0,3.0
2024-01-15,53.35,60.0,70.0,38.0,3.0
2024-01-16,67.36,70.0,70.0,73.0,0.0
2024-01-17,65.84,65.0,70.0,73.0,0.0
2024-01-18,60.03,60.0,70.0,53.0,0.0
2024-01-19,57.31,60.0,70.0,53.0,3.0
2024-01-23,57.5,65.0,70.0,53.0,3.0
2024-01-24,73.44,70.0,70.0,98.0,0.0
2024-01-25,61.77,60.0,70.0,73.0,3.0
2024-01-29,65.51,65.0,70.0,83.0,3.0
2024-01-30,61.66,60.0,70.0,73.0,3.0
2024-01-31,77.56,85.0,70.0,98.0,0.0
2024-02-01,72.77,65.0,70.0,100.0,0.0
2024-02-02,68.5,75.0,70.0,73.0,0.0
2024-02-05,57.29,42.0,70.0,63.0,0.0
2024-02-06,56.18,47.0,70.0,53.0,0.0
2024-02-07,63.2,65.0,70.0,63.0,0.0
2024-02-08,54.81,60.0,70.0,35.0,0.0
2024-02-09,52.86,65.0,70.0,35.0,3.0
2024-02-12,62.48,75.0,70.0,53.0,0.0
2024-02-13,62.5,75.0,70.0,53.0,0.0
2024-02-14,55.92,60.0,70.0,53.0,3.0
2024-02-15,50.67,60.0,70.0,20.0,0.0
2024-02-16,47.84,60.0,70.0,20.0,3.0
2024-02-19,64.33,70.0,70.0,63.0,0.0
2024-02-20,58.05,70.0,70.0,38.0,0.0
2024-02-21,61.73,60.0,70.0,63.0,0.0
2024-02-22,52.51,60.0,70.0,38.0,3.0
2024-02-23,52.43,60.0,70.0,38.0,3.0
2024-02-26,52.3,60.0,70.0,38.0,3.0
2024-02-27,47.48,42.0,70.0,38.0,3.0
2024-02-28,37.76,23.0,70.0,20.0,3.0
2024-02-29,41.99,28.0,70.0,20.0,0.0
2024-03-01,37.94,23.0,70.0,20.0,3.0
2024-03-04,44.51,38.0,70.0,20.0,0.0
2024-03-05,40.71,23.0,70.0,20.0,0.0
2024-03-06,40.35,23.0,70.0,20.0,0.0
2024-03-07,39.0,28.0,70.0,10.0,0.0
2024-03-11,37.5,24.0,70.0,10.0,0.0
2024-03-12,35.91,19.0,70.0,10.0,0.0
2024-03-13,17.06,19.0,70.0,0.0,16.0
2024-03-14,34.79,24.0,70.0,0.0,0.0
2024-03-15,17.15,19.0,70.0,0.0,16.0
2024-03-18,22.82,9.0,70.0,0.0,8.0
2024-03-19,18.42,4.0,70.0,0.0,11.0
2024-03-20,19.65,9.0,70.0,0.0,11.0
2024-03-21,25.23,18.0,70.0,0.0,8.0
2024-03-22,24.17,13.0,70.0,0.0,8.0
2024-03-26,23.78,13.0,70.0,0.0,8.0
2024-03-27,44.21,52.0,70.0,10.0,0.0
2024-03-28,38.31,38.0,70.0,0.0,0.0
2024-04-01,46.7,55.0,72.0,10.0,0.0
2024-04-02,41.46,45.0,72.0,10.0,3.0
2024-04-03,46.13,50.0,72.0,10.0,0.0
2024-04-04,42.05,45.0,72.0,10.0,3.0
2024-04-05,42.12,45.0,72.0,10.0,3.0
2024-04-08,37.37,27.0,72.0,10.0,3.0
2024-04-09,37.25,27.0,72.0,10.0,3.0
2024-04-10,52.36,65.0,72.0,18.0,0.0
2024-04-12,51.04,60.0,72.0,18.0,0.0
2024-04-15,54.74,65.0,72.0,28.0,0.0
2024-04-16,49.05,42.0,72.0,28.0,0.0
2024-04-18,57.75,70.0,72.0,35.0,0.0
2024-04-19,61.54,85.0,72.0,35.0,0.0
2024-04-22,55.57,60.0,72.0,35.0,0.0
2024-04-23,58.35,70.0,72.0,35.0,0.0
2024-04-24,47.29,45.0,72.0,28.0,3.0
2024-04-25,52.02,65.0,72.0,28.0,3.0
2024-04-26,47.34,45.0,72.0,28.0,3.0
2024-04-29,40.19,27.0,72.0,18.0,3.0
2024-04-30,49.72,65.0,72.0,18.0,3.0
2024-05-02,38.04,27.0,72.0,10.0,3.0
2024-05-03,42.06,32.0,72.0,10.0,0.0
2024-05-06,37.51,27.0,72.0,10.0,3.0
2024-05-07,36.89,27.0,72.0,10.0,3.0
2024-05-08,38.44,32.0,72.0,10.0,3.0
2024-05-09,23.78,8.0,72.0,10.0,11.0
2024-05-10,24.01,8.0,72.0,10.0,11.0
2024-05-13,23.95,8.0,72.0,10.0,11.0
2024-05-14,37.19,28.0,72.0,10.0,3.0
2024-05-15,47.83,57.0,72.0,10.0,0.0
2024-05-16,45.96,42.0,72.0,18.0,0.0
2024-05-17,54.99,85.0,72.0,10.0,0.0
2024-05-21,54.25,75.0,72.0,18.0,0.0
2024-05-22,52.16,75.0,72.0,10.0,0.0
2024-05-23,47.03,60.0,72.0,18.0,3.0
2024-05-24,23.16,23.0,72.0,0.0,13.0
2024-05-27,24.16,8.0,72.0,0.0,8.0
2024-05-28,22.13,13.0,72.0,0.0,11.0
2024-05-29,27.92,23.0,72.0,0.0,8.0
2024-05-30,25.07,13.0,72.0,0.0,8.0
2024-05-31,25.13,13.0,72.0,0.0,8.0
2024-06-03,26.88,18.0,72.0,0.0,8.0
2024-06-04,23.35,8.0,72.0,0.0,8.0
2024-06-05,30.07,22.0,72.0,10.0,8.0
2024-06-06,55.08,80.0,72.0,18.0,0.0
2024-06-07,59.25,75.0,72.0,38.0,0.0
2024-06-10,65.6,80.0,72.0,55.0,0.0
2024-06-11,65.73,80.0,72.0,55.0,0.0
2024-06-12,61.27,62.0,72.0,55.0,0.0
2024-06-13,59.28,52.0,72.0,55.0,0.0
2024-06-14,61.9,47.0,72.0,70.0,0.0
2024-06-18,67.04,57.0,72.0,80.0,0.0
2024-06-19,61.35,52.0,72.0,63.0,0.0
2024-06-20,66.13,52.0,72.0,80.0,0.0
2024-06-21,70.81,72.0,72.0,80.0,0.0
2024-06-24,68.1,62.0,72.0,80.0,0.0
2024-06-25,67.56,60.0,72.0,80.0,0.0
2024-06-26,67.17,57.0,72.0,80.0,0.0
2024-06-27,69.39,67.0,72.0,80.0,0.0
2024-06-28,65.76,52.0,72.0,80.0,0.0
2024-07-01,66.18,52.0,72.0,80.0,0.0
2024-07-02,68.14,60.0,72.0,80.0,0.0
2024-07-03,61.97,60.0,72.0,55.0,0.0
2024-07-04,63.93,65.0,72.0,70.0,3.0
2024-07-05,64.89,60.0,72.0,80.0,3.0
2024-07-08,65.88,65.0,72.0,80.0,3.0
2024-07-09,67.49,60.0,72.0,80.0,0.0
2024-07-10,59.79,60.0,72.0,63.0,3.0
2024-07-11,66.58,75.0,72.0,63.0,0.0
2024-07-12,59.66,60.0,72.0,63.0,3.0
2024-07-15,66.44,75.0,72.0,63.0,0.0
2024-07-16,57.33,65.0,72.0,48.0,3.0
2024-07-18,63.77,65.0,72.0,63.0,0.0
2024-07-19,55.68,60.0,72.0,38.0,0.0
2024-07-22,62.41,85.0,72.0,38.0,0.0
2024-07-23,58.48,70.0,72.0,38.0,0.0
2024-07-24,60.32,60.0,72.0,53.0,0.0
2024-07-25,60.11,60.0,72.0,53.0,0.0
2024-07-26,53.64,65.0,72.0,20.0,0.0
2024-07-29,64.96,67.0,72.0,63.0,0.0
2024-07-30,58.35,52.0,72.0,63.0,3.0
2024-07-31,61.34,52.0,72.0,63.0,0.0
2024-08-01,59.9,60.0,72.0,63.0,3.0
2024-08-02,59.85,60.0,72.0,63.0,3.0
2024-08-05,59.24,60.0,72.0,63.0,3.0
2024-08-06,61.66,70.0,72.0,63.0,3.0
2024-08-07,67.88,70.0,72.0,73.0,0.0
2024-08-08,64.98,60.0,72.0,73.0,0.0
2024-08-09,62.06,57.0,72.0,63.0,0.0
2024-08-12,48.98,23.0,72.0,45.0,0.0
2024-08-13,39.35,23.0,72.0,20.0,3.0
2024-08-14,40.49,28.0,72.0,20.0,3.0
2024-08-16,43.75,28.0,72.0,20.0,0.0
2024-08-19,45.26,33.0,72.0,20.0,0.0
2024-08-20,47.89,43.0,72.0,20.0,0.0
2024-08-21,47.82,42.0,72.0,20.0,0.0
2024-08-22,47.01,38.0,72.0,20.0,0.0
2024-08-23,46.62,23.0,72.0,35.0,0.0
2024-08-26,47.48,28.0,72.0,45.0,3.0
2024-08-27,51.6,32.0,72.0,45.0,0.0
2024-08-28,47.09,27.0,72.0,45.0,3.0
2024-08-29,51.26,33.0,72.0,45.0,0.0
2024-08-30,51.51,33.0,72.0,45.0,0.0
2024-09-02,52.52,38.0,72.0,45.0,0.0
2024-09-03,48.45,32.0,72.0,45.0,3.0
2024-09-04,59.82,65.0,72.0,45.0,0.0
2024-09-05,45.42,45.0,72.0,20.0,3.0
2024-09-06,40.56,27.0,72.0,20.0,3.0
2024-09-09,42.23,23.0,72.0,20.0,0.0
2024-09-10,55.14,55.0,72.0,38.0,0.0
2024-09-11,50.48,50.0,72.0,38.0,3.0
2024-09-12,57.29,65.0,72.0,38.0,0.0
2024-09-13,52.67,45.0,72.0,38.0,0.0
2024-09-16,50.89,50.0,72.0,38.0,3.0
2024-09-17,56.19,50.0,72.0,48.0,0.0
2024-09-18,44.67,27.0,72.0,38.0,3.0
2024-09-19,39.11,27.0,72.0,18.0,3.0
2024-09-20,39.29,23.0,72.0,10.0,0.0
2024-09-23,36.46,23.0,72.0,10.0,3.0
2024-09-24,39.31,23.0,72.0,10.0,0.0
2024-09-25,41.74,33.0,72.0,10.0,0.0
2024-09-26,42.83,38.0,72.0,10.0,0.0
2024-09-27,43.53,32.0,72.0,18.0,0.0
2024-09-30,45.37,50.0,72.0,18.0,3.0
2024-10-01,62.46,85.0,72.0,38.0,0.0
2024-10-03,52.3,75.0,72.0,10.0,0.0
2024-10-04,61.52,85.0,72.0,38.0,0.0
2024-10-07,53.29,75.0,72.0,18.0,0.0
2024-10-08,62.64,80.0,72.0,48.0,0.0
2024-10-09,56.4,65.0,72.0,38.0,0.0
2024-10-10,56.23,60.0,72.0,53.0,3.0
2024-10-11,56.22,60.0,72.0,53.0,3.0
2024-10-14,52.35,60.0,72.0,38.0,3.0
2024-10-15,52.54,60.0,72.0,38.0,3.0
2024-10-16,63.37,80.0,72.0,48.0,0.0
2024-10-17,54.83,60.0,72.0,48.0,3.0
2024-10-18,47.63,60.0,72.0,18.0,3.0
2024-10-21,55.96,65.0,72.0,48.0,3.0
2024-10-22,42.72,23.0,72.0,28.0,0.0
2024-10-23,39.91,23.0,72.0,28.0,3.0
2024-10-24,43.96,28.0,72.0,28.0,0.0
2024-10-25,39.35,23.0,72.0,28.0,3.0
2024-10-28,46.91,52.0,72.0,28.0,3.0
2024-10-29,45.56,47.0,72.0,28.0,3.0
2024-10-30,35.47,23.0,72.0,10.0,3.0
2024-10-31,55.55,70.0,72.0,43.0,3.0
2024-11-01,53.5,65.0,72.0,38.0,3.0
2024-11-04,60.1,75.0,72.0,43.0,0.0
2024-11-05,61.55,80.0,72.0,43.0,0.0
2024-11-06,48.65,60.0,72.0,10.0,0.0
2024-11-07,51.84,60.0,72.0,35.0,3.0
2024-11-08,51.36,60.0,72.0,35.0,3.0
2024-11-11,41.1,23.0,72.0,20.0,0.0
2024-11-12,37.81,23.0,72.0,20.0,3.0
2024-11-13,37.72,23.0,72.0,10.0,0.0
2024-11-14,27.74,14.0,72.0,10.0,8.0
2024-11-18,28.75,19.0,72.0,10.0,8.0
2024-11-19,14.74,4.0,72.0,0.0,16.0
2024-11-21,32.45,33.0,72.0,10.0,8.0
2024-11-22,25.34,4.0,72.0,10.0,8.0
2024-11-25,29.09,18.0,72.0,10.0,8.0
2024-11-26,28.05,13.0,72.0,10.0,8.0
2024-11-27,27.08,8.0,72.0,10.0,8.0
2024-11-28,28.56,13.0,72.0,10.0,8.0
2024-11-29,29.68,18.0,72.0,10.0,8.0
2024-12-02,29.91,18.0,72.0,10.0,8.0
2024-12-03,52.33,60.0,72.0,25.0,0.0
2024-12-04,45.12,45.0,72.0,10.0,0.0
2024-12-05,43.04,50.0,72.0,10.0,3.0
2024-12-06,41.97,45.0,72.0,10.0,3.0
2024-12-09,43.18,50.0,72.0,10.0,3.0
2024-12-10,47.59,55.0,72.0,10.0,0.0
2024-12-11,53.62,70.0,72.0,18.0,0.0
2024-12-12,47.69,60.0,72.0,18.0,3.0
2024-12-13,50.8,60.0,72.0,18.0,0.0
2024-12-16,43.93,45.0,72.0,18.0,3.0
2024-12-17,43.51,32.0,72.0,18.0,0.0
2024-12-18,24.34,18.0,72.0,8.0,13.0
2024-12-19,29.33,18.0,72.0,8.0,8.0
2024-12-20,32.75,23.0,72.0,18.0,8.0
2024-12-23,27.64,13.0,72.0,8.0,8.0
2024-12-24,24.57,8.0,72.0,0.0,8.0
2024-12-26,24.35,13.0,72.0,8.0,11.0
2024-12-27,24.43,13.0,72.0,8.0,11.0
2024-12-30,22.64,23.0,72.0,0.0,13.0
2024-12-31,1.19,23.0,9.0,0.0,12.0
2025-01-01,0.0,8.0,9.0,0.0,15.0
2025-01-02,0.0,13.0,9.0,0.0,12.0
2025-01-03,0.0,8.0,9.0,0.0,15.0
2025-01-06,0.0,8.0,9.0,0.0,12.0
2025-01-07,0.0,13.0,9.0,0.0,15.0
2025-01-08,0.0,8.0,9.0,0.0,12.0
2025-01-09,1.03,23.0,9.0,0.0,12.0
2025-01-10,0.0,18.0,9.0,0.0,12.0
2025-01-13,0.0,18.0,9.0,0.0,12.0
2025-01-14,0.0,13.0,9.0,0.0,12.0
2025-01-15,0.0,13.0,9.0,0.0,12.0
