scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,61.39,60.0,39.0,100.0,0.0
2023-09-06,60.8,60.0,39.0,98.0,0.0
2023-09-07,58.32,60.0,39.0,88.0,0.0
2023-09-08,62.08,65.0,39.0,98.0,0.0
2023-09-11,56.71,65.0,39.0,88.0,3.0
2023-09-12,48.23,42.0,39.0,88.0,5.0
2023-09-13,54.46,47.0,39.0,88.0,0.0
2023-09-14,57.29,70.0,39.0,88.0,3.0
2023-09-15,59.14,65.0,39.0,88.0,0.0
2023-09-18,54.71,60.0,39.0,88.0,3.0
2023-09-20,52.79,42.0,39.0,88.0,0.0
2023-09-21,45.89,27.0,39.0,88.0,3.0
2023-09-22,44.85,23.0,39.0,88.0,3.0
2023-09-25,45.04,23.0,39.0,88.0,3.0
2023-09-26,43.76,23.0,39.0,70.0,0.0
2023-09-27,40.59,23.0,39.0,70.0,3.0
2023-09-28,43.56,23.0,39.0,70.0,0.0
2023-09-29,42.45,28.0,39.0,60.0,0.0
2023-10-03,42.54,28.0,39.0,60.0,0.0
2023-10-04,37.28,23.0,39.0,45.0,0.0
2023-10-05,42.41,28.0,39.0,60.0,0.0
2023-10-06,54.44,75.0,39.0,60.0,0.0
2023-10-09,41.84,27.0,39.0,60.0,0.0
2023-10-10,49.18,55.0,39.0,60.0,0.0
2023-10-11,43.05,45.0,39.0,45.0,0.0
2023-10-12,50.41,55.0,39.0,63.0,0.0
2023-10-13,41.24,37.0,39.0,45.0,0.0
2023-10-16,44.62,50.0,39.0,45.0,0.0
2023-10-17,45.77,65.0,39.0,45.0,3.0
2023-10-18,48.47,65.0,39.0,45.0,0.0
2023-10-19,55.53,75.0,39.0,63.0,0.0
2023-10-20,47.8,45.0,39.0,63.0,0.0
2023-10-23,36.89,33.0,39.0,35.0,0.0
2023-10-25,36.53,33.0,39.0,35.0,0.0
2023-10-26,39.2,43.0,39.0,35.0,0.0
2023-10-27,42.61,37.0,39.0,53.0,0.0
2023-10-30,54.81,65.0,39.0,73.0,0.0
2023-10-31,45.09,27.0,39.0,73.0,0.0
2023-11-01,50.77,50.0,39.0,73.0,0.0
2023-11-02,47.92,50.0,39.0,73.0,3.0
2023-11-03,36.05,28.0,39.0,35.0,0.0
2023-11-06,39.67,32.0,39.0,45.0,0.0
2023-11-07,37.17,32.0,39.0,35.0,0.0
2023-11-08,31.86,32.0,39.0,25.0,3.0
2023-11-09,32.38,23.0,39.0,25.0,0.0
2023-11-10,28.74,23.0,39.0,10.0,0.0
2023-11-13,34.12,28.0,39.0,25.0,0.0
2023-11-15,33.03,23.0,39.0,25.0,0.0
2023-11-16,38.98,37.0,39.0,35.0,0.0
2023-11-17,36.51,38.0,39.0,25.0,0.0
2023-11-20,41.11,47.0,39.0,35.0,0.0
2023-11-21,35.22,32.0,39.0,25.0,0.0
2023-11-22,32.22,32.0,39.0,25.0,3.0
2023-11-23,52.99,85.0,39.0,43.0,0.0
2023-11-24,51.92,60.0,39.0,63.0,0.0
2023-11-28,53.13,75.0,39.0,53.0,0.0
2023-11-29,50.42,65.0,39.0,53.0,0.0
2023-11-30,50.67,65.0,39.0,53.0,0.0
2023-12-01,45.52,65.0,39.0,33.0,0.0
2023-12-04,52.86,85.0,39.0,43.0,0.0
2023-12-05,46.24,70.0,39.0,33.0,0.0
2023-12-06,41.09,65.0,39.0,18.0,0.0
2023-12-07,45.16,65.0,39.0,33.0,0.0
2023-12-08,41.31,65.0,39.0,18.0,0.0
2023-12-11,47.36,65.0,39.0,53.0,3.0
2023-12-12,42.54,60.0,39.0,40.0,3.0
2023-12-13,44.11,60.0,39.0,33.0,0.0
2023-12-14,46.11,60.0,39.0,53.0,3.0
2023-12-15,43.57,65.0,39.0,38.0,3.0
2023-12-18,54.55,65.0,39.0,70.0,0.0
2023-12-19,43.79,60.0,39.0,33.0,0.0
2023-12-20,41.57,70.0,39.0,18.0,0.0
2023-12-21,46.68,65.0,39.0,53.0,3.0
2023-12-22,56.24,80.0,39.0,63.0,0.0
2023-12-26,63.67,72.0,39.0,100.0,0.0
2023-12-27,63.73,72.0,39.0,100.0,0.0
2023-12-28,63.69,72.0,39.0,100.0,0.0
2023-12-29,57.36,47.0,39.0,100.0,0.0
2024-01-01,60.29,57.0,39.0,100.0,0.0
2024-01-02,58.93,52.0,39.0,100.0,0.0
2024-01-03,57.72,47.0,39.0,100.0,0.0
2024-01-04,55.06,47.0,39.0,100.0,3.0
2024-01-05,57.94,47.0,39.0,100.0,0.0
2024-01-08,56.09,52.0,39.0,100.0,3.0
2024-01-09,55.09,47.0,39.0,100.0,3.0
2024-01-10,56.31,52.0,39.0,100.0,3.0
2024-01-11,56.54,52.0,39.0,100.0,3.0
2024-01-12,59.01,75.0,39.0,95.0,5.0
2024-01-15,54.97,55.0,39.0,80.0,0.0
2024-01-16,45.33,42.0,39.0,55.0,0.0
2024-01-17,46.26,47.0,39.0,55.0,0.0
2024-01-18,54.74,65.0,39.0,70.0,0.0
2024-01-19,57.53,65.0,39.0,80.0,0.0
2024-01-23,39.87,42.0,39.0,48.0,3.0
2024-01-24,44.38,60.0,39.0,45.0,3.0
2024-01-25,53.87,70.0,39.0,60.0,0.0
2024-01-29,63.76,72.0,39.0,98.0,0.0
2024-01-30,60.74,60.0,39.0,98.0,0.0
2024-01-31,57.92,60.0,39.0,98.0,3.0
2024-02-01,59.02,65.0,39.0,98.0,3.0
2024-02-02,58.1,60.0,39.0,88.0,0.0
2024-02-05,58.7,65.0,39.0,98.0,3.0
2024-02-06,60.68,70.0,39.0,100.0,3.0
2024-02-07,64.19,72.0,39.0,100.0,0.0
2024-02-08,62.6,67.0,39.0,100.0,0.0
2024-02-09,58.58,52.0,39.0,100.0,0.0
2024-02-12,56.85,60.0,39.0,100.0,3.0
2024-02-13,56.88,60.0,39.0,100.0,3.0
2024-02-14,62.5,70.0,39.0,100.0,0.0
2024-02-15,61.5,65.0,39.0,100.0,0.0
2024-02-16,57.29,60.0,39.0,100.0,3.0
2024-02-19,55.46,52.0,39.0,100.0,3.0
2024-02-20,57.3,60.0,39.0,100.0,3.0
2024-02-21,57.03,60.0,39.0,100.0,3.0
2024-02-22,57.27,60.0,39.0,100.0,3.0
2024-02-23,58.58,65.0,39.0,100.0,3.0
2024-02-26,58.08,65.0,39.0,98.0,3.0
2024-02-27,57.96,65.0,39.0,98.0,3.0
2024-02-28,56.2,60.0,39.0,98.0,3.0
2024-02-29,56.32,60.0,39.0,98.0,3.0
2024-03-01,65.06,80.0,39.0,100.0,0.0
2024-03-04,57.02,60.0,39.0,100.0,3.0
2024-03-05,56.22,60.0,39.0,98.0,3.0
2024-03-06,48.39,47.0,39.0,70.0,0.0
2024-03-07,50.15,65.0,39.0,70.0,3.0
2024-03-11,46.72,42.0,39.0,70.0,0.0
2024-03-12,39.22,23.0,39.0,60.0,0.0
2024-03-13,31.1,28.0,39.0,45.0,5.0
2024-03-14,40.48,43.0,39.0,45.0,0.0
2024-03-15,40.38,28.0,39.0,60.0,0.0
2024-03-18,43.04,28.0,39.0,70.0,0.0
2024-03-19,43.91,33.0,39.0,70.0,0.0
2024-03-20,43.94,33.0,39.0,70.0,0.0
2024-03-21,55.3,75.0,39.0,70.0,0.0
2024-03-22,52.81,65.0,39.0,70.0,0.0
2024-03-26,62.03,85.0,39.0,88.0,0.0
2024-03-27,64.76,85.0,39.0,98.0,0.0
2024-03-28,63.99,80.0,39.0,100.0,0.0
2024-04-01,71.36,60.0,71.0,100.0,0.0
2024-04-02,72.91,65.0,71.0,100.0,0.0
2024-04-03,72.53,65.0,71.0,98.0,0.0
2024-04-04,66.78,52.0,71.0,100.0,3.0
2024-04-05,70.1,52.0,71.0,100.0,0.0
2024-04-08,67.17,52.0,71.0,100.0,3.0
2024-04-09,74.81,72.0,71.0,100.0,0.0
2024-04-10,68.61,47.0,71.0,100.0,0.0
2024-04-12,72.04,60.0,71.0,100.0,0.0
2024-04-15,71.8,60.0,71.0,100.0,0.0
2024-04-16,74.5,70.0,71.0,100.0,0.0
2024-04-18,71.86,60.0,71.0,100.0,0.0
2024-04-19,72.86,65.0,71.0,100.0,0.0
2024-04-22,76.14,75.0,71.0,100.0,0.0
2024-04-23,74.8,70.0,71.0,100.0,0.0
2024-04-24,72.52,60.0,71.0,100.0,0.0
2024-04-25,65.28,52.0,71.0,100.0,5.0
2024-04-26,77.02,80.0,71.0,98.0,0.0
2024-04-29,69.28,60.0,71.0,88.0,0.0
2024-04-30,70.73,65.0,71.0,88.0,0.0
2024-05-02,71.81,70.0,71.0,88.0,0.0
2024-05-03,69.06,60.0,71.0,88.0,0.0
2024-05-06,65.59,60.0,71.0,88.0,3.0
2024-05-07,56.65,42.0,71.0,60.0,0.0
2024-05-08,70.99,70.0,71.0,88.0,0.0
