scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,58.1,85.0,41.0,60.0,0.0
2023-09-05,55.09,72.0,41.0,60.0,0.0
2023-09-06,58.75,67.0,41.0,80.0,0.0
2023-09-07,55.02,52.0,41.0,80.0,0.0
2023-09-08,59.53,70.0,41.0,80.0,0.0
2023-09-11,58.91,67.0,41.0,80.0,0.0
2023-09-12,58.93,70.0,41.0,80.0,0.0
2023-09-13,57.66,65.0,41.0,80.0,0.0
2023-09-14,65.24,75.0,41.0,100.0,0.0
2023-09-15,61.59,65.0,41.0,95.0,0.0
2023-09-18,56.41,60.0,41.0,80.0,0.0
2023-09-20,57.99,65.0,41.0,95.0,3.0
2023-09-21,59.59,60.0,41.0,95.0,0.0
2023-09-22,60.3,70.0,41.0,100.0,3.0
2023-09-25,55.99,60.0,41.0,80.0,0.0
2023-09-26,64.96,80.0,41.0,95.0,0.0
2023-09-27,58.04,60.0,41.0,100.0,3.0
2023-09-28,64.26,75.0,41.0,98.0,0.0
2023-09-29,59.4,65.0,41.0,88.0,0.0
2023-10-03,62.49,65.0,41.0,100.0,0.0
2023-10-04,61.73,65.0,41.0,98.0,0.0
2023-10-05,65.61,80.0,41.0,98.0,0.0
2023-10-06,63.14,67.0,41.0,100.0,0.0
2023-10-09,63.79,72.0,41.0,100.0,0.0
2023-10-10,62.88,67.0,41.0,100.0,0.0
2023-10-11,64.25,72.0,41.0,100.0,0.0
2023-10-12,64.61,72.0,41.0,100.0,0.0
2023-10-13,63.19,67.0,41.0,100.0,0.0
2023-10-16,55.82,57.0,41.0,100.0,5.0
2023-10-17,64.47,70.0,41.0,100.0,0.0
2023-10-18,59.17,50.0,41.0,100.0,0.0
2023-10-19,59.23,55.0,41.0,95.0,0.0
2023-10-20,57.25,55.0,41.0,100.0,3.0
2023-10-23,59.34,55.0,41.0,100.0,0.0
2023-10-25,57.73,50.0,41.0,100.0,0.0
2023-10-26,60.4,60.0,41.0,100.0,0.0
2023-10-27,63.31,70.0,41.0,100.0,0.0
2023-10-30,55.51,50.0,41.0,100.0,3.0
2023-10-31,63.29,70.0,41.0,100.0,0.0
2023-11-01,57.72,60.0,41.0,100.0,3.0
2023-11-02,59.12,65.0,41.0,100.0,3.0
2023-11-03,63.5,70.0,41.0,100.0,0.0
