scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,54.93,65.0,33.0,78.0,0.0
2023-09-05,54.74,65.0,33.0,78.0,0.0
2023-09-06,54.82,75.0,33.0,68.0,0.0
2023-09-07,49.91,60.0,33.0,63.0,0.0
2023-09-08,54.94,65.0,33.0,78.0,0.0
2023-09-11,51.59,60.0,33.0,70.0,0.0
2023-09-12,50.82,60.0,33.0,70.0,0.0
2023-09-13,40.95,42.0,33.0,60.0,3.0
2023-09-14,57.05,75.0,33.0,78.0,0.0
2023-09-15,61.81,85.0,33.0,88.0,0.0
2023-09-18,61.8,85.0,33.0,88.0,0.0
2023-09-20,59.18,75.0,33.0,88.0,0.0
2023-09-21,58.87,75.0,33.0,88.0,0.0
2023-09-22,56.44,65.0,33.0,88.0,0.0
2023-09-25,64.39,85.0,33.0,100.0,0.0
2023-09-26,62.99,80.0,33.0,100.0,0.0
2023-09-27,61.2,72.0,33.0,100.0,0.0
2023-09-28,60.81,72.0,33.0,100.0,0.0
2023-09-29,61.16,72.0,33.0,100.0,0.0
2023-10-03,54.29,57.0,33.0,100.0,3.0
2023-10-04,57.14,57.0,33.0,100.0,0.0
2023-10-05,57.38,57.0,33.0,100.0,0.0
2023-10-06,54.35,57.0,33.0,100.0,3.0
2023-10-09,56.75,57.0,33.0,100.0,0.0
2023-10-10,57.18,57.0,33.0,100.0,0.0
2023-10-11,52.11,47.0,33.0,100.0,3.0
2023-10-12,52.31,47.0,33.0,100.0,3.0
2023-10-13,52.32,47.0,33.0,100.0,3.0
2023-10-16,52.09,47.0,33.0,100.0,3.0
2023-10-17,52.17,47.0,33.0,100.0,3.0
2023-10-18,52.02,47.0,33.0,100.0,3.0
2023-10-19,55.37,60.0,33.0,100.0,3.0
2023-10-20,52.62,50.0,33.0,100.0,3.0
2023-10-23,51.4,50.0,33.0,100.0,3.0
2023-10-25,51.17,50.0,33.0,100.0,3.0
2023-10-26,51.13,50.0,33.0,100.0,3.0
2023-10-27,52.69,55.0,33.0,100.0,3.0
2023-10-30,53.88,60.0,33.0,100.0,3.0
2023-10-31,52.65,55.0,33.0,100.0,3.0
2023-11-01,54.44,65.0,33.0,98.0,3.0
2023-11-02,54.87,65.0,33.0,98.0,3.0
2023-11-03,52.66,65.0,33.0,88.0,3.0
2023-11-06,51.52,65.0,33.0,70.0,0.0
2023-11-07,45.36,52.0,33.0,70.0,3.0
2023-11-08,48.66,52.0,33.0,70.0,0.0
2023-11-09,51.93,67.0,33.0,70.0,0.0
2023-11-10,57.68,62.0,33.0,98.0,0.0
2023-11-13,53.69,57.0,33.0,98.0,3.0
2023-11-15,57.19,57.0,33.0,100.0,0.0
2023-11-16,58.49,62.0,33.0,100.0,0.0
2023-11-17,55.94,52.0,33.0,100.0,0.0
2023-11-20,52.71,52.0,33.0,100.0,3.0
2023-11-21,51.67,47.0,33.0,100.0,3.0
2023-11-22,59.38,65.0,33.0,100.0,0.0
2023-11-23,58.36,60.0,33.0,100.0,0.0
2023-11-24,58.29,60.0,33.0,100.0,0.0
2023-11-28,56.56,65.0,33.0,100.0,3.0
2023-11-29,58.26,60.0,33.0,100.0,0.0
2023-11-30,58.49,60.0,33.0,100.0,0.0
2023-12-01,55.52,60.0,33.0,88.0,0.0
2023-12-04,48.08,42.0,33.0,88.0,3.0
2023-12-05,49.98,38.0,33.0,88.0,0.0
2023-12-06,52.51,47.0,33.0,88.0,0.0
2023-12-07,47.96,47.0,33.0,70.0,0.0
2023-12-08,49.31,65.0,33.0,70.0,3.0
2023-12-11,58.36,70.0,33.0,88.0,0.0
2023-12-12,55.27,70.0,33.0,88.0,3.0
2023-12-13,58.73,72.0,33.0,88.0,0.0
2023-12-14,60.7,72.0,33.0,95.0,0.0
2023-12-15,55.29,57.0,33.0,88.0,0.0
2023-12-18,57.32,65.0,33.0,88.0,0.0
2023-12-19,57.33,65.0,33.0,88.0,0.0
2023-12-20,59.02,75.0,33.0,88.0,0.0
2023-12-21,59.59,75.0,33.0,88.0,0.0
2023-12-22,60.36,70.0,33.0,95.0,0.0
2023-12-26,59.24,65.0,33.0,95.0,0.0
2023-12-27,56.13,60.0,33.0,88.0,0.0
2023-12-28,57.77,60.0,33.0,95.0,0.0
2023-12-29,64.16,80.0,33.0,100.0,0.0
2024-01-01,62.56,72.0,33.0,100.0,0.0
2024-01-02,62.39,72.0,33.0,100.0,0.0
2024-01-03,59.91,62.0,33.0,100.0,0.0
2024-01-04,62.51,72.0,33.0,100.0,0.0
2024-01-05,59.7,62.0,33.0,100.0,0.0
2024-01-08,55.77,47.0,33.0,100.0,0.0
2024-01-09,59.63,62.0,33.0,100.0,0.0
2024-01-10,57.05,52.0,33.0,100.0,0.0
2024-01-11,60.45,65.0,33.0,100.0,0.0
2024-01-12,60.36,65.0,33.0,100.0,0.0
2024-01-15,60.15,65.0,33.0,100.0,0.0
2024-01-16,61.16,70.0,33.0,100.0,0.0
2024-01-17,55.39,60.0,33.0,100.0,3.0
2024-01-18,61.33,70.0,33.0,100.0,0.0
2024-01-19,59.61,62.0,33.0,100.0,0.0
2024-01-23,57.29,57.0,33.0,100.0,0.0
2024-01-24,60.24,67.0,33.0,100.0,0.0
2024-01-25,60.32,67.0,33.0,100.0,0.0
2024-01-29,59.06,62.0,33.0,100.0,0.0
2024-01-30,57.71,57.0,33.0,100.0,0.0
2024-01-31,58.11,57.0,33.0,100.0,0.0
2024-02-01,53.57,52.0,33.0,100.0,3.0
2024-02-02,52.3,47.0,33.0,100.0,3.0
2024-02-05,51.84,47.0,33.0,100.0,3.0
2024-02-06,53.23,52.0,33.0,100.0,3.0
2024-02-07,52.0,47.0,33.0,100.0,3.0
2024-02-08,56.11,52.0,33.0,100.0,0.0
2024-02-09,51.66,47.0,33.0,100.0,3.0
2024-02-12,57.53,60.0,33.0,100.0,0.0
2024-02-13,54.55,60.0,33.0,100.0,3.0
2024-02-14,54.72,60.0,33.0,100.0,3.0
2024-02-15,58.97,65.0,33.0,100.0,0.0
2024-02-16,56.14,65.0,33.0,100.0,3.0
2024-02-19,59.38,65.0,33.0,100.0,0.0
2024-02-20,58.1,60.0,33.0,100.0,0.0
2024-02-21,52.03,60.0,33.0,88.0,3.0
2024-02-22,53.31,65.0,33.0,88.0,3.0
2024-02-23,47.48,60.0,33.0,70.0,3.0
2024-02-26,42.85,42.0,33.0,70.0,3.0
2024-02-27,42.53,42.0,33.0,70.0,3.0
2024-02-28,44.06,38.0,33.0,70.0,0.0
2024-02-29,44.54,52.0,33.0,70.0,3.0
2024-03-01,41.24,38.0,33.0,70.0,3.0
2024-03-04,43.31,47.0,33.0,70.0,3.0
2024-03-05,41.51,28.0,33.0,70.0,0.0
2024-03-06,42.4,33.0,33.0,70.0,0.0
2024-03-07,38.8,19.0,33.0,70.0,0.0
2024-03-11,38.3,19.0,33.0,70.0,0.0
2024-03-12,29.96,19.0,33.0,70.0,8.0
2024-03-13,29.61,19.0,33.0,70.0,8.0
2024-03-14,40.59,39.0,33.0,60.0,0.0
2024-03-15,23.45,19.0,33.0,45.0,8.0
2024-03-18,38.87,33.0,33.0,60.0,0.0
2024-03-19,39.97,28.0,33.0,70.0,0.0
2024-03-20,39.95,28.0,33.0,70.0,0.0
2024-03-21,45.28,48.0,33.0,70.0,0.0
2024-03-22,39.22,23.0,33.0,70.0,0.0
2024-03-26,40.08,28.0,33.0,70.0,0.0
2024-03-27,39.01,23.0,33.0,70.0,0.0
2024-03-28,40.36,28.0,33.0,70.0,0.0
2024-04-01,49.55,33.0,53.0,70.0,0.0
2024-04-02,47.31,23.0,53.0,70.0,0.0
2024-04-03,39.73,28.0,53.0,45.0,3.0
2024-04-04,38.65,23.0,53.0,45.0,3.0
2024-04-05,38.72,23.0,53.0,45.0,3.0
2024-04-08,35.97,23.0,53.0,35.0,3.0
2024-04-09,37.1,28.0,53.0,35.0,3.0
2024-04-10,39.46,23.0,53.0,35.0,0.0
2024-04-12,36.39,23.0,53.0,35.0,3.0
2024-04-15,38.33,23.0,53.0,43.0,3.0
2024-04-16,35.15,28.0,53.0,25.0,3.0
