scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2025-10-14,43.77,75.0,47.0,18.0,0.0
2025-10-15,44.33,70.0,47.0,25.0,0.0
2025-10-16,36.44,45.0,47.0,18.0,0.0
2025-10-17,34.36,50.0,47.0,18.0,3.0
2025-10-20,39.93,55.0,47.0,35.0,3.0
2025-10-21,38.94,50.0,47.0,35.0,3.0
2025-10-23,44.43,60.0,47.0,35.0,0.0
2025-10-24,44.23,45.0,47.0,50.0,0.0
2025-10-27,37.83,45.0,47.0,35.0,3.0
2025-10-28,34.67,50.0,47.0,18.0,3.0
2025-10-29,35.96,42.0,47.0,18.0,0.0
2025-10-30,41.79,60.0,47.0,35.0,3.0
2025-10-31,30.16,32.0,47.0,18.0,3.0
2025-11-03,40.51,60.0,47.0,18.0,0.0
2025-11-04,39.19,55.0,47.0,18.0,0.0
2025-11-06,48.01,60.0,47.0,50.0,0.0
2025-11-07,37.64,45.0,47.0,35.0,3.0
2025-11-10,24.51,28.0,47.0,8.0,5.0
2025-11-11,25.63,31.0,47.0,10.0,5.0
2025-11-12,28.83,23.0,47.0,10.0,0.0
2025-11-13,27.39,18.0,47.0,10.0,0.0
2025-11-14,23.16,13.0,47.0,10.0,3.0
2025-11-17,37.25,57.0,47.0,10.0,0.0
2025-11-18,36.5,55.0,47.0,10.0,0.0
2025-11-19,27.64,32.0,47.0,10.0,3.0
2025-11-20,26.97,18.0,47.0,10.0,0.0
2025-11-21,32.72,42.0,47.0,10.0,0.0
2025-11-24,23.96,17.0,47.0,0.0,0.0
2025-11-25,24.8,22.0,47.0,10.0,3.0
2025-11-26,23.79,17.0,47.0,10.0,3.0
2025-11-27,23.36,13.0,47.0,0.0,0.0
2025-11-28,23.4,13.0,47.0,0.0,0.0
2025-12-01,21.56,18.0,47.0,0.0,3.0
2025-12-02,20.16,13.0,47.0,0.0,3.0
2025-12-03,20.05,13.0,47.0,0.0,3.0
2025-12-04,21.36,18.0,47.0,0.0,3.0
2025-12-05,20.02,13.0,47.0,0.0,3.0
2025-12-08,20.88,26.0,47.0,0.0,5.0
2025-12-09,33.58,37.0,47.0,18.0,0.0
2025-12-10,20.67,17.0,47.0,0.0,3.0
2025-12-11,19.87,13.0,47.0,0.0,3.0
2025-12-12,20.67,16.0,47.0,0.0,3.0
2025-12-15,21.88,21.0,47.0,0.0,3.0
2025-12-16,21.73,21.0,47.0,0.0,3.0
2025-12-17,24.7,21.0,47.0,0.0,0.0
2025-12-18,23.46,16.0,47.0,0.0,0.0
2025-12-19,23.81,16.0,47.0,0.0,0.0
2025-12-22,27.77,31.0,47.0,0.0,0.0
2025-12-23,26.47,26.0,47.0,0.0,0.0
2025-12-24,23.75,16.0,47.0,0.0,0.0
2025-12-26,23.74,16.0,47.0,0.0,0.0
2025-12-29,23.64,16.0,47.0,0.0,0.0
2025-12-30,23.68,16.0,47.0,0.0,0.0
2025-12-31,0.64,21.0,12.0,0.0,12.0
2026-01-01,0.0,16.0,12.0,0.0,12.0
2026-01-02,3.22,30.0,12.0,0.0,12.0
2026-01-05,0.0,16.0,12.0,0.0,12.0
2026-01-06,0.0,16.0,12.0,0.0,12.0
2026-01-07,0.69,21.0,12.0,0.0,12.0
2026-01-08,0.0,16.0,12.0,0.0,12.0
2026-01-09,0.0,16.0,12.0,0.0,12.0
2026-01-12,0.05,21.0,12.0,0.0,12.0
2026-01-13,1.38,26.0,12.0,0.0,12.0
2026-01-14,1.41,26.0,12.0,0.0,12.0
2026-01-15,0.0,16.0,12.0,0.0,15.0
2026-01-16,0.0,9.0,12.0,0.0,12.0
2026-01-19,0.0,24.0,12.0,0.0,20.0
2026-01-20,0.0,19.0,12.0,0.0,20.0
2026-01-21,0.0,19.0,12.0,0.0,20.0
2026-01-22,5.15,41.0,12.0,0.0,12.0
2026-01-23,2.39,31.0,12.0,0.0,12.0
2026-01-27,0.0,21.0,12.0,0.0,12.0
2026-01-28,0.17,21.0,12.0,0.0,12.0
2026-01-29,0.0,16.0,12.0,0.0,12.0
2026-01-30,0.0,16.0,12.0,0.0,12.0
2026-02-02,0.0,9.0,12.0,0.0,12.0
2026-02-03,4.98,36.0,12.0,0.0,12.0
2026-02-04,0.0,26.0,12.0,0.0,15.0
2026-02-05,0.0,16.0,12.0,0.0,15.0
2026-02-06,3.31,31.0,12.0,0.0,12.0
2026-02-09,2.88,26.0,12.0,0.0,12.0
2026-02-10,1.75,21.0,12.0,0.0,12.0
2026-02-11,0.0,16.0,12.0,0.0,15.0
2026-02-12,0.26,16.0,12.0,0.0,12.0
2026-02-13,0.03,16.0,12.0,0.0,12.0
2026-02-16,0.0,16.0,12.0,0.0,12.0
2026-02-17,1.2,21.0,12.0,0.0,12.0
2026-02-18,5.03,36.0,12.0,0.0,12.0
2026-02-19,0.0,16.0,12.0,0.0,12.0
2026-02-20,0.0,9.0,12.0,0.0,12.0
2026-02-23,0.0,9.0,12.0,0.0,15.0
2026-02-24,0.0,9.0,12.0,0.0,15.0
2026-02-25,0.0,14.0,12.0,0.0,12.0
2026-02-26,0.0,9.0,12.0,0.0,12.0
2026-02-27,0.0,14.0,12.0,0.0,15.0
2026-03-02,0.24,21.0,12.0,0.0,12.0
2026-03-04,0.0,24.0,12.0,0.0,17.0
2026-03-05,0.0,14.0,12.0,0.0,12.0
2026-03-06,0.0,19.0,12.0,0.0,12.0
2026-03-09,0.0,24.0,12.0,0.0,20.0
2026-03-10,2.81,31.0,12.0,0.0,12.0
2026-03-11,0.0,9.0,12.0,0.0,15.0
2026-03-12,5.41,42.0,12.0,0.0,12.0
2026-03-13,0.0,16.0,12.0,0.0,12.0
2026-03-16,1.02,26.0,12.0,0.0,12.0
2026-03-17,3.51,36.0,12.0,0.0,12.0
2026-03-18,1.36,26.0,12.0,0.0,12.0
2026-03-19,0.0,16.0,12.0,0.0,12.0
2026-03-20,0.0,16.0,12.0,0.0,12.0
2026-03-23,0.0,16.0,12.0,0.0,12.0
2026-03-24,0.0,21.0,12.0,0.0,15.0
2026-03-25,0.0,16.0,12.0,0.0,15.0
2026-03-27,2.42,31.0,12.0,0.0,12.0
2026-03-30,0.0,9.0,12.0,0.0,20.0
2026-04-01,27.98,27.0,60.0,0.0,4.0
2026-04-02,26.83,23.0,60.0,0.0,4.0
2026-04-06,35.85,40.0,60.0,18.0,4.0
2026-04-07,29.04,25.0,60.0,18.0,7.0
2026-04-08,31.26,30.0,60.0,18.0,7.0
2026-04-09,31.38,25.0,60.0,25.0,7.0
2026-04-10,33.9,40.0,60.0,18.0,7.0
2026-04-13,30.36,20.0,60.0,25.0,7.0
2026-04-15,33.22,45.0,60.0,8.0,7.0
2026-04-16,39.36,40.0,60.0,25.0,4.0
2026-04-17,31.67,35.0,60.0,18.0,9.0
2026-04-20,26.94,27.0,60.0,8.0,9.0
2026-04-21,27.34,17.0,60.0,0.0,4.0
2026-04-22,27.72,22.0,60.0,8.0,7.0
2026-04-23,26.5,17.0,60.0,8.0,7.0
2026-04-24,25.27,13.0,60.0,8.0,7.0
2026-04-27,28.09,22.0,60.0,8.0,7.0
2026-04-28,25.55,13.0,60.0,8.0,7.0
2026-04-29,27.05,18.0,60.0,8.0,7.0
2026-04-30,31.09,18.0,60.0,25.0,7.0
2026-05-01,30.87,18.0,60.0,25.0,7.0
2026-05-04,30.96,22.0,60.0,8.0,4.0
2026-05-05,28.42,13.0,60.0,8.0,4.0
2026-05-06,30.54,27.0,60.0,0.0,4.0
2026-05-07,30.36,27.0,60.0,0.0,4.0
2026-05-08,27.67,17.0,60.0,0.0,4.0
2026-05-11,23.29,13.0,60.0,0.0,7.0
2026-05-12,17.75,13.0,60.0,0.0,12.0
2026-05-13,17.86,13.0,60.0,0.0,12.0
2026-05-14,14.68,13.0,60.0,0.0,15.0
2026-05-15,18.53,16.0,60.0,0.0,12.0
2026-05-18,18.01,16.0,60.0,0.0,12.0
2026-05-19,16.69,21.0,60.0,0.0,15.0
2026-05-20,20.77,26.0,60.0,0.0,12.0
2026-05-21,18.61,16.0,60.0,0.0,12.0
2026-05-22,19.7,21.0,60.0,0.0,12.0
2026-05-25,25.14,42.0,60.0,0.0,12.0
2026-05-26,23.5,35.0,60.0,0.0,12.0
2026-05-27,21.55,27.0,60.0,0.0,12.0
2026-05-28,15.72,17.0,60.0,0.0,15.0
2026-05-29,17.61,31.0,60.0,0.0,17.0
2026-06-01,23.51,36.0,60.0,0.0,12.0
2026-06-02,21.22,27.0,60.0,0.0,12.0
2026-06-03,18.4,16.0,60.0,0.0,12.0
2026-06-04,15.6,16.0,60.0,0.0,15.0
2026-06-05,19.75,21.0,60.0,0.0,12.0
2026-06-08,21.91,31.0,60.0,0.0,12.0
2026-06-09,22.63,31.0,60.0,0.0,12.0
2026-06-10,15.28,16.0,60.0,0.0,15.0
2026-06-11,14.87,16.0,60.0,0.0,15.0
2026-06-12,19.85,21.0,60.0,0.0,12.0
2026-06-15,24.69,30.0,60.0,8.0,12.0
2026-06-16,23.2,25.0,60.0,8.0,12.0
2026-06-17,25.38,33.0,60.0,8.0,12.0
2026-06-18,19.13,20.0,60.0,8.0,15.0
2026-06-19,19.36,16.0,60.0,0.0,12.0
2026-06-22,24.23,35.0,60.0,0.0,12.0
2026-06-23,31.45,65.0,60.0,0.0,12.0
2026-06-24,29.95,50.0,60.0,8.0,12.0
2026-06-25,22.66,30.0,60.0,0.0,12.0
2026-06-26,22.63,25.0,60.0,18.0,15.0
2026-06-29,38.51,65.0,60.0,28.0,12.0
2026-06-30,44.93,60.0,60.0,60.0,12.0
2026-07-01,34.77,45.0,60.0,35.0,12.0
2026-07-02,32.02,40.0,60.0,28.0,12.0
2026-07-03,32.47,45.0,60.0,25.0,12.0
2026-07-06,29.12,45.0,60.0,25.0,15.0
2026-07-07,30.59,40.0,60.0,25.0,12.0
2026-07-08,30.38,40.0,60.0,25.0,12.0
2026-07-09,25.91,32.0,60.0,25.0,15.0
2026-07-10,33.42,50.0,60.0,25.0,12.0
2026-07-13,26.09,40.0,60.0,18.0,15.0
2026-07-14,24.23,32.0,60.0,8.0,12.0
2026-07-15,19.76,13.0,60.0,8.0,12.0
2026-07-16,18.04,18.0,60.0,8.0,15.0
2026-07-17,21.71,22.0,60.0,8.0,12.0
2026-07-20,14.69,13.0,60.0,0.0,15.0
2026-07-21,17.58,13.0,60.0,0.0,12.0
2026-07-22,19.41,21.0,60.0,0.0,12.0
2026-07-23,24.49,42.0,60.0,0.0,12.0
2026-07-24,21.79,31.0,60.0,0.0,12.0
2026-07-27,16.46,21.0,60.0,0.0,15.0
2026-07-28,16.26,21.0,60.0,0.0,15.0
2026-07-29,18.21,16.0,60.0,0.0,12.0
2026-07-30,15.01,16.0,60.0,0.0,15.0
2026-07-31,16.44,21.0,60.0,0.0,15.0
2026-08-03,29.48,60.0,60.0,0.0,12.0
2026-08-04,25.75,45.0,60.0,0.0,12.0
2026-08-05,19.91,20.0,60.0,0.0,12.0
2026-08-06,18.09,25.0,60.0,0.0,15.0
2026-08-07,20.94,25.0,60.0,0.0,12.0
2026-08-10,17.68,25.0,60.0,0.0,15.0
2026-08-11,19.33,22.0,60.0,10.0,15.0
2026-08-12,18.71,20.0,60.0,10.0,15.0
2026-08-13,21.76,20.0,60.0,10.0,12.0
2026-08-14,17.24,31.0,60.0,0.0,17.0
2026-08-17,20.8,26.0,60.0,0.0,12.0
2026-08-18,22.06,31.0,60.0,0.0,12.0
2026-08-19,19.35,21.0,60.0,0.0,12.0
2026-08-20,16.64,21.0,60.0,0.0,15.0
2026-08-21,19.65,21.0,60.0,0.0,12.0
2026-08-24,19.56,21.0,60.0,0.0,12.0
2026-08-25,20.74,26.0,60.0,0.0,12.0
2026-08-26,29.03,40.0,60.0,18.0,12.0
2026-08-27,36.4,60.0,60.0,28.0,12.0
2026-08-28,36.4,60.0,60.0,28.0,12.0
2026-08-31,32.84,45.0,60.0,28.0,12.0
2026-09-01,20.41,25.0,60.0,0.0,12.0
2026-09-03,13.7,40.0,31.0,10.0,15.0
