scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,29.79,27.0,23.0,45.0,4.0
2023-09-06,36.7,55.0,23.0,45.0,4.0
2023-09-07,36.72,55.0,23.0,45.0,4.0
2023-09-08,36.73,55.0,23.0,45.0,4.0
2023-09-11,47.61,80.0,23.0,63.0,4.0
2023-09-12,34.88,60.0,23.0,35.0,4.0
2023-09-13,31.61,47.0,23.0,35.0,4.0
2023-09-14,30.44,42.0,23.0,35.0,4.0
2023-09-15,33.79,55.0,23.0,35.0,4.0
2023-09-18,30.36,42.0,23.0,35.0,4.0
2023-09-20,18.94,23.0,23.0,10.0,4.0
2023-09-21,18.79,23.0,23.0,10.0,4.0
2023-09-22,18.75,23.0,23.0,10.0,4.0
2023-09-25,18.94,23.0,23.0,10.0,4.0
2023-09-26,19.15,23.0,23.0,10.0,4.0
2023-09-27,18.99,23.0,23.0,10.0,4.0
2023-09-28,20.21,28.0,23.0,10.0,4.0
2023-09-29,20.35,28.0,23.0,10.0,4.0
2023-10-03,19.19,23.0,23.0,10.0,4.0
2023-10-04,20.18,28.0,23.0,10.0,4.0
2023-10-05,22.56,37.0,23.0,10.0,4.0
2023-10-06,20.34,27.0,23.0,10.0,4.0
2023-10-09,18.74,23.0,23.0,10.0,4.0
2023-10-10,23.83,32.0,23.0,20.0,4.0
2023-10-11,22.95,38.0,23.0,10.0,4.0
2023-10-12,20.81,28.0,23.0,10.0,4.0
2023-10-13,21.64,32.0,23.0,10.0,4.0
2023-10-16,23.02,37.0,23.0,10.0,4.0
2023-10-17,26.67,40.0,23.0,20.0,4.0
2023-10-18,23.12,27.0,23.0,20.0,4.0
2023-10-19,19.68,23.0,23.0,10.0,4.0
2023-10-20,21.7,32.0,23.0,10.0,4.0
2023-10-23,19.79,28.0,23.0,10.0,4.0
2023-10-25,20.68,33.0,23.0,10.0,4.0
2023-10-26,9.1,18.0,23.0,10.0,12.0
2023-10-27,20.01,28.0,23.0,10.0,4.0
2023-10-30,18.96,23.0,23.0,10.0,4.0
2023-10-31,19.99,28.0,23.0,10.0,4.0
2023-11-01,22.17,37.0,23.0,10.0,4.0
2023-11-02,12.07,28.0,23.0,10.0,12.0
2023-11-03,7.2,18.0,23.0,0.0,12.0
2023-11-06,7.32,18.0,23.0,0.0,12.0
2023-11-07,7.57,19.0,23.0,0.0,12.0
2023-11-08,7.76,19.0,23.0,0.0,12.0
2023-11-09,5.03,9.0,23.0,0.0,12.0
2023-11-10,6.89,18.0,23.0,10.0,15.0
2023-11-13,8.02,9.0,23.0,10.0,12.0
2023-11-15,12.93,28.0,23.0,10.0,12.0
2023-11-16,9.13,13.0,23.0,10.0,12.0
2023-11-17,6.41,13.0,23.0,0.0,12.0
2023-11-20,6.26,13.0,23.0,0.0,12.0
2023-11-21,17.12,45.0,23.0,10.0,12.0
2023-11-22,7.62,17.0,23.0,0.0,12.0
2023-11-23,12.14,25.0,23.0,10.0,12.0
2023-11-24,27.32,45.0,23.0,18.0,4.0
2023-11-28,8.03,20.0,23.0,10.0,15.0
2023-11-29,10.07,17.0,23.0,10.0,12.0
2023-11-30,12.32,25.0,23.0,10.0,12.0
2023-12-01,34.67,75.0,23.0,18.0,4.0
2023-12-04,32.01,65.0,23.0,18.0,4.0
2023-12-05,27.89,50.0,23.0,18.0,4.0
2023-12-06,25.24,50.0,23.0,8.0,4.0
2023-12-07,31.06,65.0,23.0,15.0,4.0
2023-12-08,33.46,65.0,23.0,25.0,4.0
2023-12-11,31.26,55.0,23.0,25.0,4.0
2023-12-12,27.19,50.0,23.0,15.0,4.0
2023-12-13,31.26,55.0,23.0,25.0,4.0
2023-12-14,28.76,55.0,23.0,15.0,4.0
2023-12-15,27.47,50.0,23.0,15.0,4.0
2023-12-18,27.45,50.0,23.0,15.0,4.0
2023-12-19,26.69,50.0,23.0,25.0,7.0
2023-12-20,24.47,50.0,23.0,8.0,4.0
2023-12-21,23.08,42.0,23.0,8.0,4.0
2023-12-22,11.64,27.0,23.0,8.0,12.0
