scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,68.96,47.0,62.0,100.0,0.0
2023-09-05,73.5,62.0,62.0,100.0,0.0
2023-09-06,68.96,47.0,62.0,100.0,0.0
2023-09-07,70.47,52.0,62.0,100.0,0.0
2023-09-08,70.47,52.0,62.0,100.0,0.0
2023-09-11,68.96,47.0,62.0,100.0,0.0
2023-09-12,70.92,70.0,62.0,100.0,5.0
2023-09-13,67.45,42.0,62.0,100.0,0.0
2023-09-14,75.92,70.0,62.0,100.0,0.0
2023-09-15,69.26,60.0,62.0,88.0,0.0
2023-09-18,60.82,60.0,62.0,70.0,3.0
2023-09-20,55.37,42.0,62.0,70.0,3.0
2023-09-21,57.16,38.0,62.0,70.0,0.0
2023-09-22,58.67,43.0,62.0,70.0,0.0
2023-09-25,54.16,38.0,62.0,70.0,3.0
2023-09-26,52.62,23.0,62.0,70.0,0.0
2023-09-27,52.62,23.0,62.0,70.0,0.0
2023-09-28,52.62,23.0,62.0,70.0,0.0
2023-09-29,49.6,23.0,62.0,60.0,0.0
2023-10-03,57.16,38.0,62.0,70.0,0.0
2023-10-04,46.6,23.0,62.0,60.0,3.0
2023-10-05,52.62,33.0,62.0,60.0,0.0
2023-10-06,51.11,28.0,62.0,60.0,0.0
2023-10-09,49.6,23.0,62.0,60.0,0.0
2023-10-10,52.62,33.0,62.0,60.0,0.0
2023-10-11,55.65,43.0,62.0,60.0,0.0
2023-10-12,49.6,23.0,62.0,60.0,0.0
2023-10-13,54.14,38.0,62.0,60.0,0.0
2023-10-16,63.82,70.0,62.0,60.0,0.0
2023-10-17,50.81,27.0,62.0,60.0,0.0
2023-10-18,50.81,27.0,62.0,60.0,0.0
2023-10-19,57.76,50.0,62.0,60.0,0.0
2023-10-20,47.81,27.0,62.0,60.0,3.0
2023-10-23,49.6,23.0,62.0,60.0,0.0
2023-10-25,49.6,23.0,62.0,60.0,0.0
2023-10-26,49.6,23.0,62.0,60.0,0.0
2023-10-27,56.86,47.0,62.0,60.0,0.0
2023-10-30,64.72,45.0,62.0,88.0,0.0
2023-10-31,67.75,55.0,62.0,88.0,0.0
2023-11-01,57.16,35.0,62.0,73.0,0.0
2023-11-02,67.75,55.0,62.0,88.0,0.0
2023-11-03,77.43,80.0,62.0,95.0,0.0
2023-11-06,75.92,75.0,62.0,95.0,0.0
2023-11-07,68.38,60.0,62.0,95.0,3.0
2023-11-08,68.38,60.0,62.0,95.0,3.0
2023-11-09,61.72,60.0,62.0,73.0,3.0
2023-11-10,72.28,70.0,62.0,88.0,0.0
2023-11-13,61.72,60.0,62.0,73.0,3.0
2023-11-15,60.21,65.0,62.0,63.0,3.0
2023-11-16,61.72,60.0,62.0,73.0,3.0
2023-11-17,61.72,60.0,62.0,73.0,3.0
2023-11-20,63.21,65.0,62.0,63.0,0.0
2023-11-21,52.65,60.0,62.0,43.0,3.0
2023-11-22,60.18,65.0,62.0,53.0,0.0
2023-11-23,52.34,42.0,62.0,60.0,3.0
2023-11-24,52.34,42.0,62.0,60.0,3.0
2023-11-28,51.72,47.0,62.0,43.0,0.0
2023-11-29,47.2,42.0,62.0,43.0,3.0
2023-11-30,57.16,65.0,62.0,43.0,0.0
2023-12-01,47.2,42.0,62.0,43.0,3.0
2023-12-04,63.21,85.0,62.0,43.0,0.0
2023-12-05,58.67,70.0,62.0,43.0,0.0
2023-12-06,58.67,70.0,62.0,43.0,0.0
2023-12-07,57.16,65.0,62.0,43.0,0.0
2023-12-08,58.67,70.0,62.0,43.0,0.0
2023-12-11,67.45,72.0,62.0,70.0,0.0
2023-12-12,70.47,72.0,62.0,80.0,0.0
2023-12-13,65.93,57.0,62.0,80.0,0.0
2023-12-14,64.42,52.0,62.0,80.0,0.0
2023-12-15,63.82,60.0,62.0,70.0,0.0
2023-12-18,68.35,65.0,62.0,80.0,0.0
2023-12-19,69.87,70.0,62.0,80.0,0.0
2023-12-20,69.87,70.0,62.0,80.0,0.0
2023-12-21,66.84,60.0,62.0,80.0,0.0
2023-12-22,69.87,70.0,62.0,80.0,0.0
2023-12-26,66.84,60.0,62.0,80.0,0.0
2023-12-27,63.84,60.0,62.0,80.0,3.0
2023-12-28,75.01,67.0,62.0,100.0,0.0
2023-12-29,69.89,60.0,62.0,100.0,3.0
