scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2025-12-29,0.0,9.0,12.0,0.0,15.0
2025-12-30,0.0,9.0,12.0,0.0,15.0
2025-12-31,16.07,9.0,30.0,0.0,0.0
2026-01-01,20.14,26.0,30.0,0.0,0.0
2026-01-02,14.97,16.0,30.0,0.0,3.0
2026-01-05,14.91,16.0,30.0,0.0,3.0
2026-01-06,16.14,9.0,30.0,0.0,0.0
2026-01-07,16.2,21.0,30.0,0.0,3.0
2026-01-08,17.05,14.0,30.0,0.0,0.0
2026-01-09,15.58,9.0,30.0,0.0,0.0
2026-01-12,6.44,24.0,30.0,0.0,13.0
2026-01-13,7.67,9.0,30.0,0.0,8.0
2026-01-14,18.16,19.0,30.0,0.0,0.0
2026-01-15,12.46,9.0,30.0,0.0,3.0
2026-01-16,9.98,19.0,30.0,0.0,8.0
2026-01-19,23.39,41.0,30.0,0.0,0.0
2026-01-20,18.2,21.0,30.0,0.0,0.0
2026-01-21,18.6,22.0,30.0,0.0,0.0
2026-01-22,23.19,40.0,30.0,0.0,0.0
2026-01-23,19.16,25.0,30.0,0.0,0.0
2026-01-27,14.21,17.0,30.0,0.0,3.0
2026-01-28,14.44,16.0,30.0,0.0,3.0
2026-01-29,17.41,16.0,30.0,0.0,0.0
2026-01-30,18.92,21.0,30.0,0.0,0.0
2026-02-02,20.02,27.0,30.0,0.0,0.0
2026-02-03,34.86,65.0,30.0,18.0,0.0
2026-02-04,28.55,40.0,30.0,18.0,0.0
2026-02-05,29.48,45.0,30.0,18.0,0.0
2026-02-06,31.98,55.0,30.0,18.0,0.0
2026-02-09,37.08,65.0,30.0,25.0,0.0
2026-02-10,30.53,40.0,30.0,25.0,0.0
2026-02-11,30.48,40.0,30.0,25.0,0.0
2026-02-12,27.38,40.0,30.0,25.0,3.0
2026-02-13,28.24,45.0,30.0,25.0,3.0
2026-02-16,26.83,40.0,30.0,25.0,3.0
2026-02-17,36.42,65.0,30.0,25.0,0.0
2026-02-18,25.5,40.0,30.0,18.0,3.0
2026-02-19,31.98,55.0,30.0,18.0,0.0
2026-02-20,26.81,45.0,30.0,8.0,0.0
2026-02-23,30.54,50.0,30.0,18.0,0.0
2026-02-24,33.37,55.0,30.0,25.0,0.0
2026-02-25,32.2,50.0,30.0,25.0,0.0
2026-02-26,33.41,55.0,30.0,25.0,0.0
2026-02-27,33.42,45.0,30.0,35.0,0.0
2026-03-02,22.72,40.0,30.0,18.0,5.0
2026-03-04,20.94,32.0,30.0,0.0,0.0
2026-03-05,21.47,37.0,30.0,8.0,3.0
2026-03-06,17.19,28.0,30.0,0.0,3.0
2026-03-09,13.2,13.0,30.0,0.0,3.0
2026-03-10,27.7,57.0,30.0,0.0,0.0
2026-03-11,19.59,37.0,30.0,0.0,3.0
2026-03-12,22.14,37.0,30.0,10.0,3.0
2026-03-13,40.18,65.0,30.0,43.0,0.0
2026-03-16,33.83,40.0,30.0,43.0,0.0
2026-03-17,30.89,40.0,30.0,43.0,3.0
2026-03-18,31.24,40.0,30.0,43.0,3.0
2026-03-19,30.67,40.0,30.0,43.0,3.0
2026-03-20,27.02,32.0,30.0,35.0,3.0
2026-03-23,8.21,13.0,30.0,0.0,8.0
2026-03-24,16.64,13.0,30.0,0.0,0.0
2026-03-25,16.83,13.0,30.0,0.0,0.0
2026-03-27,13.43,21.0,30.0,0.0,5.0
2026-03-30,17.77,19.0,30.0,0.0,0.0
2026-04-01,25.92,26.0,53.0,0.0,4.0
2026-04-02,21.93,23.0,53.0,0.0,7.0
2026-04-06,19.58,13.0,53.0,0.0,7.0
2026-04-07,26.16,27.0,53.0,0.0,4.0
2026-04-08,44.83,55.0,53.0,43.0,4.0
2026-04-09,37.93,40.0,53.0,43.0,7.0
2026-04-10,40.02,45.0,53.0,33.0,4.0
2026-04-13,36.79,45.0,53.0,33.0,7.0
2026-04-15,45.45,45.0,53.0,53.0,4.0
2026-04-16,41.02,45.0,53.0,35.0,4.0
2026-04-17,45.69,55.0,53.0,43.0,4.0
2026-04-20,37.15,40.0,53.0,25.0,4.0
2026-04-21,34.34,40.0,53.0,25.0,7.0
2026-04-22,56.32,70.0,53.0,70.0,4.0
2026-04-23,57.57,50.0,53.0,95.0,4.0
2026-04-24,48.24,35.0,53.0,85.0,7.0
2026-04-27,58.12,50.0,53.0,95.0,4.0
2026-04-28,51.1,45.0,53.0,85.0,7.0
2026-04-29,54.1,45.0,53.0,85.0,4.0
2026-04-30,44.92,35.0,53.0,70.0,7.0
2026-05-01,42.19,35.0,53.0,60.0,7.0
2026-05-04,42.52,35.0,53.0,60.0,7.0
2026-05-05,42.24,35.0,53.0,60.0,7.0
2026-05-06,44.45,40.0,53.0,50.0,4.0
2026-05-07,46.98,50.0,53.0,50.0,4.0
2026-05-08,46.73,50.0,53.0,50.0,4.0
2026-05-11,46.56,50.0,53.0,50.0,4.0
2026-05-12,37.47,35.0,53.0,43.0,7.0
2026-05-13,34.79,27.0,53.0,28.0,4.0
2026-05-14,43.1,45.0,53.0,43.0,4.0
2026-05-15,32.89,27.0,53.0,33.0,7.0
2026-05-18,35.89,28.0,53.0,33.0,4.0
2026-05-19,33.05,28.0,53.0,33.0,7.0
2026-05-20,34.72,32.0,53.0,25.0,4.0
2026-05-21,34.9,32.0,53.0,25.0,4.0
2026-05-22,30.74,27.0,53.0,25.0,7.0
2026-05-25,39.76,50.0,53.0,25.0,4.0
2026-05-26,32.94,35.0,53.0,25.0,7.0
2026-05-27,38.55,45.0,53.0,25.0,4.0
2026-05-28,32.81,35.0,53.0,25.0,7.0
2026-05-29,26.69,23.0,53.0,0.0,4.0
2026-06-01,23.56,13.0,53.0,0.0,4.0
2026-06-02,25.15,18.0,53.0,0.0,4.0
2026-06-03,23.17,13.0,53.0,10.0,7.0
2026-06-04,32.69,23.0,53.0,25.0,4.0
2026-06-05,48.25,60.0,53.0,50.0,4.0
2026-06-08,28.85,12.0,53.0,35.0,7.0
2026-06-09,37.63,32.0,53.0,35.0,4.0
2026-06-10,33.38,17.0,53.0,35.0,4.0
2026-06-11,27.02,18.0,53.0,10.0,4.0
2026-06-12,29.03,23.0,53.0,10.0,4.0
2026-06-15,29.16,22.0,53.0,10.0,4.0
2026-06-16,29.01,22.0,53.0,10.0,4.0
2026-06-17,29.07,22.0,53.0,10.0,4.0
2026-06-18,26.63,13.0,53.0,10.0,4.0
2026-06-19,26.67,13.0,53.0,10.0,4.0
2026-06-22,31.92,23.0,53.0,20.0,4.0
2026-06-23,30.54,18.0,53.0,20.0,4.0
2026-06-24,30.46,18.0,53.0,20.0,4.0
2026-06-25,31.31,23.0,53.0,20.0,4.0
2026-06-26,25.59,13.0,53.0,20.0,7.0
2026-06-29,37.46,22.0,53.0,45.0,4.0
2026-06-30,28.17,13.0,53.0,20.0,4.0
2026-07-01,29.27,18.0,53.0,20.0,4.0
2026-07-02,29.57,18.0,53.0,20.0,4.0
2026-07-03,28.42,13.0,53.0,20.0,4.0
2026-07-06,26.93,18.0,53.0,10.0,4.0
2026-07-07,34.45,40.0,53.0,20.0,4.0
2026-07-08,29.62,22.0,53.0,20.0,4.0
2026-07-09,31.44,27.0,53.0,20.0,4.0
2026-07-10,35.87,40.0,53.0,25.0,4.0
2026-07-13,32.56,27.0,53.0,25.0,4.0
2026-07-14,32.35,27.0,53.0,25.0,4.0
2026-07-15,32.63,27.0,53.0,25.0,4.0
2026-07-16,34.7,35.0,53.0,25.0,4.0
2026-07-17,29.98,18.0,53.0,25.0,4.0
2026-07-20,28.77,13.0,53.0,25.0,4.0
2026-07-21,18.45,18.0,53.0,10.0,12.0
2026-07-22,18.24,18.0,53.0,10.0,12.0
2026-07-23,18.25,18.0,53.0,10.0,12.0
2026-07-24,17.07,13.0,53.0,10.0,12.0
2026-07-27,44.22,80.0,53.0,18.0,4.0
2026-07-28,19.93,17.0,53.0,18.0,12.0
2026-07-29,20.37,17.0,53.0,18.0,12.0
2026-07-30,18.05,18.0,53.0,10.0,12.0
2026-07-31,20.75,28.0,53.0,10.0,12.0
2026-08-03,19.53,22.0,53.0,10.0,12.0
2026-08-04,16.06,17.0,53.0,0.0,12.0
2026-08-05,43.26,75.0,53.0,18.0,4.0
2026-08-06,41.86,70.0,53.0,18.0,4.0
2026-08-07,39.22,60.0,53.0,18.0,4.0
2026-08-10,23.5,40.0,53.0,8.0,12.0
2026-08-11,24.94,45.0,53.0,8.0,12.0
2026-08-12,22.95,40.0,53.0,18.0,15.0
2026-08-13,18.21,17.0,53.0,10.0,12.0
2026-08-14,15.85,17.0,53.0,0.0,12.0
2026-08-17,18.62,22.0,53.0,18.0,15.0
2026-08-18,15.9,17.0,53.0,0.0,12.0
2026-08-19,19.19,23.0,53.0,8.0,12.0
2026-08-20,18.91,22.0,53.0,8.0,12.0
2026-08-21,24.85,45.0,53.0,8.0,12.0
2026-08-24,14.88,13.0,53.0,0.0,12.0
2026-08-25,14.98,13.0,53.0,0.0,12.0
2026-08-26,15.16,13.0,53.0,0.0,12.0
2026-08-27,15.28,18.0,53.0,8.0,15.0
2026-08-28,15.43,18.0,53.0,8.0,15.0
2026-08-31,15.07,13.0,53.0,0.0,12.0
2026-09-01,14.91,13.0,53.0,0.0,12.0
2026-09-03,7.59,13.0,28.0,0.0,11.0
