scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2025-08-19,0.0,16.0,16.0,0.0,16.0
2025-08-20,0.0,16.0,16.0,0.0,19.0
2025-08-21,1.07,31.0,16.0,0.0,16.0
2025-08-22,0.0,21.0,16.0,0.0,16.0
2025-08-25,0.0,16.0,16.0,0.0,16.0
2025-08-26,0.94,31.0,16.0,0.0,16.0
2025-08-28,0.0,16.0,16.0,0.0,16.0
2025-08-29,0.0,16.0,16.0,0.0,19.0
2025-09-01,0.0,21.0,16.0,0.0,16.0
2025-09-02,0.33,26.0,16.0,0.0,16.0
2025-09-03,0.0,16.0,16.0,0.0,19.0
2025-09-04,0.0,16.0,16.0,0.0,19.0
2025-09-05,0.0,21.0,16.0,0.0,16.0
2025-09-08,7.2,53.0,16.0,0.0,16.0
2025-09-09,0.0,20.0,16.0,0.0,19.0
2025-09-10,6.04,48.0,16.0,0.0,16.0
2025-09-11,4.21,33.0,16.0,8.0,16.0
2025-09-12,4.24,33.0,16.0,8.0,16.0
2025-09-15,0.0,20.0,16.0,0.0,19.0
2025-09-16,5.19,43.0,16.0,0.0,16.0
2025-09-17,1.49,28.0,16.0,0.0,16.0
2025-09-18,0.0,20.0,16.0,0.0,16.0
2025-09-19,2.56,25.0,16.0,8.0,16.0
2025-09-22,0.0,20.0,16.0,8.0,19.0
2025-09-23,2.57,25.0,16.0,8.0,16.0
2025-09-24,1.51,21.0,16.0,8.0,16.0
2025-09-25,3.7,31.0,16.0,8.0,16.0
2025-09-26,0.86,21.0,16.0,8.0,16.0
2025-09-29,0.0,16.0,16.0,8.0,16.0
2025-09-30,45.85,68.0,57.0,18.0,0.0
2025-10-01,38.62,48.0,57.0,8.0,0.0
2025-10-03,38.7,48.0,57.0,8.0,0.0
2025-10-06,49.66,73.0,57.0,28.0,0.0
2025-10-07,44.59,63.0,57.0,18.0,0.0
2025-10-08,34.22,43.0,57.0,8.0,3.0
2025-10-09,34.22,43.0,57.0,8.0,3.0
2025-10-10,47.39,73.0,57.0,18.0,0.0
2025-10-13,39.1,53.0,57.0,18.0,3.0
2025-10-14,34.77,35.0,57.0,8.0,0.0
2025-10-15,29.83,35.0,57.0,0.0,3.0
2025-10-16,40.7,58.0,57.0,8.0,0.0
2025-10-17,30.86,20.0,57.0,8.0,0.0
2025-10-20,32.93,40.0,57.0,8.0,3.0
2025-10-21,44.44,63.0,57.0,18.0,0.0
2025-10-23,38.93,53.0,57.0,18.0,3.0
2025-10-24,36.23,43.0,57.0,18.0,3.0
2025-10-27,43.33,58.0,57.0,18.0,0.0
2025-10-28,38.92,53.0,57.0,18.0,3.0
2025-10-29,43.96,60.0,57.0,18.0,0.0
2025-10-30,42.29,53.0,57.0,18.0,0.0
2025-10-31,39.41,43.0,57.0,18.0,0.0
2025-11-03,47.26,73.0,57.0,18.0,0.0
2025-11-04,42.69,63.0,57.0,10.0,0.0
2025-11-06,44.76,65.0,57.0,18.0,0.0
2025-11-07,42.39,55.0,57.0,18.0,0.0
2025-11-10,46.01,70.0,57.0,18.0,0.0
2025-11-11,51.88,62.0,57.0,50.0,0.0
2025-11-12,53.33,57.0,57.0,60.0,0.0
2025-11-13,48.14,37.0,57.0,60.0,0.0
2025-11-14,50.66,47.0,57.0,60.0,0.0
2025-11-17,53.25,57.0,57.0,60.0,0.0
2025-11-18,48.0,37.0,57.0,60.0,0.0
2025-11-19,52.89,57.0,57.0,60.0,0.0
2025-11-20,50.22,47.0,57.0,60.0,0.0
2025-11-21,46.22,32.0,57.0,60.0,0.0
2025-11-24,51.96,55.0,57.0,60.0,0.0
2025-11-25,47.8,50.0,57.0,60.0,3.0
2025-11-26,53.04,50.0,57.0,80.0,3.0
2025-11-27,55.61,45.0,57.0,95.0,3.0
2025-11-28,55.65,45.0,57.0,95.0,3.0
2025-12-01,58.07,50.0,57.0,100.0,3.0
2025-12-02,56.66,45.0,57.0,100.0,3.0
2025-12-03,55.3,45.0,57.0,95.0,3.0
2025-12-04,55.36,45.0,57.0,95.0,3.0
2025-12-05,49.02,35.0,57.0,80.0,3.0
2025-12-08,49.88,40.0,57.0,80.0,3.0
2025-12-09,52.33,55.0,57.0,73.0,3.0
