scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,6.55,28.0,25.0,0.0,17.0
2023-09-05,4.04,18.0,25.0,0.0,17.0
2023-09-06,2.86,13.0,25.0,0.0,17.0
2023-09-07,3.12,13.0,25.0,0.0,17.0
2023-09-08,4.49,18.0,25.0,0.0,17.0
2023-09-11,5.87,23.0,25.0,0.0,17.0
2023-09-12,2.53,13.0,25.0,0.0,17.0
2023-09-13,0.88,18.0,25.0,0.0,20.0
2023-09-14,4.06,18.0,25.0,0.0,17.0
2023-09-15,2.82,13.0,25.0,0.0,17.0
2023-09-18,3.93,18.0,25.0,0.0,17.0
2023-09-20,2.52,13.0,25.0,0.0,17.0
2023-09-21,0.0,13.0,25.0,0.0,20.0
2023-09-22,2.74,14.0,25.0,0.0,17.0
2023-09-25,1.57,9.0,25.0,0.0,17.0
2023-09-26,0.0,14.0,25.0,0.0,20.0
2023-09-27,14.55,42.0,25.0,18.0,17.0
2023-09-28,6.0,17.0,25.0,10.0,17.0
2023-09-29,3.22,17.0,25.0,10.0,20.0
2023-10-03,2.16,13.0,25.0,10.0,20.0
2023-10-04,6.08,18.0,25.0,10.0,17.0
2023-10-05,4.43,22.0,25.0,10.0,20.0
2023-10-06,9.51,30.0,25.0,10.0,17.0
2023-10-09,2.1,13.0,25.0,0.0,17.0
2023-10-10,0.51,18.0,25.0,0.0,20.0
2023-10-11,0.0,13.0,25.0,0.0,20.0
2023-10-12,1.07,18.0,25.0,0.0,20.0
2023-10-13,0.76,18.0,25.0,0.0,20.0
2023-10-16,2.54,13.0,25.0,0.0,17.0
2023-10-17,0.0,13.0,25.0,0.0,20.0
2023-10-18,0.22,16.0,25.0,0.0,20.0
2023-10-19,1.42,21.0,25.0,0.0,20.0
2023-10-20,0.0,16.0,25.0,0.0,20.0
2023-10-23,1.85,16.0,25.0,0.0,17.0
2023-10-25,2.97,21.0,25.0,0.0,17.0
2023-10-26,3.54,21.0,25.0,0.0,17.0
2023-10-27,5.12,26.0,25.0,0.0,17.0
2023-10-30,2.49,16.0,25.0,0.0,17.0
2023-10-31,3.88,21.0,25.0,0.0,17.0
2023-11-01,2.2,16.0,25.0,0.0,17.0
2023-11-02,8.36,40.0,25.0,0.0,17.0
2023-11-03,4.6,25.0,25.0,0.0,17.0
2023-11-06,9.75,45.0,25.0,0.0,17.0
2023-11-07,16.79,65.0,25.0,8.0,17.0
2023-11-08,13.17,50.0,25.0,8.0,17.0
2023-11-09,10.61,40.0,25.0,8.0,17.0
2023-11-10,12.03,45.0,25.0,8.0,17.0
2023-11-13,11.38,40.0,25.0,8.0,17.0
2023-11-15,12.93,45.0,25.0,8.0,17.0
2023-11-16,5.7,17.0,25.0,8.0,17.0
2023-11-17,5.78,17.0,25.0,8.0,17.0
2023-11-20,3.42,16.0,25.0,0.0,17.0
2023-11-21,0.37,16.0,25.0,0.0,20.0
2023-11-22,5.15,16.0,25.0,8.0,17.0
2023-11-23,3.55,21.0,25.0,8.0,20.0
2023-11-24,7.63,25.0,25.0,8.0,17.0
2023-11-28,5.4,16.0,25.0,8.0,17.0
2023-11-29,20.27,65.0,25.0,18.0,17.0
2023-11-30,17.71,55.0,25.0,18.0,17.0
2023-12-01,11.68,40.0,25.0,8.0,17.0
2023-12-04,19.21,60.0,25.0,18.0,17.0
2023-12-05,13.84,50.0,25.0,8.0,17.0
2023-12-06,11.2,40.0,25.0,8.0,17.0
2023-12-07,12.5,45.0,25.0,8.0,17.0
2023-12-08,9.23,40.0,25.0,0.0,17.0
2023-12-11,8.43,40.0,25.0,8.0,20.0
2023-12-12,6.53,40.0,25.0,0.0,20.0
2023-12-13,4.43,32.0,25.0,0.0,20.0
2023-12-14,12.95,45.0,25.0,8.0,17.0
2023-12-15,9.99,45.0,25.0,8.0,20.0
2023-12-18,17.47,55.0,25.0,18.0,17.0
2023-12-19,13.76,40.0,25.0,18.0,17.0
2023-12-20,11.28,32.0,25.0,18.0,17.0
2023-12-21,9.87,37.0,25.0,18.0,20.0
2023-12-22,10.07,37.0,25.0,18.0,20.0
2023-12-26,9.06,32.0,25.0,18.0,20.0
2023-12-27,10.2,37.0,25.0,18.0,20.0
2023-12-28,17.94,65.0,25.0,10.0,17.0
2023-12-29,14.21,50.0,25.0,10.0,17.0
2024-01-01,14.09,40.0,25.0,18.0,17.0
2024-01-02,12.26,40.0,25.0,10.0,17.0
2024-01-03,32.18,80.0,25.0,18.0,9.0
2024-01-04,32.24,62.0,25.0,35.0,9.0
2024-01-05,28.42,47.0,25.0,35.0,9.0
2024-01-08,26.19,55.0,25.0,18.0,9.0
2024-01-09,43.69,62.0,25.0,80.0,9.0
2024-01-10,42.46,57.0,25.0,80.0,9.0
2024-01-11,40.0,47.0,25.0,80.0,9.0
2024-01-12,41.12,50.0,25.0,80.0,9.0
2024-01-15,34.69,50.0,25.0,55.0,9.0
2024-01-16,45.66,70.0,25.0,80.0,9.0
2024-01-17,35.03,50.0,25.0,70.0,12.0
2024-01-18,31.16,50.0,25.0,55.0,12.0
2024-01-19,44.55,65.0,25.0,80.0,9.0
2024-01-23,45.5,72.0,25.0,80.0,9.0
2024-01-24,46.1,72.0,25.0,80.0,9.0
2024-01-25,48.48,67.0,25.0,95.0,9.0
2024-01-29,44.69,52.0,25.0,95.0,9.0
2024-01-30,38.07,60.0,25.0,80.0,14.0
2024-01-31,46.32,57.0,25.0,95.0,9.0
2024-02-01,45.05,52.0,25.0,95.0,9.0
2024-02-02,38.17,52.0,25.0,80.0,12.0
2024-02-05,38.06,52.0,25.0,80.0,12.0
2024-02-06,40.2,60.0,25.0,80.0,12.0
2024-02-07,40.33,60.0,25.0,80.0,12.0
2024-02-08,35.48,55.0,25.0,73.0,14.0
2024-02-09,30.88,42.0,25.0,63.0,12.0
2024-02-12,12.75,23.0,25.0,20.0,14.0
