scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,67.35,85.0,64.0,63.0,0.0
2023-09-06,62.2,75.0,64.0,53.0,0.0
2023-09-07,53.9,60.0,64.0,35.0,0.0
2023-09-08,70.32,72.0,64.0,88.0,0.0
2023-09-11,73.68,72.0,64.0,100.0,0.0
2023-09-12,73.08,75.0,64.0,100.0,0.0
2023-09-13,72.18,70.0,64.0,100.0,0.0
2023-09-14,71.16,65.0,64.0,100.0,0.0
2023-09-15,72.66,70.0,64.0,100.0,0.0
2023-09-18,66.66,60.0,64.0,100.0,3.0
2023-09-20,66.59,60.0,64.0,100.0,3.0
2023-09-21,69.78,60.0,64.0,100.0,0.0
2023-09-22,67.79,65.0,64.0,100.0,3.0
2023-09-25,66.8,60.0,64.0,100.0,3.0
2023-09-26,70.81,65.0,64.0,100.0,0.0
2023-09-27,70.95,65.0,64.0,100.0,0.0
2023-09-28,69.43,60.0,64.0,100.0,0.0
2023-09-29,68.04,70.0,64.0,95.0,3.0
2023-10-03,65.69,60.0,64.0,95.0,3.0
2023-10-04,65.36,60.0,64.0,95.0,3.0
2023-10-05,65.03,65.0,64.0,88.0,3.0
2023-10-06,71.05,70.0,64.0,95.0,0.0
2023-10-09,62.69,60.0,64.0,73.0,0.0
2023-10-10,65.57,65.0,64.0,78.0,0.0
2023-10-11,57.31,65.0,64.0,45.0,0.0
2023-10-12,73.3,85.0,64.0,88.0,0.0
2023-10-13,69.9,70.0,64.0,88.0,0.0
2023-10-16,66.95,60.0,64.0,88.0,0.0
2023-10-17,64.73,60.0,64.0,78.0,0.0
2023-10-18,64.46,60.0,64.0,78.0,0.0
2023-10-19,64.41,60.0,64.0,78.0,0.0
2023-10-20,65.63,65.0,64.0,78.0,0.0
2023-10-23,58.02,57.0,64.0,60.0,0.0
2023-10-25,66.75,75.0,64.0,78.0,0.0
2023-10-26,54.2,43.0,64.0,60.0,0.0
2023-10-27,61.41,70.0,64.0,60.0,0.0
2023-10-30,72.22,85.0,64.0,88.0,0.0
2023-10-31,72.35,85.0,64.0,88.0,0.0
2023-11-01,71.89,72.0,64.0,100.0,0.0
2023-11-02,70.85,67.0,64.0,100.0,0.0
2023-11-03,69.74,62.0,64.0,100.0,0.0
2023-11-06,70.94,67.0,64.0,100.0,0.0
2023-11-07,67.19,52.0,64.0,100.0,0.0
2023-11-08,67.33,52.0,64.0,100.0,0.0
2023-11-09,70.71,67.0,64.0,100.0,0.0
2023-11-10,70.99,67.0,64.0,100.0,0.0
2023-11-13,71.44,67.0,64.0,100.0,0.0
2023-11-15,66.28,47.0,64.0,100.0,0.0
2023-11-16,66.31,47.0,64.0,100.0,0.0
2023-11-17,63.32,47.0,64.0,100.0,3.0
2023-11-20,63.49,47.0,64.0,100.0,3.0
2023-11-21,66.83,60.0,64.0,100.0,3.0
2023-11-22,66.84,60.0,64.0,100.0,3.0
2023-11-23,69.12,57.0,64.0,100.0,0.0
