scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,60.45,67.0,32.0,100.0,0.0
2023-09-05,55.69,47.0,32.0,100.0,0.0
2023-09-06,52.6,47.0,32.0,100.0,3.0
2023-09-07,55.87,60.0,32.0,100.0,3.0
2023-09-08,53.88,52.0,32.0,100.0,3.0
2023-09-11,57.01,52.0,32.0,100.0,0.0
2023-09-12,54.53,65.0,32.0,100.0,5.0
2023-09-13,59.51,65.0,32.0,100.0,0.0
2023-09-14,56.59,65.0,32.0,100.0,3.0
2023-09-15,55.44,60.0,32.0,100.0,3.0
2023-09-18,52.26,60.0,32.0,88.0,3.0
2023-09-20,51.84,60.0,32.0,88.0,3.0
2023-09-21,50.19,42.0,32.0,88.0,0.0
2023-09-22,43.9,47.0,32.0,70.0,3.0
2023-09-25,47.34,42.0,32.0,88.0,3.0
2023-09-26,48.81,47.0,32.0,88.0,3.0
2023-09-27,53.14,65.0,32.0,88.0,3.0
2023-09-28,47.36,42.0,32.0,88.0,3.0
2023-09-29,44.25,47.0,32.0,70.0,3.0
2023-10-03,54.34,75.0,32.0,70.0,0.0
2023-10-04,50.33,60.0,32.0,70.0,0.0
2023-10-05,51.71,65.0,32.0,70.0,0.0
2023-10-06,51.99,65.0,32.0,70.0,0.0
2023-10-09,45.64,42.0,32.0,70.0,0.0
2023-10-10,44.23,47.0,32.0,70.0,3.0
2023-10-11,43.1,42.0,32.0,70.0,3.0
2023-10-12,47.71,47.0,32.0,70.0,0.0
2023-10-13,43.29,42.0,32.0,70.0,3.0
2023-10-16,47.67,47.0,32.0,70.0,0.0
2023-10-17,57.57,85.0,32.0,70.0,0.0
2023-10-18,53.52,70.0,32.0,70.0,0.0
2023-10-19,55.58,60.0,32.0,88.0,0.0
2023-10-20,47.1,27.0,32.0,88.0,0.0
2023-10-23,35.69,33.0,32.0,60.0,5.0
2023-10-25,40.33,33.0,32.0,60.0,0.0
2023-10-26,40.5,33.0,32.0,60.0,0.0
2023-10-27,42.16,38.0,32.0,60.0,0.0
2023-10-30,41.11,33.0,32.0,60.0,0.0
2023-10-31,38.39,23.0,32.0,60.0,0.0
2023-11-01,35.32,23.0,32.0,60.0,3.0
2023-11-02,43.22,42.0,32.0,60.0,0.0
2023-11-03,42.1,37.0,32.0,60.0,0.0
2023-11-06,45.47,50.0,32.0,60.0,0.0
2023-11-07,56.22,65.0,32.0,88.0,0.0
2023-11-08,60.16,80.0,32.0,88.0,0.0
2023-11-09,56.18,75.0,32.0,78.0,0.0
2023-11-10,61.29,85.0,32.0,88.0,0.0
2023-11-13,61.42,72.0,32.0,100.0,0.0
2023-11-15,57.83,57.0,32.0,100.0,0.0
2023-11-16,61.54,72.0,32.0,100.0,0.0
2023-11-17,58.81,62.0,32.0,100.0,0.0
2023-11-20,54.91,47.0,32.0,100.0,0.0
2023-11-21,53.52,52.0,32.0,100.0,3.0
2023-11-22,60.27,67.0,32.0,100.0,0.0
2023-11-23,56.54,52.0,32.0,100.0,0.0
2023-11-24,55.72,60.0,32.0,100.0,3.0
2023-11-28,53.68,52.0,32.0,100.0,3.0
2023-11-29,55.47,60.0,32.0,100.0,3.0
2023-11-30,55.72,60.0,32.0,100.0,3.0
2023-12-01,60.32,67.0,32.0,100.0,0.0
2023-12-04,57.66,57.0,32.0,100.0,0.0
2023-12-05,51.79,47.0,32.0,100.0,3.0
2023-12-06,46.64,47.0,32.0,80.0,3.0
2023-12-07,48.21,52.0,32.0,80.0,3.0
2023-12-08,51.86,52.0,32.0,95.0,3.0
2023-12-11,53.41,52.0,32.0,100.0,3.0
2023-12-12,56.09,52.0,32.0,100.0,0.0
2023-12-13,55.16,52.0,32.0,95.0,0.0
2023-12-14,53.41,52.0,32.0,100.0,3.0
2023-12-15,56.37,57.0,32.0,95.0,0.0
2023-12-18,52.35,60.0,32.0,88.0,3.0
2023-12-19,54.84,52.0,32.0,95.0,0.0
2023-12-20,47.12,52.0,32.0,88.0,5.0
2023-12-21,57.23,70.0,32.0,88.0,0.0
2023-12-22,52.04,60.0,32.0,88.0,3.0
2023-12-26,52.22,60.0,32.0,88.0,3.0
2023-12-27,59.03,75.0,32.0,88.0,0.0
2023-12-28,53.49,65.0,32.0,88.0,3.0
2023-12-29,52.16,60.0,32.0,88.0,3.0
2024-01-01,56.84,65.0,32.0,88.0,0.0
2024-01-02,55.48,60.0,32.0,88.0,0.0
2024-01-03,55.02,70.0,32.0,88.0,3.0
2024-01-04,55.86,60.0,32.0,88.0,0.0
2024-01-05,55.74,60.0,32.0,88.0,0.0
2024-01-08,59.39,75.0,32.0,88.0,0.0
2024-01-09,57.14,65.0,32.0,88.0,0.0
2024-01-10,64.61,85.0,32.0,98.0,0.0
2024-01-11,56.09,60.0,32.0,88.0,0.0
2024-01-12,53.06,60.0,32.0,88.0,3.0
2024-01-15,55.77,60.0,32.0,88.0,0.0
2024-01-16,55.63,60.0,32.0,88.0,0.0
2024-01-17,56.56,65.0,32.0,88.0,0.0
2024-01-18,64.79,85.0,32.0,100.0,0.0
2024-01-19,60.08,65.0,32.0,100.0,0.0
2024-01-23,57.42,60.0,32.0,98.0,0.0
2024-01-24,61.18,70.0,32.0,100.0,0.0
2024-01-25,55.42,60.0,32.0,98.0,3.0
2024-01-29,61.31,70.0,32.0,100.0,0.0
2024-01-30,55.79,60.0,32.0,100.0,3.0
2024-01-31,58.47,70.0,32.0,100.0,3.0
2024-02-01,58.82,60.0,32.0,100.0,0.0
2024-02-02,58.16,60.0,32.0,98.0,0.0
2024-02-05,59.75,65.0,32.0,100.0,0.0
2024-02-06,59.98,65.0,32.0,100.0,0.0
2024-02-07,62.49,75.0,32.0,100.0,0.0
2024-02-08,60.9,70.0,32.0,100.0,0.0
2024-02-09,62.63,80.0,32.0,98.0,0.0
2024-02-12,56.9,60.0,32.0,98.0,0.0
2024-02-13,56.92,60.0,32.0,98.0,0.0
2024-02-14,61.3,75.0,32.0,100.0,0.0
2024-02-15,62.8,80.0,32.0,100.0,0.0
