scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,59.33,52.0,52.0,98.0,4.0
2023-09-05,63.39,67.0,52.0,100.0,4.0
2023-09-06,58.47,47.0,52.0,100.0,4.0
2023-09-07,58.81,60.0,52.0,100.0,7.0
2023-09-08,60.59,75.0,52.0,80.0,4.0
2023-09-11,59.24,70.0,52.0,80.0,4.0
2023-09-12,57.22,65.0,52.0,80.0,4.0
2023-09-13,56.1,60.0,52.0,80.0,4.0
2023-09-14,47.7,42.0,52.0,63.0,4.0
2023-09-15,48.71,47.0,52.0,63.0,4.0
2023-09-18,39.7,23.0,52.0,63.0,7.0
2023-09-20,45.58,47.0,52.0,63.0,7.0
2023-09-21,39.27,23.0,52.0,63.0,7.0
2023-09-22,39.34,23.0,52.0,63.0,7.0
2023-09-25,34.79,23.0,52.0,45.0,7.0
2023-09-26,35.89,28.0,52.0,45.0,7.0
2023-09-27,34.85,23.0,52.0,45.0,7.0
2023-09-28,37.21,32.0,52.0,35.0,4.0
2023-09-29,32.32,23.0,52.0,35.0,7.0
2023-10-03,32.19,23.0,52.0,35.0,7.0
2023-10-04,32.04,23.0,52.0,35.0,7.0
2023-10-05,34.53,32.0,52.0,35.0,7.0
2023-10-06,41.25,47.0,52.0,35.0,4.0
2023-10-09,31.65,23.0,52.0,35.0,7.0
2023-10-10,36.33,28.0,52.0,35.0,4.0
2023-10-11,36.76,28.0,52.0,35.0,4.0
2023-10-12,34.96,32.0,52.0,35.0,7.0
2023-10-13,33.22,23.0,52.0,25.0,4.0
2023-10-16,29.99,23.0,52.0,25.0,7.0
2023-10-17,30.57,28.0,52.0,10.0,4.0
2023-10-18,30.42,28.0,52.0,10.0,4.0
2023-10-19,30.52,28.0,52.0,10.0,4.0
2023-10-20,26.02,23.0,52.0,10.0,7.0
2023-10-23,29.05,28.0,52.0,10.0,4.0
2023-10-25,29.07,29.0,52.0,10.0,4.0
2023-10-26,26.53,19.0,52.0,10.0,4.0
2023-10-27,27.34,33.0,52.0,10.0,7.0
2023-10-30,29.03,28.0,52.0,10.0,4.0
2023-10-31,29.05,28.0,52.0,10.0,4.0
2023-11-01,27.59,23.0,52.0,10.0,4.0
2023-11-02,28.02,23.0,52.0,10.0,4.0
2023-11-03,34.31,47.0,52.0,10.0,4.0
2023-11-06,30.92,32.0,52.0,10.0,4.0
2023-11-07,32.26,27.0,52.0,20.0,4.0
2023-11-08,51.56,85.0,52.0,38.0,4.0
2023-11-09,44.84,60.0,52.0,38.0,4.0
2023-11-10,37.83,50.0,52.0,20.0,4.0
2023-11-13,38.09,50.0,52.0,20.0,4.0
2023-11-15,42.59,50.0,52.0,38.0,4.0
2023-11-16,33.89,45.0,52.0,20.0,7.0
2023-11-17,38.09,50.0,52.0,20.0,4.0
2023-11-20,43.61,55.0,52.0,38.0,4.0
2023-11-21,38.32,45.0,52.0,38.0,7.0
2023-11-22,34.03,27.0,52.0,38.0,7.0
2023-11-23,40.01,50.0,52.0,38.0,7.0
2023-11-24,43.69,65.0,52.0,38.0,7.0
2023-11-28,29.21,27.0,52.0,18.0,7.0
2023-11-29,37.91,50.0,52.0,18.0,4.0
2023-11-30,44.39,75.0,52.0,18.0,4.0
2023-12-01,48.67,85.0,52.0,25.0,4.0
2023-12-04,47.98,62.0,52.0,45.0,4.0
2023-12-05,44.88,57.0,52.0,38.0,4.0
2023-12-06,40.91,60.0,52.0,18.0,4.0
2023-12-07,37.86,60.0,52.0,18.0,7.0
2023-12-08,41.96,65.0,52.0,18.0,4.0
2023-12-11,57.01,72.0,52.0,70.0,4.0
2023-12-12,59.42,72.0,52.0,80.0,4.0
2023-12-13,48.13,52.0,52.0,55.0,4.0
2023-12-14,47.1,47.0,52.0,55.0,4.0
2023-12-15,50.94,62.0,52.0,55.0,4.0
2023-12-18,48.46,52.0,52.0,55.0,4.0
2023-12-19,64.73,72.0,52.0,100.0,4.0
2023-12-20,57.67,52.0,52.0,95.0,4.0
2023-12-21,50.74,47.0,52.0,70.0,4.0
2023-12-22,51.76,52.0,52.0,80.0,7.0
2023-12-26,51.89,52.0,52.0,80.0,7.0
2023-12-27,53.78,60.0,52.0,80.0,7.0
2023-12-28,47.42,60.0,52.0,55.0,7.0
2023-12-29,55.06,65.0,52.0,80.0,7.0
2024-01-01,59.71,70.0,52.0,80.0,4.0
2024-01-02,57.04,60.0,52.0,80.0,4.0
2024-01-03,54.06,60.0,52.0,80.0,7.0
2024-01-04,50.41,60.0,52.0,65.0,7.0
2024-01-05,48.85,65.0,52.0,55.0,7.0
2024-01-08,47.42,60.0,52.0,55.0,7.0
2024-01-09,52.03,70.0,52.0,63.0,7.0
2024-01-10,44.95,60.0,52.0,45.0,7.0
2024-01-11,50.85,65.0,52.0,63.0,7.0
2024-01-12,45.76,60.0,52.0,48.0,7.0
2024-01-15,43.05,60.0,52.0,38.0,7.0
2024-01-16,50.31,65.0,52.0,63.0,7.0
2024-01-17,52.29,80.0,52.0,45.0,4.0
2024-01-18,52.73,80.0,52.0,45.0,4.0
2024-01-19,56.26,75.0,52.0,63.0,4.0
2024-01-23,46.94,60.0,52.0,45.0,4.0
2024-01-24,48.64,65.0,52.0,45.0,4.0
2024-01-25,53.22,65.0,52.0,63.0,4.0
2024-01-29,53.21,65.0,52.0,63.0,4.0
2024-01-30,51.86,60.0,52.0,63.0,4.0
2024-01-31,47.76,60.0,52.0,45.0,4.0
2024-02-01,53.22,65.0,52.0,63.0,4.0
2024-02-02,54.45,70.0,52.0,63.0,4.0
2024-02-05,36.49,33.0,52.0,30.0,4.0
2024-02-06,34.13,33.0,52.0,20.0,4.0
2024-02-07,32.9,28.0,52.0,20.0,4.0
2024-02-08,32.76,28.0,52.0,20.0,4.0
2024-02-09,33.81,33.0,52.0,20.0,4.0
2024-02-12,30.93,23.0,52.0,20.0,4.0
2024-02-13,34.45,37.0,52.0,20.0,4.0
2024-02-14,30.37,32.0,52.0,20.0,7.0
2024-02-15,30.37,32.0,52.0,20.0,7.0
2024-02-16,29.29,27.0,52.0,20.0,7.0
2024-02-19,31.53,23.0,52.0,20.0,4.0
2024-02-20,28.5,23.0,52.0,20.0,7.0
2024-02-21,28.43,23.0,52.0,20.0,7.0
2024-02-22,29.71,28.0,52.0,20.0,7.0
2024-02-23,28.38,23.0,52.0,20.0,7.0
2024-02-26,32.5,28.0,52.0,20.0,4.0
2024-02-27,27.93,23.0,52.0,20.0,7.0
2024-02-28,30.46,23.0,52.0,20.0,4.0
2024-02-29,30.44,23.0,52.0,20.0,4.0
2024-03-01,28.89,28.0,52.0,20.0,7.0
2024-03-04,32.96,33.0,52.0,20.0,4.0
2024-03-05,30.41,33.0,52.0,10.0,4.0
2024-03-06,8.05,19.0,52.0,0.0,20.0
2024-03-07,13.45,9.0,52.0,0.0,12.0
2024-03-11,7.45,19.0,52.0,0.0,20.0
2024-03-12,13.86,14.0,52.0,0.0,12.0
2024-03-13,5.51,14.0,52.0,0.0,20.0
2024-03-14,30.49,48.0,52.0,0.0,4.0
2024-03-15,12.1,8.0,52.0,0.0,12.0
2024-03-18,9.27,8.0,52.0,0.0,15.0
2024-03-19,9.12,8.0,52.0,0.0,15.0
2024-03-20,13.35,13.0,52.0,0.0,12.0
2024-03-21,13.68,13.0,52.0,0.0,12.0
2024-03-22,10.87,13.0,52.0,0.0,15.0
2024-03-26,10.48,13.0,52.0,0.0,15.0
2024-03-27,9.41,8.0,52.0,0.0,15.0
2024-03-28,17.51,18.0,52.0,10.0,12.0
2024-04-01,11.05,13.0,43.0,10.0,15.0
2024-04-02,18.06,28.0,43.0,10.0,12.0
2024-04-03,13.48,8.0,43.0,10.0,12.0
2024-04-04,17.15,22.0,43.0,10.0,12.0
2024-04-05,11.72,12.0,43.0,10.0,15.0
2024-04-08,13.47,8.0,43.0,10.0,12.0
2024-04-09,11.6,13.0,43.0,10.0,15.0
2024-04-10,8.46,8.0,43.0,0.0,15.0
2024-04-12,9.64,13.0,43.0,0.0,15.0
2024-04-15,8.33,8.0,43.0,0.0,15.0
2024-04-16,8.4,8.0,43.0,0.0,15.0
2024-04-18,16.35,18.0,43.0,10.0,12.0
2024-04-19,8.39,8.0,43.0,0.0,15.0
2024-04-22,14.17,18.0,43.0,0.0,12.0
2024-04-23,14.7,13.0,43.0,18.0,15.0
2024-04-24,20.14,23.0,43.0,18.0,12.0
2024-04-25,11.62,8.0,43.0,0.0,12.0
2024-04-26,16.94,28.0,43.0,0.0,12.0
2024-04-29,13.29,8.0,43.0,18.0,15.0
2024-04-30,11.32,8.0,43.0,10.0,15.0
2024-05-02,22.89,35.0,43.0,18.0,12.0
2024-05-03,16.91,20.0,43.0,10.0,12.0
2024-05-06,13.61,12.0,43.0,18.0,15.0
2024-05-07,13.99,12.0,43.0,10.0,12.0
2024-05-08,16.79,22.0,43.0,10.0,12.0
2024-05-09,16.88,17.0,43.0,18.0,12.0
2024-05-10,26.61,55.0,43.0,18.0,12.0
2024-05-13,21.05,35.0,43.0,28.0,15.0
