scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2026-06-01,16.29,27.0,42.0,0.0,12.0
2026-06-02,21.21,45.0,42.0,0.0,12.0
2026-06-03,21.43,45.0,42.0,0.0,12.0
2026-06-04,23.18,45.0,42.0,8.0,12.0
2026-06-05,37.49,55.0,42.0,53.0,12.0
2026-06-08,30.96,50.0,42.0,35.0,12.0
2026-06-09,34.47,55.0,42.0,43.0,12.0
2026-06-10,35.23,57.0,42.0,43.0,12.0
2026-06-11,33.75,60.0,42.0,35.0,12.0
2026-06-12,32.65,55.0,42.0,35.0,12.0
2026-06-15,36.03,50.0,42.0,53.0,12.0
2026-06-16,31.06,50.0,42.0,43.0,15.0
2026-06-17,42.16,65.0,42.0,60.0,12.0
2026-06-18,37.05,45.0,42.0,60.0,12.0
2026-06-19,39.84,55.0,42.0,60.0,12.0
2026-06-22,40.82,57.0,42.0,60.0,12.0
2026-06-23,33.9,32.0,42.0,60.0,12.0
2026-06-24,33.51,50.0,42.0,60.0,17.0
2026-06-25,36.82,45.0,42.0,60.0,12.0
2026-06-26,33.72,45.0,42.0,60.0,15.0
2026-06-29,33.91,35.0,42.0,60.0,12.0
2026-06-30,21.57,55.0,13.0,60.0,19.0
2026-07-01,21.9,45.0,13.0,60.0,16.0
2026-07-02,21.19,55.0,13.0,60.0,19.0
2026-07-03,7.32,27.0,13.0,43.0,21.0
2026-07-06,9.95,32.0,13.0,43.0,19.0
2026-07-07,9.51,32.0,13.0,43.0,19.0
2026-07-08,9.39,27.0,13.0,35.0,16.0
2026-07-09,19.11,55.0,13.0,43.0,16.0
2026-07-10,15.4,50.0,13.0,43.0,19.0
2026-07-13,13.81,45.0,13.0,43.0,19.0
2026-07-14,6.44,27.0,13.0,35.0,19.0
2026-07-15,6.51,27.0,13.0,35.0,19.0
2026-07-16,7.54,32.0,13.0,35.0,19.0
2026-07-17,6.03,27.0,13.0,35.0,19.0
2026-07-20,16.51,55.0,13.0,35.0,16.0
2026-07-21,16.41,55.0,13.0,35.0,16.0
2026-07-22,15.17,50.0,13.0,35.0,16.0
2026-07-23,23.22,65.0,13.0,53.0,16.0
2026-07-24,20.88,55.0,13.0,53.0,16.0
2026-07-27,19.7,45.0,13.0,60.0,16.0
2026-07-28,3.4,37.0,13.0,25.0,21.0
2026-07-29,9.72,32.0,13.0,33.0,16.0
2026-07-30,3.09,27.0,13.0,25.0,19.0
2026-07-31,20.62,65.0,13.0,43.0,16.0
2026-08-03,21.16,65.0,13.0,43.0,16.0
2026-08-04,8.39,27.0,13.0,33.0,16.0
2026-08-05,22.86,65.0,13.0,50.0,16.0
2026-08-06,11.33,50.0,13.0,18.0,16.0
2026-08-07,3.08,27.0,13.0,10.0,16.0
2026-08-10,0.0,12.0,13.0,0.0,16.0
2026-08-11,0.0,8.0,13.0,0.0,16.0
2026-08-12,0.16,8.0,13.0,18.0,16.0
2026-08-13,0.0,8.0,13.0,10.0,16.0
2026-08-14,0.0,8.0,13.0,10.0,19.0
2026-08-17,0.0,8.0,13.0,10.0,19.0
2026-08-18,0.0,13.0,13.0,10.0,19.0
2026-08-19,1.74,8.0,13.0,25.0,16.0
2026-08-20,0.57,18.0,13.0,10.0,16.0
2026-08-21,6.23,22.0,13.0,25.0,16.0
2026-08-24,0.0,8.0,13.0,25.0,19.0
2026-08-25,0.0,8.0,13.0,10.0,16.0
2026-08-26,1.94,23.0,13.0,10.0,16.0
2026-08-27,8.48,32.0,13.0,25.0,16.0
2026-08-28,8.04,32.0,13.0,25.0,16.0
2026-08-31,2.94,27.0,13.0,10.0,16.0
2026-09-01,0.42,22.0,13.0,10.0,16.0
2026-09-03,27.14,60.0,26.0,45.0,12.0
