scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2026-06-24,58.11,70.0,92.0,8.0,0.0
2026-06-25,52.71,50.0,92.0,8.0,0.0
2026-06-26,48.24,45.0,92.0,8.0,3.0
2026-06-29,51.61,45.0,92.0,8.0,0.0
2026-06-30,19.92,50.0,18.0,43.0,15.0
2026-07-01,30.77,65.0,18.0,60.0,12.0
2026-07-02,28.57,55.0,18.0,60.0,12.0
2026-07-03,31.17,65.0,18.0,60.0,12.0
2026-07-06,25.93,45.0,18.0,60.0,12.0
2026-07-07,18.2,45.0,18.0,43.0,15.0
2026-07-08,25.12,45.0,18.0,60.0,12.0
2026-07-09,26.94,50.0,18.0,60.0,12.0
2026-07-10,26.87,50.0,18.0,60.0,12.0
2026-07-13,20.81,45.0,18.0,53.0,15.0
2026-07-14,24.85,60.0,18.0,43.0,12.0
2026-07-15,22.63,50.0,18.0,43.0,12.0
2026-07-16,20.95,45.0,18.0,53.0,15.0
2026-07-17,13.48,27.0,18.0,43.0,15.0
2026-07-20,13.52,27.0,18.0,43.0,15.0
2026-07-21,27.45,70.0,18.0,43.0,12.0
2026-07-22,20.99,45.0,18.0,43.0,12.0
2026-07-23,16.5,27.0,18.0,43.0,12.0
2026-07-24,16.57,27.0,18.0,43.0,12.0
2026-07-27,16.47,37.0,18.0,43.0,15.0
2026-07-28,9.68,8.0,18.0,35.0,12.0
2026-07-29,11.37,13.0,18.0,35.0,12.0
2026-07-30,6.55,8.0,18.0,35.0,15.0
2026-07-31,5.5,13.0,18.0,25.0,15.0
2026-08-03,11.03,22.0,18.0,25.0,12.0
2026-08-04,5.82,12.0,18.0,25.0,15.0
2026-08-05,6.01,12.0,18.0,25.0,15.0
2026-08-06,3.36,17.0,18.0,10.0,15.0
2026-08-07,15.72,55.0,18.0,10.0,12.0
2026-08-10,1.75,12.0,18.0,10.0,15.0
2026-08-11,14.44,50.0,18.0,10.0,12.0
2026-08-12,1.7,12.0,18.0,10.0,15.0
2026-08-13,0.71,8.0,18.0,10.0,15.0
2026-08-14,0.85,8.0,18.0,10.0,15.0
2026-08-17,3.87,8.0,18.0,10.0,12.0
2026-08-18,0.9,8.0,18.0,10.0,15.0
2026-08-19,7.44,33.0,18.0,0.0,12.0
2026-08-20,3.66,18.0,18.0,0.0,12.0
2026-08-21,1.35,8.0,18.0,0.0,12.0
2026-08-24,4.88,22.0,18.0,0.0,12.0
2026-08-25,1.48,8.0,18.0,0.0,12.0
2026-08-26,1.16,8.0,18.0,10.0,15.0
2026-08-27,0.0,8.0,18.0,0.0,15.0
2026-08-28,2.43,13.0,18.0,10.0,15.0
2026-08-31,5.32,13.0,18.0,10.0,12.0
2026-09-01,3.91,18.0,18.0,0.0,12.0
