scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2026-07-14,14.28,50.0,4.0,8.0,7.0
2026-07-15,10.14,45.0,4.0,8.0,10.0
2026-07-16,12.83,45.0,4.0,8.0,7.0
2026-07-17,8.0,35.0,4.0,0.0,7.0
2026-07-20,16.4,45.0,4.0,35.0,10.0
2026-07-21,19.1,35.0,4.0,43.0,7.0
2026-07-22,15.87,35.0,4.0,43.0,10.0
2026-07-23,13.82,27.0,4.0,43.0,10.0
2026-07-24,15.38,32.0,4.0,43.0,10.0
2026-07-27,14.35,27.0,4.0,43.0,10.0
2026-07-28,12.06,27.0,4.0,35.0,10.0
2026-07-29,10.51,8.0,4.0,35.0,7.0
2026-07-30,10.09,8.0,4.0,35.0,7.0
2026-07-31,8.68,13.0,4.0,35.0,10.0
2026-08-03,23.18,50.0,4.0,43.0,7.0
2026-08-04,17.66,40.0,4.0,43.0,10.0
2026-08-05,12.87,20.0,4.0,43.0,10.0
2026-08-06,27.15,65.0,4.0,43.0,7.0
2026-08-07,27.0,65.0,4.0,43.0,7.0
2026-08-10,22.32,55.0,4.0,35.0,7.0
2026-08-11,23.07,50.0,4.0,43.0,7.0
2026-08-12,23.09,50.0,4.0,43.0,7.0
2026-08-13,30.54,70.0,4.0,53.0,7.0
2026-08-14,9.34,23.0,4.0,35.0,12.0
2026-08-17,10.5,8.0,4.0,35.0,7.0
2026-08-18,10.52,8.0,4.0,35.0,7.0
2026-08-19,10.38,8.0,4.0,35.0,7.0
2026-08-20,11.81,13.0,4.0,35.0,7.0
2026-08-21,14.37,23.0,4.0,35.0,7.0
2026-08-24,5.03,8.0,4.0,25.0,10.0
2026-08-25,1.29,8.0,4.0,10.0,10.0
2026-08-26,2.79,13.0,4.0,10.0,10.0
2026-08-27,2.54,13.0,4.0,10.0,10.0
2026-08-28,2.64,13.0,4.0,10.0,10.0
2026-08-31,0.14,13.0,4.0,0.0,10.0
2026-09-01,2.82,13.0,4.0,0.0,7.0
