scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-08-28,60.02,60.0,62.0,70.0,3.0
2023-08-29,64.27,65.0,62.0,70.0,0.0
2023-08-30,59.64,65.0,62.0,63.0,3.0
2023-08-31,69.87,70.0,62.0,85.0,0.0
2023-09-01,64.16,60.0,62.0,85.0,3.0
2023-09-04,68.19,65.0,62.0,95.0,3.0
2023-09-05,70.81,70.0,62.0,100.0,3.0
2023-09-06,72.25,65.0,62.0,100.0,0.0
2023-09-07,67.94,60.0,62.0,100.0,3.0
2023-09-08,67.41,60.0,62.0,98.0,3.0
2023-09-11,65.08,60.0,62.0,88.0,3.0
2023-09-12,62.01,60.0,62.0,78.0,3.0
2023-09-13,61.87,60.0,62.0,78.0,3.0
2023-09-14,66.22,65.0,62.0,88.0,3.0
2023-09-15,70.57,70.0,62.0,100.0,3.0
2023-09-18,67.62,60.0,62.0,100.0,3.0
2023-09-20,64.38,60.0,62.0,88.0,3.0
2023-09-21,60.07,42.0,62.0,88.0,3.0
2023-09-22,55.86,42.0,62.0,60.0,0.0
2023-09-25,53.64,42.0,62.0,63.0,3.0
2023-09-26,55.56,38.0,62.0,63.0,0.0
2023-09-27,52.9,43.0,62.0,45.0,0.0
2023-09-28,48.71,28.0,62.0,45.0,0.0
2023-09-29,49.75,33.0,62.0,45.0,0.0
2023-10-03,50.94,38.0,62.0,45.0,0.0
2023-10-04,47.91,28.0,62.0,45.0,0.0
2023-10-05,53.19,47.0,62.0,45.0,0.0
2023-10-06,49.49,42.0,62.0,35.0,0.0
2023-10-09,48.26,23.0,62.0,50.0,0.0
2023-10-10,47.28,32.0,62.0,35.0,0.0
2023-10-11,47.62,33.0,62.0,35.0,0.0
2023-10-12,47.47,33.0,62.0,35.0,0.0
2023-10-13,42.31,28.0,62.0,20.0,0.0
2023-10-16,48.42,28.0,62.0,45.0,0.0
2023-10-17,42.15,28.0,62.0,20.0,0.0
2023-10-18,50.97,38.0,62.0,45.0,0.0
2023-10-19,52.32,43.0,62.0,45.0,0.0
2023-10-20,48.36,28.0,62.0,45.0,0.0
2023-10-23,45.03,28.0,62.0,35.0,0.0
2023-10-25,43.59,23.0,62.0,35.0,0.0
2023-10-26,47.43,38.0,62.0,35.0,0.0
2023-10-27,51.56,38.0,62.0,50.0,0.0
2023-10-30,40.02,23.0,62.0,20.0,0.0
2023-10-31,43.65,23.0,62.0,35.0,0.0
2023-11-01,45.71,32.0,62.0,35.0,0.0
2023-11-02,42.95,32.0,62.0,35.0,3.0
2023-11-03,47.48,50.0,62.0,35.0,3.0
2023-11-06,50.44,50.0,62.0,35.0,0.0
2023-11-07,46.17,45.0,62.0,35.0,3.0
2023-11-08,47.46,50.0,62.0,35.0,3.0
2023-11-09,47.34,50.0,62.0,35.0,3.0
2023-11-10,51.88,50.0,62.0,53.0,3.0
2023-11-13,48.65,45.0,62.0,33.0,0.0
2023-11-15,64.68,75.0,62.0,63.0,0.0
2023-11-16,72.42,72.0,62.0,95.0,0.0
2023-11-17,66.93,52.0,62.0,95.0,0.0
2023-11-20,68.6,57.0,62.0,95.0,0.0
2023-11-21,63.44,47.0,62.0,85.0,0.0
2023-11-22,67.29,52.0,62.0,95.0,0.0
2023-11-23,69.38,60.0,62.0,95.0,0.0
2023-11-24,62.38,60.0,62.0,80.0,3.0
2023-11-28,62.76,60.0,62.0,70.0,0.0
2023-11-29,64.8,67.0,62.0,70.0,0.0
2023-11-30,65.17,57.0,62.0,80.0,0.0
2023-12-01,63.09,60.0,62.0,70.0,0.0
2023-12-04,56.67,60.0,62.0,45.0,0.0
2023-12-05,57.68,65.0,62.0,45.0,0.0
2023-12-06,60.18,75.0,62.0,45.0,0.0
2023-12-07,62.93,60.0,62.0,70.0,0.0
2023-12-08,70.52,80.0,62.0,80.0,0.0
2023-12-11,64.63,57.0,62.0,80.0,0.0
2023-12-12,65.38,60.0,62.0,80.0,0.0
2023-12-13,66.36,65.0,62.0,80.0,0.0
2023-12-14,68.86,72.0,62.0,80.0,0.0
2023-12-15,70.41,72.0,62.0,85.0,0.0
2023-12-18,67.37,62.0,62.0,85.0,0.0
2023-12-19,57.71,47.0,62.0,63.0,0.0
2023-12-20,62.32,65.0,62.0,63.0,0.0
2023-12-21,62.65,65.0,62.0,63.0,0.0
2023-12-22,70.8,75.0,62.0,85.0,0.0
2023-12-26,66.77,60.0,62.0,85.0,0.0
2023-12-27,64.33,65.0,62.0,70.0,0.0
2023-12-28,69.18,60.0,62.0,95.0,0.0
2023-12-29,65.62,65.0,62.0,88.0,3.0
2024-01-01,60.72,60.0,62.0,73.0,3.0
2024-01-02,58.5,60.0,62.0,53.0,0.0
2024-01-03,53.76,42.0,62.0,53.0,0.0
2024-01-04,52.24,47.0,62.0,53.0,3.0
2024-01-05,62.47,75.0,62.0,53.0,0.0
2024-01-08,58.14,60.0,62.0,53.0,0.0
2024-01-09,62.17,65.0,62.0,63.0,0.0
2024-01-10,59.23,65.0,62.0,63.0,3.0
2024-01-11,68.64,65.0,62.0,88.0,0.0
2024-01-12,70.98,72.0,62.0,88.0,0.0
2024-01-15,68.14,62.0,62.0,88.0,0.0
2024-01-16,64.2,47.0,62.0,88.0,0.0
2024-01-17,68.08,52.0,62.0,98.0,0.0
2024-01-18,72.5,70.0,62.0,98.0,0.0
2024-01-19,67.55,60.0,62.0,88.0,0.0
2024-01-23,57.95,52.0,62.0,60.0,0.0
2024-01-24,70.16,70.0,62.0,88.0,0.0
2024-01-25,58.22,42.0,62.0,70.0,0.0
2024-01-29,64.09,65.0,62.0,70.0,0.0
2024-01-30,64.01,65.0,62.0,70.0,0.0
2024-01-31,68.95,65.0,62.0,88.0,0.0
2024-02-01,62.79,42.0,62.0,88.0,0.0
2024-02-02,73.99,75.0,62.0,98.0,0.0
2024-02-05,69.89,60.0,62.0,98.0,0.0
2024-02-06,73.06,70.0,62.0,98.0,0.0
2024-02-07,71.39,65.0,62.0,98.0,0.0
2024-02-08,68.31,65.0,62.0,98.0,3.0
2024-02-09,66.58,60.0,62.0,98.0,3.0
2024-02-12,74.32,80.0,62.0,98.0,0.0
2024-02-13,66.73,60.0,62.0,88.0,0.0
2024-02-14,55.87,60.0,62.0,45.0,0.0
2024-02-15,60.23,70.0,62.0,63.0,3.0
2024-02-16,55.59,65.0,62.0,38.0,0.0
2024-02-19,61.9,65.0,62.0,63.0,0.0
2024-02-20,60.25,60.0,62.0,63.0,0.0
2024-02-21,60.33,60.0,62.0,63.0,0.0
2024-02-22,61.76,65.0,62.0,63.0,0.0
2024-02-23,60.75,60.0,62.0,63.0,0.0
2024-02-26,64.15,75.0,62.0,63.0,0.0
2024-02-27,51.13,60.0,62.0,38.0,3.0
2024-02-28,49.16,42.0,62.0,38.0,0.0
2024-02-29,57.89,65.0,62.0,48.0,0.0
2024-03-01,56.19,70.0,62.0,38.0,0.0
2024-03-04,51.58,52.0,62.0,38.0,0.0
2024-03-05,39.3,23.0,62.0,20.0,0.0
2024-03-06,41.74,33.0,62.0,20.0,0.0
2024-03-07,39.35,23.0,62.0,20.0,0.0
2024-03-11,41.46,33.0,62.0,20.0,0.0
2024-03-12,40.01,28.0,62.0,20.0,0.0
2024-03-13,39.39,28.0,62.0,20.0,0.0
2024-03-14,41.74,33.0,62.0,20.0,0.0
2024-03-15,37.9,28.0,62.0,10.0,0.0
2024-03-18,25.8,34.0,62.0,10.0,13.0
2024-03-19,29.04,29.0,62.0,10.0,8.0
2024-03-20,26.47,19.0,62.0,10.0,8.0
2024-03-21,41.24,43.0,62.0,10.0,0.0
2024-03-22,38.89,34.0,62.0,10.0,0.0
2024-03-26,33.16,24.0,62.0,10.0,3.0
2024-03-27,36.35,24.0,62.0,10.0,0.0
2024-03-28,35.19,19.0,62.0,10.0,0.0
2024-04-01,28.3,9.0,70.0,10.0,8.0
2024-04-02,38.16,28.0,70.0,10.0,3.0
2024-04-03,43.85,38.0,70.0,10.0,0.0
2024-04-04,46.2,47.0,70.0,10.0,0.0
2024-04-05,36.95,23.0,70.0,10.0,3.0
2024-04-08,39.95,23.0,70.0,10.0,0.0
2024-04-09,41.15,28.0,70.0,10.0,0.0
2024-04-10,36.85,23.0,70.0,10.0,3.0
2024-04-12,39.74,23.0,70.0,10.0,0.0
2024-04-15,28.86,13.0,70.0,10.0,8.0
2024-04-16,27.74,9.0,70.0,10.0,8.0
2024-04-18,27.66,9.0,70.0,10.0,8.0
2024-04-19,18.0,4.0,70.0,10.0,16.0
2024-04-22,18.44,4.0,70.0,10.0,16.0
2024-04-23,30.28,18.0,70.0,10.0,8.0
2024-04-24,27.66,8.0,70.0,10.0,8.0
2024-04-25,29.01,13.0,70.0,10.0,8.0
2024-04-26,31.88,23.0,70.0,10.0,8.0
2024-04-29,28.22,8.0,70.0,10.0,8.0
2024-04-30,28.12,8.0,70.0,10.0,8.0
2024-05-02,28.7,9.0,70.0,10.0,8.0
2024-05-03,15.31,19.0,70.0,0.0,21.0
2024-05-06,19.8,19.0,70.0,0.0,16.0
2024-05-07,19.67,19.0,70.0,0.0,16.0
2024-05-08,17.0,9.0,70.0,0.0,16.0
2024-05-09,16.81,9.0,70.0,0.0,16.0
2024-05-10,28.82,24.0,70.0,0.0,8.0
2024-05-13,25.09,9.0,70.0,0.0,8.0
2024-05-14,26.36,13.0,70.0,0.0,8.0
2024-05-15,26.49,13.0,70.0,0.0,8.0
2024-05-16,28.25,18.0,70.0,0.0,8.0
2024-05-17,26.71,13.0,70.0,0.0,8.0
