scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2024-04-23,14.18,25.0,19.0,8.0,7.0
2024-04-24,23.35,40.0,19.0,18.0,4.0
2024-04-25,26.27,45.0,19.0,25.0,4.0
2024-04-26,31.29,65.0,19.0,25.0,4.0
2024-04-29,28.84,55.0,19.0,25.0,4.0
2024-04-30,29.13,55.0,19.0,25.0,4.0
2024-05-02,22.14,40.0,19.0,25.0,7.0
2024-05-03,17.02,25.0,19.0,8.0,4.0
2024-05-06,11.37,17.0,19.0,8.0,7.0
2024-05-07,11.01,17.0,19.0,8.0,7.0
2024-05-08,12.33,22.0,19.0,8.0,7.0
2024-05-09,7.74,13.0,19.0,0.0,7.0
2024-05-10,7.85,13.0,19.0,0.0,7.0
2024-05-13,8.51,16.0,19.0,0.0,7.0
2024-05-14,8.86,16.0,19.0,0.0,7.0
2024-05-15,12.84,23.0,19.0,8.0,7.0
2024-05-16,12.7,22.0,19.0,8.0,7.0
2024-05-17,10.97,22.0,19.0,0.0,7.0
2024-05-21,9.32,17.0,19.0,0.0,7.0
2024-05-22,8.39,13.0,19.0,0.0,7.0
2024-05-23,8.25,13.0,19.0,0.0,7.0
2024-05-24,11.87,16.0,19.0,0.0,4.0
2024-05-27,13.15,21.0,19.0,0.0,4.0
2024-05-28,8.5,16.0,19.0,0.0,7.0
2024-05-29,16.26,35.0,19.0,0.0,4.0
2024-05-30,11.42,16.0,19.0,0.0,4.0
2024-05-31,18.74,45.0,19.0,0.0,4.0
2024-06-03,14.03,26.0,19.0,0.0,4.0
2024-06-04,8.25,26.0,19.0,0.0,9.0
2024-06-05,15.17,31.0,19.0,0.0,4.0
2024-06-06,15.9,32.0,19.0,0.0,4.0
2024-06-07,16.23,32.0,19.0,0.0,4.0
2024-06-10,15.2,27.0,19.0,0.0,4.0
2024-06-11,16.68,32.0,19.0,0.0,4.0
2024-06-12,23.22,50.0,19.0,8.0,4.0
2024-06-13,20.14,45.0,19.0,0.0,4.0
2024-06-14,20.18,45.0,19.0,0.0,4.0
2024-06-18,29.89,65.0,19.0,18.0,4.0
2024-06-19,27.13,55.0,19.0,18.0,4.0
2024-06-20,24.92,55.0,19.0,8.0,4.0
2024-06-21,27.46,55.0,19.0,18.0,4.0
2024-06-24,26.3,50.0,19.0,18.0,4.0
2024-06-25,22.44,35.0,19.0,18.0,4.0
2024-06-26,34.28,65.0,19.0,35.0,4.0
2024-06-27,32.83,60.0,19.0,35.0,4.0
2024-06-28,27.93,40.0,19.0,35.0,4.0
2024-07-01,36.4,47.0,19.0,60.0,4.0
2024-07-02,32.95,32.0,19.0,60.0,4.0
2024-07-03,28.5,40.0,19.0,35.0,4.0
2024-07-04,28.48,40.0,19.0,35.0,4.0
2024-07-05,27.07,35.0,19.0,35.0,4.0
2024-07-08,26.71,35.0,19.0,35.0,4.0
2024-07-09,27.9,40.0,19.0,35.0,4.0
2024-07-10,26.25,35.0,19.0,35.0,4.0
2024-07-11,26.02,45.0,19.0,35.0,7.0
2024-07-12,23.28,35.0,19.0,35.0,7.0
2024-07-15,27.65,40.0,19.0,35.0,4.0
2024-07-16,23.34,40.0,19.0,18.0,4.0
2024-07-18,18.86,35.0,19.0,18.0,7.0
2024-07-19,21.19,35.0,19.0,18.0,4.0
2024-07-22,26.57,55.0,19.0,18.0,4.0
2024-07-23,16.39,27.0,19.0,18.0,7.0
2024-07-24,17.27,27.0,19.0,18.0,7.0
2024-07-25,16.94,27.0,19.0,18.0,7.0
2024-07-26,14.75,23.0,19.0,0.0,4.0
2024-07-29,12.28,13.0,19.0,0.0,4.0
2024-07-30,12.48,13.0,19.0,0.0,4.0
2024-07-31,24.04,60.0,19.0,0.0,4.0
2024-08-01,15.36,27.0,19.0,0.0,4.0
2024-08-02,15.13,27.0,19.0,0.0,4.0
2024-08-05,8.4,23.0,19.0,0.0,9.0
2024-08-06,12.4,18.0,19.0,0.0,4.0
2024-08-07,12.86,18.0,19.0,0.0,4.0
2024-08-08,11.51,13.0,19.0,0.0,4.0
2024-08-09,14.1,23.0,19.0,0.0,4.0
2024-08-12,12.82,18.0,19.0,0.0,4.0
2024-08-13,10.97,13.0,19.0,0.0,4.0
2024-08-14,10.77,13.0,19.0,0.0,4.0
2024-08-16,11.18,13.0,19.0,0.0,4.0
2024-08-19,11.53,13.0,19.0,0.0,4.0
2024-08-20,15.02,27.0,19.0,0.0,4.0
2024-08-21,11.87,13.0,19.0,0.0,4.0
2024-08-22,14.27,22.0,19.0,0.0,4.0
2024-08-23,15.54,17.0,19.0,10.0,4.0
2024-08-26,16.95,23.0,19.0,10.0,4.0
2024-08-27,14.67,13.0,19.0,10.0,4.0
2024-08-28,13.24,18.0,19.0,0.0,4.0
2024-08-29,17.78,27.0,19.0,10.0,4.0
2024-08-30,13.01,17.0,19.0,0.0,4.0
2024-09-02,20.08,35.0,19.0,10.0,4.0
2024-09-03,17.07,13.0,19.0,18.0,4.0
2024-09-04,16.86,13.0,19.0,18.0,4.0
2024-09-05,19.17,22.0,19.0,18.0,4.0
2024-09-06,25.96,50.0,19.0,18.0,4.0
2024-09-09,24.6,45.0,19.0,18.0,4.0
2024-09-10,19.93,25.0,19.0,18.0,4.0
2024-09-11,16.67,22.0,19.0,8.0,4.0
2024-09-12,13.68,22.0,19.0,8.0,7.0
2024-09-13,15.76,17.0,19.0,8.0,4.0
2024-09-16,11.79,13.0,19.0,8.0,7.0
2024-09-17,12.69,13.0,19.0,0.0,4.0
2024-09-18,16.06,28.0,19.0,0.0,4.0
2024-09-19,12.01,13.0,19.0,0.0,4.0
2024-09-20,9.21,13.0,19.0,0.0,7.0
2024-09-23,10.54,18.0,19.0,0.0,7.0
2024-09-24,13.31,18.0,19.0,0.0,4.0
2024-09-25,14.67,23.0,19.0,0.0,4.0
2024-09-26,8.85,13.0,19.0,0.0,7.0
2024-09-27,11.87,13.0,19.0,0.0,4.0
2024-09-30,12.54,16.0,19.0,0.0,4.0
2024-10-01,22.02,42.0,19.0,10.0,4.0
2024-10-03,11.06,31.0,19.0,0.0,9.0
2024-10-04,13.27,21.0,19.0,0.0,4.0
2024-10-07,7.04,19.0,19.0,0.0,9.0
2024-10-08,17.52,38.0,19.0,0.0,4.0
2024-10-09,16.27,33.0,19.0,0.0,4.0
2024-10-10,15.14,28.0,19.0,0.0,4.0
2024-10-11,15.28,28.0,19.0,0.0,4.0
2024-10-14,17.12,35.0,19.0,0.0,4.0
2024-10-15,18.28,40.0,19.0,0.0,4.0
2024-10-16,25.43,60.0,19.0,8.0,4.0
2024-10-17,13.64,22.0,19.0,0.0,4.0
2024-10-18,13.63,22.0,19.0,0.0,4.0
2024-10-21,8.0,13.0,19.0,0.0,7.0
2024-10-22,17.44,42.0,19.0,0.0,4.0
2024-10-23,9.81,22.0,19.0,0.0,7.0
2024-10-24,9.42,22.0,19.0,0.0,7.0
2024-10-25,6.91,13.0,19.0,0.0,7.0
2024-10-28,8.58,18.0,19.0,0.0,7.0
2024-10-29,8.49,18.0,19.0,0.0,7.0
2024-10-30,11.23,27.0,19.0,0.0,7.0
2024-10-31,25.92,55.0,19.0,18.0,4.0
2024-11-01,25.05,45.0,19.0,35.0,7.0
2024-11-04,20.9,40.0,19.0,25.0,7.0
2024-11-05,23.51,40.0,19.0,35.0,7.0
2024-11-06,23.78,40.0,19.0,35.0,7.0
2024-11-07,21.14,40.0,19.0,25.0,7.0
2024-11-08,27.76,45.0,19.0,35.0,4.0
2024-11-11,23.33,35.0,19.0,28.0,4.0
2024-11-12,21.24,40.0,19.0,28.0,7.0
2024-11-13,20.77,60.0,19.0,28.0,12.0
2024-11-14,41.97,70.0,19.0,70.0,4.0
2024-11-18,17.53,40.0,19.0,35.0,12.0
2024-11-19,22.91,40.0,19.0,55.0,12.0
2024-11-21,39.65,60.0,19.0,70.0,4.0
2024-11-22,22.88,40.0,19.0,55.0,12.0
2024-11-25,20.23,35.0,19.0,48.0,12.0
2024-11-26,23.57,40.0,19.0,55.0,12.0
2024-11-27,44.05,75.0,19.0,70.0,4.0
2024-11-28,39.35,55.0,19.0,70.0,4.0
2024-11-29,38.1,50.0,19.0,70.0,4.0
2024-12-02,34.23,55.0,19.0,48.0,4.0
2024-12-03,31.48,50.0,19.0,53.0,7.0
2024-12-04,27.92,50.0,19.0,38.0,7.0
2024-12-05,15.94,35.0,19.0,38.0,15.0
2024-12-06,35.84,60.0,19.0,48.0,4.0
2024-12-09,26.09,50.0,19.0,18.0,4.0
2024-12-10,37.32,65.0,19.0,48.0,4.0
2024-12-11,42.9,65.0,19.0,70.0,4.0
2024-12-12,45.19,75.0,19.0,70.0,4.0
2024-12-13,40.16,55.0,19.0,70.0,4.0
2024-12-16,48.48,62.0,19.0,95.0,4.0
2024-12-17,45.35,65.0,19.0,80.0,4.0
2024-12-18,44.95,65.0,19.0,80.0,4.0
2024-12-19,47.91,62.0,19.0,95.0,4.0
2024-12-20,42.16,60.0,19.0,95.0,9.0
2024-12-23,41.49,50.0,19.0,95.0,7.0
2024-12-24,50.86,75.0,19.0,95.0,4.0
2024-12-26,48.0,65.0,19.0,95.0,4.0
2024-12-27,37.66,50.0,19.0,80.0,7.0
