scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,61.28,62.0,53.0,80.0,0.0
2023-09-05,58.31,60.0,53.0,70.0,0.0
2023-09-06,51.55,55.0,53.0,48.0,0.0
2023-09-07,60.76,60.0,53.0,80.0,0.0
2023-09-08,53.46,50.0,53.0,73.0,3.0
2023-09-11,52.56,50.0,53.0,70.0,3.0
2023-09-12,46.33,50.0,53.0,48.0,3.0
2023-09-13,46.13,47.0,53.0,38.0,0.0
2023-09-14,43.38,47.0,53.0,38.0,3.0
2023-09-15,47.8,52.0,53.0,38.0,0.0
2023-09-18,31.81,32.0,53.0,38.0,11.0
2023-09-20,52.0,60.0,53.0,48.0,0.0
2023-09-21,46.07,50.0,53.0,48.0,3.0
2023-09-22,37.82,47.0,53.0,18.0,3.0
2023-09-25,29.05,32.0,53.0,18.0,8.0
2023-09-26,42.11,52.0,53.0,18.0,0.0
2023-09-27,39.07,52.0,53.0,18.0,3.0
2023-09-28,36.01,47.0,53.0,10.0,3.0
2023-09-29,42.39,60.0,53.0,10.0,0.0
2023-10-03,36.16,47.0,53.0,10.0,3.0
2023-10-04,38.81,47.0,53.0,10.0,0.0
2023-10-05,42.21,60.0,53.0,10.0,0.0
2023-10-06,38.59,47.0,53.0,20.0,3.0
2023-10-09,42.18,52.0,53.0,20.0,0.0
2023-10-10,41.35,47.0,53.0,20.0,0.0
2023-10-11,41.67,47.0,53.0,20.0,0.0
2023-10-12,43.29,52.0,53.0,20.0,0.0
2023-10-13,35.38,32.0,53.0,20.0,3.0
2023-10-16,50.33,62.0,53.0,38.0,0.0
2023-10-17,48.72,55.0,53.0,38.0,0.0
2023-10-18,50.94,65.0,53.0,38.0,0.0
2023-10-19,39.57,37.0,53.0,20.0,0.0
2023-10-20,37.15,28.0,53.0,20.0,0.0
2023-10-23,23.04,18.0,53.0,10.0,8.0
2023-10-25,24.15,23.0,53.0,10.0,8.0
2023-10-26,29.2,33.0,53.0,20.0,8.0
2023-10-27,27.08,23.0,53.0,20.0,8.0
2023-10-30,25.86,18.0,53.0,20.0,8.0
2023-10-31,21.59,13.0,53.0,20.0,11.0
2023-11-01,16.63,13.0,53.0,0.0,11.0
2023-11-02,18.09,18.0,53.0,0.0,11.0
2023-11-03,20.77,18.0,53.0,10.0,11.0
2023-11-06,20.08,13.0,53.0,0.0,8.0
2023-11-07,21.63,18.0,53.0,0.0,8.0
2023-11-08,22.49,22.0,53.0,0.0,8.0
2023-11-09,22.6,23.0,53.0,0.0,8.0
2023-11-10,21.15,18.0,53.0,0.0,8.0
2023-11-13,20.81,18.0,53.0,10.0,11.0
2023-11-15,21.58,18.0,53.0,0.0,8.0
2023-11-16,18.57,18.0,53.0,0.0,11.0
2023-11-17,21.63,18.0,53.0,0.0,8.0
2023-11-20,22.99,13.0,53.0,10.0,8.0
2023-11-21,20.53,13.0,53.0,0.0,8.0
2023-11-22,20.77,13.0,53.0,0.0,8.0
2023-11-23,22.13,18.0,53.0,0.0,8.0
2023-11-24,24.62,18.0,53.0,10.0,8.0
2023-11-28,20.58,13.0,53.0,0.0,8.0
2023-11-29,24.23,28.0,53.0,0.0,8.0
2023-11-30,25.48,23.0,53.0,10.0,8.0
2023-12-01,28.07,33.0,53.0,10.0,8.0
2023-12-04,24.26,18.0,53.0,10.0,8.0
2023-12-05,25.28,23.0,53.0,10.0,8.0
2023-12-06,25.15,23.0,53.0,10.0,8.0
2023-12-07,29.05,37.0,53.0,10.0,8.0
2023-12-08,22.82,13.0,53.0,10.0,8.0
2023-12-11,24.35,18.0,53.0,10.0,8.0
2023-12-12,24.16,18.0,53.0,10.0,8.0
2023-12-13,22.79,13.0,53.0,10.0,8.0
2023-12-14,26.68,28.0,53.0,10.0,8.0
2023-12-15,24.23,18.0,53.0,10.0,8.0
2023-12-18,24.4,18.0,53.0,10.0,8.0
2023-12-19,23.18,23.0,53.0,0.0,8.0
2023-12-20,23.55,28.0,53.0,0.0,8.0
2023-12-21,21.31,18.0,53.0,0.0,8.0
2023-12-22,21.5,18.0,53.0,0.0,8.0
2023-12-26,21.5,18.0,53.0,0.0,8.0
2023-12-27,27.06,32.0,53.0,8.0,8.0
2023-12-28,22.16,13.0,53.0,8.0,8.0
2023-12-29,23.68,18.0,53.0,8.0,8.0
2024-01-01,30.59,45.0,53.0,8.0,8.0
2024-01-02,30.68,45.0,53.0,8.0,8.0
2024-01-03,25.62,25.0,53.0,8.0,8.0
2024-01-04,25.11,22.0,53.0,8.0,8.0
2024-01-05,22.95,22.0,53.0,0.0,8.0
2024-01-08,35.61,65.0,53.0,8.0,8.0
2024-01-09,34.66,60.0,53.0,8.0,8.0
2024-01-10,44.05,65.0,53.0,8.0,0.0
2024-01-11,43.34,62.0,53.0,8.0,0.0
2024-01-12,41.93,47.0,53.0,18.0,0.0
2024-01-15,37.58,42.0,53.0,18.0,3.0
2024-01-16,43.8,55.0,53.0,18.0,0.0
2024-01-17,29.17,40.0,53.0,8.0,8.0
2024-01-18,27.46,32.0,53.0,8.0,8.0
2024-01-19,27.79,45.0,53.0,8.0,11.0
2024-01-23,28.97,40.0,53.0,8.0,8.0
2024-01-24,27.64,32.0,53.0,8.0,8.0
2024-01-25,33.46,45.0,53.0,18.0,8.0
2024-01-29,27.62,32.0,53.0,8.0,8.0
2024-01-30,24.12,18.0,53.0,8.0,8.0
2024-01-31,22.26,18.0,53.0,0.0,8.0
2024-02-01,17.82,13.0,53.0,0.0,11.0
2024-02-02,20.64,13.0,53.0,0.0,8.0
2024-02-05,23.49,26.0,53.0,0.0,8.0
2024-02-06,22.74,21.0,53.0,0.0,8.0
2024-02-07,22.65,21.0,53.0,0.0,8.0
2024-02-08,19.36,9.0,53.0,0.0,8.0
2024-02-09,18.99,9.0,53.0,0.0,8.0
2024-02-12,20.89,19.0,53.0,0.0,8.0
2024-02-13,18.52,9.0,53.0,0.0,8.0
2024-02-14,14.52,24.0,53.0,0.0,16.0
2024-02-15,12.05,14.0,53.0,0.0,16.0
2024-02-16,13.37,19.0,53.0,0.0,16.0
2024-02-19,13.48,19.0,53.0,0.0,16.0
2024-02-20,10.96,9.0,53.0,0.0,16.0
2024-02-21,13.39,19.0,53.0,0.0,16.0
2024-02-22,20.02,14.0,53.0,0.0,8.0
2024-02-23,24.34,31.0,53.0,0.0,8.0
2024-02-26,17.77,16.0,53.0,0.0,11.0
2024-02-27,18.84,9.0,53.0,0.0,8.0
2024-02-28,19.85,14.0,53.0,0.0,8.0
2024-02-29,19.79,14.0,53.0,0.0,8.0
2024-03-01,18.68,9.0,53.0,0.0,8.0
2024-03-04,21.71,21.0,53.0,0.0,8.0
2024-03-05,20.18,16.0,53.0,0.0,8.0
2024-03-06,17.81,9.0,53.0,0.0,8.0
2024-03-07,17.9,9.0,53.0,0.0,8.0
2024-03-11,9.48,9.0,53.0,0.0,16.0
2024-03-12,11.65,19.0,53.0,0.0,16.0
2024-03-13,11.16,19.0,53.0,0.0,16.0
2024-03-14,12.97,24.0,53.0,0.0,16.0
2024-03-15,19.6,19.0,53.0,0.0,8.0
2024-03-18,24.08,36.0,53.0,0.0,8.0
2024-03-19,25.31,42.0,53.0,0.0,8.0
2024-03-20,18.02,13.0,53.0,0.0,8.0
2024-03-21,19.62,18.0,53.0,0.0,8.0
2024-03-22,26.3,45.0,53.0,0.0,8.0
2024-03-26,18.95,17.0,53.0,0.0,8.0
2024-03-27,20.47,23.0,53.0,0.0,8.0
2024-03-28,21.72,28.0,53.0,0.0,8.0
2024-04-01,1.4,35.0,27.0,8.0,24.0
2024-04-02,0.0,30.0,27.0,8.0,27.0
2024-04-03,0.83,30.0,27.0,8.0,24.0
2024-04-04,4.52,45.0,27.0,8.0,24.0
2024-04-05,7.13,45.0,27.0,18.0,24.0
2024-04-08,7.62,40.0,27.0,25.0,24.0
