scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,47.33,60.0,37.0,63.0,4.0
2023-09-05,47.14,60.0,37.0,63.0,4.0
2023-09-06,48.47,65.0,37.0,63.0,4.0
2023-09-07,46.06,55.0,37.0,63.0,4.0
2023-09-08,46.09,55.0,37.0,63.0,4.0
2023-09-11,59.74,75.0,37.0,98.0,4.0
2023-09-12,56.22,62.0,37.0,100.0,4.0
2023-09-13,58.85,72.0,37.0,100.0,4.0
2023-09-14,59.2,72.0,37.0,100.0,4.0
2023-09-15,56.46,62.0,37.0,100.0,4.0
2023-09-18,56.45,62.0,37.0,100.0,4.0
2023-09-20,56.33,62.0,37.0,100.0,4.0
2023-09-21,52.27,47.0,37.0,100.0,4.0
2023-09-22,53.59,52.0,37.0,100.0,4.0
2023-09-25,52.29,47.0,37.0,100.0,4.0
2023-09-26,52.39,60.0,37.0,100.0,7.0
2023-09-27,60.6,80.0,37.0,100.0,4.0
2023-09-28,58.96,75.0,37.0,100.0,4.0
2023-09-29,55.07,70.0,37.0,100.0,7.0
2023-10-03,52.44,60.0,37.0,100.0,7.0
2023-10-04,52.29,60.0,37.0,100.0,7.0
2023-10-05,56.78,65.0,37.0,100.0,4.0
2023-10-06,56.75,65.0,37.0,100.0,4.0
2023-10-09,46.9,42.0,37.0,98.0,7.0
2023-10-10,59.08,75.0,37.0,100.0,4.0
2023-10-11,58.76,72.0,37.0,100.0,4.0
2023-10-12,58.96,72.0,37.0,100.0,4.0
2023-10-13,58.97,72.0,37.0,100.0,4.0
2023-10-16,55.74,60.0,37.0,100.0,4.0
2023-10-17,50.82,60.0,37.0,80.0,4.0
2023-10-18,48.92,65.0,37.0,80.0,7.0
2023-10-19,55.27,70.0,37.0,100.0,7.0
2023-10-20,51.27,60.0,37.0,95.0,7.0
2023-10-23,48.8,50.0,37.0,88.0,4.0
2023-10-25,44.82,50.0,37.0,73.0,4.0
2023-10-26,40.28,42.0,37.0,63.0,4.0
2023-10-27,41.34,47.0,37.0,73.0,7.0
2023-10-30,49.28,55.0,37.0,85.0,4.0
2023-10-31,52.55,70.0,37.0,95.0,7.0
2023-11-01,56.59,70.0,37.0,100.0,4.0
2023-11-02,57.02,70.0,37.0,100.0,4.0
2023-11-03,58.56,75.0,37.0,100.0,4.0
2023-11-06,55.17,65.0,37.0,95.0,4.0
2023-11-07,55.26,60.0,37.0,100.0,4.0
2023-11-08,58.06,70.0,37.0,100.0,4.0
2023-11-09,58.34,75.0,37.0,98.0,4.0
2023-11-10,58.33,75.0,37.0,98.0,4.0
2023-11-13,58.34,72.0,37.0,100.0,4.0
2023-11-15,55.84,62.0,37.0,100.0,4.0
2023-11-16,57.14,67.0,37.0,100.0,4.0
2023-11-17,54.59,57.0,37.0,100.0,4.0
2023-11-20,51.86,47.0,37.0,100.0,4.0
2023-11-21,54.57,57.0,37.0,100.0,4.0
