scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,63.45,72.0,57.0,70.0,0.0
2023-09-05,58.52,67.0,57.0,55.0,0.0
2023-09-06,70.28,72.0,57.0,95.0,0.0
2023-09-07,61.3,52.0,57.0,80.0,0.0
2023-09-08,53.81,47.0,57.0,55.0,0.0
2023-09-11,66.35,72.0,57.0,80.0,0.0
2023-09-12,53.73,70.0,57.0,55.0,5.0
2023-09-13,62.43,70.0,57.0,70.0,0.0
2023-09-14,71.39,72.0,57.0,100.0,0.0
2023-09-15,64.66,57.0,57.0,90.0,0.0
2023-09-18,65.13,60.0,57.0,90.0,0.0
2023-09-20,67.72,60.0,57.0,100.0,0.0
2023-09-21,59.23,60.0,57.0,80.0,3.0
2023-09-22,62.44,60.0,57.0,80.0,0.0
2023-09-25,72.92,80.0,57.0,100.0,0.0
2023-09-26,66.41,60.0,57.0,95.0,0.0
2023-09-27,69.14,65.0,57.0,100.0,0.0
2023-09-28,68.06,60.0,57.0,100.0,0.0
2023-09-29,64.94,60.0,57.0,100.0,3.0
2023-10-03,63.54,60.0,57.0,95.0,3.0
2023-10-04,71.05,75.0,57.0,100.0,0.0
2023-10-05,64.18,65.0,57.0,95.0,3.0
2023-10-06,62.45,65.0,57.0,88.0,3.0
2023-10-09,54.45,60.0,57.0,53.0,0.0
2023-10-10,62.28,65.0,57.0,78.0,0.0
2023-10-11,53.15,65.0,57.0,53.0,3.0
2023-10-12,68.43,70.0,57.0,95.0,0.0
2023-10-13,58.45,60.0,57.0,78.0,3.0
2023-10-16,56.92,75.0,57.0,45.0,0.0
2023-10-17,50.45,60.0,57.0,45.0,3.0
2023-10-18,60.48,70.0,57.0,63.0,0.0
2023-10-19,54.78,60.0,57.0,63.0,3.0
2023-10-20,52.01,60.0,57.0,53.0,3.0
2023-10-23,30.99,23.0,57.0,20.0,5.0
2023-10-25,47.23,53.0,57.0,35.0,0.0
2023-10-26,40.07,23.0,57.0,35.0,0.0
2023-10-27,52.12,70.0,57.0,35.0,0.0
2023-10-30,63.06,70.0,57.0,78.0,0.0
2023-10-31,57.8,60.0,57.0,68.0,0.0
2023-11-01,57.76,60.0,57.0,68.0,0.0
2023-11-02,58.97,65.0,57.0,78.0,3.0
2023-11-03,56.99,60.0,57.0,63.0,0.0
2023-11-06,63.64,70.0,57.0,78.0,0.0
2023-11-07,67.59,75.0,57.0,88.0,0.0
2023-11-08,63.97,60.0,57.0,88.0,0.0
2023-11-09,63.75,60.0,57.0,88.0,0.0
2023-11-10,53.54,60.0,57.0,60.0,3.0
2023-11-13,48.99,42.0,57.0,60.0,3.0
2023-11-15,45.32,42.0,57.0,45.0,3.0
2023-11-16,41.48,27.0,57.0,45.0,3.0
2023-11-17,43.3,23.0,57.0,45.0,0.0
2023-11-20,46.24,32.0,57.0,45.0,0.0
2023-11-21,41.15,23.0,57.0,45.0,3.0
2023-11-22,52.31,23.0,57.0,78.0,0.0
2023-11-23,74.1,85.0,57.0,100.0,0.0
2023-11-24,68.7,65.0,57.0,100.0,0.0
2023-11-28,61.97,60.0,57.0,78.0,0.0
2023-11-29,65.67,65.0,57.0,88.0,0.0
2023-11-30,65.63,65.0,57.0,88.0,0.0
2023-12-01,65.41,65.0,57.0,88.0,0.0
2023-12-04,61.88,60.0,57.0,78.0,0.0
2023-12-05,46.33,42.0,57.0,35.0,0.0
2023-12-06,39.95,33.0,57.0,20.0,0.0
2023-12-07,36.28,38.0,57.0,20.0,5.0
2023-12-08,38.33,38.0,57.0,10.0,0.0
2023-12-11,38.43,38.0,57.0,10.0,0.0
2023-12-12,34.47,23.0,57.0,10.0,0.0
2023-12-13,31.51,23.0,57.0,10.0,3.0
2023-12-14,35.81,28.0,57.0,10.0,0.0
2023-12-15,32.8,28.0,57.0,10.0,3.0
2023-12-18,40.98,48.0,57.0,10.0,0.0
2023-12-19,31.48,23.0,57.0,10.0,3.0
2023-12-20,33.59,23.0,57.0,10.0,0.0
2023-12-21,32.32,28.0,57.0,10.0,3.0
2023-12-22,31.03,23.0,57.0,10.0,3.0
2023-12-26,31.36,23.0,57.0,10.0,3.0
2023-12-27,32.45,28.0,57.0,10.0,3.0
2023-12-28,30.94,23.0,57.0,10.0,3.0
2023-12-29,38.03,37.0,57.0,10.0,0.0
2024-01-01,37.03,32.0,57.0,10.0,0.0
2024-01-02,31.54,23.0,57.0,10.0,3.0
2024-01-03,33.08,28.0,57.0,10.0,3.0
2024-01-04,33.3,28.0,57.0,10.0,3.0
2024-01-05,31.83,23.0,57.0,10.0,3.0
2024-01-08,33.88,23.0,57.0,18.0,3.0
2024-01-09,31.75,23.0,57.0,10.0,3.0
2024-01-10,35.36,28.0,57.0,18.0,3.0
2024-01-11,35.5,28.0,57.0,18.0,3.0
2024-01-12,34.17,23.0,57.0,18.0,3.0
2024-01-15,35.14,23.0,57.0,10.0,0.0
2024-01-16,34.93,23.0,57.0,10.0,0.0
2024-01-17,23.06,8.0,57.0,10.0,8.0
2024-01-18,24.65,13.0,57.0,10.0,8.0
2024-01-19,21.46,13.0,57.0,10.0,11.0
2024-01-23,22.6,8.0,57.0,10.0,8.0
2024-01-24,24.12,13.0,57.0,10.0,8.0
2024-01-25,36.25,28.0,57.0,10.0,0.0
2024-01-29,24.87,13.0,57.0,10.0,8.0
2024-01-30,39.03,38.0,57.0,10.0,0.0
2024-01-31,40.99,45.0,57.0,10.0,0.0
2024-02-01,38.82,37.0,57.0,10.0,0.0
2024-02-02,40.86,45.0,57.0,10.0,0.0
2024-02-05,44.92,55.0,57.0,18.0,0.0
2024-02-06,42.63,45.0,57.0,18.0,0.0
2024-02-07,49.08,70.0,57.0,18.0,0.0
2024-02-08,39.88,35.0,57.0,18.0,0.0
2024-02-09,37.28,27.0,57.0,18.0,0.0
2024-02-12,18.82,8.0,57.0,10.0,11.0
2024-02-13,18.88,8.0,57.0,10.0,11.0
2024-02-14,20.4,13.0,57.0,10.0,11.0
2024-02-15,22.16,8.0,57.0,10.0,8.0
2024-02-16,23.36,17.0,57.0,18.0,11.0
2024-02-19,26.76,17.0,57.0,18.0,8.0
2024-02-20,49.28,75.0,57.0,18.0,0.0
2024-02-21,45.5,60.0,57.0,18.0,0.0
2024-02-22,42.95,50.0,57.0,18.0,0.0
2024-02-23,41.34,55.0,57.0,18.0,3.0
2024-02-26,37.07,27.0,57.0,18.0,0.0
2024-02-27,22.12,8.0,57.0,10.0,8.0
2024-02-28,21.51,8.0,57.0,10.0,8.0
2024-02-29,19.93,13.0,57.0,10.0,11.0
2024-03-01,20.2,13.0,57.0,10.0,11.0
2024-03-04,45.53,70.0,57.0,10.0,0.0
2024-03-05,40.97,55.0,57.0,10.0,0.0
2024-03-06,21.85,12.0,57.0,10.0,8.0
2024-03-07,17.95,17.0,57.0,0.0,11.0
2024-03-11,17.89,8.0,57.0,0.0,8.0
2024-03-12,18.75,13.0,57.0,0.0,8.0
2024-03-13,13.59,14.0,57.0,0.0,13.0
2024-03-14,21.5,23.0,57.0,0.0,8.0
2024-03-15,18.51,13.0,57.0,0.0,8.0
2024-03-18,20.11,18.0,57.0,0.0,8.0
2024-03-19,15.5,13.0,57.0,0.0,11.0
2024-03-20,18.59,13.0,57.0,0.0,8.0
2024-03-21,19.05,13.0,57.0,0.0,8.0
2024-03-22,20.55,18.0,57.0,0.0,8.0
2024-03-26,18.86,13.0,57.0,0.0,8.0
2024-03-27,22.79,28.0,57.0,0.0,8.0
2024-03-28,21.8,24.0,57.0,0.0,8.0
2024-04-01,10.79,33.0,42.0,0.0,17.0
2024-04-02,12.23,37.0,42.0,0.0,17.0
2024-04-03,11.77,35.0,42.0,0.0,17.0
2024-04-04,11.76,35.0,42.0,0.0,17.0
2024-04-05,10.7,30.0,42.0,0.0,17.0
2024-04-08,10.56,30.0,42.0,0.0,17.0
2024-04-09,10.66,30.0,42.0,0.0,17.0
2024-04-10,9.65,25.0,42.0,0.0,17.0
2024-04-12,7.44,17.0,42.0,0.0,17.0
