scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,44.05,60.0,23.0,70.0,4.0
2023-09-05,53.79,80.0,23.0,88.0,4.0
2023-09-06,51.2,60.0,23.0,98.0,4.0
2023-09-07,54.97,75.0,23.0,98.0,4.0
2023-09-08,53.73,70.0,23.0,98.0,4.0
2023-09-11,48.36,60.0,23.0,98.0,7.0
2023-09-12,38.63,42.0,23.0,88.0,9.0
2023-09-13,47.61,70.0,23.0,88.0,7.0
2023-09-14,45.19,60.0,23.0,88.0,7.0
2023-09-15,46.54,65.0,23.0,88.0,7.0
2023-09-18,45.11,60.0,23.0,88.0,7.0
2023-09-20,35.69,42.0,23.0,70.0,7.0
2023-09-21,35.54,42.0,23.0,70.0,7.0
2023-09-22,41.25,47.0,23.0,88.0,7.0
2023-09-25,40.19,42.0,23.0,88.0,7.0
2023-09-26,37.16,47.0,23.0,70.0,7.0
2023-09-27,35.74,42.0,23.0,70.0,7.0
2023-09-28,36.96,47.0,23.0,70.0,7.0
2023-09-29,42.85,70.0,23.0,70.0,7.0
2023-10-03,33.44,42.0,23.0,60.0,7.0
2023-10-04,38.93,65.0,23.0,60.0,7.0
2023-10-05,41.56,65.0,23.0,70.0,7.0
2023-10-06,54.34,85.0,23.0,88.0,4.0
2023-10-09,39.24,65.0,23.0,70.0,9.0
2023-10-10,48.33,80.0,23.0,70.0,4.0
2023-10-11,47.2,75.0,23.0,70.0,4.0
2023-10-12,52.06,65.0,23.0,98.0,4.0
2023-10-13,48.14,60.0,23.0,88.0,4.0
2023-10-16,52.02,65.0,23.0,98.0,4.0
2023-10-17,57.42,85.0,23.0,98.0,4.0
2023-10-18,52.12,65.0,23.0,98.0,4.0
2023-10-19,50.93,60.0,23.0,98.0,4.0
2023-10-20,57.45,85.0,23.0,100.0,4.0
2023-10-23,36.54,37.0,23.0,88.0,9.0
2023-10-25,31.93,28.0,23.0,60.0,4.0
2023-10-26,34.6,28.0,23.0,70.0,4.0
2023-10-27,35.01,32.0,23.0,78.0,7.0
2023-10-30,33.96,27.0,23.0,78.0,7.0
2023-10-31,29.24,27.0,23.0,60.0,7.0
2023-11-01,26.17,32.0,23.0,43.0,7.0
2023-11-02,30.82,50.0,23.0,43.0,7.0
2023-11-03,46.45,70.0,23.0,73.0,4.0
2023-11-06,46.57,80.0,23.0,63.0,4.0
2023-11-07,54.57,80.0,23.0,95.0,4.0
2023-11-08,56.01,85.0,23.0,95.0,4.0
2023-11-09,47.78,60.0,23.0,88.0,4.0
2023-11-10,54.64,80.0,23.0,95.0,4.0
2023-11-13,54.27,72.0,23.0,100.0,4.0
2023-11-15,53.18,67.0,23.0,100.0,4.0
2023-11-16,48.14,47.0,23.0,100.0,4.0
2023-11-17,44.91,47.0,23.0,100.0,7.0
2023-11-20,46.01,52.0,23.0,100.0,7.0
2023-11-21,50.62,57.0,23.0,100.0,4.0
2023-11-22,50.62,57.0,23.0,100.0,4.0
2023-11-23,45.14,47.0,23.0,100.0,7.0
2023-11-24,45.32,47.0,23.0,100.0,7.0
2023-11-28,48.53,60.0,23.0,100.0,7.0
2023-11-29,51.32,60.0,23.0,100.0,4.0
2023-11-30,48.57,60.0,23.0,100.0,7.0
2023-12-01,48.42,60.0,23.0,100.0,7.0
2023-12-04,56.26,80.0,23.0,100.0,4.0
2023-12-05,47.89,60.0,23.0,100.0,7.0
2023-12-06,54.49,75.0,23.0,100.0,4.0
2023-12-07,48.06,60.0,23.0,100.0,7.0
2023-12-08,46.71,60.0,23.0,95.0,7.0
2023-12-11,49.51,65.0,23.0,100.0,7.0
2023-12-12,42.44,60.0,23.0,78.0,7.0
2023-12-13,46.51,65.0,23.0,88.0,7.0
2023-12-14,40.76,60.0,23.0,70.0,7.0
2023-12-15,44.97,65.0,23.0,70.0,4.0
2023-12-18,41.95,65.0,23.0,70.0,7.0
2023-12-19,40.44,60.0,23.0,70.0,7.0
2023-12-20,29.47,38.0,23.0,60.0,9.0
2023-12-21,42.33,57.0,23.0,70.0,4.0
2023-12-22,40.14,47.0,23.0,70.0,4.0
2023-12-26,44.82,65.0,23.0,70.0,4.0
2023-12-27,36.13,42.0,23.0,70.0,7.0
2023-12-28,41.84,65.0,23.0,70.0,7.0
2023-12-29,36.01,42.0,23.0,70.0,7.0
2024-01-01,36.44,42.0,23.0,70.0,7.0
2024-01-02,39.33,42.0,23.0,70.0,4.0
2024-01-03,40.62,47.0,23.0,70.0,4.0
2024-01-04,46.71,70.0,23.0,70.0,4.0
2024-01-05,49.09,80.0,23.0,70.0,4.0
2024-01-08,47.74,75.0,23.0,70.0,4.0
2024-01-09,49.24,80.0,23.0,70.0,4.0
2024-01-10,49.96,65.0,23.0,88.0,4.0
2024-01-11,50.19,65.0,23.0,88.0,4.0
2024-01-12,52.66,75.0,23.0,88.0,4.0
2024-01-15,48.62,60.0,23.0,88.0,4.0
2024-01-16,43.98,60.0,23.0,70.0,4.0
2024-01-17,29.16,27.0,23.0,45.0,4.0
2024-01-18,40.14,27.0,23.0,88.0,4.0
2024-01-19,38.68,32.0,23.0,88.0,7.0
2024-01-23,22.77,23.0,23.0,45.0,9.0
2024-01-24,38.28,37.0,23.0,70.0,4.0
2024-01-25,35.02,23.0,23.0,70.0,4.0
2024-01-29,49.91,65.0,23.0,88.0,4.0
2024-01-30,52.39,75.0,23.0,88.0,4.0
2024-01-31,49.57,65.0,23.0,98.0,7.0
2024-02-01,51.17,60.0,23.0,98.0,4.0
2024-02-02,57.26,85.0,23.0,98.0,4.0
2024-02-05,30.1,32.0,23.0,63.0,9.0
2024-02-06,44.83,70.0,23.0,63.0,4.0
2024-02-07,49.84,65.0,23.0,88.0,4.0
2024-02-08,23.0,27.0,23.0,20.0,4.0
2024-02-09,46.73,80.0,23.0,63.0,4.0
2024-02-12,20.75,27.0,23.0,35.0,9.0
2024-02-13,23.28,32.0,23.0,20.0,4.0
2024-02-14,51.65,85.0,23.0,80.0,4.0
2024-02-15,49.4,75.0,23.0,80.0,4.0
2024-02-16,50.69,80.0,23.0,80.0,4.0
2024-02-19,48.86,72.0,23.0,80.0,4.0
2024-02-20,45.69,60.0,23.0,80.0,4.0
2024-02-21,42.43,60.0,23.0,80.0,7.0
2024-02-22,43.92,65.0,23.0,80.0,7.0
2024-02-23,42.73,60.0,23.0,80.0,7.0
2024-02-26,42.73,60.0,23.0,80.0,7.0
2024-02-27,42.61,60.0,23.0,80.0,7.0
2024-02-28,40.35,60.0,23.0,73.0,7.0
2024-02-29,40.47,60.0,23.0,73.0,7.0
2024-03-01,47.96,70.0,23.0,80.0,4.0
2024-03-04,42.42,60.0,23.0,80.0,7.0
2024-03-05,40.37,60.0,23.0,73.0,7.0
2024-03-06,32.79,42.0,23.0,63.0,7.0
2024-03-07,43.05,65.0,23.0,80.0,7.0
2024-03-11,32.37,42.0,23.0,63.0,7.0
2024-03-12,32.12,42.0,23.0,63.0,7.0
2024-03-13,13.5,23.0,23.0,18.0,9.0
2024-03-14,22.13,33.0,23.0,20.0,4.0
2024-03-15,16.52,23.0,23.0,20.0,7.0
2024-03-18,25.19,32.0,23.0,45.0,7.0
2024-03-19,20.56,23.0,23.0,25.0,4.0
2024-03-20,24.34,28.0,23.0,35.0,4.0
2024-03-21,25.7,32.0,23.0,45.0,7.0
2024-03-22,29.96,37.0,23.0,45.0,4.0
2024-03-26,27.18,27.0,23.0,45.0,4.0
2024-03-27,38.16,70.0,23.0,45.0,4.0
2024-03-28,50.14,85.0,23.0,78.0,4.0
2024-04-01,51.56,65.0,38.0,78.0,4.0
2024-04-02,55.61,70.0,38.0,88.0,4.0
2024-04-03,50.23,60.0,38.0,88.0,7.0
2024-04-04,54.48,65.0,38.0,88.0,4.0
2024-04-05,57.3,65.0,38.0,98.0,4.0
2024-04-08,57.37,65.0,38.0,98.0,4.0
2024-04-09,57.01,75.0,38.0,88.0,4.0
2024-04-10,53.31,60.0,38.0,88.0,4.0
2024-04-12,46.74,60.0,38.0,73.0,7.0
2024-04-15,51.25,60.0,38.0,80.0,4.0
2024-04-16,47.95,65.0,38.0,73.0,7.0
2024-04-18,40.31,23.0,38.0,73.0,4.0
2024-04-19,42.31,32.0,38.0,73.0,4.0
2024-04-22,55.09,70.0,38.0,95.0,7.0
2024-04-23,55.0,70.0,38.0,95.0,7.0
2024-04-24,59.47,70.0,38.0,100.0,4.0
2024-04-25,52.48,60.0,38.0,95.0,7.0
2024-04-26,53.46,60.0,38.0,98.0,7.0
2024-04-29,54.98,65.0,38.0,88.0,4.0
2024-04-30,58.93,80.0,38.0,88.0,4.0
2024-05-02,51.26,60.0,38.0,78.0,4.0
2024-05-03,52.26,65.0,38.0,78.0,4.0
2024-05-06,55.54,80.0,38.0,78.0,4.0
2024-05-07,46.85,65.0,38.0,60.0,4.0
2024-05-08,52.94,70.0,38.0,78.0,4.0
2024-05-09,45.3,60.0,38.0,60.0,4.0
2024-05-10,53.69,75.0,38.0,78.0,4.0
2024-05-13,34.87,52.0,38.0,45.0,9.0
2024-05-14,33.07,23.0,38.0,45.0,4.0
2024-05-15,26.93,23.0,38.0,20.0,4.0
2024-05-16,38.15,52.0,38.0,35.0,4.0
2024-05-17,36.9,27.0,38.0,53.0,4.0
2024-05-21,26.95,23.0,38.0,18.0,4.0
2024-05-22,24.83,23.0,38.0,10.0,4.0
2024-05-23,24.86,23.0,38.0,10.0,4.0
2024-05-24,25.91,28.0,38.0,10.0,4.0
2024-05-27,24.56,23.0,38.0,10.0,4.0
2024-05-28,21.93,23.0,38.0,0.0,4.0
2024-05-29,21.8,23.0,38.0,0.0,4.0
2024-05-30,18.56,23.0,38.0,0.0,7.0
2024-05-31,26.75,43.0,38.0,0.0,4.0
2024-06-03,30.51,47.0,38.0,10.0,4.0
2024-06-04,7.83,23.0,38.0,0.0,17.0
2024-06-05,27.53,38.0,38.0,10.0,4.0
2024-06-06,32.24,55.0,38.0,10.0,4.0
2024-06-07,34.93,65.0,38.0,10.0,4.0
2024-06-10,42.71,85.0,38.0,20.0,4.0
2024-06-11,41.24,60.0,38.0,38.0,4.0
2024-06-12,42.5,65.0,38.0,38.0,4.0
2024-06-13,55.62,85.0,38.0,70.0,4.0
2024-06-14,52.07,70.0,38.0,70.0,4.0
2024-06-18,52.44,60.0,38.0,80.0,4.0
2024-06-19,60.12,72.0,38.0,100.0,4.0
2024-06-20,58.88,67.0,38.0,100.0,4.0
2024-06-21,55.04,52.0,38.0,100.0,4.0
2024-06-24,55.05,52.0,38.0,100.0,4.0
2024-06-25,54.0,60.0,38.0,100.0,7.0
2024-06-26,55.24,65.0,38.0,100.0,7.0
2024-06-27,53.77,60.0,38.0,100.0,7.0
2024-06-28,55.29,65.0,38.0,100.0,7.0
2024-07-01,54.31,60.0,38.0,100.0,7.0
2024-07-02,55.43,70.0,38.0,95.0,7.0
2024-07-03,49.37,60.0,38.0,80.0,7.0
2024-07-04,51.97,70.0,38.0,80.0,7.0
2024-07-05,49.5,60.0,38.0,80.0,7.0
2024-07-08,49.23,60.0,38.0,80.0,7.0
2024-07-09,55.9,75.0,38.0,80.0,4.0
2024-07-10,48.6,60.0,38.0,80.0,7.0
2024-07-11,48.94,60.0,38.0,80.0,7.0
2024-07-12,47.54,60.0,38.0,63.0,4.0
2024-07-15,44.52,60.0,38.0,63.0,7.0
2024-07-16,45.88,65.0,38.0,63.0,7.0
2024-07-18,42.72,60.0,38.0,45.0,4.0
2024-07-19,28.4,42.0,38.0,20.0,7.0
2024-07-22,44.9,70.0,38.0,45.0,4.0
2024-07-23,33.88,52.0,38.0,20.0,4.0
2024-07-24,45.33,70.0,38.0,45.0,4.0
2024-07-25,39.65,60.0,38.0,45.0,7.0
2024-07-26,45.59,70.0,38.0,45.0,4.0
2024-07-29,38.75,42.0,38.0,45.0,4.0
2024-07-30,44.45,65.0,38.0,45.0,4.0
2024-07-31,41.24,65.0,38.0,45.0,7.0
2024-08-01,38.15,42.0,38.0,45.0,4.0
2024-08-02,39.24,47.0,38.0,45.0,4.0
2024-08-05,33.43,52.0,38.0,20.0,4.0
2024-08-06,35.89,47.0,38.0,35.0,4.0
2024-08-07,48.58,85.0,38.0,45.0,4.0
2024-08-08,47.95,75.0,38.0,53.0,4.0
2024-08-09,48.11,65.0,38.0,63.0,4.0
2024-08-12,58.29,80.0,38.0,88.0,4.0
2024-08-13,56.52,75.0,38.0,88.0,4.0
2024-08-14,27.24,32.0,38.0,35.0,9.0
2024-08-16,26.65,23.0,38.0,20.0,4.0
2024-08-19,40.13,32.0,38.0,63.0,4.0
2024-08-20,41.03,65.0,38.0,45.0,7.0
2024-08-21,45.53,65.0,38.0,63.0,7.0
2024-08-22,38.97,45.0,38.0,45.0,4.0
2024-08-23,49.63,70.0,38.0,63.0,4.0
2024-08-26,48.34,65.0,38.0,63.0,4.0
2024-08-27,57.74,85.0,38.0,80.0,4.0
2024-08-28,52.05,70.0,38.0,73.0,4.0
2024-08-29,46.69,60.0,38.0,63.0,4.0
2024-08-30,53.68,70.0,38.0,80.0,4.0
2024-09-02,43.67,60.0,38.0,63.0,7.0
2024-09-03,45.48,65.0,38.0,63.0,7.0
2024-09-04,45.45,65.0,38.0,63.0,7.0
2024-09-05,50.86,75.0,38.0,63.0,4.0
2024-09-06,46.68,60.0,38.0,63.0,4.0
2024-09-09,32.0,42.0,38.0,35.0,7.0
2024-09-10,53.14,70.0,38.0,78.0,4.0
2024-09-11,50.4,60.0,38.0,78.0,4.0
2024-09-12,37.53,60.0,38.0,38.0,7.0
2024-09-13,53.78,70.0,38.0,80.0,4.0
2024-09-16,43.85,60.0,38.0,63.0,7.0
2024-09-17,39.42,42.0,38.0,63.0,7.0
2024-09-18,37.04,42.0,38.0,43.0,4.0
2024-09-19,25.61,23.0,38.0,18.0,4.0
2024-09-20,20.83,23.0,38.0,10.0,7.0
2024-09-23,52.86,85.0,38.0,63.0,4.0
2024-09-24,42.16,60.0,38.0,45.0,4.0
2024-09-25,33.56,42.0,38.0,30.0,4.0
2024-09-26,24.21,27.0,38.0,20.0,7.0
2024-09-27,27.16,27.0,38.0,20.0,4.0
2024-09-30,24.7,27.0,38.0,10.0,4.0
2024-10-01,23.02,32.0,38.0,10.0,7.0
2024-10-03,20.42,23.0,38.0,10.0,7.0
2024-10-04,23.17,23.0,38.0,10.0,4.0
2024-10-07,23.95,28.0,38.0,10.0,4.0
2024-10-08,25.84,33.0,38.0,10.0,4.0
2024-10-09,24.64,28.0,38.0,10.0,4.0
2024-10-10,27.1,37.0,38.0,10.0,4.0
2024-10-11,20.67,23.0,38.0,10.0,7.0
2024-10-14,20.63,23.0,38.0,10.0,7.0
2024-10-15,22.9,32.0,38.0,10.0,7.0
2024-10-16,20.94,23.0,38.0,10.0,7.0
2024-10-17,20.69,23.0,38.0,10.0,7.0
2024-10-18,20.88,23.0,38.0,10.0,7.0
2024-10-21,20.37,23.0,38.0,10.0,7.0
2024-10-22,5.73,8.0,38.0,10.0,17.0
2024-10-23,26.49,38.0,38.0,10.0,4.0
2024-10-24,11.94,13.0,38.0,10.0,12.0
2024-10-25,12.82,18.0,38.0,10.0,12.0
2024-10-28,24.86,33.0,38.0,10.0,4.0
2024-10-29,20.69,28.0,38.0,10.0,7.0
2024-10-30,26.57,37.0,38.0,10.0,4.0
2024-10-31,31.27,55.0,38.0,10.0,4.0
2024-11-01,29.86,50.0,38.0,20.0,7.0
2024-11-04,26.41,27.0,38.0,18.0,4.0
