scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,22.79,28.0,25.0,33.0,9.0
2023-09-06,23.36,28.0,25.0,35.0,9.0
2023-09-07,19.87,23.0,25.0,25.0,9.0
2023-09-08,19.99,23.0,25.0,25.0,9.0
2023-09-11,20.12,38.0,25.0,10.0,9.0
2023-09-12,29.03,52.0,25.0,35.0,9.0
2023-09-13,15.63,23.0,25.0,10.0,9.0
2023-09-14,21.81,47.0,25.0,10.0,9.0
2023-09-15,22.57,50.0,25.0,10.0,9.0
2023-09-18,29.93,55.0,25.0,35.0,9.0
2023-09-20,25.27,37.0,25.0,35.0,9.0
2023-09-21,22.85,40.0,25.0,35.0,12.0
2023-09-22,37.99,60.0,25.0,63.0,9.0
2023-09-25,32.57,50.0,25.0,63.0,12.0
2023-09-26,42.86,70.0,25.0,73.0,9.0
2023-09-27,41.8,57.0,25.0,80.0,9.0
2023-09-28,45.25,57.0,25.0,95.0,9.0
2023-09-29,44.22,52.0,25.0,95.0,9.0
2023-10-03,41.16,52.0,25.0,95.0,12.0
2023-10-04,39.58,47.0,25.0,95.0,12.0
2023-10-05,39.43,60.0,25.0,80.0,12.0
2023-10-06,39.51,60.0,25.0,80.0,12.0
2023-10-09,42.6,60.0,25.0,95.0,12.0
2023-10-10,39.01,60.0,25.0,80.0,12.0
2023-10-11,42.35,60.0,25.0,80.0,9.0
2023-10-12,42.57,60.0,25.0,80.0,9.0
2023-10-13,32.26,42.0,25.0,70.0,12.0
2023-10-16,38.79,65.0,25.0,73.0,12.0
2023-10-17,39.72,57.0,25.0,73.0,9.0
2023-10-18,25.72,38.0,25.0,48.0,12.0
2023-10-19,31.92,38.0,25.0,73.0,12.0
2023-10-20,19.04,23.0,25.0,38.0,12.0
2023-10-23,14.85,28.0,25.0,20.0,12.0
2023-10-25,10.97,23.0,25.0,10.0,12.0
2023-10-26,11.54,23.0,25.0,10.0,12.0
2023-10-27,11.87,23.0,25.0,10.0,12.0
2023-10-30,20.24,47.0,25.0,20.0,12.0
2023-10-31,24.88,65.0,25.0,20.0,12.0
2023-11-01,18.7,42.0,25.0,20.0,12.0
2023-11-02,24.61,65.0,25.0,20.0,12.0
2023-11-03,23.35,60.0,25.0,20.0,12.0
2023-11-06,22.0,42.0,25.0,20.0,9.0
2023-11-07,17.79,47.0,25.0,10.0,12.0
2023-11-08,16.67,42.0,25.0,10.0,12.0
2023-11-09,27.86,65.0,25.0,20.0,9.0
2023-11-10,29.53,65.0,25.0,38.0,12.0
2023-11-13,49.13,72.0,25.0,95.0,9.0
2023-11-15,49.44,72.0,25.0,95.0,9.0
2023-11-16,49.2,72.0,25.0,95.0,9.0
2023-11-17,50.53,72.0,25.0,100.0,9.0
2023-11-20,49.17,67.0,25.0,100.0,9.0
2023-11-21,50.37,72.0,25.0,100.0,9.0
2023-11-22,43.9,47.0,25.0,100.0,9.0
2023-11-23,44.05,47.0,25.0,100.0,9.0
2023-11-24,46.63,57.0,25.0,100.0,9.0
2023-11-28,47.9,62.0,25.0,100.0,9.0
2023-11-29,48.02,62.0,25.0,100.0,9.0
2023-11-30,44.46,60.0,25.0,100.0,12.0
2023-12-01,44.68,60.0,25.0,100.0,12.0
2023-12-04,44.71,60.0,25.0,100.0,12.0
2023-12-05,51.09,80.0,25.0,95.0,9.0
2023-12-06,42.2,60.0,25.0,80.0,9.0
2023-12-07,42.25,60.0,25.0,80.0,9.0
2023-12-08,40.48,65.0,25.0,80.0,12.0
2023-12-11,39.43,60.0,25.0,80.0,12.0
2023-12-12,35.03,42.0,25.0,80.0,12.0
2023-12-13,29.68,38.0,25.0,63.0,12.0
2023-12-14,37.7,57.0,25.0,63.0,9.0
2023-12-15,33.24,57.0,25.0,45.0,9.0
2023-12-18,28.97,42.0,25.0,45.0,9.0
2023-12-19,25.01,38.0,25.0,45.0,12.0
2023-12-20,27.53,38.0,25.0,45.0,9.0
