scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,51.0,57.0,45.0,70.0,4.0
2023-09-05,54.49,70.0,45.0,70.0,4.0
2023-09-06,48.15,60.0,45.0,55.0,4.0
2023-09-07,51.92,75.0,45.0,55.0,4.0
2023-09-08,45.18,60.0,45.0,55.0,7.0
2023-09-11,51.56,70.0,45.0,70.0,7.0
2023-09-12,42.83,60.0,45.0,48.0,7.0
2023-09-13,50.81,70.0,45.0,70.0,7.0
2023-09-14,58.89,80.0,45.0,80.0,4.0
2023-09-15,50.99,60.0,45.0,80.0,7.0
2023-09-18,52.06,65.0,45.0,80.0,7.0
2023-09-20,54.64,65.0,45.0,80.0,4.0
2023-09-21,56.99,65.0,45.0,90.0,4.0
2023-09-22,43.95,60.0,45.0,55.0,7.0
2023-09-25,58.39,65.0,45.0,95.0,4.0
2023-09-26,54.36,60.0,45.0,95.0,7.0
2023-09-27,55.44,65.0,45.0,95.0,7.0
2023-09-28,62.16,75.0,45.0,100.0,4.0
2023-09-29,58.55,60.0,45.0,100.0,4.0
2023-10-03,56.89,65.0,45.0,88.0,4.0
2023-10-04,57.88,60.0,45.0,98.0,4.0
2023-10-05,55.51,60.0,45.0,88.0,4.0
2023-10-06,61.29,70.0,45.0,100.0,4.0
2023-10-09,52.19,60.0,45.0,88.0,7.0
2023-10-10,46.28,60.0,45.0,63.0,7.0
2023-10-11,43.9,60.0,45.0,53.0,7.0
2023-10-12,45.26,42.0,45.0,63.0,4.0
2023-10-13,35.09,42.0,45.0,35.0,7.0
2023-10-16,34.22,38.0,45.0,35.0,7.0
2023-10-17,36.87,47.0,45.0,35.0,7.0
2023-10-18,45.32,70.0,45.0,35.0,4.0
2023-10-19,39.13,42.0,45.0,50.0,7.0
2023-10-20,34.15,38.0,45.0,35.0,7.0
2023-10-23,28.74,23.0,45.0,20.0,4.0
2023-10-25,32.13,23.0,45.0,35.0,4.0
2023-10-26,32.3,23.0,45.0,35.0,4.0
2023-10-27,35.21,33.0,45.0,35.0,4.0
2023-10-30,34.16,28.0,45.0,35.0,4.0
2023-10-31,36.44,38.0,45.0,35.0,4.0
2023-11-01,8.12,24.0,45.0,20.0,25.0
2023-11-02,18.77,14.0,45.0,20.0,12.0
2023-11-03,18.9,14.0,45.0,20.0,12.0
2023-11-06,28.77,33.0,45.0,20.0,7.0
2023-11-07,15.77,13.0,45.0,20.0,15.0
2023-11-08,20.21,18.0,45.0,20.0,12.0
2023-11-09,18.74,13.0,45.0,20.0,12.0
2023-11-10,14.59,18.0,45.0,10.0,15.0
2023-11-13,19.22,13.0,45.0,20.0,12.0
2023-11-15,33.63,38.0,45.0,20.0,4.0
2023-11-16,26.84,33.0,45.0,10.0,7.0
2023-11-17,27.86,28.0,45.0,20.0,7.0
2023-11-20,13.46,13.0,45.0,10.0,15.0
2023-11-21,26.82,33.0,45.0,10.0,7.0
