scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2025-04-11,46.93,60.0,69.0,25.0,3.0
2025-04-15,51.66,65.0,69.0,25.0,0.0
2025-04-16,48.14,50.0,69.0,25.0,0.0
2025-04-17,48.12,50.0,69.0,25.0,0.0
2025-04-21,46.57,45.0,69.0,35.0,3.0
2025-04-22,51.97,55.0,69.0,35.0,0.0
2025-04-23,46.78,45.0,69.0,25.0,0.0
2025-04-24,46.44,45.0,69.0,35.0,3.0
2025-04-25,39.72,55.0,69.0,8.0,5.0
2025-04-28,42.97,50.0,69.0,18.0,3.0
2025-04-29,41.55,32.0,69.0,18.0,0.0
2025-04-30,35.11,28.0,69.0,10.0,3.0
2025-05-02,32.82,28.0,69.0,0.0,3.0
2025-05-05,35.16,37.0,69.0,0.0,3.0
2025-05-06,31.31,13.0,69.0,0.0,0.0
2025-05-07,33.01,18.0,69.0,0.0,0.0
2025-05-08,29.81,18.0,69.0,0.0,3.0
2025-05-09,33.62,13.0,69.0,8.0,0.0
2025-05-12,46.44,60.0,69.0,8.0,0.0
2025-05-13,47.48,55.0,69.0,18.0,0.0
2025-05-14,50.18,65.0,69.0,18.0,0.0
2025-05-15,48.33,57.0,69.0,18.0,0.0
2025-05-16,42.06,60.0,69.0,10.0,5.0
2025-05-19,43.71,45.0,69.0,10.0,0.0
2025-05-20,40.19,32.0,69.0,10.0,0.0
2025-05-21,42.63,42.0,69.0,10.0,0.0
2025-05-22,46.05,55.0,69.0,10.0,0.0
2025-05-23,47.62,35.0,69.0,35.0,0.0
2025-05-26,45.68,27.0,69.0,35.0,0.0
2025-05-27,37.69,32.0,69.0,10.0,3.0
2025-05-28,47.19,50.0,69.0,18.0,0.0
2025-05-29,52.12,60.0,69.0,28.0,0.0
2025-05-30,48.32,45.0,69.0,28.0,0.0
2025-06-02,48.18,45.0,69.0,28.0,0.0
2025-06-03,51.58,50.0,69.0,35.0,0.0
2025-06-04,53.58,45.0,69.0,60.0,3.0
2025-06-05,52.01,45.0,69.0,53.0,3.0
2025-06-06,54.92,45.0,69.0,53.0,0.0
2025-06-09,56.28,65.0,69.0,38.0,0.0
2025-06-10,59.64,65.0,69.0,53.0,0.0
2025-06-11,47.13,50.0,69.0,18.0,0.0
2025-06-12,43.63,45.0,69.0,10.0,0.0
2025-06-13,49.2,45.0,69.0,33.0,0.0
2025-06-16,53.2,50.0,69.0,43.0,0.0
2025-06-17,44.18,27.0,69.0,43.0,3.0
2025-06-18,50.93,42.0,69.0,43.0,0.0
2025-06-19,40.13,12.0,69.0,43.0,3.0
2025-06-20,35.33,17.0,69.0,18.0,3.0
2025-06-23,32.99,8.0,69.0,18.0,3.0
2025-06-24,35.37,17.0,69.0,18.0,3.0
2025-06-25,35.93,17.0,69.0,18.0,3.0
2025-06-26,35.7,12.0,69.0,10.0,0.0
2025-06-27,36.07,12.0,69.0,10.0,0.0
2025-06-30,6.22,17.0,18.0,10.0,12.0
2025-07-01,1.76,12.0,18.0,10.0,15.0
2025-07-02,4.88,13.0,18.0,10.0,12.0
2025-07-03,3.54,18.0,18.0,0.0,12.0
2025-07-04,2.27,13.0,18.0,0.0,12.0
2025-07-07,5.73,17.0,18.0,10.0,12.0
2025-07-08,7.09,23.0,18.0,10.0,12.0
2025-07-09,7.09,23.0,18.0,10.0,12.0
2025-07-10,5.83,18.0,18.0,10.0,12.0
2025-07-11,7.99,27.0,18.0,10.0,12.0
2025-07-14,23.43,70.0,18.0,28.0,12.0
2025-07-15,22.68,65.0,18.0,28.0,12.0
2025-07-16,22.58,57.0,18.0,35.0,12.0
2025-07-17,18.82,42.0,18.0,35.0,12.0
2025-07-18,23.66,42.0,18.0,55.0,12.0
2025-07-21,17.92,32.0,18.0,55.0,15.0
2025-07-22,21.19,45.0,18.0,55.0,15.0
2025-07-23,29.61,52.0,18.0,70.0,12.0
2025-07-24,29.19,50.0,18.0,70.0,12.0
2025-07-25,24.54,45.0,18.0,70.0,15.0
2025-07-28,24.56,45.0,18.0,70.0,15.0
