scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,68.89,80.0,57.0,98.0,4.0
2023-09-06,67.71,85.0,57.0,88.0,4.0
2023-09-07,66.27,70.0,57.0,98.0,4.0
2023-09-08,64.05,70.0,57.0,88.0,4.0
2023-09-11,58.22,65.0,57.0,70.0,4.0
2023-09-12,46.85,42.0,57.0,70.0,9.0
2023-09-13,58.94,70.0,57.0,70.0,4.0
2023-09-14,58.12,65.0,57.0,70.0,4.0
2023-09-15,57.81,65.0,57.0,70.0,4.0
2023-09-18,56.82,60.0,57.0,70.0,4.0
2023-09-20,60.48,75.0,57.0,70.0,4.0
2023-09-21,56.37,60.0,57.0,70.0,4.0
2023-09-22,54.72,65.0,57.0,70.0,7.0
2023-09-25,67.27,85.0,57.0,88.0,4.0
2023-09-26,60.9,60.0,57.0,88.0,4.0
2023-09-27,65.85,70.0,57.0,98.0,4.0
2023-09-28,60.21,60.0,57.0,98.0,7.0
2023-09-29,61.69,65.0,57.0,98.0,7.0
2023-10-03,70.38,85.0,57.0,100.0,4.0
2023-10-04,68.91,80.0,57.0,100.0,4.0
2023-10-05,62.98,57.0,57.0,100.0,4.0
2023-10-06,60.63,60.0,57.0,100.0,7.0
2023-10-09,66.8,75.0,57.0,98.0,4.0
2023-10-10,63.82,60.0,57.0,100.0,4.0
2023-10-11,63.34,60.0,57.0,98.0,4.0
2023-10-12,66.22,65.0,57.0,100.0,4.0
2023-10-13,62.47,60.0,57.0,100.0,7.0
2023-10-16,66.93,65.0,57.0,100.0,4.0
2023-10-17,63.75,65.0,57.0,100.0,7.0
2023-10-18,62.3,60.0,57.0,100.0,7.0
2023-10-19,60.29,42.0,57.0,98.0,4.0
2023-10-20,52.31,23.0,57.0,88.0,4.0
2023-10-23,45.82,28.0,57.0,60.0,4.0
2023-10-25,44.15,23.0,57.0,60.0,4.0
2023-10-26,46.38,33.0,57.0,60.0,4.0
2023-10-27,48.16,37.0,57.0,70.0,7.0
2023-10-30,44.4,23.0,57.0,70.0,7.0
2023-10-31,41.62,23.0,57.0,60.0,7.0
2023-11-01,42.61,28.0,57.0,60.0,7.0
2023-11-02,61.39,80.0,57.0,70.0,4.0
2023-11-03,48.69,38.0,57.0,60.0,4.0
2023-11-06,42.62,28.0,57.0,45.0,4.0
2023-11-07,42.79,28.0,57.0,45.0,4.0
2023-11-08,45.05,37.0,57.0,45.0,4.0
2023-11-09,41.27,23.0,57.0,45.0,4.0
2023-11-10,38.86,23.0,57.0,35.0,4.0
2023-11-13,42.87,37.0,57.0,35.0,4.0
2023-11-15,41.02,32.0,57.0,35.0,4.0
2023-11-16,38.84,23.0,57.0,35.0,4.0
2023-11-17,40.67,32.0,57.0,35.0,4.0
2023-11-20,47.75,60.0,57.0,35.0,4.0
2023-11-21,48.66,55.0,57.0,43.0,4.0
2023-11-22,46.32,45.0,57.0,43.0,4.0
2023-11-23,46.81,45.0,57.0,43.0,4.0
2023-11-24,45.37,50.0,57.0,43.0,7.0
2023-11-28,60.03,75.0,57.0,63.0,4.0
2023-11-29,55.83,60.0,57.0,63.0,4.0
2023-11-30,58.61,70.0,57.0,63.0,4.0
2023-12-01,58.37,70.0,57.0,63.0,4.0
2023-12-04,59.86,75.0,57.0,63.0,4.0
2023-12-05,60.92,80.0,57.0,63.0,4.0
2023-12-06,59.63,75.0,57.0,63.0,4.0
2023-12-07,55.85,60.0,57.0,63.0,4.0
2023-12-08,57.13,65.0,57.0,63.0,4.0
2023-12-11,49.34,45.0,57.0,63.0,7.0
2023-12-12,41.6,23.0,57.0,43.0,4.0
2023-12-13,43.76,33.0,57.0,43.0,4.0
2023-12-14,44.47,33.0,57.0,45.0,4.0
2023-12-15,49.11,33.0,57.0,63.0,4.0
2023-12-18,36.32,23.0,57.0,35.0,7.0
2023-12-19,36.52,23.0,57.0,35.0,7.0
2023-12-20,36.42,23.0,57.0,35.0,7.0
2023-12-21,37.88,28.0,57.0,35.0,7.0
2023-12-22,37.72,28.0,57.0,35.0,7.0
2023-12-26,40.94,28.0,57.0,35.0,4.0
2023-12-27,36.41,23.0,57.0,35.0,7.0
2023-12-28,38.99,32.0,57.0,35.0,7.0
2023-12-29,41.62,32.0,57.0,35.0,4.0
2024-01-01,37.28,27.0,57.0,35.0,7.0
2024-01-02,36.99,27.0,57.0,35.0,7.0
2024-01-03,36.68,27.0,57.0,35.0,7.0
2024-01-04,38.38,32.0,57.0,35.0,7.0
2024-01-05,41.09,32.0,57.0,35.0,4.0
2024-01-08,36.69,27.0,57.0,35.0,7.0
2024-01-09,33.11,23.0,57.0,25.0,7.0
2024-01-10,46.78,55.0,57.0,35.0,4.0
2024-01-11,37.25,27.0,57.0,35.0,7.0
2024-01-12,49.14,55.0,57.0,43.0,4.0
2024-01-15,37.13,45.0,57.0,18.0,7.0
2024-01-16,49.95,85.0,57.0,18.0,4.0
2024-01-17,47.37,75.0,57.0,18.0,4.0
2024-01-18,47.51,65.0,57.0,28.0,4.0
2024-01-19,46.29,70.0,57.0,18.0,4.0
2024-01-23,26.77,23.0,57.0,10.0,9.0
2024-01-24,33.25,28.0,57.0,10.0,4.0
2024-01-25,32.18,23.0,57.0,10.0,4.0
2024-01-29,50.27,65.0,57.0,38.0,4.0
2024-01-30,45.38,65.0,57.0,18.0,4.0
2024-01-31,40.31,45.0,57.0,18.0,4.0
2024-02-01,33.1,27.0,57.0,10.0,4.0
2024-02-02,32.29,23.0,57.0,10.0,4.0
2024-02-05,32.98,23.0,57.0,10.0,4.0
2024-02-06,35.47,32.0,57.0,10.0,4.0
2024-02-07,55.7,85.0,57.0,38.0,4.0
2024-02-08,53.33,75.0,57.0,38.0,4.0
2024-02-09,35.01,32.0,57.0,10.0,4.0
2024-02-12,27.04,33.0,57.0,0.0,9.0
2024-02-13,30.81,28.0,57.0,0.0,4.0
2024-02-14,32.34,33.0,57.0,0.0,4.0
2024-02-15,33.78,37.0,57.0,0.0,4.0
2024-02-16,31.18,27.0,57.0,0.0,4.0
2024-02-19,30.57,23.0,57.0,0.0,4.0
2024-02-20,33.78,37.0,57.0,0.0,4.0
2024-02-21,30.22,23.0,57.0,0.0,4.0
2024-02-22,32.27,32.0,57.0,0.0,4.0
2024-02-23,34.01,32.0,57.0,8.0,4.0
2024-02-26,47.02,85.0,57.0,8.0,4.0
2024-02-27,42.83,75.0,57.0,0.0,4.0
2024-02-28,30.61,27.0,57.0,0.0,4.0
2024-02-29,30.33,40.0,57.0,0.0,7.0
2024-03-01,29.77,27.0,57.0,10.0,7.0
2024-03-04,47.1,75.0,57.0,18.0,4.0
2024-03-05,45.96,70.0,57.0,18.0,4.0
2024-03-06,42.17,60.0,57.0,18.0,4.0
2024-03-07,40.67,65.0,57.0,18.0,7.0
2024-03-11,41.91,60.0,57.0,18.0,4.0
2024-03-12,28.03,27.0,57.0,8.0,7.0
2024-03-13,28.79,23.0,57.0,8.0,4.0
2024-03-14,41.41,70.0,57.0,8.0,4.0
2024-03-15,51.28,70.0,57.0,48.0,4.0
2024-03-18,48.91,60.0,57.0,48.0,4.0
2024-03-19,46.0,60.0,57.0,48.0,7.0
2024-03-20,47.44,65.0,57.0,48.0,7.0
