scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,55.15,85.0,49.0,35.0,0.0
2023-09-05,47.72,55.0,49.0,35.0,0.0
2023-09-06,62.73,85.0,49.0,63.0,0.0
2023-09-07,57.5,65.0,49.0,63.0,0.0
2023-09-08,50.01,60.0,49.0,38.0,0.0
2023-09-11,58.8,80.0,49.0,53.0,0.0
2023-09-12,39.18,60.0,49.0,18.0,5.0
2023-09-13,54.13,70.0,49.0,48.0,0.0
2023-09-14,66.84,85.0,49.0,80.0,0.0
2023-09-15,60.61,62.0,49.0,80.0,0.0
2023-09-18,59.08,57.0,49.0,80.0,0.0
2023-09-20,61.17,65.0,49.0,80.0,0.0
2023-09-21,59.43,60.0,49.0,80.0,0.0
2023-09-22,59.64,60.0,49.0,80.0,0.0
2023-09-25,65.12,80.0,49.0,80.0,0.0
2023-09-26,56.86,60.0,49.0,80.0,3.0
2023-09-27,58.34,65.0,49.0,80.0,3.0
2023-09-28,64.01,60.0,49.0,95.0,0.0
2023-09-29,62.14,65.0,49.0,95.0,3.0
2023-10-03,60.74,60.0,49.0,95.0,3.0
2023-10-04,61.5,60.0,49.0,88.0,0.0
2023-10-05,61.38,65.0,49.0,95.0,3.0
2023-10-06,59.65,65.0,49.0,88.0,3.0
2023-10-09,48.65,60.0,49.0,53.0,3.0
2023-10-10,56.48,65.0,49.0,78.0,3.0
2023-10-11,40.85,42.0,49.0,38.0,3.0
2023-10-12,49.63,65.0,49.0,48.0,3.0
2023-10-13,43.65,42.0,49.0,48.0,3.0
2023-10-16,40.88,47.0,49.0,20.0,0.0
2023-10-17,36.9,42.0,49.0,20.0,3.0
2023-10-18,46.18,52.0,49.0,35.0,0.0
2023-10-19,45.48,65.0,49.0,20.0,0.0
2023-10-20,38.46,38.0,49.0,20.0,0.0
2023-10-23,29.44,38.0,49.0,10.0,5.0
2023-10-25,34.43,38.0,49.0,10.0,0.0
2023-10-26,33.52,33.0,49.0,10.0,0.0
2023-10-27,33.82,33.0,49.0,10.0,0.0
2023-10-30,35.26,38.0,49.0,10.0,0.0
2023-10-31,31.25,23.0,49.0,10.0,0.0
2023-11-01,32.46,28.0,49.0,10.0,0.0
2023-11-02,31.67,33.0,49.0,0.0,0.0
2023-11-03,31.69,23.0,49.0,10.0,0.0
2023-11-06,34.59,33.0,49.0,10.0,0.0
2023-11-07,32.29,23.0,49.0,10.0,0.0
2023-11-08,29.42,23.0,49.0,10.0,3.0
2023-11-09,29.2,23.0,49.0,10.0,3.0
2023-11-10,28.99,23.0,49.0,10.0,3.0
2023-11-13,28.94,23.0,49.0,10.0,3.0
2023-11-15,32.77,28.0,49.0,20.0,3.0
2023-11-16,31.43,23.0,49.0,20.0,3.0
2023-11-17,21.25,13.0,49.0,10.0,8.0
2023-11-20,37.44,33.0,49.0,20.0,0.0
2023-11-21,36.35,28.0,49.0,20.0,0.0
2023-11-22,40.76,28.0,49.0,38.0,0.0
2023-11-23,49.55,60.0,49.0,38.0,0.0
2023-11-24,45.4,45.0,49.0,38.0,0.0
2023-11-28,44.17,40.0,49.0,38.0,0.0
2023-11-29,42.87,35.0,49.0,38.0,0.0
2023-11-30,45.33,45.0,49.0,38.0,0.0
2023-12-01,42.61,35.0,49.0,38.0,0.0
2023-12-04,44.08,40.0,49.0,38.0,0.0
2023-12-05,40.53,27.0,49.0,38.0,0.0
2023-12-06,34.65,33.0,49.0,10.0,0.0
2023-12-07,21.73,23.0,49.0,0.0,8.0
2023-12-08,20.28,19.0,49.0,0.0,8.0
2023-12-11,21.38,23.0,49.0,0.0,8.0
2023-12-12,14.42,8.0,49.0,0.0,11.0
2023-12-13,15.71,13.0,49.0,0.0,11.0
2023-12-14,18.76,13.0,49.0,0.0,8.0
2023-12-15,15.75,13.0,49.0,0.0,11.0
2023-12-18,40.67,60.0,49.0,8.0,0.0
2023-12-19,18.43,12.0,49.0,0.0,8.0
2023-12-20,16.54,8.0,49.0,0.0,8.0
2023-12-21,15.27,13.0,49.0,0.0,11.0
2023-12-22,13.98,8.0,49.0,0.0,11.0
2023-12-26,15.56,13.0,49.0,0.0,11.0
2023-12-27,16.4,17.0,49.0,0.0,11.0
2023-12-28,13.89,8.0,49.0,0.0,11.0
2023-12-29,22.23,27.0,49.0,0.0,8.0
2024-01-01,42.48,75.0,49.0,0.0,0.0
2024-01-02,37.24,55.0,49.0,0.0,0.0
2024-01-03,44.53,65.0,49.0,18.0,0.0
2024-01-04,44.75,65.0,49.0,18.0,0.0
2024-01-05,40.78,50.0,49.0,18.0,0.0
2024-01-08,45.08,50.0,49.0,35.0,0.0
2024-01-09,41.95,55.0,49.0,18.0,0.0
2024-01-10,40.56,50.0,49.0,28.0,3.0
2024-01-11,41.95,55.0,49.0,28.0,3.0
2024-01-12,38.62,50.0,49.0,8.0,0.0
2024-01-15,28.09,40.0,49.0,8.0,8.0
2024-01-16,39.63,55.0,49.0,8.0,0.0
2024-01-17,21.51,27.0,49.0,8.0,11.0
2024-01-18,20.1,8.0,49.0,8.0,8.0
2024-01-19,18.16,13.0,49.0,8.0,11.0
2024-01-23,17.3,8.0,49.0,0.0,8.0
2024-01-24,15.82,13.0,49.0,0.0,11.0
2024-01-25,21.2,13.0,49.0,8.0,8.0
2024-01-29,19.57,17.0,49.0,8.0,11.0
2024-01-30,22.48,17.0,49.0,8.0,8.0
2024-01-31,27.69,45.0,49.0,0.0,8.0
2024-02-01,25.02,35.0,49.0,0.0,8.0
2024-02-02,28.8,40.0,49.0,10.0,8.0
2024-02-05,29.62,45.0,49.0,10.0,8.0
2024-02-06,21.58,12.0,49.0,10.0,8.0
2024-02-07,30.02,55.0,49.0,0.0,8.0
2024-02-08,20.08,17.0,49.0,0.0,8.0
2024-02-09,17.23,8.0,49.0,0.0,8.0
2024-02-12,16.52,8.0,49.0,0.0,8.0
2024-02-13,13.58,8.0,49.0,0.0,11.0
2024-02-14,15.1,13.0,49.0,0.0,11.0
2024-02-15,15.11,13.0,49.0,0.0,11.0
2024-02-16,13.81,8.0,49.0,0.0,11.0
2024-02-19,18.46,13.0,49.0,0.0,8.0
2024-02-20,21.98,27.0,49.0,0.0,8.0
2024-02-21,19.2,8.0,49.0,8.0,8.0
2024-02-22,17.15,8.0,49.0,0.0,8.0
2024-02-23,14.29,8.0,49.0,0.0,11.0
2024-02-26,14.02,8.0,49.0,0.0,11.0
2024-02-27,16.82,8.0,49.0,0.0,8.0
2024-02-28,16.21,8.0,49.0,0.0,8.0
2024-02-29,17.63,13.0,49.0,0.0,8.0
2024-03-01,14.9,13.0,49.0,0.0,11.0
2024-03-04,19.23,18.0,49.0,0.0,8.0
2024-03-05,15.92,8.0,49.0,0.0,8.0
2024-03-06,16.8,13.0,49.0,0.0,8.0
2024-03-07,18.4,18.0,49.0,0.0,8.0
2024-03-11,16.34,13.0,49.0,0.0,8.0
2024-03-12,16.2,14.0,49.0,0.0,8.0
2024-03-13,9.04,19.0,49.0,0.0,16.0
2024-03-14,17.7,19.0,49.0,0.0,8.0
2024-03-15,14.71,9.0,49.0,0.0,8.0
2024-03-18,16.31,14.0,49.0,0.0,8.0
2024-03-19,14.7,9.0,49.0,0.0,8.0
2024-03-20,14.79,9.0,49.0,0.0,8.0
2024-03-21,17.5,18.0,49.0,0.0,8.0
2024-03-22,19.0,23.0,49.0,0.0,8.0
2024-03-26,16.31,14.0,49.0,0.0,8.0
2024-03-27,18.99,24.0,49.0,0.0,8.0
2024-03-28,11.0,24.0,49.0,0.0,16.0
2024-04-01,5.54,33.0,27.0,0.0,17.0
2024-04-02,5.73,32.0,27.0,0.0,17.0
2024-04-03,7.77,40.0,27.0,0.0,17.0
2024-04-04,5.26,30.0,27.0,0.0,17.0
2024-04-05,5.45,30.0,27.0,0.0,17.0
2024-04-08,1.06,25.0,27.0,0.0,20.0
2024-04-09,7.91,40.0,27.0,0.0,17.0
2024-04-10,10.15,40.0,27.0,8.0,17.0
2024-04-12,6.19,25.0,27.0,8.0,17.0
2024-04-15,3.94,17.0,27.0,8.0,17.0
2024-04-16,3.06,13.0,27.0,8.0,17.0
2024-04-18,2.83,13.0,27.0,8.0,17.0
2024-04-19,4.3,18.0,27.0,8.0,17.0
2024-04-22,8.42,32.0,27.0,8.0,17.0
2024-04-23,4.94,30.0,27.0,8.0,20.0
2024-04-24,9.37,35.0,27.0,8.0,17.0
2024-04-25,18.22,60.0,27.0,18.0,17.0
2024-04-26,17.08,55.0,27.0,18.0,17.0
2024-04-29,20.64,60.0,27.0,25.0,17.0
2024-04-30,16.89,45.0,27.0,25.0,17.0
2024-05-02,10.89,40.0,27.0,8.0,17.0
2024-05-03,4.85,17.0,27.0,8.0,17.0
2024-05-06,1.07,13.0,27.0,0.0,17.0
2024-05-07,0.0,13.0,27.0,0.0,20.0
2024-05-08,0.0,13.0,27.0,0.0,20.0
2024-05-09,0.56,13.0,27.0,0.0,17.0
2024-05-10,0.0,18.0,27.0,0.0,20.0
2024-05-13,0.0,13.0,27.0,0.0,20.0
2024-05-14,0.0,18.0,27.0,0.0,20.0
2024-05-15,3.71,23.0,27.0,0.0,17.0
2024-05-16,2.64,18.0,27.0,0.0,17.0
2024-05-17,15.65,60.0,27.0,8.0,17.0
2024-05-21,1.36,17.0,27.0,8.0,20.0
2024-05-22,0.0,17.0,27.0,0.0,20.0
2024-05-23,0.0,17.0,27.0,0.0,20.0
2024-05-24,3.03,22.0,27.0,0.0,17.0
2024-05-27,0.0,17.0,27.0,0.0,20.0
2024-05-28,0.0,13.0,27.0,0.0,20.0
2024-05-29,0.0,13.0,27.0,0.0,17.0
2024-05-30,0.0,13.0,27.0,0.0,17.0
2024-05-31,1.36,18.0,27.0,0.0,17.0
2024-06-03,4.07,28.0,27.0,0.0,17.0
2024-06-04,0.0,24.0,27.0,0.0,22.0
2024-06-05,6.3,36.0,27.0,0.0,17.0
2024-06-06,5.68,33.0,27.0,0.0,17.0
2024-06-07,12.8,50.0,27.0,8.0,17.0
2024-06-10,12.59,50.0,27.0,8.0,17.0
2024-06-11,17.05,65.0,27.0,8.0,17.0
2024-06-12,15.81,60.0,27.0,8.0,17.0
