scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2024-12-31,35.77,22.0,69.0,18.0,3.0
2025-01-01,29.04,12.0,69.0,0.0,3.0
2025-01-02,33.6,30.0,69.0,0.0,3.0
2025-01-03,43.51,50.0,69.0,8.0,0.0
2025-01-06,47.16,40.0,69.0,35.0,0.0
2025-01-07,46.38,35.0,69.0,35.0,0.0
2025-01-08,46.13,40.0,69.0,43.0,3.0
2025-01-09,39.79,12.0,69.0,35.0,0.0
2025-01-10,35.6,8.0,69.0,35.0,3.0
2025-01-13,32.85,8.0,69.0,25.0,3.0
2025-01-14,38.65,18.0,69.0,25.0,0.0
2025-01-15,33.0,8.0,69.0,25.0,3.0
2025-01-16,39.89,22.0,69.0,25.0,0.0
2025-01-17,29.42,17.0,69.0,0.0,3.0
2025-01-20,29.64,17.0,69.0,0.0,3.0
2025-01-21,28.17,12.0,69.0,0.0,3.0
2025-01-22,29.98,8.0,69.0,0.0,0.0
2025-01-23,28.34,13.0,69.0,0.0,3.0
2025-01-24,26.7,8.0,69.0,0.0,3.0
2025-01-27,29.64,8.0,69.0,0.0,0.0
2025-01-28,33.4,23.0,69.0,0.0,0.0
2025-01-29,32.36,18.0,69.0,0.0,0.0
2025-01-30,29.54,8.0,69.0,0.0,0.0
2025-01-31,33.64,23.0,69.0,0.0,0.0
2025-02-01,33.47,23.0,69.0,0.0,0.0
2025-02-03,30.71,13.0,69.0,0.0,0.0
2025-02-04,32.21,18.0,69.0,0.0,0.0
2025-02-05,36.98,37.0,69.0,0.0,0.0
2025-02-06,44.87,60.0,69.0,8.0,0.0
2025-02-07,38.63,35.0,69.0,8.0,0.0
2025-02-10,33.8,25.0,69.0,0.0,0.0
2025-02-11,24.21,8.0,69.0,0.0,5.0
2025-02-12,29.47,8.0,69.0,0.0,0.0
2025-02-13,26.31,8.0,69.0,0.0,3.0
2025-02-14,28.99,8.0,69.0,0.0,0.0
2025-02-17,28.98,8.0,69.0,0.0,0.0
2025-02-18,25.95,8.0,69.0,0.0,3.0
2025-02-19,27.71,13.0,69.0,0.0,3.0
2025-02-20,32.01,18.0,69.0,0.0,0.0
2025-02-21,28.84,18.0,69.0,0.0,3.0
2025-02-24,26.17,8.0,69.0,0.0,3.0
2025-02-25,27.42,13.0,69.0,0.0,3.0
2025-02-27,28.97,8.0,69.0,0.0,0.0
2025-02-28,30.26,13.0,69.0,0.0,0.0
2025-03-03,28.48,18.0,69.0,0.0,3.0
2025-03-04,36.54,37.0,69.0,0.0,0.0
2025-03-05,34.42,30.0,69.0,10.0,3.0
2025-03-06,36.47,30.0,69.0,18.0,3.0
2025-03-07,38.78,45.0,69.0,0.0,0.0
2025-03-10,29.22,20.0,69.0,0.0,3.0
2025-03-11,29.22,20.0,69.0,0.0,3.0
2025-03-12,27.26,12.0,69.0,0.0,3.0
2025-03-13,27.25,12.0,69.0,0.0,3.0
2025-03-17,27.3,12.0,69.0,0.0,3.0
2025-03-18,29.03,8.0,69.0,0.0,0.0
2025-03-19,30.54,13.0,69.0,8.0,3.0
