scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,20.98,23.0,41.0,10.0,8.0
2023-09-06,22.39,17.0,41.0,20.0,8.0
2023-09-07,21.27,23.0,41.0,10.0,8.0
2023-09-08,24.48,35.0,41.0,10.0,8.0
2023-09-11,44.3,75.0,41.0,18.0,0.0
2023-09-12,40.17,60.0,41.0,18.0,0.0
2023-09-13,29.91,27.0,41.0,10.0,0.0
2023-09-14,32.24,37.0,41.0,10.0,0.0
2023-09-15,45.34,60.0,41.0,38.0,0.0
2023-09-18,40.4,50.0,41.0,38.0,3.0
2023-09-20,35.31,50.0,41.0,20.0,3.0
2023-09-21,26.64,27.0,41.0,10.0,3.0
2023-09-22,26.68,27.0,41.0,10.0,3.0
2023-09-25,38.31,55.0,41.0,18.0,0.0
2023-09-26,38.72,55.0,41.0,18.0,0.0
2023-09-27,34.74,50.0,41.0,18.0,3.0
2023-09-28,44.06,50.0,41.0,43.0,0.0
2023-09-29,62.81,70.0,41.0,95.0,0.0
2023-10-03,59.86,57.0,41.0,95.0,0.0
2023-10-04,62.13,62.0,41.0,100.0,0.0
2023-10-05,55.05,47.0,41.0,100.0,3.0
2023-10-06,57.46,57.0,41.0,100.0,3.0
2023-10-09,63.81,72.0,41.0,100.0,0.0
2023-10-10,64.13,72.0,41.0,100.0,0.0
2023-10-11,57.97,57.0,41.0,100.0,3.0
2023-10-12,58.53,57.0,41.0,100.0,3.0
2023-10-13,65.37,72.0,41.0,100.0,0.0
2023-10-16,58.47,57.0,41.0,100.0,3.0
2023-10-17,58.36,57.0,41.0,100.0,3.0
2023-10-18,62.48,62.0,41.0,100.0,0.0
2023-10-19,55.55,47.0,41.0,100.0,3.0
2023-10-20,56.69,50.0,41.0,100.0,3.0
2023-10-23,56.0,50.0,41.0,100.0,3.0
2023-10-25,50.22,50.0,41.0,100.0,8.0
2023-10-26,55.64,50.0,41.0,100.0,3.0
2023-10-27,63.96,70.0,41.0,100.0,0.0
2023-10-30,63.53,70.0,41.0,100.0,0.0
2023-10-31,60.02,55.0,41.0,100.0,0.0
2023-11-01,60.81,60.0,41.0,100.0,0.0
2023-11-02,58.53,60.0,41.0,100.0,3.0
2023-11-03,55.76,50.0,41.0,100.0,3.0
2023-11-06,56.05,50.0,41.0,100.0,3.0
2023-11-07,55.74,50.0,41.0,98.0,3.0
2023-11-08,48.44,50.0,41.0,70.0,3.0
2023-11-09,46.17,42.0,41.0,70.0,3.0
2023-11-10,48.88,55.0,41.0,70.0,3.0
2023-11-13,46.15,42.0,41.0,70.0,3.0
2023-11-15,45.94,42.0,41.0,70.0,3.0
2023-11-16,45.88,42.0,41.0,70.0,3.0
2023-11-17,48.51,38.0,41.0,70.0,0.0
2023-11-20,45.33,38.0,41.0,70.0,3.0
2023-11-21,50.86,48.0,41.0,70.0,0.0
2023-11-22,45.48,38.0,41.0,70.0,3.0
2023-11-23,41.59,23.0,41.0,70.0,3.0
2023-11-24,41.0,23.0,41.0,70.0,3.0
2023-11-28,41.58,23.0,41.0,70.0,3.0
2023-11-29,41.55,23.0,41.0,70.0,3.0
2023-11-30,41.26,23.0,41.0,70.0,3.0
2023-12-01,44.42,23.0,41.0,70.0,0.0
2023-12-04,44.28,23.0,41.0,70.0,0.0
2023-12-05,44.48,23.0,41.0,70.0,0.0
