scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,38.03,70.0,33.0,55.0,12.0
2023-09-05,38.06,70.0,33.0,55.0,12.0
2023-09-06,35.55,60.0,33.0,55.0,12.0
2023-09-07,49.76,72.0,33.0,100.0,12.0
2023-09-08,42.21,62.0,33.0,80.0,12.0
2023-09-11,42.81,65.0,33.0,80.0,12.0
2023-09-12,27.83,60.0,33.0,48.0,17.0
2023-09-13,45.88,80.0,33.0,80.0,12.0
2023-09-14,42.38,65.0,33.0,80.0,12.0
2023-09-15,34.55,60.0,33.0,65.0,15.0
2023-09-18,30.31,60.0,33.0,48.0,15.0
2023-09-20,25.0,50.0,33.0,38.0,15.0
2023-09-21,25.07,42.0,33.0,48.0,15.0
2023-09-22,36.82,70.0,33.0,55.0,12.0
2023-09-25,31.3,60.0,33.0,55.0,15.0
2023-09-26,28.86,50.0,33.0,55.0,15.0
2023-09-27,46.82,70.0,33.0,95.0,12.0
2023-09-28,37.76,60.0,33.0,80.0,15.0
2023-09-29,33.64,60.0,33.0,63.0,15.0
2023-10-03,33.66,60.0,33.0,63.0,15.0
2023-10-04,33.31,60.0,33.0,63.0,15.0
2023-10-05,27.21,60.0,33.0,38.0,15.0
2023-10-06,39.09,70.0,33.0,63.0,12.0
2023-10-09,17.67,42.0,33.0,20.0,15.0
2023-10-10,23.85,65.0,33.0,20.0,15.0
2023-10-11,28.42,70.0,33.0,20.0,12.0
2023-10-12,43.79,80.0,33.0,70.0,12.0
2023-10-13,34.63,60.0,33.0,53.0,12.0
2023-10-16,26.33,60.0,33.0,20.0,12.0
2023-10-17,39.72,80.0,33.0,53.0,12.0
2023-10-18,38.19,65.0,33.0,63.0,12.0
2023-10-19,38.32,65.0,33.0,63.0,12.0
2023-10-20,36.9,60.0,33.0,63.0,12.0
2023-10-23,0.0,18.0,33.0,10.0,25.0
2023-10-25,15.65,33.0,33.0,10.0,12.0
2023-10-26,1.45,8.0,33.0,10.0,20.0
2023-10-27,11.83,28.0,33.0,10.0,15.0
2023-10-30,11.86,28.0,33.0,10.0,15.0
2023-10-31,10.59,23.0,33.0,10.0,15.0
2023-11-01,10.63,23.0,33.0,10.0,15.0
2023-11-02,12.09,28.0,33.0,10.0,15.0
2023-11-03,20.02,32.0,33.0,25.0,12.0
2023-11-06,15.83,32.0,33.0,20.0,15.0
2023-11-07,16.13,27.0,33.0,25.0,15.0
2023-11-08,12.24,27.0,33.0,10.0,15.0
2023-11-09,0.0,13.0,33.0,10.0,25.0
2023-11-10,3.4,13.0,33.0,10.0,20.0
2023-11-13,16.56,33.0,33.0,10.0,12.0
2023-11-15,11.33,23.0,33.0,10.0,15.0
2023-11-16,15.57,28.0,33.0,10.0,12.0
2023-11-17,15.63,28.0,33.0,10.0,12.0
2023-11-20,0.0,8.0,33.0,10.0,23.0
2023-11-21,12.78,28.0,33.0,10.0,15.0
2023-11-22,41.52,85.0,33.0,55.0,12.0
2023-11-23,33.63,70.0,33.0,38.0,12.0
2023-11-24,45.37,85.0,33.0,70.0,12.0
2023-11-28,30.83,60.0,33.0,38.0,12.0
2023-11-29,25.23,50.0,33.0,38.0,15.0
2023-11-30,31.98,65.0,33.0,38.0,12.0
2023-12-01,21.57,35.0,33.0,38.0,15.0
2023-12-04,19.51,35.0,33.0,18.0,12.0
2023-12-05,17.28,27.0,33.0,18.0,12.0
2023-12-06,18.4,32.0,33.0,18.0,12.0
2023-12-07,17.8,40.0,33.0,18.0,15.0
2023-12-08,14.32,27.0,33.0,18.0,15.0
2023-12-11,17.6,27.0,33.0,18.0,12.0
2023-12-12,18.66,32.0,33.0,18.0,12.0
2023-12-13,20.54,40.0,33.0,18.0,12.0
2023-12-14,19.43,27.0,33.0,38.0,15.0
2023-12-15,14.48,27.0,33.0,18.0,15.0
2023-12-18,30.9,80.0,33.0,18.0,12.0
2023-12-19,30.18,70.0,33.0,25.0,12.0
2023-12-20,11.8,27.0,33.0,18.0,17.0
2023-12-21,23.31,60.0,33.0,10.0,12.0
2023-12-22,26.0,60.0,33.0,20.0,12.0
2023-12-26,15.25,27.0,33.0,10.0,12.0
2023-12-27,16.56,32.0,33.0,10.0,12.0
2023-12-28,15.16,27.0,33.0,10.0,12.0
2023-12-29,15.43,27.0,33.0,10.0,12.0
2024-01-01,16.84,32.0,33.0,10.0,12.0
2024-01-02,23.93,60.0,33.0,10.0,12.0
2024-01-03,21.37,42.0,33.0,18.0,12.0
2024-01-04,26.11,60.0,33.0,18.0,12.0
2024-01-05,25.95,60.0,33.0,18.0,12.0
2024-01-08,39.61,85.0,33.0,48.0,12.0
2024-01-09,37.41,75.0,33.0,48.0,12.0
2024-01-10,36.3,80.0,33.0,38.0,12.0
2024-01-11,27.59,65.0,33.0,18.0,12.0
2024-01-12,26.18,60.0,33.0,18.0,12.0
2024-01-15,31.08,80.0,33.0,18.0,12.0
2024-01-16,24.05,60.0,33.0,10.0,12.0
2024-01-17,17.92,37.0,33.0,10.0,12.0
2024-01-18,28.46,70.0,33.0,18.0,12.0
2024-01-19,18.54,42.0,33.0,18.0,15.0
