scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,67.24,65.0,52.0,100.0,0.0
2023-09-06,63.06,60.0,52.0,100.0,3.0
2023-09-07,63.32,60.0,52.0,100.0,3.0
2023-09-08,63.44,60.0,52.0,100.0,3.0
2023-09-11,63.57,60.0,52.0,100.0,3.0
2023-09-12,65.73,60.0,52.0,100.0,0.0
2023-09-13,65.84,60.0,52.0,100.0,0.0
2023-09-14,65.51,70.0,52.0,100.0,3.0
2023-09-15,61.27,65.0,52.0,88.0,3.0
2023-09-18,59.88,60.0,52.0,88.0,3.0
2023-09-20,56.47,65.0,52.0,70.0,3.0
2023-09-21,59.55,60.0,52.0,88.0,3.0
2023-09-22,55.19,42.0,52.0,88.0,3.0
2023-09-25,56.52,65.0,52.0,70.0,3.0
2023-09-26,60.56,70.0,52.0,70.0,0.0
2023-09-27,61.0,70.0,52.0,70.0,0.0
2023-09-28,66.45,75.0,52.0,88.0,0.0
2023-09-29,59.67,65.0,52.0,70.0,0.0
2023-10-03,59.61,65.0,52.0,70.0,0.0
2023-10-04,58.03,60.0,52.0,70.0,0.0
2023-10-05,67.88,80.0,52.0,88.0,0.0
2023-10-06,68.46,72.0,52.0,98.0,0.0
2023-10-09,61.05,75.0,52.0,88.0,5.0
2023-10-10,64.96,70.0,52.0,88.0,0.0
2023-10-11,61.05,65.0,52.0,88.0,3.0
2023-10-12,69.27,75.0,52.0,98.0,0.0
2023-10-13,65.21,60.0,52.0,98.0,0.0
2023-10-16,65.24,60.0,52.0,98.0,0.0
2023-10-17,65.17,60.0,52.0,98.0,0.0
2023-10-18,56.92,47.0,52.0,78.0,0.0
2023-10-19,58.12,42.0,52.0,88.0,0.0
2023-10-20,49.74,28.0,52.0,70.0,0.0
2023-10-23,45.05,23.0,52.0,60.0,0.0
2023-10-25,46.17,28.0,52.0,60.0,0.0
2023-10-26,45.49,23.0,52.0,60.0,0.0
2023-10-27,70.82,85.0,52.0,98.0,0.0
2023-10-30,66.94,70.0,52.0,98.0,0.0
2023-10-31,71.34,85.0,52.0,100.0,0.0
2023-11-01,45.15,42.0,52.0,60.0,5.0
2023-11-02,38.06,28.0,52.0,45.0,5.0
2023-11-03,49.05,37.0,52.0,60.0,0.0
2023-11-06,44.95,32.0,52.0,60.0,3.0
2023-11-07,43.74,27.0,52.0,60.0,3.0
2023-11-08,43.87,27.0,52.0,60.0,3.0
2023-11-09,42.81,23.0,52.0,60.0,3.0
2023-11-10,45.23,32.0,52.0,60.0,3.0
2023-11-13,44.58,27.0,52.0,60.0,3.0
2023-11-15,44.89,27.0,52.0,60.0,3.0
2023-11-16,45.9,32.0,52.0,60.0,3.0
2023-11-17,40.98,27.0,52.0,45.0,3.0
2023-11-20,40.87,27.0,52.0,45.0,3.0
2023-11-21,39.57,32.0,52.0,35.0,3.0
2023-11-22,40.1,27.0,52.0,43.0,3.0
2023-11-23,37.25,23.0,52.0,35.0,3.0
2023-11-24,47.83,37.0,52.0,63.0,3.0
2023-11-28,37.35,23.0,52.0,35.0,3.0
2023-11-29,37.47,23.0,52.0,35.0,3.0
2023-11-30,42.91,33.0,52.0,35.0,0.0
2023-12-01,47.88,52.0,52.0,35.0,0.0
2023-12-04,44.91,32.0,52.0,43.0,0.0
2023-12-05,42.54,32.0,52.0,35.0,0.0
2023-12-06,39.9,32.0,52.0,25.0,0.0
2023-12-07,39.45,32.0,52.0,35.0,3.0
2023-12-08,40.18,23.0,52.0,35.0,0.0
2023-12-11,37.38,23.0,52.0,35.0,3.0
2023-12-12,41.73,28.0,52.0,35.0,0.0
2023-12-13,42.63,32.0,52.0,35.0,0.0
2023-12-14,41.65,27.0,52.0,35.0,0.0
2023-12-15,42.94,32.0,52.0,35.0,0.0
2023-12-18,42.42,32.0,52.0,35.0,0.0
2023-12-19,38.21,27.0,52.0,35.0,3.0
2023-12-20,39.73,23.0,52.0,35.0,0.0
2023-12-21,35.07,28.0,52.0,10.0,0.0
2023-12-22,32.27,28.0,52.0,10.0,3.0
2023-12-26,34.26,23.0,52.0,10.0,0.0
2023-12-27,32.4,28.0,52.0,10.0,3.0
2023-12-28,33.89,23.0,52.0,10.0,0.0
2023-12-29,34.16,28.0,52.0,18.0,3.0
2024-01-01,49.79,60.0,52.0,35.0,0.0
2024-01-02,55.71,75.0,52.0,43.0,0.0
2024-01-03,49.38,50.0,52.0,43.0,0.0
2024-01-04,47.19,40.0,52.0,43.0,0.0
2024-01-05,48.37,45.0,52.0,43.0,0.0
2024-01-08,45.89,35.0,52.0,43.0,0.0
2024-01-09,41.64,27.0,52.0,33.0,0.0
2024-01-10,56.16,75.0,52.0,43.0,0.0
2024-01-11,53.7,65.0,52.0,43.0,0.0
2024-01-12,55.32,60.0,52.0,53.0,0.0
2024-01-15,50.14,50.0,52.0,43.0,0.0
2024-01-16,44.86,55.0,52.0,18.0,0.0
2024-01-17,53.48,65.0,52.0,43.0,0.0
2024-01-18,45.86,50.0,52.0,28.0,0.0
2024-01-19,48.75,60.0,52.0,28.0,0.0
2024-01-23,31.2,23.0,52.0,18.0,5.0
2024-01-24,44.05,52.0,52.0,18.0,0.0
2024-01-25,47.18,55.0,52.0,28.0,0.0
2024-01-29,48.89,42.0,52.0,48.0,0.0
2024-01-30,37.27,27.0,52.0,28.0,3.0
2024-01-31,40.02,47.0,52.0,18.0,3.0
2024-02-01,40.0,55.0,52.0,10.0,3.0
2024-02-02,39.62,42.0,52.0,10.0,0.0
2024-02-05,53.51,70.0,52.0,38.0,0.0
2024-02-06,48.65,50.0,52.0,38.0,0.0
2024-02-07,56.28,70.0,52.0,48.0,0.0
2024-02-08,56.93,65.0,52.0,55.0,0.0
2024-02-09,56.83,70.0,52.0,53.0,0.0
2024-02-12,63.45,72.0,52.0,80.0,0.0
2024-02-13,62.22,67.0,52.0,80.0,0.0
2024-02-14,63.37,72.0,52.0,80.0,0.0
2024-02-15,61.98,65.0,52.0,80.0,0.0
2024-02-16,59.27,60.0,52.0,73.0,0.0
2024-02-19,51.51,65.0,52.0,38.0,0.0
2024-02-20,52.63,60.0,52.0,48.0,0.0
2024-02-21,68.38,72.0,52.0,100.0,0.0
2024-02-22,68.56,72.0,52.0,100.0,0.0
2024-02-23,60.31,57.0,52.0,80.0,0.0
2024-02-26,62.6,47.0,52.0,100.0,0.0
2024-02-27,60.84,52.0,52.0,100.0,3.0
2024-02-28,56.96,60.0,52.0,80.0,3.0
2024-02-29,57.12,60.0,52.0,80.0,3.0
2024-03-01,59.5,70.0,52.0,80.0,3.0
2024-03-04,56.45,60.0,52.0,80.0,3.0
2024-03-05,56.53,60.0,52.0,80.0,3.0
2024-03-06,56.04,60.0,52.0,80.0,3.0
2024-03-07,58.72,70.0,52.0,80.0,3.0
2024-03-11,55.71,60.0,52.0,80.0,3.0
2024-03-12,46.32,42.0,52.0,63.0,3.0
2024-03-13,25.57,23.0,52.0,10.0,5.0
2024-03-14,45.19,52.0,52.0,35.0,0.0
2024-03-15,48.82,52.0,52.0,63.0,3.0
2024-03-18,53.41,60.0,52.0,73.0,3.0
2024-03-19,52.27,50.0,52.0,80.0,3.0
2024-03-20,52.39,50.0,52.0,80.0,3.0
2024-03-21,45.22,55.0,52.0,45.0,3.0
2024-03-22,44.13,50.0,52.0,45.0,3.0
2024-03-26,44.89,42.0,52.0,45.0,0.0
2024-03-27,69.14,85.0,52.0,98.0,0.0
2024-03-28,66.24,72.0,52.0,100.0,0.0
2024-04-01,76.11,72.0,75.0,100.0,0.0
2024-04-02,70.37,60.0,75.0,100.0,3.0
2024-04-03,69.93,57.0,75.0,100.0,3.0
2024-04-04,70.74,60.0,75.0,100.0,3.0
2024-04-05,70.6,60.0,75.0,100.0,3.0
2024-04-08,70.8,60.0,75.0,100.0,3.0
2024-04-09,71.96,65.0,75.0,100.0,3.0
2024-04-10,72.14,65.0,75.0,100.0,3.0
2024-04-12,66.17,60.0,75.0,80.0,3.0
2024-04-15,70.74,60.0,75.0,100.0,3.0
2024-04-16,80.15,85.0,75.0,100.0,0.0
2024-04-18,76.93,72.0,75.0,100.0,0.0
2024-04-19,76.51,72.0,75.0,100.0,0.0
2024-04-22,66.04,47.0,75.0,100.0,5.0
2024-04-23,67.94,47.0,75.0,100.0,3.0
2024-04-24,71.17,60.0,75.0,100.0,3.0
2024-04-25,68.96,52.0,75.0,100.0,3.0
2024-04-26,69.15,52.0,75.0,100.0,3.0
2024-04-29,71.08,60.0,75.0,100.0,3.0
2024-04-30,71.04,60.0,75.0,100.0,3.0
2024-05-02,71.96,65.0,75.0,100.0,3.0
2024-05-03,70.41,60.0,75.0,100.0,3.0
2024-05-06,67.47,50.0,75.0,100.0,3.0
2024-05-07,62.19,50.0,75.0,100.0,8.0
2024-05-08,72.27,70.0,75.0,100.0,3.0
