scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,18.5,27.0,35.0,0.0,8.0
2023-09-05,19.49,30.0,35.0,0.0,8.0
2023-09-06,22.15,45.0,35.0,8.0,11.0
2023-09-07,30.17,45.0,35.0,28.0,8.0
2023-09-08,32.43,47.0,35.0,35.0,8.0
2023-09-11,32.56,47.0,35.0,35.0,8.0
2023-09-12,32.58,50.0,35.0,35.0,8.0
2023-09-13,25.81,35.0,35.0,35.0,11.0
2023-09-14,25.89,35.0,35.0,35.0,11.0
2023-09-15,25.99,35.0,35.0,35.0,11.0
2023-09-18,23.31,35.0,35.0,25.0,11.0
2023-09-20,27.14,40.0,35.0,25.0,8.0
2023-09-21,22.74,35.0,35.0,25.0,11.0
2023-09-22,31.45,40.0,35.0,55.0,11.0
2023-09-25,31.64,40.0,35.0,55.0,11.0
2023-09-26,31.86,40.0,35.0,55.0,11.0
2023-09-27,34.69,40.0,35.0,55.0,8.0
2023-09-28,34.66,40.0,35.0,55.0,8.0
2023-09-29,30.55,35.0,35.0,55.0,11.0
2023-10-03,36.89,35.0,35.0,80.0,11.0
2023-10-04,30.38,35.0,35.0,55.0,11.0
2023-10-05,28.76,35.0,35.0,48.0,11.0
2023-10-06,26.54,35.0,35.0,38.0,11.0
2023-10-09,19.44,27.0,35.0,20.0,11.0
2023-10-10,21.03,32.0,35.0,20.0,11.0
2023-10-11,17.4,27.0,35.0,10.0,11.0
2023-10-12,29.01,50.0,35.0,20.0,8.0
2023-10-13,25.09,35.0,35.0,20.0,8.0
2023-10-16,42.22,60.0,35.0,63.0,8.0
2023-10-17,29.37,50.0,35.0,20.0,8.0
2023-10-18,32.32,45.0,35.0,38.0,8.0
2023-10-19,20.88,37.0,35.0,0.0,8.0
2023-10-20,28.4,50.0,35.0,18.0,8.0
2023-10-23,14.99,18.0,35.0,0.0,8.0
2023-10-25,14.63,18.0,35.0,0.0,8.0
2023-10-26,13.55,13.0,35.0,0.0,8.0
2023-10-27,16.46,23.0,35.0,0.0,8.0
2023-10-30,21.41,42.0,35.0,0.0,8.0
2023-10-31,15.19,18.0,35.0,0.0,8.0
2023-11-01,13.87,13.0,35.0,0.0,8.0
2023-11-02,25.02,47.0,35.0,10.0,8.0
2023-11-03,27.9,50.0,35.0,18.0,8.0
2023-11-06,29.27,55.0,35.0,18.0,8.0
2023-11-07,30.52,50.0,35.0,28.0,8.0
2023-11-08,55.46,75.0,35.0,70.0,0.0
2023-11-09,54.48,62.0,35.0,80.0,0.0
2023-11-10,54.59,62.0,35.0,80.0,0.0
2023-11-13,58.72,62.0,35.0,95.0,0.0
2023-11-15,58.88,57.0,35.0,100.0,0.0
2023-11-16,56.34,52.0,35.0,95.0,0.0
2023-11-17,49.86,42.0,35.0,80.0,0.0
2023-11-20,49.71,42.0,35.0,80.0,0.0
2023-11-21,55.82,65.0,35.0,80.0,0.0
2023-11-22,55.82,65.0,35.0,80.0,0.0
2023-11-23,49.59,60.0,35.0,60.0,0.0
2023-11-24,58.52,75.0,35.0,80.0,0.0
2023-11-28,57.23,70.0,35.0,80.0,0.0
2023-11-29,58.27,75.0,35.0,80.0,0.0
2023-11-30,56.02,65.0,35.0,80.0,0.0
2023-12-01,57.12,55.0,35.0,95.0,0.0
2023-12-04,51.96,50.0,35.0,80.0,0.0
2023-12-05,51.59,50.0,35.0,80.0,0.0
2023-12-06,61.44,70.0,35.0,100.0,0.0
2023-12-07,56.26,60.0,35.0,100.0,3.0
2023-12-08,56.16,60.0,35.0,100.0,3.0
2023-12-11,53.21,47.0,35.0,100.0,3.0
2023-12-12,59.64,62.0,35.0,100.0,0.0
2023-12-13,59.46,60.0,35.0,100.0,0.0
2023-12-14,55.21,55.0,35.0,88.0,0.0
2023-12-15,50.92,50.0,35.0,88.0,3.0
2023-12-18,53.9,55.0,35.0,95.0,3.0
2023-12-19,50.64,50.0,35.0,88.0,3.0
2023-12-20,44.67,50.0,35.0,88.0,8.0
2023-12-21,55.03,50.0,35.0,95.0,0.0
2023-12-22,46.59,42.0,35.0,80.0,3.0
2023-12-26,59.27,60.0,35.0,100.0,0.0
2023-12-27,50.83,50.0,35.0,88.0,3.0
2023-12-28,50.79,50.0,35.0,88.0,3.0
2023-12-29,50.71,50.0,35.0,88.0,3.0
2024-01-01,56.64,60.0,35.0,88.0,0.0
2024-01-02,56.53,60.0,35.0,100.0,3.0
2024-01-03,59.57,60.0,35.0,100.0,0.0
2024-01-04,53.66,47.0,35.0,100.0,3.0
2024-01-05,60.29,62.0,35.0,100.0,0.0
2024-01-08,57.69,52.0,35.0,100.0,0.0
2024-01-09,56.69,47.0,35.0,100.0,0.0
2024-01-10,59.41,60.0,35.0,98.0,0.0
2024-01-11,58.89,55.0,35.0,100.0,0.0
2024-01-12,58.86,55.0,35.0,100.0,0.0
2024-01-15,59.82,60.0,35.0,100.0,0.0
2024-01-16,58.93,57.0,35.0,100.0,0.0
2024-01-17,56.86,50.0,35.0,100.0,0.0
2024-01-18,57.09,50.0,35.0,100.0,0.0
2024-01-19,57.38,50.0,35.0,100.0,0.0
2024-01-23,57.72,55.0,35.0,100.0,0.0
2024-01-24,57.73,52.0,35.0,100.0,0.0
2024-01-25,59.97,60.0,35.0,100.0,0.0
2024-01-29,55.36,42.0,35.0,100.0,0.0
2024-01-30,55.34,42.0,35.0,100.0,0.0
2024-01-31,60.52,62.0,35.0,100.0,0.0
2024-02-01,52.37,42.0,35.0,88.0,0.0
2024-02-02,59.2,70.0,35.0,88.0,0.0
2024-02-05,56.55,60.0,35.0,88.0,0.0
2024-02-06,58.03,65.0,35.0,88.0,0.0
2024-02-07,56.79,60.0,35.0,88.0,0.0
2024-02-08,55.2,55.0,35.0,88.0,0.0
2024-02-09,50.68,50.0,35.0,88.0,3.0
2024-02-12,49.95,50.0,35.0,88.0,3.0
2024-02-13,49.98,50.0,35.0,88.0,3.0
2024-02-14,45.6,50.0,35.0,70.0,3.0
2024-02-15,37.6,42.0,35.0,45.0,3.0
2024-02-16,40.14,42.0,35.0,55.0,3.0
2024-02-19,37.81,42.0,35.0,45.0,3.0
2024-02-20,32.89,23.0,35.0,45.0,3.0
2024-02-21,36.88,28.0,35.0,45.0,0.0
2024-02-22,39.12,23.0,35.0,70.0,3.0
2024-02-23,42.18,23.0,35.0,70.0,0.0
2024-02-26,32.93,23.0,35.0,45.0,3.0
2024-02-27,37.06,28.0,35.0,45.0,0.0
2024-02-28,36.55,28.0,35.0,45.0,0.0
2024-02-29,33.67,28.0,35.0,45.0,3.0
2024-03-01,37.91,32.0,35.0,45.0,0.0
2024-03-04,54.87,75.0,35.0,70.0,0.0
2024-03-05,42.57,27.0,35.0,70.0,0.0
2024-03-06,36.49,27.0,35.0,60.0,3.0
2024-03-07,32.0,23.0,35.0,45.0,3.0
2024-03-11,31.32,23.0,35.0,45.0,3.0
2024-03-12,28.57,23.0,35.0,35.0,3.0
2024-03-13,27.95,23.0,35.0,35.0,3.0
2024-03-14,26.08,23.0,35.0,25.0,3.0
2024-03-15,22.22,23.0,35.0,10.0,3.0
2024-03-18,21.39,19.0,35.0,10.0,3.0
2024-03-19,8.01,19.0,35.0,10.0,16.0
2024-03-20,1.29,4.0,35.0,10.0,19.0
2024-03-21,32.15,48.0,35.0,10.0,0.0
2024-03-22,16.91,19.0,35.0,10.0,8.0
2024-03-26,14.13,9.0,35.0,10.0,8.0
2024-03-27,3.86,19.0,35.0,10.0,21.0
2024-03-28,8.84,19.0,35.0,10.0,16.0
2024-04-01,17.96,14.0,47.0,10.0,11.0
2024-04-02,23.51,23.0,47.0,10.0,8.0
2024-04-03,22.38,18.0,47.0,10.0,8.0
2024-04-04,37.88,48.0,47.0,10.0,0.0
2024-04-05,31.95,23.0,47.0,10.0,0.0
2024-04-08,36.77,42.0,47.0,10.0,0.0
2024-04-09,29.66,27.0,47.0,10.0,3.0
2024-04-10,28.71,23.0,47.0,10.0,3.0
2024-04-12,17.14,8.0,47.0,10.0,11.0
2024-04-15,16.9,8.0,47.0,10.0,11.0
2024-04-16,17.1,8.0,47.0,10.0,11.0
2024-04-18,18.21,13.0,47.0,10.0,11.0
2024-04-19,16.71,8.0,47.0,10.0,11.0
2024-04-22,17.49,8.0,47.0,10.0,11.0
2024-04-23,17.4,8.0,47.0,10.0,11.0
2024-04-24,17.62,8.0,47.0,10.0,11.0
2024-04-25,17.38,8.0,47.0,10.0,11.0
2024-04-26,20.62,8.0,47.0,10.0,8.0
2024-04-29,20.38,8.0,47.0,10.0,8.0
2024-04-30,23.83,13.0,47.0,18.0,8.0
2024-05-02,20.41,8.0,47.0,10.0,8.0
2024-05-03,20.16,8.0,47.0,10.0,8.0
2024-05-06,15.69,4.0,47.0,10.0,11.0
2024-05-07,18.25,4.0,47.0,10.0,8.0
2024-05-08,18.59,4.0,47.0,10.0,8.0
2024-05-09,11.2,9.0,47.0,10.0,16.0
2024-05-10,8.84,9.0,47.0,0.0,16.0
2024-05-13,21.77,28.0,47.0,0.0,8.0
2024-05-14,20.97,23.0,47.0,0.0,8.0
2024-05-15,20.33,22.0,47.0,10.0,11.0
2024-05-16,22.55,30.0,47.0,10.0,11.0
2024-05-17,29.8,45.0,47.0,10.0,8.0
2024-05-21,24.6,35.0,47.0,0.0,8.0
2024-05-22,17.73,20.0,47.0,0.0,11.0
2024-05-23,15.76,12.0,47.0,0.0,11.0
2024-05-24,15.56,12.0,47.0,0.0,11.0
2024-05-27,17.46,8.0,47.0,0.0,8.0
2024-05-28,17.33,8.0,47.0,0.0,8.0
2024-05-29,17.2,8.0,47.0,0.0,8.0
2024-05-30,18.21,13.0,47.0,0.0,8.0
2024-05-31,19.65,18.0,47.0,0.0,8.0
2024-06-03,18.66,13.0,47.0,0.0,8.0
2024-06-04,13.23,8.0,47.0,0.0,11.0
2024-06-05,16.68,8.0,47.0,0.0,8.0
2024-06-06,20.89,23.0,47.0,0.0,8.0
2024-06-07,17.58,13.0,47.0,8.0,11.0
2024-06-10,17.86,13.0,47.0,8.0,11.0
2024-06-11,19.14,17.0,47.0,8.0,11.0
2024-06-12,20.15,17.0,47.0,0.0,8.0
2024-06-13,22.27,25.0,47.0,0.0,8.0
2024-06-14,22.47,25.0,47.0,0.0,8.0
2024-06-18,23.59,40.0,47.0,0.0,11.0
2024-06-19,28.77,50.0,47.0,0.0,8.0
2024-06-20,29.53,45.0,47.0,8.0,8.0
2024-06-21,29.44,45.0,47.0,8.0,8.0
2024-06-24,31.95,55.0,47.0,8.0,8.0
2024-06-25,34.9,50.0,47.0,25.0,8.0
2024-06-26,34.89,50.0,47.0,25.0,8.0
2024-06-27,33.92,37.0,47.0,35.0,8.0
2024-06-28,32.94,32.0,47.0,35.0,8.0
2024-07-01,30.71,22.0,47.0,35.0,8.0
2024-07-02,35.08,40.0,47.0,35.0,8.0
2024-07-03,34.02,35.0,47.0,35.0,8.0
2024-07-04,31.62,35.0,47.0,25.0,8.0
2024-07-05,31.65,35.0,47.0,25.0,8.0
2024-07-08,29.38,27.0,47.0,25.0,8.0
