scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,47.24,60.0,33.0,95.0,11.0
2023-09-05,49.62,70.0,33.0,95.0,11.0
2023-09-06,48.51,60.0,33.0,100.0,11.0
2023-09-07,49.67,65.0,33.0,100.0,11.0
2023-09-08,43.47,60.0,33.0,80.0,11.0
2023-09-11,43.5,60.0,33.0,80.0,11.0
2023-09-12,45.54,60.0,33.0,80.0,8.0
2023-09-13,39.04,60.0,33.0,65.0,11.0
2023-09-14,42.47,60.0,33.0,65.0,8.0
2023-09-15,34.24,42.0,33.0,63.0,11.0
2023-09-18,31.82,38.0,33.0,58.0,11.0
2023-09-20,40.91,70.0,33.0,63.0,11.0
2023-09-21,33.65,42.0,33.0,63.0,11.0
2023-09-22,29.19,42.0,33.0,45.0,11.0
2023-09-25,36.22,70.0,33.0,45.0,11.0
2023-09-26,32.17,42.0,33.0,45.0,8.0
2023-09-27,28.26,38.0,33.0,45.0,11.0
2023-09-28,32.25,43.0,33.0,45.0,8.0
2023-09-29,31.38,38.0,33.0,45.0,8.0
2023-10-03,27.6,23.0,33.0,45.0,8.0
2023-10-04,29.71,33.0,33.0,45.0,8.0
2023-10-05,27.57,33.0,33.0,35.0,8.0
2023-10-06,22.62,28.0,33.0,20.0,8.0
2023-10-09,17.65,23.0,33.0,20.0,11.0
2023-10-10,24.89,23.0,33.0,35.0,8.0
2023-10-11,27.72,33.0,33.0,35.0,8.0
2023-10-12,27.86,33.0,33.0,35.0,8.0
2023-10-13,22.42,23.0,33.0,35.0,11.0
2023-10-16,27.86,33.0,33.0,35.0,8.0
2023-10-17,28.02,23.0,33.0,45.0,8.0
2023-10-18,22.33,23.0,33.0,35.0,11.0
2023-10-19,22.94,23.0,33.0,25.0,8.0
2023-10-20,22.74,23.0,33.0,25.0,8.0
2023-10-23,7.26,13.0,33.0,10.0,16.0
2023-10-25,4.71,4.0,33.0,10.0,16.0
2023-10-26,8.34,18.0,33.0,10.0,16.0
2023-10-27,20.45,33.0,33.0,10.0,8.0
2023-10-30,14.89,23.0,33.0,10.0,11.0
2023-10-31,5.64,8.0,33.0,20.0,19.0
2023-11-01,3.33,8.0,33.0,0.0,16.0
2023-11-02,6.33,18.0,33.0,0.0,16.0
2023-11-03,6.4,18.0,33.0,0.0,16.0
2023-11-06,6.64,18.0,33.0,0.0,16.0
2023-11-07,9.28,18.0,33.0,10.0,16.0
2023-11-08,28.42,52.0,33.0,20.0,8.0
2023-11-09,19.27,27.0,33.0,10.0,8.0
2023-11-10,4.07,28.0,33.0,0.0,21.0
2023-11-13,9.22,28.0,33.0,0.0,16.0
2023-11-15,9.33,28.0,33.0,0.0,16.0
2023-11-16,6.92,19.0,33.0,0.0,16.0
2023-11-17,10.55,33.0,33.0,0.0,16.0
2023-11-20,2.42,13.0,33.0,0.0,19.0
2023-11-21,3.82,18.0,33.0,0.0,19.0
2023-11-22,2.66,13.0,33.0,0.0,19.0
2023-11-23,4.1,18.0,33.0,0.0,19.0
2023-11-24,3.98,18.0,33.0,0.0,19.0
2023-11-28,2.82,13.0,33.0,0.0,19.0
2023-11-29,7.04,18.0,33.0,0.0,16.0
2023-11-30,8.34,23.0,33.0,0.0,16.0
2023-12-01,5.9,13.0,33.0,0.0,16.0
2023-12-04,2.99,13.0,33.0,0.0,19.0
2023-12-05,7.16,18.0,33.0,0.0,16.0
2023-12-06,10.96,32.0,33.0,0.0,16.0
2023-12-07,14.19,45.0,33.0,0.0,16.0
2023-12-08,8.88,25.0,33.0,0.0,16.0
2023-12-11,31.62,75.0,33.0,8.0,8.0
2023-12-12,16.52,40.0,33.0,15.0,16.0
2023-12-13,17.75,35.0,33.0,25.0,16.0
2023-12-14,17.88,35.0,33.0,25.0,16.0
2023-12-15,36.06,75.0,33.0,25.0,8.0
2023-12-18,24.27,50.0,33.0,15.0,11.0
2023-12-19,15.65,35.0,33.0,15.0,16.0
2023-12-20,7.31,12.0,33.0,8.0,16.0
2023-12-21,13.65,40.0,33.0,15.0,19.0
2023-12-22,13.81,40.0,33.0,15.0,19.0
2023-12-26,17.1,40.0,33.0,15.0,16.0
2023-12-27,12.78,35.0,33.0,15.0,19.0
2023-12-28,10.9,35.0,33.0,8.0,19.0
2023-12-29,10.99,35.0,33.0,8.0,19.0
2024-01-01,18.61,45.0,33.0,15.0,16.0
2024-01-02,15.42,35.0,33.0,25.0,19.0
2024-01-03,13.68,35.0,33.0,18.0,19.0
2024-01-04,12.32,27.0,33.0,8.0,16.0
2024-01-05,12.06,27.0,33.0,8.0,16.0
2024-01-08,6.34,13.0,33.0,0.0,16.0
2024-01-09,3.57,13.0,33.0,0.0,19.0
2024-01-10,3.44,13.0,33.0,0.0,19.0
2024-01-11,9.02,13.0,33.0,10.0,16.0
2024-01-12,6.06,13.0,33.0,10.0,19.0
2024-01-15,8.91,23.0,33.0,0.0,16.0
2024-01-16,8.77,23.0,33.0,0.0,16.0
2024-01-17,8.35,13.0,33.0,10.0,16.0
2024-01-18,11.22,23.0,33.0,10.0,16.0
2024-01-19,7.87,18.0,33.0,0.0,16.0
2024-01-23,4.64,9.0,33.0,0.0,16.0
2024-01-24,7.32,18.0,33.0,0.0,16.0
2024-01-25,9.74,27.0,33.0,0.0,16.0
2024-01-29,19.44,55.0,33.0,10.0,16.0
2024-01-30,7.28,17.0,33.0,0.0,16.0
2024-01-31,7.48,17.0,33.0,0.0,16.0
2024-02-01,18.02,60.0,33.0,0.0,16.0
2024-02-02,8.48,22.0,33.0,0.0,16.0
2024-02-05,7.01,18.0,33.0,0.0,16.0
2024-02-06,7.12,18.0,33.0,0.0,16.0
2024-02-07,5.82,13.0,33.0,0.0,16.0
2024-02-08,6.91,18.0,33.0,0.0,16.0
2024-02-09,7.88,23.0,33.0,0.0,16.0
2024-02-12,4.93,13.0,33.0,0.0,16.0
2024-02-13,1.95,13.0,33.0,0.0,19.0
2024-02-14,12.62,33.0,33.0,10.0,16.0
2024-02-15,12.49,32.0,33.0,10.0,16.0
2024-02-16,8.82,17.0,33.0,10.0,16.0
2024-02-19,19.35,50.0,33.0,18.0,16.0
2024-02-20,26.04,60.0,33.0,35.0,16.0
2024-02-21,37.84,75.0,33.0,35.0,8.0
2024-02-22,32.07,52.0,33.0,35.0,8.0
2024-02-23,31.54,50.0,33.0,35.0,8.0
2024-02-26,15.35,35.0,33.0,18.0,16.0
2024-02-27,12.09,35.0,33.0,18.0,19.0
2024-02-28,14.03,35.0,33.0,28.0,19.0
2024-02-29,15.85,40.0,33.0,18.0,16.0
2024-03-01,16.78,45.0,33.0,28.0,19.0
2024-03-04,15.85,35.0,33.0,35.0,19.0
2024-03-05,19.93,40.0,33.0,35.0,16.0
2024-03-06,18.26,35.0,33.0,35.0,16.0
2024-03-07,18.25,35.0,33.0,35.0,16.0
2024-03-11,5.99,17.0,33.0,18.0,19.0
2024-03-12,7.64,13.0,33.0,18.0,16.0
2024-03-13,11.51,23.0,33.0,25.0,16.0
2024-03-14,5.29,13.0,33.0,8.0,16.0
2024-03-15,12.19,42.0,33.0,8.0,16.0
2024-03-18,12.58,45.0,33.0,18.0,19.0
2024-03-19,6.57,32.0,33.0,8.0,19.0
2024-03-20,2.77,13.0,33.0,0.0,16.0
2024-03-21,3.26,13.0,33.0,0.0,16.0
