scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,52.33,75.0,60.0,18.0,0.0
2023-09-05,50.02,65.0,60.0,18.0,0.0
2023-09-06,50.11,65.0,60.0,18.0,0.0
2023-09-07,51.32,70.0,60.0,18.0,0.0
2023-09-08,48.0,65.0,60.0,10.0,0.0
2023-09-11,52.66,75.0,60.0,18.0,0.0
2023-09-12,45.22,47.0,60.0,18.0,0.0
2023-09-13,41.0,38.0,60.0,10.0,0.0
2023-09-14,51.33,70.0,60.0,18.0,0.0
2023-09-15,55.29,85.0,60.0,18.0,0.0
2023-09-18,52.45,75.0,60.0,18.0,0.0
2023-09-20,51.03,70.0,60.0,18.0,0.0
2023-09-21,49.26,65.0,60.0,18.0,0.0
2023-09-22,49.37,65.0,60.0,18.0,0.0
2023-09-25,49.39,65.0,60.0,18.0,0.0
2023-09-26,55.66,90.0,60.0,18.0,0.0
2023-09-27,50.93,70.0,60.0,18.0,0.0
2023-09-28,49.29,65.0,60.0,18.0,0.0
2023-09-29,50.68,70.0,60.0,18.0,0.0
2023-10-03,41.79,43.0,60.0,10.0,0.0
2023-10-04,50.32,70.0,60.0,20.0,0.0
2023-10-05,55.14,70.0,60.0,38.0,0.0
2023-10-06,52.34,70.0,60.0,38.0,3.0
2023-10-09,53.43,65.0,60.0,38.0,0.0
2023-10-10,52.11,70.0,60.0,38.0,3.0
2023-10-11,55.36,70.0,60.0,38.0,0.0
2023-10-12,59.42,75.0,60.0,48.0,0.0
2023-10-13,53.67,65.0,60.0,48.0,3.0
2023-10-16,52.39,70.0,60.0,38.0,3.0
2023-10-17,52.66,70.0,60.0,38.0,3.0
2023-10-18,53.87,65.0,60.0,38.0,0.0
2023-10-19,55.36,70.0,60.0,38.0,0.0
2023-10-20,50.9,65.0,60.0,38.0,3.0
2023-10-23,45.64,47.0,60.0,38.0,3.0
2023-10-25,39.28,28.0,60.0,20.0,0.0
2023-10-26,40.44,33.0,60.0,20.0,0.0
2023-10-27,43.01,42.0,60.0,20.0,0.0
2023-10-30,39.4,28.0,60.0,20.0,0.0
2023-10-31,23.64,18.0,60.0,0.0,8.0
2023-11-01,22.37,13.0,60.0,0.0,8.0
2023-11-02,43.26,43.0,60.0,20.0,0.0
2023-11-03,53.77,85.0,60.0,20.0,0.0
2023-11-06,57.45,80.0,60.0,38.0,0.0
2023-11-07,52.49,60.0,60.0,38.0,0.0
