scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2025-02-20,0.0,22.0,23.0,0.0,19.0
2025-02-21,0.0,13.0,23.0,0.0,16.0
2025-02-24,0.0,13.0,23.0,0.0,19.0
2025-02-25,0.0,21.0,23.0,0.0,16.0
2025-02-27,0.0,26.0,23.0,0.0,21.0
2025-02-28,2.31,31.0,23.0,0.0,16.0
2025-03-03,0.0,21.0,23.0,0.0,21.0
2025-03-04,3.83,36.0,23.0,0.0,16.0
2025-03-05,0.82,23.0,23.0,0.0,16.0
2025-03-06,0.0,13.0,23.0,0.0,16.0
2025-03-07,0.0,18.0,23.0,0.0,16.0
2025-03-10,0.0,16.0,23.0,0.0,16.0
2025-03-11,0.0,16.0,23.0,0.0,16.0
2025-03-12,0.0,16.0,23.0,0.0,19.0
2025-03-13,0.0,16.0,23.0,0.0,19.0
2025-03-17,0.0,16.0,23.0,0.0,19.0
2025-03-18,0.0,16.0,23.0,0.0,19.0
2025-03-19,3.95,32.0,23.0,0.0,16.0
2025-03-20,0.12,17.0,23.0,0.0,16.0
2025-03-21,4.12,32.0,23.0,0.0,16.0
2025-03-24,6.08,40.0,23.0,0.0,16.0
2025-03-25,1.85,25.0,23.0,0.0,16.0
2025-03-26,0.0,17.0,23.0,0.0,16.0
2025-03-27,6.53,35.0,23.0,8.0,16.0
2025-03-28,6.31,25.0,23.0,18.0,16.0
2025-04-01,23.82,17.0,71.0,8.0,12.0
2025-04-02,35.72,35.0,71.0,25.0,9.0
2025-04-03,29.14,25.0,71.0,8.0,9.0
2025-04-04,21.37,17.0,71.0,8.0,14.0
2025-04-07,19.26,18.0,71.0,0.0,14.0
2025-04-08,25.85,23.0,71.0,0.0,9.0
2025-04-09,23.07,13.0,71.0,0.0,9.0
2025-04-11,28.21,23.0,71.0,8.0,9.0
2025-04-15,29.87,27.0,71.0,8.0,9.0
2025-04-16,36.17,35.0,71.0,25.0,9.0
2025-04-17,30.57,25.0,71.0,25.0,12.0
2025-04-21,35.23,30.0,71.0,25.0,9.0
2025-04-22,30.66,30.0,71.0,8.0,9.0
2025-04-23,34.34,45.0,71.0,8.0,9.0
2025-04-24,29.12,25.0,71.0,8.0,9.0
2025-04-25,23.58,13.0,71.0,0.0,9.0
2025-04-28,23.7,13.0,71.0,0.0,9.0
2025-04-29,23.93,13.0,71.0,0.0,9.0
2025-04-30,24.3,16.0,71.0,0.0,9.0
2025-05-02,24.33,16.0,71.0,0.0,9.0
2025-05-05,31.29,42.0,71.0,0.0,9.0
2025-05-06,23.95,16.0,71.0,0.0,9.0
2025-05-07,24.1,16.0,71.0,0.0,9.0
2025-05-08,23.98,16.0,71.0,0.0,9.0
2025-05-09,25.35,21.0,71.0,0.0,9.0
2025-05-12,29.32,32.0,71.0,0.0,9.0
2025-05-13,37.12,55.0,71.0,8.0,9.0
2025-05-14,34.92,45.0,71.0,8.0,9.0
2025-05-15,32.91,45.0,71.0,0.0,9.0
2025-05-16,34.33,50.0,71.0,0.0,9.0
2025-05-19,34.71,50.0,71.0,0.0,9.0
2025-05-20,31.82,40.0,71.0,0.0,9.0
2025-05-21,31.92,40.0,71.0,0.0,9.0
2025-05-22,35.79,55.0,71.0,0.0,9.0
2025-05-23,39.15,60.0,71.0,8.0,9.0
2025-05-26,43.08,47.0,71.0,35.0,9.0
2025-05-27,42.95,47.0,71.0,35.0,9.0
2025-05-28,39.07,32.0,71.0,35.0,9.0
2025-05-29,40.42,37.0,71.0,35.0,9.0
2025-05-30,37.37,45.0,71.0,35.0,14.0
2025-06-02,42.28,45.0,71.0,35.0,9.0
2025-06-03,42.43,45.0,71.0,35.0,9.0
2025-06-04,46.28,40.0,71.0,55.0,9.0
2025-06-05,40.22,35.0,71.0,35.0,9.0
2025-06-06,41.35,40.0,71.0,35.0,9.0
2025-06-09,42.72,45.0,71.0,35.0,9.0
2025-06-10,35.32,35.0,71.0,28.0,12.0
2025-06-11,35.22,35.0,71.0,28.0,12.0
2025-06-12,34.2,32.0,71.0,28.0,12.0
2025-06-13,31.51,32.0,71.0,18.0,12.0
2025-06-16,32.81,37.0,71.0,18.0,12.0
2025-06-17,30.41,28.0,71.0,18.0,12.0
2025-06-18,26.68,13.0,71.0,18.0,12.0
2025-06-19,24.18,13.0,71.0,10.0,12.0
2025-06-20,25.54,18.0,71.0,10.0,12.0
2025-06-23,24.21,13.0,71.0,10.0,12.0
2025-06-24,39.12,60.0,71.0,10.0,9.0
2025-06-25,39.4,60.0,71.0,10.0,9.0
2025-06-26,35.48,45.0,71.0,10.0,9.0
2025-06-27,34.46,40.0,71.0,10.0,9.0
2025-06-30,7.09,35.0,24.0,18.0,19.0
2025-07-01,12.71,45.0,24.0,18.0,16.0
2025-07-02,6.88,35.0,24.0,18.0,19.0
2025-07-03,6.94,35.0,24.0,18.0,19.0
2025-07-04,7.04,35.0,24.0,18.0,19.0
2025-07-07,8.08,40.0,24.0,18.0,19.0
2025-07-08,6.94,35.0,24.0,18.0,19.0
2025-07-09,13.81,50.0,24.0,18.0,16.0
2025-07-10,19.06,50.0,24.0,38.0,16.0
2025-07-11,23.5,47.0,24.0,60.0,16.0
2025-07-14,22.31,42.0,24.0,60.0,16.0
2025-07-15,25.97,35.0,24.0,80.0,16.0
2025-07-16,28.41,45.0,24.0,80.0,16.0
2025-07-17,22.99,35.0,24.0,80.0,19.0
2025-07-18,28.65,47.0,24.0,80.0,16.0
2025-07-21,25.64,35.0,24.0,80.0,16.0
2025-07-22,22.47,35.0,24.0,80.0,19.0
2025-07-23,22.44,35.0,24.0,80.0,19.0
2025-07-24,22.54,35.0,24.0,80.0,19.0
2025-07-25,24.99,35.0,24.0,80.0,16.0
2025-07-28,21.73,35.0,24.0,80.0,19.0
2025-07-29,20.42,35.0,24.0,73.0,19.0
2025-07-30,18.39,27.0,24.0,73.0,19.0
2025-07-31,13.36,27.0,24.0,53.0,19.0
2025-08-01,12.01,23.0,24.0,53.0,19.0
2025-08-04,15.82,37.0,24.0,53.0,19.0
2025-08-05,13.18,27.0,24.0,53.0,19.0
2025-08-06,9.35,23.0,24.0,43.0,19.0
2025-08-07,25.21,45.0,24.0,73.0,16.0
2025-08-08,9.85,35.0,24.0,35.0,19.0
2025-08-11,3.84,8.0,24.0,25.0,16.0
2025-08-12,3.74,8.0,24.0,25.0,16.0
2025-08-13,11.04,37.0,24.0,25.0,16.0
2025-08-14,8.01,27.0,24.0,35.0,19.0
2025-08-18,15.34,45.0,24.0,45.0,19.0
2025-08-19,14.32,40.0,24.0,45.0,19.0
2025-08-20,10.58,35.0,24.0,35.0,19.0
2025-08-21,11.04,40.0,24.0,20.0,16.0
2025-08-22,15.98,60.0,24.0,20.0,16.0
2025-08-25,11.28,35.0,24.0,38.0,19.0
2025-08-26,4.44,27.0,24.0,20.0,19.0
2025-08-28,0.56,12.0,24.0,20.0,19.0
2025-08-29,4.38,12.0,24.0,35.0,19.0
2025-09-01,2.18,17.0,24.0,20.0,19.0
2025-09-02,10.84,17.0,24.0,53.0,19.0
2025-09-03,5.3,12.0,24.0,35.0,19.0
2025-09-04,4.07,8.0,24.0,35.0,19.0
2025-09-05,0.25,8.0,24.0,20.0,19.0
2025-09-08,3.21,8.0,24.0,20.0,16.0
2025-09-09,3.24,8.0,24.0,20.0,16.0
2025-09-10,17.82,32.0,24.0,53.0,16.0
2025-09-11,9.83,12.0,24.0,53.0,19.0
2025-09-12,22.48,35.0,24.0,68.0,16.0
2025-09-15,25.28,45.0,24.0,68.0,16.0
2025-09-16,34.23,60.0,24.0,88.0,16.0
2025-09-17,31.91,50.0,24.0,88.0,16.0
2025-09-18,31.77,50.0,24.0,88.0,16.0
2025-09-19,31.6,60.0,24.0,78.0,16.0
2025-09-22,32.68,75.0,24.0,68.0,16.0
2025-09-23,23.81,55.0,24.0,53.0,16.0
2025-09-24,13.34,32.0,24.0,35.0,16.0
2025-09-25,12.7,27.0,24.0,38.0,16.0
2025-09-26,6.75,23.0,24.0,20.0,16.0
2025-09-29,0.0,8.0,24.0,20.0,24.0
2025-09-30,0.0,8.0,24.0,20.0,27.0
2025-10-01,0.0,13.0,24.0,20.0,27.0
2025-10-03,21.43,45.0,24.0,53.0,16.0
2025-10-06,10.0,27.0,24.0,38.0,19.0
2025-10-07,10.04,27.0,24.0,38.0,19.0
2025-10-08,9.07,23.0,24.0,38.0,19.0
2025-10-09,1.92,23.0,24.0,10.0,19.0
2025-10-10,7.64,37.0,24.0,18.0,19.0
2025-10-13,5.72,27.0,24.0,10.0,16.0
2025-10-14,0.0,8.0,24.0,10.0,24.0
2025-10-15,6.77,32.0,24.0,10.0,16.0
2025-10-16,1.52,23.0,24.0,10.0,19.0
2025-10-17,4.26,23.0,24.0,10.0,16.0
2025-10-20,2.68,28.0,24.0,10.0,19.0
2025-10-21,3.86,32.0,24.0,10.0,19.0
2025-10-23,4.59,23.0,24.0,10.0,16.0
2025-10-24,8.12,37.0,24.0,10.0,16.0
2025-10-27,4.84,23.0,24.0,10.0,16.0
2025-10-28,4.98,23.0,24.0,10.0,16.0
2025-10-29,20.4,60.0,24.0,33.0,16.0
2025-10-30,18.99,55.0,24.0,33.0,16.0
2025-10-31,26.39,65.0,24.0,53.0,16.0
2025-11-03,18.31,50.0,24.0,35.0,16.0
2025-11-04,18.86,55.0,24.0,33.0,16.0
2025-11-06,7.28,38.0,24.0,25.0,21.0
2025-11-07,0.0,23.0,24.0,10.0,24.0
2025-11-10,0.0,13.0,24.0,10.0,24.0
2025-11-11,0.0,13.0,24.0,10.0,24.0
2025-11-12,0.0,13.0,24.0,10.0,24.0
2025-11-13,0.0,13.0,24.0,10.0,24.0
2025-11-14,0.0,13.0,24.0,10.0,24.0
2025-11-17,0.0,18.0,24.0,10.0,24.0
2025-11-18,0.0,13.0,24.0,10.0,24.0
2025-11-19,0.0,13.0,24.0,10.0,24.0
2025-11-20,0.0,9.0,24.0,10.0,24.0
2025-11-21,0.0,9.0,24.0,0.0,24.0
2025-11-24,0.0,9.0,24.0,0.0,32.0
2025-11-25,0.0,18.0,24.0,0.0,24.0
2025-11-26,0.0,18.0,24.0,0.0,24.0
2025-11-27,0.0,18.0,24.0,0.0,24.0
2025-11-28,0.0,13.0,24.0,0.0,27.0
2025-12-01,0.0,18.0,24.0,0.0,24.0
2025-12-02,0.0,13.0,24.0,0.0,24.0
2025-12-03,0.0,13.0,24.0,0.0,24.0
2025-12-04,0.0,13.0,24.0,0.0,24.0
2025-12-05,0.0,9.0,24.0,0.0,24.0
2025-12-08,0.0,19.0,24.0,0.0,32.0
2025-12-09,0.0,33.0,24.0,0.0,24.0
2025-12-10,0.0,9.0,24.0,0.0,24.0
2025-12-11,0.0,21.0,24.0,0.0,24.0
2025-12-12,0.0,18.0,24.0,0.0,24.0
2025-12-15,0.0,33.0,24.0,0.0,24.0
2025-12-16,0.0,13.0,24.0,0.0,24.0
2025-12-17,0.0,16.0,24.0,0.0,24.0
2025-12-18,0.0,16.0,24.0,0.0,24.0
2025-12-19,0.0,18.0,24.0,0.0,24.0
2025-12-22,0.0,18.0,24.0,0.0,24.0
2025-12-23,0.0,27.0,24.0,0.0,24.0
2025-12-24,0.0,13.0,24.0,0.0,24.0
2025-12-26,0.0,32.0,24.0,0.0,24.0
2025-12-29,0.0,13.0,24.0,0.0,24.0
2025-12-30,0.0,13.0,24.0,0.0,24.0
2025-12-31,5.73,22.0,25.0,0.0,12.0
2026-01-01,3.35,13.0,25.0,0.0,12.0
2026-01-02,5.96,22.0,25.0,0.0,12.0
2026-01-05,3.51,13.0,25.0,0.0,12.0
2026-01-06,5.49,13.0,25.0,8.0,12.0
2026-01-07,4.17,16.0,25.0,0.0,12.0
2026-01-08,5.22,21.0,25.0,0.0,12.0
2026-01-09,6.21,26.0,25.0,0.0,12.0
2026-01-12,4.36,19.0,25.0,0.0,12.0
2026-01-13,8.59,36.0,25.0,0.0,12.0
2026-01-14,3.72,16.0,25.0,0.0,12.0
2026-01-15,0.55,16.0,25.0,0.0,15.0
2026-01-16,3.72,16.0,25.0,0.0,12.0
2026-01-19,1.62,9.0,25.0,0.0,12.0
2026-01-20,0.0,19.0,25.0,0.0,20.0
2026-01-21,0.0,19.0,25.0,0.0,20.0
2026-01-22,8.46,36.0,25.0,0.0,12.0
2026-01-23,1.36,9.0,25.0,0.0,12.0
2026-01-27,4.01,19.0,25.0,0.0,12.0
2026-01-28,7.4,31.0,25.0,0.0,12.0
2026-01-29,5.99,26.0,25.0,0.0,12.0
