scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,38.82,65.0,13.0,70.0,7.0
2023-09-05,35.06,60.0,13.0,60.0,7.0
2023-09-06,33.57,42.0,13.0,60.0,4.0
2023-09-07,45.65,80.0,13.0,70.0,4.0
2023-09-08,40.62,60.0,13.0,70.0,4.0
2023-09-11,45.04,60.0,13.0,88.0,4.0
2023-09-12,27.83,43.0,13.0,60.0,9.0
2023-09-13,37.84,52.0,13.0,70.0,4.0
2023-09-14,53.84,85.0,13.0,100.0,4.0
2023-09-15,48.39,75.0,13.0,88.0,4.0
2023-09-18,40.72,65.0,13.0,88.0,9.0
2023-09-20,41.31,60.0,13.0,88.0,7.0
2023-09-21,31.98,42.0,13.0,70.0,7.0
2023-09-22,43.49,70.0,13.0,88.0,7.0
2023-09-25,36.45,60.0,13.0,70.0,7.0
2023-09-26,42.23,65.0,13.0,88.0,7.0
2023-09-27,36.47,60.0,13.0,70.0,7.0
2023-09-28,31.93,42.0,13.0,70.0,7.0
2023-09-29,37.88,47.0,13.0,88.0,7.0
2023-10-03,43.82,70.0,13.0,88.0,7.0
2023-10-04,40.87,60.0,13.0,88.0,7.0
2023-10-05,46.02,70.0,13.0,98.0,7.0
2023-10-06,43.68,60.0,13.0,98.0,7.0
2023-10-09,31.42,42.0,13.0,70.0,7.0
2023-10-10,42.07,65.0,13.0,88.0,7.0
2023-10-11,46.13,70.0,13.0,98.0,7.0
2023-10-12,44.58,60.0,13.0,100.0,7.0
2023-10-13,45.35,65.0,13.0,98.0,7.0
2023-10-16,38.26,65.0,13.0,70.0,7.0
2023-10-17,41.46,65.0,13.0,70.0,4.0
2023-10-18,35.44,42.0,13.0,70.0,4.0
2023-10-19,38.3,65.0,13.0,70.0,7.0
2023-10-20,48.15,65.0,13.0,98.0,4.0
2023-10-23,29.46,33.0,13.0,60.0,4.0
2023-10-25,26.84,33.0,13.0,50.0,4.0
2023-10-26,28.15,28.0,13.0,60.0,4.0
2023-10-27,29.83,33.0,13.0,60.0,4.0
2023-10-30,25.49,28.0,13.0,60.0,7.0
2023-10-31,21.71,23.0,13.0,50.0,7.0
2023-11-01,27.07,23.0,13.0,60.0,4.0
2023-11-02,27.82,37.0,13.0,60.0,7.0
2023-11-03,34.26,50.0,13.0,60.0,4.0
2023-11-06,24.81,27.0,13.0,45.0,4.0
2023-11-07,32.79,70.0,13.0,33.0,4.0
2023-11-08,20.58,45.0,13.0,10.0,4.0
2023-11-09,19.75,27.0,13.0,25.0,4.0
2023-11-10,22.08,27.0,13.0,35.0,4.0
2023-11-13,42.55,80.0,13.0,63.0,4.0
2023-11-15,44.06,85.0,13.0,63.0,4.0
2023-11-16,44.0,75.0,13.0,73.0,4.0
2023-11-17,52.04,85.0,13.0,95.0,4.0
2023-11-20,43.96,67.0,13.0,80.0,4.0
2023-11-21,41.83,65.0,13.0,73.0,4.0
2023-11-22,42.5,60.0,13.0,80.0,4.0
2023-11-23,48.87,70.0,13.0,95.0,4.0
2023-11-24,40.17,60.0,13.0,70.0,4.0
2023-11-28,47.52,80.0,13.0,80.0,4.0
2023-11-29,42.35,60.0,13.0,80.0,4.0
2023-11-30,42.42,60.0,13.0,80.0,4.0
2023-12-01,39.38,60.0,13.0,80.0,7.0
2023-12-04,44.9,70.0,13.0,80.0,4.0
2023-12-05,37.87,60.0,13.0,63.0,4.0
2023-12-06,50.82,80.0,13.0,95.0,4.0
2023-12-07,51.14,75.0,13.0,100.0,4.0
2023-12-08,50.14,72.0,13.0,100.0,4.0
2023-12-11,46.58,57.0,13.0,100.0,4.0
2023-12-12,47.65,62.0,13.0,100.0,4.0
2023-12-13,48.38,65.0,13.0,100.0,4.0
2023-12-14,47.18,60.0,13.0,100.0,4.0
2023-12-15,45.43,65.0,13.0,100.0,7.0
2023-12-18,42.35,70.0,13.0,70.0,4.0
2023-12-19,35.09,60.0,13.0,63.0,7.0
2023-12-20,34.14,60.0,13.0,63.0,7.0
2023-12-21,34.54,60.0,13.0,63.0,7.0
2023-12-22,30.22,42.0,13.0,63.0,7.0
2023-12-26,35.98,65.0,13.0,63.0,7.0
2023-12-27,30.19,42.0,13.0,63.0,7.0
2023-12-28,30.13,42.0,13.0,63.0,7.0
2023-12-29,32.34,38.0,13.0,63.0,4.0
2024-01-01,32.64,38.0,13.0,63.0,4.0
2024-01-02,24.42,23.0,13.0,45.0,4.0
2024-01-03,22.72,28.0,13.0,45.0,7.0
2024-01-04,29.78,43.0,13.0,45.0,4.0
2024-01-05,30.5,47.0,13.0,45.0,4.0
2024-01-08,34.95,65.0,13.0,45.0,4.0
2024-01-09,26.43,42.0,13.0,45.0,7.0
2024-01-10,21.86,23.0,13.0,45.0,7.0
2024-01-11,26.18,28.0,13.0,45.0,4.0
2024-01-12,24.79,23.0,13.0,45.0,4.0
2024-01-15,30.74,47.0,13.0,45.0,4.0
2024-01-16,28.31,38.0,13.0,45.0,4.0
2024-01-17,24.29,23.0,13.0,45.0,4.0
2024-01-18,27.14,33.0,13.0,45.0,4.0
2024-01-19,24.71,23.0,13.0,45.0,4.0
2024-01-23,30.26,47.0,13.0,45.0,4.0
2024-01-24,40.33,85.0,13.0,45.0,4.0
2024-01-25,46.21,65.0,13.0,88.0,4.0
2024-01-29,49.88,80.0,13.0,88.0,4.0
2024-01-30,44.82,75.0,13.0,73.0,4.0
2024-01-31,33.78,40.0,13.0,63.0,4.0
2024-02-01,38.5,50.0,13.0,73.0,4.0
2024-02-02,37.21,55.0,13.0,63.0,4.0
2024-02-05,32.43,37.0,13.0,63.0,4.0
2024-02-06,54.07,85.0,13.0,100.0,4.0
2024-02-07,51.05,75.0,13.0,98.0,4.0
2024-02-08,36.92,70.0,13.0,48.0,4.0
2024-02-09,31.59,60.0,13.0,38.0,4.0
2024-02-12,20.5,38.0,13.0,38.0,9.0
2024-02-13,30.28,47.0,13.0,48.0,4.0
2024-02-14,23.08,27.0,13.0,38.0,4.0
2024-02-15,22.05,23.0,13.0,38.0,4.0
2024-02-16,35.22,65.0,13.0,48.0,4.0
2024-02-19,32.86,65.0,13.0,38.0,4.0
2024-02-20,24.87,45.0,13.0,38.0,7.0
2024-02-21,18.72,27.0,13.0,20.0,4.0
2024-02-22,31.83,80.0,13.0,20.0,4.0
2024-02-23,41.96,85.0,13.0,55.0,4.0
2024-02-26,37.77,75.0,13.0,48.0,4.0
2024-02-27,26.28,60.0,13.0,38.0,9.0
2024-02-28,21.46,42.0,13.0,38.0,9.0
2024-02-29,33.51,70.0,13.0,38.0,4.0
2024-03-01,34.89,75.0,13.0,38.0,4.0
2024-03-04,28.07,60.0,13.0,38.0,7.0
2024-03-05,18.81,42.0,13.0,20.0,7.0
2024-03-06,10.89,23.0,13.0,10.0,7.0
2024-03-07,12.36,28.0,13.0,10.0,7.0
2024-03-11,8.65,23.0,13.0,10.0,9.0
2024-03-12,0.0,8.0,13.0,0.0,17.0
2024-03-13,0.0,18.0,13.0,0.0,17.0
2024-03-14,1.62,18.0,13.0,0.0,12.0
2024-03-15,0.0,8.0,13.0,0.0,15.0
2024-03-18,15.94,33.0,13.0,10.0,4.0
2024-03-19,0.0,8.0,13.0,10.0,15.0
2024-03-20,0.0,8.0,13.0,0.0,15.0
2024-03-21,0.0,18.0,13.0,0.0,15.0
2024-03-22,0.0,8.0,13.0,0.0,15.0
2024-03-26,0.0,8.0,13.0,0.0,12.0
2024-03-27,0.0,8.0,13.0,0.0,12.0
2024-03-28,0.0,13.0,13.0,0.0,15.0
2024-04-01,17.62,37.0,21.0,10.0,7.0
2024-04-02,18.62,40.0,21.0,10.0,7.0
2024-04-03,23.17,45.0,21.0,10.0,4.0
2024-04-04,17.66,35.0,21.0,10.0,7.0
2024-04-05,17.66,35.0,21.0,10.0,7.0
2024-04-08,18.96,40.0,21.0,10.0,7.0
2024-04-09,21.74,40.0,21.0,10.0,4.0
2024-04-10,19.68,35.0,21.0,18.0,7.0
2024-04-12,5.38,8.0,21.0,8.0,12.0
2024-04-15,7.62,8.0,21.0,18.0,12.0
2024-04-16,2.27,8.0,21.0,8.0,15.0
2024-04-18,5.31,8.0,21.0,8.0,12.0
2024-04-19,0.05,8.0,21.0,0.0,15.0
2024-04-22,4.82,13.0,21.0,0.0,12.0
2024-04-23,29.24,60.0,21.0,18.0,4.0
2024-04-24,42.27,75.0,21.0,55.0,4.0
2024-04-25,35.87,50.0,21.0,55.0,4.0
2024-04-26,32.24,55.0,21.0,35.0,4.0
2024-04-29,30.98,50.0,21.0,35.0,4.0
2024-04-30,28.56,40.0,21.0,35.0,4.0
2024-05-02,19.78,35.0,21.0,18.0,7.0
2024-05-03,6.87,12.0,21.0,10.0,12.0
2024-05-06,27.66,65.0,21.0,10.0,4.0
2024-05-07,30.46,70.0,21.0,18.0,4.0
2024-05-08,43.6,85.0,21.0,55.0,4.0
2024-05-09,36.39,65.0,21.0,48.0,4.0
2024-05-10,38.43,85.0,21.0,35.0,4.0
2024-05-13,34.57,70.0,21.0,35.0,4.0
2024-05-14,32.41,60.0,21.0,35.0,4.0
2024-05-15,41.46,75.0,21.0,55.0,4.0
2024-05-16,46.56,80.0,21.0,70.0,4.0
2024-05-17,35.08,60.0,21.0,55.0,7.0
2024-05-21,52.15,72.0,21.0,100.0,4.0
2024-05-22,50.88,67.0,21.0,100.0,4.0
2024-05-23,51.96,72.0,21.0,100.0,4.0
2024-05-24,47.97,57.0,21.0,100.0,4.0
2024-05-27,51.65,72.0,21.0,100.0,4.0
2024-05-28,45.32,60.0,21.0,100.0,7.0
2024-05-29,45.27,60.0,21.0,100.0,7.0
2024-05-30,35.1,50.0,21.0,70.0,7.0
2024-05-31,31.42,50.0,21.0,55.0,7.0
2024-06-03,35.78,55.0,21.0,55.0,4.0
2024-06-04,32.5,42.0,21.0,70.0,7.0
2024-06-05,33.91,60.0,21.0,55.0,7.0
2024-06-06,41.82,60.0,21.0,85.0,7.0
2024-06-07,48.42,70.0,21.0,100.0,7.0
2024-06-10,48.66,70.0,21.0,100.0,7.0
2024-06-11,50.73,65.0,21.0,100.0,4.0
2024-06-12,52.04,70.0,21.0,100.0,4.0
2024-06-13,45.36,60.0,21.0,95.0,7.0
2024-06-14,41.96,60.0,21.0,80.0,7.0
2024-06-18,42.17,60.0,21.0,80.0,7.0
2024-06-19,37.62,60.0,21.0,63.0,7.0
2024-06-20,37.93,60.0,21.0,63.0,7.0
2024-06-21,30.89,50.0,21.0,45.0,7.0
2024-06-24,30.96,50.0,21.0,45.0,7.0
2024-06-25,34.67,65.0,21.0,45.0,7.0
2024-06-26,29.0,42.0,21.0,45.0,7.0
2024-06-27,35.03,55.0,21.0,45.0,4.0
2024-06-28,39.17,65.0,21.0,63.0,7.0
2024-07-01,39.68,65.0,21.0,63.0,7.0
2024-07-02,47.81,65.0,21.0,95.0,7.0
2024-07-03,48.86,65.0,21.0,100.0,7.0
2024-07-04,55.64,80.0,21.0,100.0,4.0
2024-07-05,44.53,60.0,21.0,88.0,7.0
2024-07-08,47.22,60.0,21.0,88.0,4.0
2024-07-09,39.59,60.0,21.0,70.0,7.0
2024-07-10,39.08,47.0,21.0,70.0,4.0
2024-07-11,28.82,42.0,21.0,45.0,7.0
2024-07-12,23.73,23.0,21.0,45.0,7.0
2024-07-15,23.79,23.0,21.0,45.0,7.0
2024-07-16,23.78,23.0,21.0,45.0,7.0
2024-07-18,30.21,38.0,21.0,45.0,4.0
2024-07-19,28.1,32.0,21.0,45.0,4.0
2024-07-22,50.01,75.0,21.0,88.0,4.0
2024-07-23,54.88,85.0,21.0,98.0,4.0
2024-07-24,56.17,85.0,21.0,100.0,4.0
2024-07-25,50.98,65.0,21.0,100.0,4.0
2024-07-26,55.13,80.0,21.0,100.0,4.0
2024-07-29,52.74,70.0,21.0,100.0,4.0
2024-07-30,51.98,67.0,21.0,100.0,4.0
2024-07-31,53.09,72.0,21.0,100.0,4.0
2024-08-01,47.66,52.0,21.0,100.0,4.0
2024-08-02,46.46,60.0,21.0,100.0,7.0
2024-08-05,45.7,60.0,21.0,100.0,7.0
2024-08-06,47.28,65.0,21.0,100.0,7.0
2024-08-07,46.51,60.0,21.0,100.0,7.0
2024-08-08,46.37,60.0,21.0,100.0,7.0
2024-08-09,47.69,65.0,21.0,100.0,7.0
2024-08-12,48.92,70.0,21.0,100.0,7.0
2024-08-13,47.09,65.0,21.0,100.0,7.0
2024-08-14,53.65,80.0,21.0,100.0,4.0
2024-08-16,47.28,65.0,21.0,100.0,7.0
2024-08-19,44.5,52.0,21.0,100.0,7.0
2024-08-20,44.43,52.0,21.0,100.0,7.0
2024-08-21,44.69,52.0,21.0,100.0,7.0
2024-08-22,44.86,52.0,21.0,100.0,7.0
2024-08-23,44.88,52.0,21.0,100.0,7.0
2024-08-26,47.71,52.0,21.0,100.0,4.0
