scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,38.96,50.0,17.0,100.0,12.0
2023-09-06,38.97,50.0,17.0,100.0,12.0
2023-09-07,44.05,70.0,17.0,100.0,12.0
2023-09-08,39.03,50.0,17.0,100.0,12.0
2023-09-11,40.19,55.0,17.0,100.0,12.0
2023-09-12,35.48,42.0,17.0,98.0,12.0
2023-09-13,32.24,38.0,17.0,88.0,12.0
2023-09-14,37.99,60.0,17.0,88.0,12.0
2023-09-15,38.04,60.0,17.0,88.0,12.0
2023-09-18,36.62,55.0,17.0,88.0,12.0
2023-09-20,40.21,70.0,17.0,88.0,12.0
2023-09-21,46.63,85.0,17.0,88.0,9.0
2023-09-22,35.89,60.0,17.0,70.0,9.0
2023-09-25,39.6,75.0,17.0,70.0,9.0
2023-09-26,39.63,75.0,17.0,70.0,9.0
2023-09-27,33.37,50.0,17.0,70.0,9.0
2023-09-28,28.33,42.0,17.0,70.0,12.0
2023-09-29,31.78,55.0,17.0,70.0,12.0
2023-10-03,37.72,60.0,17.0,88.0,12.0
2023-10-04,31.27,42.0,17.0,70.0,9.0
2023-10-05,44.17,75.0,17.0,88.0,9.0
2023-10-06,48.08,80.0,17.0,98.0,9.0
2023-10-09,44.82,70.0,17.0,98.0,9.0
2023-10-10,39.72,60.0,17.0,98.0,12.0
2023-10-11,40.03,60.0,17.0,98.0,12.0
2023-10-12,42.23,65.0,17.0,100.0,12.0
2023-10-13,46.5,70.0,17.0,100.0,9.0
2023-10-16,46.41,70.0,17.0,100.0,9.0
2023-10-17,43.36,57.0,17.0,100.0,9.0
2023-10-18,43.84,60.0,17.0,100.0,9.0
2023-10-19,40.95,60.0,17.0,100.0,12.0
2023-10-20,37.8,60.0,17.0,88.0,12.0
2023-10-23,46.36,75.0,17.0,100.0,9.0
2023-10-25,41.99,60.0,17.0,98.0,9.0
2023-10-26,46.3,75.0,17.0,100.0,9.0
2023-10-27,42.48,70.0,17.0,100.0,12.0
2023-10-30,46.64,75.0,17.0,100.0,9.0
2023-10-31,45.86,72.0,17.0,100.0,9.0
2023-11-01,37.72,60.0,17.0,100.0,14.0
2023-11-02,45.47,70.0,17.0,100.0,9.0
2023-11-03,39.41,65.0,17.0,100.0,14.0
2023-11-06,45.71,70.0,17.0,100.0,9.0
2023-11-07,45.94,70.0,17.0,100.0,9.0
2023-11-08,45.73,70.0,17.0,100.0,9.0
2023-11-09,44.4,65.0,17.0,100.0,9.0
2023-11-10,44.23,65.0,17.0,100.0,9.0
2023-11-13,41.45,65.0,17.0,100.0,12.0
2023-11-15,45.21,67.0,17.0,100.0,9.0
2023-11-16,46.4,72.0,17.0,100.0,9.0
2023-11-17,42.7,57.0,17.0,100.0,9.0
2023-11-20,41.61,52.0,17.0,100.0,9.0
2023-11-21,37.48,47.0,17.0,100.0,12.0
2023-11-22,37.65,47.0,17.0,100.0,12.0
2023-11-23,44.02,60.0,17.0,100.0,9.0
2023-11-24,43.57,70.0,17.0,100.0,12.0
2023-11-28,44.42,62.0,17.0,100.0,9.0
2023-11-29,40.5,47.0,17.0,100.0,9.0
2023-11-30,47.57,75.0,17.0,100.0,9.0
2023-12-01,40.78,60.0,17.0,100.0,12.0
2023-12-04,42.05,65.0,17.0,100.0,12.0
2023-12-05,46.02,70.0,17.0,100.0,9.0
2023-12-06,40.47,60.0,17.0,100.0,12.0
2023-12-07,40.79,60.0,17.0,100.0,12.0
2023-12-08,36.04,42.0,17.0,88.0,9.0
2023-12-11,37.48,47.0,17.0,88.0,9.0
2023-12-12,37.3,47.0,17.0,88.0,9.0
2023-12-13,34.28,47.0,17.0,88.0,12.0
2023-12-14,28.58,42.0,17.0,70.0,12.0
2023-12-15,29.83,47.0,17.0,70.0,12.0
2023-12-18,38.75,70.0,17.0,70.0,9.0
2023-12-19,33.24,60.0,17.0,70.0,12.0
2023-12-20,30.79,42.0,17.0,70.0,9.0
2023-12-21,28.19,42.0,17.0,70.0,12.0
2023-12-22,39.62,75.0,17.0,70.0,9.0
2023-12-26,32.88,60.0,17.0,70.0,12.0
2023-12-27,28.34,42.0,17.0,70.0,12.0
2023-12-28,32.53,47.0,17.0,70.0,9.0
2023-12-29,37.24,65.0,17.0,70.0,9.0
2024-01-01,33.29,60.0,17.0,70.0,12.0
2024-01-02,37.57,65.0,17.0,70.0,9.0
2024-01-03,47.12,85.0,17.0,88.0,9.0
2024-01-04,42.43,65.0,17.0,88.0,9.0
2024-01-05,37.9,60.0,17.0,88.0,12.0
2024-01-08,40.85,60.0,17.0,88.0,9.0
2024-01-09,39.33,65.0,17.0,88.0,12.0
2024-01-10,50.51,85.0,17.0,100.0,9.0
2024-01-11,45.58,65.0,17.0,100.0,9.0
2024-01-12,44.19,60.0,17.0,100.0,9.0
2024-01-15,41.14,60.0,17.0,100.0,12.0
2024-01-16,48.96,80.0,17.0,100.0,9.0
2024-01-17,43.69,60.0,17.0,100.0,9.0
2024-01-18,44.04,60.0,17.0,100.0,9.0
2024-01-19,45.36,65.0,17.0,100.0,9.0
2024-01-23,36.16,42.0,17.0,88.0,9.0
2024-01-24,39.23,52.0,17.0,88.0,9.0
2024-01-25,46.36,70.0,17.0,98.0,9.0
2024-01-29,40.78,60.0,17.0,98.0,12.0
2024-01-30,43.72,60.0,17.0,98.0,9.0
2024-01-31,43.93,75.0,17.0,83.0,9.0
2024-02-01,38.65,65.0,17.0,73.0,9.0
2024-02-02,34.11,65.0,17.0,55.0,9.0
2024-02-05,30.08,60.0,17.0,45.0,9.0
2024-02-06,42.47,65.0,17.0,88.0,9.0
2024-02-07,49.95,85.0,17.0,98.0,9.0
2024-02-08,48.32,80.0,17.0,98.0,9.0
2024-02-09,27.24,70.0,17.0,45.0,14.0
2024-02-12,24.65,42.0,17.0,45.0,9.0
2024-02-13,21.18,28.0,17.0,45.0,9.0
2024-02-14,28.98,70.0,17.0,45.0,12.0
2024-02-15,24.95,42.0,17.0,45.0,9.0
2024-02-16,19.62,42.0,17.0,35.0,12.0
2024-02-19,18.01,23.0,17.0,35.0,9.0
2024-02-20,20.52,33.0,17.0,35.0,9.0
2024-02-21,17.87,23.0,17.0,35.0,9.0
2024-02-22,17.73,23.0,17.0,35.0,9.0
2024-02-23,17.86,23.0,17.0,35.0,9.0
2024-02-26,17.92,23.0,17.0,35.0,9.0
2024-02-27,20.18,33.0,17.0,35.0,9.0
2024-02-28,18.61,28.0,17.0,35.0,9.0
2024-02-29,19.66,32.0,17.0,35.0,9.0
2024-03-01,33.79,80.0,17.0,43.0,9.0
2024-03-04,22.97,45.0,17.0,35.0,9.0
2024-03-05,17.21,23.0,17.0,35.0,9.0
2024-03-06,17.79,28.0,17.0,35.0,9.0
2024-03-07,13.76,23.0,17.0,35.0,12.0
2024-03-11,16.3,23.0,17.0,35.0,9.0
2024-03-12,19.74,38.0,17.0,35.0,9.0
2024-03-13,5.69,29.0,17.0,10.0,14.0
2024-03-14,19.77,38.0,17.0,35.0,9.0
2024-03-15,13.36,23.0,17.0,25.0,9.0
2024-03-18,18.59,33.0,17.0,35.0,9.0
2024-03-19,19.59,38.0,17.0,35.0,9.0
2024-03-20,17.02,28.0,17.0,35.0,9.0
2024-03-21,17.41,28.0,17.0,35.0,9.0
2024-03-22,14.34,28.0,17.0,35.0,12.0
2024-03-26,15.78,23.0,17.0,35.0,9.0
2024-03-27,18.11,32.0,17.0,35.0,9.0
2024-03-28,15.96,23.0,17.0,35.0,9.0
2024-04-01,35.07,32.0,48.0,35.0,4.0
2024-04-02,54.32,80.0,48.0,63.0,4.0
2024-04-03,48.87,75.0,48.0,45.0,4.0
2024-04-04,47.61,70.0,48.0,45.0,4.0
2024-04-05,48.36,75.0,48.0,43.0,4.0
2024-04-08,36.91,37.0,48.0,35.0,4.0
2024-04-09,46.94,70.0,48.0,43.0,4.0
2024-04-10,45.88,65.0,48.0,43.0,4.0
2024-04-12,40.83,35.0,48.0,53.0,4.0
2024-04-15,40.32,27.0,48.0,60.0,4.0
2024-04-16,39.97,32.0,48.0,53.0,4.0
2024-04-18,35.76,27.0,48.0,53.0,7.0
2024-04-19,36.75,32.0,48.0,53.0,7.0
2024-04-22,41.77,60.0,48.0,43.0,7.0
2024-04-23,34.44,55.0,48.0,18.0,7.0
2024-04-24,36.22,50.0,48.0,18.0,4.0
2024-04-25,32.32,35.0,48.0,18.0,4.0
2024-04-26,44.94,75.0,48.0,28.0,4.0
2024-04-29,46.18,65.0,48.0,43.0,4.0
2024-04-30,45.01,65.0,48.0,38.0,4.0
2024-05-02,53.98,80.0,48.0,60.0,4.0
2024-05-03,55.07,72.0,48.0,73.0,4.0
2024-05-06,50.86,57.0,48.0,73.0,4.0
2024-05-07,32.41,60.0,48.0,18.0,9.0
2024-05-08,37.55,60.0,48.0,18.0,4.0
2024-05-09,39.59,60.0,48.0,28.0,4.0
2024-05-10,41.13,65.0,48.0,28.0,4.0
2024-05-13,34.27,60.0,48.0,18.0,7.0
2024-05-14,38.36,65.0,48.0,28.0,7.0
2024-05-15,44.66,70.0,48.0,35.0,4.0
2024-05-16,42.51,60.0,48.0,48.0,7.0
2024-05-17,50.03,70.0,48.0,55.0,4.0
2024-05-21,47.35,60.0,48.0,55.0,4.0
2024-05-22,50.58,80.0,48.0,48.0,4.0
2024-05-23,50.91,75.0,48.0,55.0,4.0
2024-05-24,45.17,60.0,48.0,48.0,4.0
2024-05-27,35.6,52.0,48.0,18.0,4.0
2024-05-28,29.77,38.0,48.0,10.0,4.0
2024-05-29,24.72,28.0,48.0,0.0,4.0
2024-05-30,27.05,38.0,48.0,0.0,4.0
2024-05-31,28.37,33.0,48.0,10.0,4.0
2024-06-03,41.48,85.0,48.0,10.0,4.0
2024-06-04,20.2,33.0,48.0,0.0,9.0
2024-06-05,42.11,80.0,48.0,18.0,4.0
2024-06-06,35.02,60.0,48.0,8.0,4.0
2024-06-07,36.12,65.0,48.0,18.0,7.0
2024-06-10,40.61,70.0,48.0,18.0,4.0
2024-06-11,57.68,85.0,48.0,70.0,4.0
2024-06-12,57.74,85.0,48.0,70.0,4.0
2024-06-13,51.06,65.0,48.0,63.0,4.0
2024-06-14,56.91,70.0,48.0,80.0,4.0
2024-06-18,50.37,60.0,48.0,63.0,4.0
2024-06-19,51.32,65.0,48.0,63.0,4.0
2024-06-20,50.38,60.0,48.0,63.0,4.0
2024-06-21,50.34,60.0,48.0,63.0,4.0
2024-06-24,41.16,60.0,48.0,38.0,7.0
2024-06-25,41.12,60.0,48.0,38.0,7.0
2024-06-26,57.2,70.0,48.0,80.0,4.0
2024-06-27,48.23,60.0,48.0,55.0,4.0
2024-06-28,52.12,60.0,48.0,70.0,4.0
2024-07-01,50.13,65.0,48.0,55.0,4.0
2024-07-02,52.26,65.0,48.0,63.0,4.0
2024-07-03,47.06,60.0,48.0,60.0,7.0
2024-07-04,44.59,60.0,48.0,38.0,4.0
2024-07-05,36.98,42.0,48.0,38.0,7.0
2024-07-08,53.42,80.0,48.0,55.0,4.0
2024-07-09,47.79,75.0,48.0,38.0,4.0
2024-07-10,40.53,65.0,48.0,20.0,4.0
2024-07-11,40.77,65.0,48.0,20.0,4.0
2024-07-12,39.18,60.0,48.0,20.0,4.0
2024-07-15,34.74,42.0,48.0,20.0,4.0
2024-07-16,29.98,23.0,48.0,20.0,4.0
2024-07-18,29.41,32.0,48.0,10.0,4.0
2024-07-19,26.55,23.0,48.0,10.0,4.0
2024-07-22,26.96,23.0,48.0,10.0,4.0
2024-07-23,29.33,33.0,48.0,10.0,4.0
2024-07-24,30.12,33.0,48.0,10.0,4.0
2024-07-25,24.43,23.0,48.0,10.0,7.0
2024-07-26,42.08,70.0,48.0,20.0,4.0
2024-07-29,39.69,60.0,48.0,20.0,4.0
2024-07-30,32.68,32.0,48.0,20.0,4.0
2024-07-31,31.29,27.0,48.0,20.0,4.0
2024-08-01,29.11,32.0,48.0,20.0,7.0
2024-08-02,24.66,23.0,48.0,0.0,4.0
2024-08-05,12.15,8.0,48.0,0.0,12.0
2024-08-06,9.48,8.0,48.0,0.0,15.0
2024-08-07,33.21,47.0,48.0,10.0,4.0
2024-08-08,37.57,55.0,48.0,20.0,4.0
2024-08-09,36.39,50.0,48.0,20.0,4.0
2024-08-12,45.12,85.0,48.0,20.0,4.0
2024-08-13,44.04,65.0,48.0,38.0,4.0
2024-08-14,45.1,80.0,48.0,28.0,4.0
2024-08-16,51.73,85.0,48.0,48.0,4.0
2024-08-19,47.2,65.0,48.0,48.0,4.0
2024-08-20,35.13,27.0,48.0,38.0,4.0
2024-08-21,38.14,50.0,48.0,38.0,7.0
2024-08-22,27.56,27.0,48.0,18.0,7.0
2024-08-23,32.58,27.0,48.0,38.0,7.0
2024-08-26,26.91,23.0,48.0,20.0,7.0
2024-08-27,30.53,37.0,48.0,20.0,7.0
2024-08-28,46.17,70.0,48.0,38.0,4.0
2024-08-29,34.35,42.0,48.0,20.0,4.0
2024-08-30,39.38,55.0,48.0,38.0,7.0
2024-09-02,32.27,27.0,48.0,38.0,7.0
2024-09-03,35.24,37.0,48.0,38.0,7.0
2024-09-04,32.54,27.0,48.0,38.0,7.0
2024-09-05,32.7,27.0,48.0,38.0,7.0
2024-09-06,24.39,23.0,48.0,10.0,7.0
2024-09-09,12.52,8.0,48.0,10.0,15.0
2024-09-10,26.91,32.0,48.0,10.0,7.0
2024-09-11,24.53,23.0,48.0,10.0,7.0
2024-09-12,26.96,32.0,48.0,10.0,7.0
2024-09-13,27.23,32.0,48.0,10.0,7.0
2024-09-16,13.11,8.0,48.0,10.0,15.0
2024-09-17,30.09,32.0,48.0,10.0,4.0
2024-09-18,15.62,8.0,48.0,10.0,12.0
2024-09-19,15.28,8.0,48.0,10.0,12.0
2024-09-20,16.86,13.0,48.0,10.0,12.0
2024-09-23,12.61,8.0,48.0,10.0,15.0
2024-09-24,13.66,13.0,48.0,10.0,15.0
2024-09-25,13.59,13.0,48.0,10.0,15.0
2024-09-26,16.41,13.0,48.0,10.0,12.0
2024-09-27,16.49,13.0,48.0,10.0,12.0
2024-09-30,15.18,8.0,48.0,10.0,12.0
2024-10-01,32.66,45.0,48.0,10.0,4.0
2024-10-03,34.46,55.0,48.0,10.0,4.0
2024-10-04,18.0,22.0,48.0,10.0,12.0
2024-10-07,17.31,22.0,48.0,10.0,12.0
2024-10-08,21.22,27.0,48.0,18.0,12.0
2024-10-09,37.57,60.0,48.0,18.0,4.0
2024-10-10,35.16,50.0,48.0,18.0,4.0
