scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2024-05-17,20.76,36.0,40.0,0.0,9.0
2024-05-21,15.44,16.0,40.0,0.0,9.0
2024-05-22,18.9,30.0,40.0,0.0,9.0
2024-05-23,15.17,16.0,40.0,0.0,9.0
2024-05-24,16.29,21.0,40.0,0.0,9.0
2024-05-27,17.74,26.0,40.0,0.0,9.0
2024-05-28,16.37,21.0,40.0,0.0,9.0
2024-05-29,17.8,26.0,40.0,0.0,9.0
2024-05-30,18.63,31.0,40.0,0.0,9.0
2024-05-31,19.5,35.0,40.0,0.0,9.0
2024-06-03,16.9,25.0,40.0,0.0,9.0
2024-06-04,17.38,30.0,40.0,0.0,9.0
2024-06-05,17.1,25.0,40.0,0.0,9.0
2024-06-06,16.87,25.0,40.0,10.0,12.0
2024-06-07,13.94,20.0,40.0,0.0,12.0
2024-06-10,18.48,25.0,40.0,0.0,9.0
2024-06-11,16.22,16.0,40.0,0.0,9.0
2024-06-12,18.94,26.0,40.0,0.0,9.0
2024-06-13,19.8,21.0,40.0,8.0,9.0
2024-06-14,20.96,25.0,40.0,8.0,9.0
2024-06-18,29.4,48.0,40.0,18.0,9.0
2024-06-19,26.64,38.0,40.0,18.0,9.0
2024-06-20,22.7,33.0,40.0,18.0,12.0
2024-06-21,21.14,25.0,40.0,8.0,9.0
2024-06-24,22.53,33.0,40.0,18.0,12.0
2024-06-25,21.15,28.0,40.0,18.0,12.0
2024-06-26,26.73,38.0,40.0,18.0,9.0
2024-06-27,23.89,28.0,40.0,18.0,9.0
2024-06-28,19.28,20.0,40.0,18.0,12.0
2024-07-01,27.27,38.0,40.0,18.0,9.0
2024-07-02,24.89,28.0,40.0,18.0,9.0
2024-07-03,36.52,75.0,40.0,18.0,9.0
2024-07-04,30.31,50.0,40.0,18.0,9.0
2024-07-05,31.97,55.0,40.0,18.0,9.0
2024-07-08,27.08,50.0,40.0,18.0,12.0
2024-07-09,29.76,50.0,40.0,18.0,9.0
2024-07-10,27.75,55.0,40.0,18.0,12.0
2024-07-11,27.73,55.0,40.0,18.0,12.0
2024-07-12,37.27,65.0,40.0,35.0,9.0
2024-07-15,28.25,50.0,40.0,25.0,12.0
2024-07-16,32.09,60.0,40.0,18.0,9.0
2024-07-18,30.4,55.0,40.0,18.0,9.0
2024-07-19,23.11,50.0,40.0,8.0,12.0
2024-07-22,24.44,55.0,40.0,8.0,12.0
2024-07-23,32.64,65.0,40.0,18.0,9.0
2024-07-24,32.1,60.0,40.0,18.0,9.0
2024-07-25,36.54,70.0,40.0,25.0,9.0
2024-07-26,37.89,65.0,40.0,35.0,9.0
2024-07-29,34.09,50.0,40.0,35.0,9.0
2024-07-30,31.18,50.0,40.0,35.0,12.0
2024-07-31,32.66,55.0,40.0,35.0,12.0
2024-08-01,35.9,57.0,40.0,35.0,9.0
2024-08-02,35.45,55.0,40.0,35.0,9.0
2024-08-05,31.62,50.0,40.0,28.0,9.0
2024-08-06,31.44,50.0,40.0,28.0,9.0
2024-08-07,36.52,60.0,40.0,35.0,9.0
2024-08-08,33.85,50.0,40.0,35.0,9.0
2024-08-09,36.4,60.0,40.0,35.0,9.0
2024-08-12,32.23,50.0,40.0,28.0,9.0
2024-08-13,27.47,45.0,40.0,28.0,12.0
2024-08-14,36.38,45.0,40.0,53.0,9.0
2024-08-16,37.91,50.0,40.0,53.0,9.0
2024-08-19,45.27,70.0,40.0,60.0,9.0
2024-08-20,39.38,45.0,40.0,60.0,9.0
2024-08-21,44.84,65.0,40.0,60.0,9.0
2024-08-22,36.93,45.0,40.0,60.0,12.0
2024-08-23,36.22,50.0,40.0,53.0,12.0
2024-08-26,44.53,50.0,40.0,73.0,9.0
2024-08-27,40.26,45.0,40.0,73.0,12.0
2024-08-28,46.16,50.0,40.0,80.0,9.0
2024-08-29,46.56,52.0,40.0,80.0,9.0
2024-08-30,41.42,37.0,40.0,73.0,9.0
2024-09-02,43.28,45.0,40.0,73.0,9.0
2024-09-03,44.52,42.0,40.0,80.0,9.0
2024-09-04,52.45,52.0,40.0,100.0,9.0
2024-09-05,52.42,52.0,40.0,100.0,9.0
2024-09-06,49.77,42.0,40.0,100.0,9.0
2024-09-09,47.6,45.0,40.0,100.0,12.0
2024-09-10,54.53,60.0,40.0,100.0,9.0
2024-09-11,53.65,57.0,40.0,100.0,9.0
2024-09-12,50.68,45.0,40.0,100.0,9.0
2024-09-13,42.84,45.0,40.0,80.0,12.0
2024-09-16,50.26,45.0,40.0,98.0,9.0
2024-09-17,44.86,45.0,40.0,88.0,12.0
2024-09-18,47.51,45.0,40.0,88.0,9.0
2024-09-19,48.24,50.0,40.0,88.0,9.0
2024-09-20,41.75,50.0,40.0,73.0,12.0
2024-09-23,52.15,55.0,40.0,98.0,9.0
2024-09-24,37.46,27.0,40.0,88.0,14.0
2024-09-25,42.32,42.0,40.0,73.0,9.0
2024-09-26,34.96,32.0,40.0,55.0,9.0
2024-09-27,52.78,70.0,40.0,88.0,9.0
2024-09-30,46.7,45.0,40.0,88.0,9.0
2024-10-01,46.05,60.0,40.0,70.0,9.0
2024-10-03,42.88,50.0,40.0,70.0,9.0
2024-10-04,31.26,27.0,40.0,60.0,12.0
2024-10-07,28.71,8.0,40.0,60.0,9.0
2024-10-08,34.14,17.0,40.0,70.0,9.0
2024-10-09,37.98,32.0,40.0,70.0,9.0
2024-10-10,32.75,12.0,40.0,70.0,9.0
2024-10-11,29.45,18.0,40.0,50.0,9.0
2024-10-14,26.95,8.0,40.0,50.0,9.0
2024-10-15,25.68,17.0,40.0,35.0,9.0
2024-10-16,38.0,55.0,40.0,45.0,9.0
2024-10-17,42.32,55.0,40.0,63.0,9.0
2024-10-18,38.21,50.0,40.0,63.0,12.0
2024-10-21,38.71,45.0,40.0,73.0,12.0
2024-10-22,31.31,45.0,40.0,35.0,9.0
2024-10-23,38.04,55.0,40.0,63.0,12.0
2024-10-24,42.09,60.0,40.0,63.0,9.0
2024-10-25,29.86,12.0,40.0,63.0,9.0
2024-10-28,30.04,50.0,40.0,35.0,12.0
2024-10-29,23.21,12.0,40.0,35.0,9.0
2024-10-30,16.89,12.0,40.0,20.0,12.0
2024-10-31,31.89,55.0,40.0,35.0,12.0
2024-11-01,45.24,55.0,40.0,88.0,12.0
2024-11-04,49.59,60.0,40.0,88.0,9.0
2024-11-05,46.12,55.0,40.0,78.0,9.0
2024-11-06,50.28,60.0,40.0,88.0,9.0
2024-11-07,55.56,70.0,40.0,100.0,9.0
2024-11-08,50.42,50.0,40.0,100.0,9.0
2024-11-11,44.8,45.0,40.0,95.0,12.0
2024-11-12,47.72,45.0,40.0,95.0,9.0
2024-11-13,27.57,22.0,40.0,60.0,14.0
2024-11-14,38.81,17.0,40.0,88.0,9.0
2024-11-18,26.35,22.0,40.0,35.0,9.0
2024-11-19,23.02,8.0,40.0,35.0,9.0
2024-11-21,26.63,23.0,40.0,35.0,9.0
2024-11-22,20.12,8.0,40.0,35.0,12.0
2024-11-25,28.58,28.0,40.0,35.0,9.0
2024-11-26,23.57,8.0,40.0,35.0,9.0
2024-11-27,21.76,13.0,40.0,35.0,12.0
2024-11-28,22.83,17.0,40.0,35.0,12.0
2024-11-29,25.18,17.0,40.0,43.0,12.0
2024-12-02,25.76,17.0,40.0,45.0,12.0
2024-12-03,27.71,35.0,40.0,35.0,12.0
2024-12-04,43.89,60.0,40.0,63.0,9.0
2024-12-05,37.98,50.0,40.0,63.0,12.0
2024-12-06,42.34,55.0,40.0,63.0,9.0
2024-12-09,36.52,50.0,40.0,45.0,9.0
2024-12-10,39.07,60.0,40.0,45.0,9.0
2024-12-11,37.91,65.0,40.0,35.0,9.0
2024-12-12,40.33,60.0,40.0,63.0,12.0
2024-12-13,41.54,65.0,40.0,63.0,12.0
2024-12-16,44.57,65.0,40.0,63.0,9.0
2024-12-17,43.29,60.0,40.0,63.0,9.0
2024-12-18,47.84,65.0,40.0,88.0,12.0
2024-12-19,53.86,70.0,40.0,95.0,9.0
2024-12-20,49.25,60.0,40.0,88.0,9.0
2024-12-23,41.49,65.0,40.0,53.0,9.0
2024-12-24,36.88,23.0,40.0,88.0,12.0
2024-12-26,45.82,47.0,40.0,88.0,9.0
2024-12-27,47.65,65.0,40.0,88.0,12.0
2024-12-30,32.6,27.0,40.0,53.0,9.0
2024-12-31,42.03,65.0,5.0,88.0,4.0
2025-01-01,39.24,65.0,5.0,88.0,7.0
2025-01-02,24.66,42.0,5.0,53.0,7.0
2025-01-03,16.47,27.0,5.0,35.0,7.0
2025-01-06,27.98,47.0,5.0,50.0,4.0
2025-01-07,33.06,65.0,5.0,50.0,4.0
2025-01-08,37.54,75.0,5.0,60.0,4.0
2025-01-09,37.22,75.0,5.0,60.0,4.0
2025-01-10,22.19,27.0,5.0,50.0,4.0
2025-01-13,20.96,23.0,5.0,50.0,4.0
2025-01-14,22.05,37.0,5.0,50.0,7.0
2025-01-15,17.2,33.0,5.0,25.0,4.0
2025-01-16,18.68,38.0,5.0,25.0,4.0
2025-01-17,18.81,38.0,5.0,25.0,4.0
2025-01-20,18.02,33.0,5.0,25.0,4.0
2025-01-21,19.25,38.0,5.0,25.0,4.0
2025-01-22,11.74,23.0,5.0,25.0,7.0
2025-01-23,16.31,43.0,5.0,10.0,4.0
2025-01-24,11.48,23.0,5.0,25.0,7.0
2025-01-27,17.41,37.0,5.0,25.0,4.0
2025-01-28,13.77,23.0,5.0,25.0,4.0
2025-01-29,18.99,42.0,5.0,25.0,4.0
2025-01-30,13.94,37.0,5.0,10.0,4.0
2025-01-31,12.99,32.0,5.0,10.0,4.0
2025-02-01,18.34,50.0,5.0,25.0,7.0
2025-02-03,35.81,80.0,5.0,53.0,4.0
2025-02-04,37.11,85.0,5.0,53.0,4.0
2025-02-05,35.5,67.0,5.0,63.0,4.0
2025-02-06,28.92,70.0,5.0,33.0,4.0
2025-02-07,26.29,60.0,5.0,33.0,4.0
2025-02-10,12.35,27.0,5.0,25.0,7.0
2025-02-11,7.07,23.0,5.0,10.0,7.0
2025-02-12,10.23,23.0,5.0,10.0,4.0
2025-02-13,0.0,18.0,5.0,0.0,12.0
2025-02-14,0.0,18.0,5.0,0.0,12.0
2025-02-17,0.0,13.0,5.0,0.0,15.0
2025-02-18,0.0,13.0,5.0,0.0,12.0
2025-02-19,0.0,13.0,5.0,0.0,15.0
2025-02-20,9.81,33.0,5.0,0.0,4.0
2025-02-21,8.78,32.0,5.0,10.0,7.0
2025-02-24,0.0,8.0,5.0,0.0,15.0
2025-02-25,0.0,13.0,5.0,0.0,15.0
2025-02-27,0.0,8.0,5.0,0.0,15.0
2025-02-28,0.0,18.0,5.0,0.0,12.0
2025-03-03,0.0,8.0,5.0,0.0,15.0
2025-03-04,0.0,18.0,5.0,0.0,12.0
2025-03-05,0.0,8.0,5.0,0.0,15.0
2025-03-06,0.0,18.0,5.0,0.0,12.0
2025-03-07,0.0,17.0,5.0,0.0,12.0
2025-03-10,0.0,8.0,5.0,0.0,12.0
2025-03-11,0.0,13.0,5.0,0.0,12.0
2025-03-12,0.0,13.0,5.0,0.0,12.0
2025-03-13,0.0,13.0,5.0,0.0,12.0
2025-03-17,0.0,13.0,5.0,0.0,15.0
2025-03-18,0.0,13.0,5.0,0.0,15.0
2025-03-19,1.23,28.0,5.0,0.0,12.0
2025-03-20,1.34,28.0,5.0,0.0,12.0
2025-03-21,0.0,18.0,5.0,0.0,12.0
2025-03-24,1.6,28.0,5.0,0.0,12.0
2025-03-25,1.15,28.0,5.0,0.0,12.0
2025-03-26,0.0,23.0,5.0,0.0,12.0
2025-03-27,0.2,23.0,5.0,0.0,12.0
2025-03-28,0.25,23.0,5.0,0.0,12.0
2025-04-01,8.06,18.0,42.0,0.0,17.0
2025-04-02,8.21,18.0,42.0,0.0,17.0
2025-04-03,10.13,23.0,42.0,0.0,17.0
2025-04-04,8.66,22.0,42.0,0.0,17.0
2025-04-07,8.17,23.0,42.0,0.0,17.0
2025-04-08,7.44,18.0,42.0,0.0,17.0
2025-04-09,7.06,18.0,42.0,0.0,17.0
2025-04-11,12.79,37.0,42.0,0.0,17.0
2025-04-15,36.47,70.0,42.0,28.0,9.0
2025-04-16,35.59,60.0,42.0,35.0,9.0
2025-04-17,34.33,55.0,42.0,35.0,9.0
2025-04-21,40.62,80.0,42.0,35.0,9.0
2025-04-22,35.44,52.0,42.0,55.0,12.0
2025-04-23,32.46,60.0,42.0,35.0,12.0
2025-04-24,30.19,50.0,42.0,35.0,12.0
2025-04-25,29.59,50.0,42.0,35.0,12.0
2025-04-28,27.16,50.0,42.0,25.0,12.0
2025-04-29,33.94,55.0,42.0,35.0,9.0
2025-04-30,19.47,40.0,42.0,25.0,17.0
2025-05-02,19.3,40.0,42.0,25.0,17.0
2025-05-05,29.63,60.0,42.0,25.0,12.0
2025-05-06,14.7,35.0,42.0,25.0,20.0
2025-05-07,30.8,55.0,42.0,25.0,9.0
2025-05-08,32.03,60.0,42.0,25.0,9.0
2025-05-09,30.27,65.0,42.0,25.0,12.0
2025-05-12,40.32,80.0,42.0,35.0,9.0
2025-05-13,34.85,57.0,42.0,35.0,9.0
2025-05-14,30.92,52.0,42.0,25.0,9.0
2025-05-15,32.17,57.0,42.0,25.0,9.0
2025-05-16,36.9,47.0,42.0,55.0,9.0
2025-05-19,40.68,60.0,42.0,55.0,9.0
2025-05-20,33.06,60.0,42.0,38.0,12.0
2025-05-21,36.22,60.0,42.0,38.0,9.0
2025-05-22,47.56,80.0,42.0,63.0,9.0
2025-05-23,37.44,65.0,42.0,38.0,9.0
2025-05-26,44.65,75.0,42.0,55.0,9.0
2025-05-27,42.01,65.0,42.0,55.0,9.0
2025-05-28,14.61,42.0,42.0,20.0,22.0
2025-05-29,9.84,23.0,42.0,0.0,17.0
2025-05-30,5.97,28.0,42.0,0.0,22.0
2025-06-02,10.9,28.0,42.0,0.0,17.0
2025-06-03,7.4,13.0,42.0,0.0,17.0
2025-06-04,7.59,13.0,42.0,0.0,17.0
2025-06-05,7.56,13.0,42.0,0.0,17.0
2025-06-06,6.19,8.0,42.0,0.0,17.0
2025-06-09,7.55,13.0,42.0,0.0,17.0
2025-06-10,7.25,13.0,42.0,0.0,17.0
2025-06-11,8.79,18.0,42.0,0.0,17.0
2025-06-12,7.51,13.0,42.0,0.0,17.0
2025-06-13,7.41,13.0,42.0,0.0,17.0
2025-06-16,9.88,23.0,42.0,0.0,17.0
2025-06-17,8.35,18.0,42.0,0.0,17.0
2025-06-18,6.94,13.0,42.0,0.0,17.0
2025-06-19,6.46,13.0,42.0,0.0,17.0
2025-06-20,6.76,14.0,42.0,0.0,17.0
2025-06-23,6.64,14.0,42.0,0.0,17.0
2025-06-24,7.75,18.0,42.0,0.0,17.0
2025-06-25,3.92,13.0,42.0,0.0,20.0
2025-06-26,6.81,13.0,42.0,0.0,17.0
2025-06-27,10.84,18.0,42.0,10.0,17.0
2025-06-30,0.0,23.0,5.0,10.0,24.0
2025-07-01,0.0,13.0,5.0,10.0,24.0
2025-07-02,0.0,23.0,5.0,10.0,24.0
2025-07-03,0.0,40.0,5.0,10.0,24.0
2025-07-04,0.0,25.0,5.0,18.0,24.0
2025-07-07,0.0,25.0,5.0,10.0,24.0
2025-07-08,0.0,30.0,5.0,18.0,24.0
2025-07-09,0.0,27.0,5.0,10.0,24.0
2025-07-10,0.0,35.0,5.0,18.0,24.0
2025-07-11,0.2,55.0,5.0,18.0,24.0
2025-07-14,0.0,20.0,5.0,18.0,24.0
2025-07-15,0.0,20.0,5.0,18.0,27.0
2025-07-16,0.0,32.0,5.0,8.0,24.0
2025-07-17,0.0,27.0,5.0,8.0,24.0
2025-07-18,0.0,17.0,5.0,18.0,24.0
2025-07-21,0.0,22.0,5.0,18.0,24.0
2025-07-22,0.0,22.0,5.0,18.0,27.0
2025-07-23,0.0,17.0,5.0,18.0,27.0
2025-07-24,2.45,55.0,5.0,25.0,24.0
2025-07-25,0.0,20.0,5.0,18.0,27.0
2025-07-28,0.68,50.0,5.0,25.0,24.0
2025-07-29,2.47,55.0,5.0,25.0,24.0
2025-07-30,1.6,50.0,5.0,25.0,24.0
2025-07-31,0.0,35.0,5.0,18.0,24.0
2025-08-01,0.0,40.0,5.0,18.0,24.0
2025-08-04,0.0,35.0,5.0,18.0,27.0
2025-08-05,0.0,40.0,5.0,18.0,27.0
2025-08-06,0.0,35.0,5.0,18.0,24.0
2025-08-07,0.0,35.0,5.0,8.0,24.0
2025-08-08,0.0,45.0,5.0,8.0,24.0
2025-08-11,0.0,28.0,5.0,0.0,29.0
2025-08-12,0.0,23.0,5.0,0.0,24.0
2025-08-13,0.0,27.0,5.0,8.0,24.0
2025-08-14,0.0,17.0,5.0,8.0,27.0
2025-08-18,0.0,50.0,5.0,18.0,24.0
2025-08-19,0.0,45.0,5.0,28.0,24.0
2025-08-20,0.0,27.0,5.0,18.0,24.0
2025-08-21,0.0,40.0,5.0,8.0,27.0
2025-08-22,0.0,27.0,5.0,0.0,24.0
2025-08-25,0.0,27.0,5.0,8.0,27.0
2025-08-26,0.0,27.0,5.0,0.0,24.0
2025-08-28,0.0,13.0,5.0,0.0,24.0
2025-08-29,0.0,18.0,5.0,0.0,24.0
2025-09-01,0.0,42.0,5.0,10.0,24.0
2025-09-02,0.0,28.0,5.0,0.0,24.0
2025-09-03,0.0,23.0,5.0,0.0,24.0
2025-09-04,0.0,18.0,5.0,0.0,24.0
2025-09-05,0.0,22.0,5.0,0.0,24.0
2025-09-08,0.0,23.0,5.0,0.0,24.0
2025-09-09,0.0,13.0,5.0,0.0,24.0
2025-09-10,0.0,37.0,5.0,8.0,24.0
2025-09-11,0.0,13.0,5.0,8.0,24.0
2025-09-12,0.0,18.0,5.0,0.0,24.0
2025-09-15,0.0,18.0,5.0,10.0,24.0
2025-09-16,0.0,23.0,5.0,10.0,24.0
2025-09-17,0.0,18.0,5.0,0.0,24.0
2025-09-18,0.0,18.0,5.0,20.0,27.0
2025-09-19,0.0,13.0,5.0,10.0,24.0
2025-09-22,0.0,18.0,5.0,0.0,24.0
2025-09-23,0.0,13.0,5.0,0.0,24.0
2025-09-24,0.0,13.0,5.0,0.0,24.0
2025-09-25,0.0,23.0,5.0,0.0,24.0
2025-09-26,0.0,28.0,5.0,0.0,24.0
2025-09-29,0.0,23.0,5.0,0.0,24.0
2025-09-30,16.71,38.0,32.0,0.0,8.0
2025-10-01,10.56,13.0,32.0,0.0,8.0
2025-10-03,11.9,18.0,32.0,0.0,8.0
2025-10-06,10.44,13.0,32.0,0.0,8.0
2025-10-07,16.65,38.0,32.0,0.0,8.0
2025-10-08,15.25,32.0,32.0,0.0,8.0
2025-10-09,11.09,17.0,32.0,10.0,11.0
2025-10-10,11.97,17.0,32.0,0.0,8.0
2025-10-13,14.2,27.0,32.0,0.0,8.0
2025-10-14,11.36,17.0,32.0,0.0,8.0
2025-10-15,10.46,13.0,32.0,0.0,8.0
2025-10-16,8.82,18.0,32.0,0.0,11.0
2025-10-17,9.54,22.0,32.0,0.0,11.0
2025-10-20,8.5,17.0,32.0,0.0,11.0
2025-10-21,11.91,22.0,32.0,8.0,11.0
2025-10-23,13.42,17.0,32.0,8.0,8.0
2025-10-24,11.69,18.0,32.0,0.0,8.0
2025-10-27,14.98,22.0,32.0,8.0,8.0
2025-10-28,12.26,22.0,32.0,8.0,11.0
2025-10-29,14.14,17.0,32.0,8.0,8.0
2025-10-30,10.44,22.0,32.0,0.0,11.0
2025-10-31,13.98,17.0,32.0,8.0,8.0
2025-11-03,15.54,22.0,32.0,8.0,8.0
2025-11-04,15.46,23.0,32.0,8.0,8.0
2025-11-06,12.53,21.0,32.0,0.0,8.0
2025-11-07,16.72,37.0,32.0,0.0,8.0
2025-11-10,25.5,65.0,32.0,8.0,8.0
2025-11-11,12.47,22.0,32.0,0.0,8.0
2025-11-12,22.96,55.0,32.0,8.0,8.0
2025-11-13,24.22,60.0,32.0,8.0,8.0
2025-11-14,16.45,30.0,32.0,8.0,8.0
2025-11-17,20.43,45.0,32.0,8.0,8.0
2025-11-18,18.8,40.0,32.0,8.0,8.0
2025-11-19,11.2,18.0,32.0,0.0,8.0
2025-11-20,9.77,13.0,32.0,0.0,8.0
2025-11-21,10.45,16.0,32.0,0.0,8.0
2025-11-24,11.73,21.0,32.0,0.0,8.0
2025-11-25,10.68,16.0,32.0,0.0,8.0
2025-11-26,10.74,16.0,32.0,0.0,8.0
2025-11-27,7.49,16.0,32.0,0.0,11.0
2025-11-28,13.2,26.0,32.0,0.0,8.0
2025-12-01,10.71,16.0,32.0,0.0,8.0
2025-12-02,8.72,21.0,32.0,0.0,11.0
2025-12-03,7.39,16.0,32.0,0.0,11.0
2025-12-04,10.52,16.0,32.0,0.0,8.0
2025-12-05,7.43,16.0,32.0,0.0,11.0
2025-12-08,11.25,21.0,32.0,0.0,8.0
2025-12-09,11.63,21.0,32.0,0.0,8.0
2025-12-10,8.34,21.0,32.0,0.0,11.0
2025-12-11,11.57,21.0,32.0,0.0,8.0
2025-12-12,12.83,26.0,32.0,0.0,8.0
2025-12-15,11.59,21.0,32.0,0.0,8.0
2025-12-16,7.24,16.0,32.0,0.0,11.0
2025-12-17,10.12,16.0,32.0,0.0,8.0
2025-12-18,11.47,21.0,32.0,0.0,8.0
2025-12-19,10.01,14.0,32.0,0.0,8.0
2025-12-22,13.27,26.0,32.0,0.0,8.0
2025-12-23,10.56,16.0,32.0,0.0,8.0
2025-12-24,11.68,21.0,32.0,0.0,8.0
2025-12-26,8.52,9.0,32.0,0.0,8.0
2025-12-29,12.29,24.0,32.0,0.0,8.0
2025-12-30,17.53,45.0,32.0,0.0,8.0
