scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,47.42,60.0,34.0,100.0,12.0
2023-09-05,51.16,65.0,34.0,98.0,9.0
2023-09-06,47.42,60.0,34.0,88.0,9.0
2023-09-07,48.25,65.0,34.0,98.0,12.0
2023-09-08,46.97,60.0,34.0,98.0,12.0
2023-09-11,49.89,70.0,34.0,88.0,9.0
2023-09-12,44.43,70.0,34.0,70.0,9.0
2023-09-13,49.19,70.0,34.0,88.0,9.0
2023-09-14,52.94,72.0,34.0,100.0,9.0
2023-09-15,50.74,75.0,34.0,88.0,9.0
2023-09-18,48.07,65.0,34.0,88.0,9.0
2023-09-20,47.91,65.0,34.0,88.0,9.0
2023-09-21,47.58,65.0,34.0,88.0,9.0
2023-09-22,50.09,65.0,34.0,98.0,9.0
2023-09-25,50.05,65.0,34.0,98.0,9.0
2023-09-26,51.83,70.0,34.0,100.0,9.0
2023-09-27,50.07,65.0,34.0,98.0,9.0
2023-09-28,50.03,65.0,34.0,98.0,9.0
2023-09-29,47.73,65.0,34.0,88.0,9.0
2023-10-03,41.17,60.0,34.0,78.0,12.0
2023-10-04,43.22,60.0,34.0,88.0,12.0
2023-10-05,40.87,60.0,34.0,78.0,12.0
2023-10-06,42.28,65.0,34.0,78.0,12.0
2023-10-09,42.77,60.0,34.0,88.0,12.0
2023-10-10,44.42,65.0,34.0,88.0,12.0
2023-10-11,44.73,65.0,34.0,88.0,12.0
2023-10-12,43.93,60.0,34.0,88.0,12.0
2023-10-13,45.2,65.0,34.0,88.0,12.0
2023-10-16,35.36,42.0,34.0,60.0,9.0
2023-10-17,37.06,48.0,34.0,60.0,9.0
2023-10-18,30.54,23.0,34.0,60.0,9.0
2023-10-19,30.65,23.0,34.0,60.0,9.0
2023-10-20,34.25,38.0,34.0,60.0,9.0
2023-10-23,25.56,33.0,34.0,35.0,9.0
2023-10-25,31.69,43.0,34.0,50.0,9.0
2023-10-26,33.0,38.0,34.0,60.0,9.0
2023-10-27,31.93,32.0,34.0,60.0,9.0
2023-10-30,29.34,32.0,34.0,50.0,9.0
2023-10-31,28.06,27.0,34.0,50.0,9.0
2023-11-01,31.67,42.0,34.0,50.0,9.0
2023-11-02,42.67,65.0,34.0,70.0,9.0
2023-11-03,51.11,80.0,34.0,88.0,9.0
2023-11-06,44.91,65.0,34.0,78.0,9.0
2023-11-07,52.64,85.0,34.0,88.0,9.0
2023-11-08,43.68,60.0,34.0,78.0,9.0
2023-11-09,48.6,70.0,34.0,88.0,9.0
2023-11-10,50.93,70.0,34.0,98.0,9.0
2023-11-13,49.65,67.0,34.0,95.0,9.0
2023-11-15,52.41,72.0,34.0,100.0,9.0
