scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,64.51,60.0,63.0,88.0,3.0
2023-09-05,61.23,65.0,63.0,70.0,3.0
2023-09-06,61.28,65.0,63.0,70.0,3.0
2023-09-07,73.81,85.0,63.0,88.0,0.0
2023-09-08,62.75,60.0,63.0,70.0,0.0
2023-09-11,59.75,60.0,63.0,70.0,3.0
2023-09-12,57.58,42.0,63.0,70.0,0.0
2023-09-13,59.29,47.0,63.0,70.0,0.0
2023-09-14,57.3,38.0,63.0,70.0,0.0
2023-09-15,59.51,47.0,63.0,70.0,0.0
2023-09-18,54.26,38.0,63.0,60.0,0.0
2023-09-20,50.12,23.0,63.0,60.0,0.0
2023-09-21,56.38,48.0,63.0,60.0,0.0
2023-09-22,50.14,23.0,63.0,60.0,0.0
2023-09-25,45.48,32.0,63.0,45.0,3.0
2023-09-26,55.84,47.0,63.0,60.0,0.0
2023-09-27,70.22,75.0,63.0,88.0,0.0
2023-09-28,69.02,70.0,63.0,88.0,0.0
2023-09-29,66.85,60.0,63.0,88.0,0.0
2023-10-03,62.41,65.0,63.0,78.0,3.0
2023-10-04,63.89,60.0,63.0,78.0,0.0
2023-10-05,62.36,65.0,63.0,78.0,3.0
2023-10-06,56.7,60.0,63.0,60.0,3.0
2023-10-09,50.65,27.0,63.0,60.0,0.0
2023-10-10,49.14,32.0,63.0,60.0,3.0
2023-10-11,51.2,27.0,63.0,60.0,0.0
2023-10-12,48.55,27.0,63.0,60.0,3.0
2023-10-13,70.39,85.0,63.0,78.0,0.0
2023-10-16,69.17,70.0,63.0,88.0,0.0
2023-10-17,66.54,60.0,63.0,88.0,0.0
2023-10-18,66.54,60.0,63.0,88.0,0.0
2023-10-19,59.46,32.0,63.0,88.0,0.0
2023-10-20,48.85,23.0,63.0,68.0,3.0
2023-10-23,38.8,23.0,63.0,20.0,0.0
2023-10-25,39.9,28.0,63.0,20.0,0.0
2023-10-26,38.6,23.0,63.0,20.0,0.0
2023-10-27,48.93,33.0,63.0,50.0,0.0
2023-10-30,40.78,28.0,63.0,35.0,3.0
2023-10-31,39.41,23.0,63.0,35.0,3.0
2023-11-01,43.91,28.0,63.0,35.0,0.0
2023-11-02,39.8,23.0,63.0,35.0,3.0
2023-11-03,40.41,23.0,63.0,25.0,0.0
2023-11-06,33.76,23.0,63.0,10.0,3.0
2023-11-07,36.96,23.0,63.0,10.0,0.0
2023-11-08,40.64,37.0,63.0,10.0,0.0
2023-11-09,61.12,85.0,63.0,43.0,0.0
2023-11-10,58.35,75.0,63.0,43.0,0.0
2023-11-13,55.98,75.0,63.0,33.0,0.0
2023-11-15,52.75,60.0,63.0,35.0,0.0
2023-11-16,61.13,85.0,63.0,43.0,0.0
2023-11-17,54.76,60.0,63.0,43.0,0.0
2023-11-20,58.76,75.0,63.0,43.0,0.0
2023-11-21,61.39,65.0,63.0,63.0,0.0
2023-11-22,67.64,72.0,63.0,80.0,0.0
2023-11-23,66.84,70.0,63.0,80.0,0.0
2023-11-24,64.82,60.0,63.0,80.0,0.0
2023-11-28,60.47,60.0,63.0,63.0,0.0
2023-11-29,57.28,60.0,63.0,63.0,3.0
2023-11-30,58.71,65.0,63.0,63.0,3.0
2023-12-01,58.58,65.0,63.0,63.0,3.0
2023-12-04,63.32,65.0,63.0,70.0,0.0
2023-12-05,63.17,65.0,63.0,70.0,0.0
2023-12-06,65.4,65.0,63.0,80.0,0.0
2023-12-07,66.74,70.0,63.0,80.0,0.0
2023-12-08,58.35,60.0,63.0,70.0,3.0
2023-12-11,51.62,60.0,63.0,43.0,3.0
2023-12-12,60.64,65.0,63.0,63.0,0.0
2023-12-13,59.16,70.0,63.0,63.0,3.0
