scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,35.28,60.0,12.0,80.0,12.0
2023-09-06,30.15,60.0,12.0,60.0,12.0
2023-09-07,36.45,65.0,12.0,80.0,12.0
2023-09-08,39.52,65.0,12.0,80.0,9.0
2023-09-11,35.3,60.0,12.0,80.0,12.0
2023-09-12,29.52,42.0,12.0,78.0,12.0
2023-09-13,24.8,38.0,12.0,63.0,12.0
2023-09-14,16.64,23.0,12.0,45.0,12.0
2023-09-15,16.75,23.0,12.0,45.0,12.0
2023-09-18,16.47,23.0,12.0,45.0,12.0
2023-09-20,16.34,23.0,12.0,45.0,12.0
2023-09-21,16.12,23.0,12.0,45.0,12.0
2023-09-22,16.02,23.0,12.0,45.0,12.0
2023-09-25,20.69,29.0,12.0,45.0,9.0
2023-09-26,18.25,19.0,12.0,45.0,9.0
2023-09-27,18.15,19.0,12.0,45.0,9.0
2023-09-28,20.32,38.0,12.0,35.0,9.0
2023-09-29,20.48,38.0,12.0,35.0,9.0
2023-10-03,24.12,52.0,12.0,35.0,9.0
2023-10-04,29.57,75.0,12.0,35.0,9.0
2023-10-05,23.5,50.0,12.0,35.0,9.0
2023-10-06,22.52,45.0,12.0,35.0,9.0
2023-10-09,29.46,65.0,12.0,45.0,9.0
2023-10-10,32.37,75.0,12.0,45.0,9.0
2023-10-11,26.03,50.0,12.0,45.0,9.0
2023-10-12,39.69,85.0,12.0,63.0,9.0
2023-10-13,42.07,85.0,12.0,73.0,9.0
2023-10-16,44.41,72.0,12.0,95.0,9.0
2023-10-17,45.92,72.0,12.0,100.0,9.0
2023-10-18,45.77,72.0,12.0,100.0,9.0
2023-10-19,36.53,47.0,12.0,100.0,12.0
2023-10-20,36.39,47.0,12.0,100.0,12.0
2023-10-23,38.65,60.0,12.0,100.0,12.0
2023-10-25,37.12,60.0,12.0,95.0,12.0
2023-10-26,37.22,60.0,12.0,95.0,12.0
2023-10-27,37.72,60.0,12.0,95.0,12.0
2023-10-30,37.7,60.0,12.0,95.0,12.0
2023-10-31,33.03,42.0,12.0,95.0,12.0
2023-11-01,32.9,42.0,12.0,95.0,12.0
2023-11-02,29.53,23.0,12.0,88.0,9.0
2023-11-03,26.58,23.0,12.0,88.0,12.0
2023-11-06,24.28,23.0,12.0,78.0,12.0
2023-11-07,28.43,28.0,12.0,78.0,9.0
2023-11-08,30.34,47.0,12.0,78.0,12.0
2023-11-09,32.66,47.0,12.0,88.0,12.0
2023-11-10,30.16,47.0,12.0,78.0,12.0
2023-11-13,24.7,42.0,12.0,60.0,12.0
2023-11-15,21.08,42.0,12.0,45.0,12.0
2023-11-16,16.2,23.0,12.0,45.0,12.0
2023-11-17,16.77,23.0,12.0,35.0,9.0
2023-11-20,16.68,23.0,12.0,35.0,9.0
2023-11-21,16.94,23.0,12.0,35.0,9.0
2023-11-22,16.85,23.0,12.0,35.0,9.0
2023-11-23,20.66,38.0,12.0,35.0,9.0
2023-11-24,14.13,23.0,12.0,35.0,12.0
2023-11-28,19.5,33.0,12.0,35.0,9.0
2023-11-29,28.67,70.0,12.0,35.0,9.0
2023-11-30,30.16,75.0,12.0,35.0,9.0
2023-12-01,34.61,85.0,12.0,43.0,9.0
2023-12-04,39.56,85.0,12.0,63.0,9.0
2023-12-05,38.04,80.0,12.0,63.0,9.0
2023-12-06,36.65,75.0,12.0,63.0,9.0
2023-12-07,26.86,60.0,12.0,38.0,9.0
2023-12-08,11.45,27.0,12.0,10.0,9.0
2023-12-11,18.62,55.0,12.0,10.0,9.0
2023-12-12,11.65,38.0,12.0,0.0,9.0
2023-12-13,13.2,33.0,12.0,10.0,9.0
2023-12-14,14.5,38.0,12.0,10.0,9.0
2023-12-15,11.97,28.0,12.0,10.0,9.0
2023-12-18,13.12,33.0,12.0,10.0,9.0
2023-12-19,5.0,23.0,12.0,0.0,12.0
2023-12-20,7.14,23.0,12.0,0.0,9.0
2023-12-21,11.48,28.0,12.0,10.0,9.0
2023-12-22,7.28,23.0,12.0,10.0,12.0
2023-12-26,13.0,33.0,12.0,10.0,9.0
2023-12-27,18.96,47.0,12.0,20.0,9.0
2023-12-28,12.88,23.0,12.0,20.0,9.0
2023-12-29,12.92,23.0,12.0,20.0,9.0
2024-01-01,14.36,28.0,12.0,20.0,9.0
2024-01-02,16.48,37.0,12.0,20.0,9.0
2024-01-03,14.02,27.0,12.0,20.0,9.0
2024-01-04,18.79,45.0,12.0,20.0,9.0
2024-01-05,22.66,60.0,12.0,20.0,9.0
2024-01-08,29.4,70.0,12.0,38.0,9.0
2024-01-09,32.58,72.0,12.0,48.0,9.0
2024-01-10,36.89,67.0,12.0,70.0,9.0
2024-01-11,43.28,67.0,12.0,95.0,9.0
2024-01-12,43.31,62.0,12.0,100.0,9.0
2024-01-15,33.9,47.0,12.0,90.0,12.0
2024-01-16,41.79,57.0,12.0,100.0,9.0
2024-01-17,45.29,72.0,12.0,100.0,9.0
2024-01-18,41.79,57.0,12.0,100.0,9.0
2024-01-19,41.96,57.0,12.0,100.0,9.0
2024-01-23,41.36,57.0,12.0,100.0,9.0
2024-01-24,45.72,72.0,12.0,100.0,9.0
2024-01-25,44.7,67.0,12.0,100.0,9.0
2024-01-29,42.25,57.0,12.0,100.0,9.0
2024-01-30,39.13,57.0,12.0,100.0,12.0
2024-01-31,39.37,57.0,12.0,100.0,12.0
2024-02-01,39.2,57.0,12.0,100.0,12.0
2024-02-02,43.26,62.0,12.0,100.0,9.0
2024-02-05,44.46,67.0,12.0,100.0,9.0
2024-02-06,36.71,47.0,12.0,100.0,12.0
2024-02-07,36.63,47.0,12.0,100.0,12.0
2024-02-08,36.47,47.0,12.0,100.0,12.0
2024-02-09,36.19,47.0,12.0,100.0,12.0
2024-02-12,35.4,47.0,12.0,100.0,12.0
2024-02-13,35.31,47.0,12.0,100.0,12.0
2024-02-14,38.79,60.0,12.0,100.0,12.0
2024-02-15,38.9,60.0,12.0,100.0,12.0
2024-02-16,36.53,50.0,12.0,100.0,12.0
2024-02-19,36.63,50.0,12.0,100.0,12.0
2024-02-20,36.44,50.0,12.0,100.0,12.0
2024-02-21,36.15,50.0,12.0,100.0,12.0
2024-02-22,31.34,42.0,12.0,88.0,12.0
2024-02-23,31.32,42.0,12.0,88.0,12.0
2024-02-26,25.73,38.0,12.0,70.0,12.0
2024-02-27,25.61,38.0,12.0,70.0,12.0
2024-02-28,25.17,38.0,12.0,70.0,12.0
2024-02-29,25.33,38.0,12.0,70.0,12.0
2024-03-01,32.23,53.0,12.0,70.0,9.0
2024-03-04,25.42,38.0,12.0,70.0,12.0
2024-03-05,24.41,23.0,12.0,70.0,9.0
2024-03-06,19.8,19.0,12.0,70.0,12.0
2024-03-07,23.17,19.0,12.0,70.0,9.0
2024-03-11,17.03,29.0,12.0,70.0,17.0
2024-03-12,14.29,19.0,12.0,70.0,17.0
2024-03-13,13.68,19.0,12.0,70.0,17.0
2024-03-14,14.32,29.0,12.0,60.0,17.0
2024-03-15,9.25,24.0,12.0,45.0,17.0
2024-03-18,20.49,44.0,12.0,70.0,17.0
2024-03-19,28.25,44.0,12.0,70.0,9.0
2024-03-20,24.41,29.0,12.0,70.0,9.0
2024-03-21,26.48,34.0,12.0,70.0,9.0
2024-03-22,26.46,34.0,12.0,70.0,9.0
2024-03-26,15.8,24.0,12.0,70.0,17.0
2024-03-27,16.02,24.0,12.0,70.0,17.0
2024-03-28,28.99,44.0,12.0,70.0,9.0
2024-04-01,25.21,33.0,25.0,70.0,16.0
2024-04-02,25.53,33.0,25.0,70.0,16.0
2024-04-03,27.96,42.0,25.0,70.0,16.0
2024-04-04,29.98,50.0,25.0,70.0,16.0
2024-04-05,21.49,27.0,25.0,70.0,19.0
2024-04-08,21.51,27.0,25.0,70.0,19.0
2024-04-09,21.27,27.0,25.0,70.0,19.0
2024-04-10,20.41,23.0,25.0,70.0,19.0
2024-04-12,20.38,23.0,25.0,70.0,19.0
2024-04-15,17.68,23.0,25.0,60.0,19.0
2024-04-16,18.68,23.0,25.0,63.0,19.0
2024-04-18,18.57,23.0,25.0,63.0,19.0
2024-04-19,5.14,23.0,25.0,10.0,19.0
2024-04-22,8.78,23.0,25.0,10.0,16.0
2024-04-23,10.09,28.0,25.0,10.0,16.0
2024-04-24,0.0,8.0,25.0,10.0,27.0
2024-04-25,0.0,8.0,25.0,0.0,24.0
2024-04-26,0.0,8.0,25.0,0.0,27.0
2024-04-29,0.0,4.0,25.0,0.0,24.0
2024-04-30,0.0,14.0,25.0,0.0,24.0
2024-05-02,0.0,4.0,25.0,10.0,24.0
2024-05-03,0.0,13.0,25.0,10.0,27.0
2024-05-06,0.0,13.0,25.0,10.0,24.0
2024-05-07,0.0,8.0,25.0,10.0,24.0
2024-05-08,0.0,4.0,25.0,10.0,24.0
2024-05-09,0.0,4.0,25.0,10.0,24.0
2024-05-10,0.0,4.0,25.0,10.0,27.0
2024-05-13,0.0,23.0,25.0,10.0,24.0
2024-05-14,0.15,23.0,25.0,10.0,24.0
2024-05-15,3.86,37.0,25.0,10.0,24.0
2024-05-16,0.0,18.0,25.0,10.0,24.0
2024-05-17,0.0,8.0,25.0,10.0,24.0
2024-05-21,5.02,40.0,25.0,10.0,24.0
2024-05-22,0.0,17.0,25.0,10.0,24.0
2024-05-23,0.0,8.0,25.0,10.0,24.0
2024-05-24,0.0,13.0,25.0,10.0,24.0
2024-05-27,0.0,8.0,25.0,10.0,24.0
2024-05-28,0.0,13.0,25.0,10.0,24.0
2024-05-29,0.0,18.0,25.0,10.0,24.0
2024-05-30,0.0,13.0,25.0,10.0,24.0
2024-05-31,0.0,8.0,25.0,10.0,24.0
2024-06-03,0.28,23.0,25.0,10.0,24.0
2024-06-04,0.0,13.0,25.0,10.0,24.0
2024-06-05,0.0,8.0,25.0,10.0,24.0
2024-06-06,0.0,13.0,25.0,10.0,24.0
2024-06-07,2.2,22.0,25.0,18.0,24.0
2024-06-10,2.43,22.0,25.0,18.0,24.0
2024-06-11,3.56,25.0,25.0,18.0,24.0
2024-06-12,4.79,30.0,25.0,18.0,24.0
2024-06-13,0.0,17.0,25.0,10.0,24.0
2024-06-14,0.09,18.0,25.0,10.0,24.0
2024-06-18,2.48,27.0,25.0,10.0,24.0
2024-06-19,0.0,12.0,25.0,10.0,24.0
2024-06-20,2.31,27.0,25.0,10.0,24.0
2024-06-21,0.0,17.0,25.0,10.0,24.0
2024-06-24,0.0,8.0,25.0,10.0,24.0
2024-06-25,3.58,17.0,25.0,25.0,24.0
2024-06-26,3.55,17.0,25.0,25.0,24.0
2024-06-27,0.0,8.0,25.0,18.0,24.0
2024-06-28,0.73,13.0,25.0,18.0,24.0
2024-07-01,2.13,17.0,25.0,18.0,24.0
2024-07-02,3.81,17.0,25.0,25.0,24.0
2024-07-03,1.29,13.0,25.0,18.0,24.0
2024-07-04,0.1,8.0,25.0,18.0,24.0
2024-07-05,2.27,17.0,25.0,18.0,24.0
2024-07-08,0.0,8.0,25.0,10.0,24.0
2024-07-09,0.0,13.0,25.0,10.0,27.0
2024-07-10,0.0,17.0,25.0,10.0,24.0
2024-07-11,0.0,17.0,25.0,10.0,24.0
2024-07-12,0.0,8.0,25.0,10.0,24.0
2024-07-15,0.0,18.0,25.0,10.0,24.0
2024-07-16,3.46,32.0,25.0,10.0,24.0
2024-07-18,0.0,22.0,25.0,0.0,24.0
2024-07-19,0.0,17.0,25.0,0.0,24.0
2024-07-22,0.0,8.0,25.0,0.0,24.0
2024-07-23,0.0,13.0,25.0,0.0,24.0
2024-07-24,0.0,23.0,25.0,0.0,24.0
2024-07-25,0.0,23.0,25.0,0.0,24.0
2024-07-26,0.0,23.0,25.0,0.0,24.0
2024-07-29,0.0,23.0,25.0,0.0,24.0
2024-07-30,0.0,8.0,25.0,0.0,24.0
2024-07-31,0.0,4.0,25.0,0.0,24.0
2024-08-01,0.0,4.0,25.0,0.0,24.0
2024-08-02,0.0,18.0,25.0,0.0,24.0
2024-08-05,0.0,8.0,25.0,0.0,24.0
2024-08-06,0.0,8.0,25.0,0.0,24.0
2024-08-07,0.0,18.0,25.0,0.0,27.0
2024-08-08,0.0,8.0,25.0,0.0,27.0
2024-08-09,0.0,8.0,25.0,0.0,27.0
2024-08-12,0.0,18.0,25.0,0.0,27.0
2024-08-13,0.0,8.0,25.0,0.0,27.0
2024-08-14,0.0,8.0,25.0,0.0,27.0
2024-08-16,0.0,8.0,25.0,0.0,27.0
2024-08-19,0.0,22.0,25.0,0.0,24.0
2024-08-20,5.68,55.0,25.0,0.0,24.0
