scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,65.49,67.0,45.0,100.0,0.0
2023-09-05,63.08,57.0,45.0,100.0,0.0
2023-09-06,60.7,60.0,45.0,100.0,3.0
2023-09-07,63.75,60.0,45.0,100.0,0.0
2023-09-08,63.32,70.0,45.0,100.0,3.0
2023-09-11,60.85,60.0,45.0,100.0,3.0
2023-09-12,63.07,60.0,45.0,100.0,0.0
2023-09-13,68.1,80.0,45.0,100.0,0.0
2023-09-14,63.19,60.0,45.0,100.0,0.0
2023-09-15,65.8,70.0,45.0,100.0,0.0
2023-09-18,60.02,60.0,45.0,100.0,3.0
2023-09-20,59.89,60.0,45.0,100.0,3.0
2023-09-21,65.17,70.0,45.0,100.0,0.0
2023-09-22,63.82,65.0,45.0,100.0,0.0
2023-09-25,63.99,65.0,45.0,100.0,0.0
2023-09-26,52.3,60.0,45.0,70.0,3.0
2023-09-27,56.7,60.0,45.0,88.0,3.0
2023-09-28,56.62,60.0,45.0,88.0,3.0
2023-09-29,53.54,65.0,45.0,70.0,3.0
2023-10-03,52.42,60.0,45.0,70.0,3.0
2023-10-04,47.62,42.0,45.0,70.0,3.0
2023-10-05,47.8,42.0,45.0,70.0,3.0
2023-10-06,55.07,70.0,45.0,70.0,3.0
2023-10-09,57.51,70.0,45.0,70.0,0.0
2023-10-10,61.67,85.0,45.0,70.0,0.0
2023-10-11,62.33,70.0,45.0,88.0,0.0
2023-10-12,60.24,60.0,45.0,88.0,0.0
2023-10-13,56.87,65.0,45.0,70.0,0.0
2023-10-16,57.21,60.0,45.0,88.0,3.0
2023-10-17,52.98,60.0,45.0,70.0,3.0
2023-10-18,52.82,60.0,45.0,70.0,3.0
2023-10-19,57.32,60.0,45.0,88.0,3.0
2023-10-20,51.19,42.0,45.0,70.0,0.0
2023-10-23,50.2,42.0,45.0,70.0,0.0
2023-10-25,53.67,57.0,45.0,70.0,0.0
2023-10-26,48.77,37.0,45.0,70.0,0.0
