scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-04,46.88,65.0,38.0,38.0,0.0
2023-09-05,47.97,60.0,38.0,48.0,0.0
2023-09-06,43.09,50.0,38.0,48.0,3.0
2023-09-07,42.85,50.0,38.0,48.0,3.0
2023-09-08,46.98,55.0,38.0,48.0,0.0
2023-09-11,43.38,50.0,38.0,38.0,0.0
2023-09-12,39.36,38.0,38.0,38.0,0.0
2023-09-13,53.84,85.0,38.0,48.0,0.0
2023-09-14,56.28,85.0,38.0,55.0,0.0
2023-09-15,57.2,80.0,38.0,65.0,0.0
2023-09-18,47.63,70.0,38.0,38.0,0.0
2023-09-20,55.74,85.0,38.0,55.0,0.0
2023-09-21,59.66,62.0,38.0,95.0,0.0
2023-09-22,52.9,60.0,38.0,70.0,0.0
2023-09-25,63.38,70.0,38.0,100.0,0.0
2023-09-26,63.84,72.0,38.0,100.0,0.0
2023-09-27,63.91,72.0,38.0,100.0,0.0
2023-09-28,61.32,62.0,38.0,100.0,0.0
2023-09-29,54.58,47.0,38.0,100.0,3.0
2023-10-03,57.05,57.0,38.0,100.0,3.0
2023-10-04,55.33,52.0,38.0,100.0,3.0
2023-10-05,58.46,52.0,38.0,100.0,0.0
2023-10-06,56.68,57.0,38.0,100.0,3.0
2023-10-09,53.27,47.0,38.0,100.0,3.0
2023-10-10,56.93,60.0,38.0,100.0,3.0
2023-10-11,58.21,65.0,38.0,100.0,3.0
2023-10-12,57.31,60.0,38.0,100.0,3.0
2023-10-13,57.37,60.0,38.0,100.0,3.0
2023-10-16,57.31,60.0,38.0,100.0,3.0
2023-10-17,57.62,60.0,38.0,100.0,3.0
2023-10-18,58.81,65.0,38.0,100.0,3.0
2023-10-19,58.56,65.0,38.0,100.0,3.0
2023-10-20,58.34,65.0,38.0,100.0,3.0
2023-10-23,51.09,42.0,38.0,100.0,3.0
2023-10-25,46.92,38.0,38.0,88.0,3.0
2023-10-26,43.89,43.0,38.0,70.0,3.0
2023-10-27,39.1,47.0,38.0,45.0,3.0
2023-10-30,40.43,47.0,38.0,50.0,3.0
2023-10-31,38.03,38.0,38.0,50.0,3.0
2023-11-01,43.93,52.0,38.0,60.0,3.0
2023-11-02,43.12,47.0,38.0,60.0,3.0
2023-11-03,46.37,60.0,38.0,60.0,3.0
2023-11-06,58.58,85.0,38.0,70.0,0.0
2023-11-07,58.78,85.0,38.0,70.0,0.0
2023-11-08,59.53,70.0,38.0,88.0,0.0
2023-11-09,52.31,60.0,38.0,70.0,0.0
2023-11-10,49.62,60.0,38.0,60.0,0.0
2023-11-13,61.86,70.0,38.0,98.0,0.0
2023-11-15,56.84,60.0,38.0,88.0,0.0
2023-11-16,65.53,85.0,38.0,98.0,0.0
2023-11-17,62.14,70.0,38.0,100.0,0.0
2023-11-20,63.3,75.0,38.0,98.0,0.0
2023-11-21,66.55,85.0,38.0,100.0,0.0
2023-11-22,62.74,70.0,38.0,100.0,0.0
2023-11-23,65.89,80.0,38.0,100.0,0.0
2023-11-24,64.23,75.0,38.0,100.0,0.0
2023-11-28,64.28,75.0,38.0,100.0,0.0
2023-11-29,57.45,60.0,38.0,100.0,3.0
2023-11-30,66.52,85.0,38.0,100.0,0.0
2023-12-01,60.38,60.0,38.0,100.0,0.0
2023-12-04,66.71,85.0,38.0,100.0,0.0
2023-12-05,61.57,65.0,38.0,100.0,0.0
2023-12-06,65.11,80.0,38.0,100.0,0.0
2023-12-07,66.41,85.0,38.0,100.0,0.0
2023-12-08,59.67,60.0,38.0,100.0,0.0
2023-12-11,56.8,60.0,38.0,100.0,3.0
2023-12-12,61.02,65.0,38.0,100.0,0.0
2023-12-13,64.82,80.0,38.0,100.0,0.0
2023-12-14,64.97,80.0,38.0,100.0,0.0
2023-12-15,63.59,75.0,38.0,100.0,0.0
2023-12-18,57.98,52.0,38.0,100.0,0.0
2023-12-19,59.89,60.0,38.0,100.0,0.0
2023-12-20,46.59,42.0,38.0,88.0,5.0
2023-12-21,63.37,80.0,38.0,95.0,0.0
2023-12-22,53.59,60.0,38.0,88.0,3.0
2023-12-26,52.2,42.0,38.0,88.0,0.0
2023-12-27,54.8,65.0,38.0,88.0,3.0
2023-12-28,53.52,60.0,38.0,88.0,3.0
2023-12-29,43.1,42.0,38.0,63.0,3.0
2024-01-01,50.23,70.0,38.0,63.0,3.0
2024-01-02,41.7,42.0,38.0,45.0,0.0
2024-01-03,49.13,65.0,38.0,63.0,3.0
2024-01-04,38.98,42.0,38.0,45.0,3.0
2024-01-05,42.04,42.0,38.0,45.0,0.0
2024-01-08,55.99,80.0,38.0,63.0,0.0
2024-01-09,55.9,80.0,38.0,63.0,0.0
2024-01-10,48.01,60.0,38.0,63.0,3.0
2024-01-11,43.62,60.0,38.0,45.0,3.0
2024-01-12,55.38,70.0,38.0,70.0,0.0
2024-01-15,63.46,85.0,38.0,88.0,0.0
2024-01-16,59.55,70.0,38.0,88.0,0.0
2024-01-17,66.13,85.0,38.0,100.0,0.0
2024-01-18,63.22,72.0,38.0,100.0,0.0
2024-01-19,61.93,67.0,38.0,100.0,0.0
2024-01-23,61.32,67.0,38.0,100.0,0.0
2024-01-24,60.46,62.0,38.0,100.0,0.0
2024-01-25,57.29,60.0,38.0,100.0,3.0
2024-01-29,57.56,60.0,38.0,100.0,3.0
2024-01-30,57.42,60.0,38.0,100.0,3.0
2024-01-31,57.77,60.0,38.0,100.0,3.0
2024-02-01,57.6,60.0,38.0,100.0,3.0
2024-02-02,60.05,70.0,38.0,100.0,3.0
2024-02-05,54.46,50.0,38.0,100.0,3.0
2024-02-06,54.67,50.0,38.0,100.0,3.0
2024-02-07,54.74,50.0,38.0,100.0,3.0
2024-02-08,51.8,42.0,38.0,98.0,3.0
2024-02-09,53.47,38.0,38.0,98.0,0.0
2024-02-12,39.8,23.0,38.0,73.0,3.0
2024-02-13,32.59,23.0,38.0,45.0,3.0
2024-02-14,34.24,28.0,38.0,45.0,3.0
2024-02-15,34.28,28.0,38.0,45.0,3.0
2024-02-16,34.22,28.0,38.0,45.0,3.0
