scan_date,final_score,technical_score,sector_adjusted_fundamental_score,relative_strength_score,risk_penalty
2023-09-05,44.47,65.0,34.0,70.0,9.0
2023-09-06,44.61,65.0,34.0,70.0,9.0
2023-09-07,54.02,85.0,34.0,88.0,9.0
2023-09-08,47.82,60.0,34.0,88.0,9.0
2023-09-11,53.85,72.0,34.0,100.0,9.0
2023-09-12,38.14,70.0,34.0,63.0,14.0
2023-09-13,52.14,70.0,34.0,98.0,9.0
2023-09-14,51.82,65.0,34.0,100.0,9.0
2023-09-15,44.34,60.0,34.0,88.0,12.0
2023-09-18,44.17,60.0,34.0,88.0,12.0
2023-09-20,35.01,42.0,34.0,70.0,12.0
2023-09-21,40.5,65.0,34.0,70.0,12.0
2023-09-22,34.79,42.0,34.0,70.0,12.0
2023-09-25,40.57,47.0,34.0,88.0,12.0
2023-09-26,45.02,65.0,34.0,88.0,12.0
2023-09-27,34.86,42.0,34.0,70.0,12.0
2023-09-28,29.85,23.0,34.0,70.0,12.0
2023-09-29,56.23,85.0,34.0,100.0,9.0
2023-10-03,52.95,72.0,34.0,100.0,9.0
2023-10-04,50.06,62.0,34.0,100.0,9.0
2023-10-05,50.42,62.0,34.0,100.0,9.0
2023-10-06,50.47,62.0,34.0,100.0,9.0
2023-10-09,48.5,57.0,34.0,100.0,9.0
2023-10-10,47.74,52.0,34.0,100.0,9.0
2023-10-11,53.07,72.0,34.0,100.0,9.0
2023-10-12,46.96,47.0,34.0,100.0,9.0
2023-10-13,53.27,72.0,34.0,100.0,9.0
2023-10-16,53.21,72.0,34.0,100.0,9.0
2023-10-17,48.37,52.0,34.0,100.0,9.0
2023-10-18,48.18,52.0,34.0,100.0,9.0
2023-10-19,45.29,52.0,34.0,100.0,12.0
2023-10-20,48.09,52.0,34.0,100.0,9.0
2023-10-23,40.86,60.0,34.0,100.0,17.0
2023-10-25,48.06,70.0,34.0,100.0,12.0
2023-10-26,48.19,70.0,34.0,100.0,12.0
2023-10-27,48.3,57.0,34.0,100.0,9.0
2023-10-30,45.99,60.0,34.0,100.0,12.0
2023-10-31,45.99,60.0,34.0,100.0,12.0
2023-11-01,46.93,65.0,34.0,100.0,12.0
2023-11-02,47.43,65.0,34.0,100.0,12.0
2023-11-03,46.25,60.0,34.0,100.0,12.0
2023-11-06,46.49,60.0,34.0,100.0,12.0
2023-11-07,49.13,70.0,34.0,100.0,12.0
2023-11-08,39.77,42.0,34.0,98.0,14.0
2023-11-09,42.62,47.0,34.0,98.0,12.0
2023-11-10,41.42,42.0,34.0,98.0,12.0
2023-11-13,33.57,38.0,34.0,70.0,12.0
2023-11-15,38.93,47.0,34.0,70.0,9.0
2023-11-16,35.77,47.0,34.0,70.0,12.0
2023-11-17,34.65,42.0,34.0,70.0,12.0
2023-11-20,47.02,80.0,34.0,70.0,9.0
2023-11-21,37.67,42.0,34.0,70.0,9.0
2023-11-22,37.76,42.0,34.0,70.0,9.0
2023-11-23,37.95,42.0,34.0,70.0,9.0
2023-11-24,36.83,38.0,34.0,70.0,9.0
2023-11-28,47.42,80.0,34.0,70.0,9.0
2023-11-29,34.89,42.0,34.0,70.0,12.0
2023-11-30,34.94,42.0,34.0,70.0,12.0
2023-12-01,39.25,47.0,34.0,70.0,9.0
2023-12-04,38.09,42.0,34.0,70.0,9.0
2023-12-05,33.26,23.0,34.0,70.0,9.0
2023-12-06,33.56,23.0,34.0,70.0,9.0
2023-12-07,34.79,28.0,34.0,70.0,9.0
2023-12-08,35.48,32.0,34.0,70.0,9.0
2023-12-11,27.97,23.0,34.0,60.0,12.0
2023-12-12,34.62,38.0,34.0,60.0,9.0
2023-12-13,24.1,23.0,34.0,45.0,12.0
2023-12-14,33.48,23.0,34.0,70.0,9.0
2023-12-15,40.91,52.0,34.0,70.0,9.0
2023-12-18,34.62,27.0,34.0,70.0,9.0
2023-12-19,34.75,27.0,34.0,70.0,9.0
2023-12-20,29.16,38.0,34.0,60.0,14.0
2023-12-21,38.25,42.0,34.0,70.0,9.0
2023-12-22,35.91,32.0,34.0,70.0,9.0
2023-12-26,33.95,23.0,34.0,70.0,9.0
2023-12-27,37.38,37.0,34.0,70.0,9.0
2023-12-28,33.75,23.0,34.0,70.0,9.0
2023-12-29,36.09,32.0,34.0,70.0,9.0
2024-01-01,36.46,32.0,34.0,70.0,9.0
2024-01-02,25.77,27.0,34.0,45.0,12.0
2024-01-03,27.78,23.0,34.0,45.0,9.0
2024-01-04,27.92,33.0,34.0,35.0,9.0
2024-01-05,31.41,38.0,34.0,45.0,9.0
2024-01-08,27.44,33.0,34.0,35.0,9.0
2024-01-09,22.17,23.0,34.0,35.0,12.0
2024-01-10,22.04,23.0,34.0,35.0,12.0
2024-01-11,26.37,28.0,34.0,35.0,9.0
2024-01-12,26.41,28.0,34.0,35.0,9.0
2024-01-15,26.26,28.0,34.0,35.0,9.0
2024-01-16,24.87,23.0,34.0,35.0,9.0
2024-01-17,23.2,28.0,34.0,25.0,9.0
2024-01-18,27.32,33.0,34.0,35.0,9.0
2024-01-19,23.47,28.0,34.0,35.0,12.0
